site number,site name,latitude,longitude
1,Longlands Gap (basalt),-17.46028,145.47473
2,Mt Fisher: Kjellberg Rd,-17.54112,145.56136
3,Tully Falls Rd: Smiths,-17.68174,145.52989
4,Malaan SF,-17.58672,145.582
5,Longlands Gap (rhyolite),-17.45501,145.47862
6,Mt Haig,-17.10111,145.57346
7,Arthur Baillie Rd,-17.68914,145.50649
8,Massey Creek,-17.60993,145.56264
9,Lamins Hill (Cairns track),-17.36528,145.71537
10,Wallace Rd (Glen Allyn),-17.42063,145.67164
11,"Tully Falls Rd, near TF",-17.75847,145.54569
12,Palmerston: Malaan Rd turnoff,-17.59143,145.70355
13,Cairns Track,-17.35164,145.72726
14,Robson Ck,-17.11917,145.62952
15,TF Rd rhyolite,-17.78676,145.55958
16,Sutties Gap Rd,-17.64678,145.63772
17,Thomas Rd (recent basalt),-17.26548,145.56578
