presowtreat,germination_treatment
pre-sowing treatments: surgical (seed coat partially removed with scalpel. seed coat chipped)                                                                                                                                             ,scarify_nick_seed_coat
pre-sowing treatments: mechanical manipulation (other covering structure (not seed coat) removed or partially removed with scalpel. chipped),scarify_fruit
pre-sowing: mechanical manipulation (other covering structure (not seed coat) removed or partially removed. covering structure partly removed)                                                                                                   ,scarify_fruit
pre-sowing treatments: 1. mechanical manipulation (other covering structure (not seed coat) removed or partially removed. covering structure removed); 2. surgical (seed coat partially removed. seed coat chipped over embryo)                  ,scarify_fruit scarify_nick_seed_coat
pre-sowing treatments: mechanical manipulation (other covering structure (not seed coat) removed or partially removed. covering structure removed)                                                                                               ,scarify_fruit
pre-sowing treatments: 1. mechanical manipulation (other covering structure (not seed coat) removed or partially removed. covering structure removed); 2. surgical (seed coat partially removed with scalpel. seed coat chipped)                 ,scarify_fruit scarify_nick_seed_coat
pre-sowing treatments: mechanical manipulation (other covering structure (not seed coat) removed or partially removed. covering structure partly removed)                                                                                        ,scarify_fruit
pre-sowing treatments: mechanical manipulation (other covering structure (not seed coat) removed or partially removed. chipped covering structure)                                                                                               ,scarify_fruit
pre-sowing treatments: mechanical manipulation (other covering structure (not seed coat) removed or partially removed with scalpel)                                                                                                              ,scarify_fruit
pre-sowing treatments: mechanical manipulation (other covering structure (not seed coat) removed or partially removed. covering structure removed. coat chipped)                                                                                 ,scarify_fruit scarify_nick_seed_coat
pre-sowing: mechanical manipulation (other covering structure (not seed coat) removed or partially removed. covering structure removed)                                                                                                          ,scarify_fruit
pre-sowing treatments: mechanical manipulation (other covering structure (not seed coat) removed or partially removed with scalpel. de-husked)                                                                                                   ,scarify_fruit
pre-sowing: surgical (seed coat partially removed with scalpel. seed coat chipped)                                                                                                                                                               ,scarify_nick_seed_coat
pre-sowing treatments: mechanical manipulation (other covering structure (not seed coat) removed or partially removed with vice/cracker. remove covering structure by cracking in vice)                                                          ,scarify_fruit_vice
pre-sowing: 1. sterilisation (immersed seeds in 10% domestos for 5 minutes); 2. surgical (seed coat partially removed with scalpel. seed coat chipped)                                                                                           ,scarify_fruit sterilise_domestos
pre-sowing treatments: 1. mechanical manipulation (other covering structure (not seed coat) removed or partially removed with scalpel. de-husked); 2. surgical (seed coat partially removed with scalpel. seed coat chipped)                     ,scarify_fruit scarify_nick_seed_coat
pre-sowing: 1. mechanical manipulation (other covering structure (not seed coat) removed or partially removed. covering structure removed); 2. surgical (seed coat partially removed with scalpel. seed coat chipped)                            ,scarify_fruit scarify_nick_seed_coat
pre-sowing treatments: 1. sterilisation (immersed seeds in 10% domestos for 5 minutes); 2. mechanical manipulation (other covering structure (not seed coat) removed or partially removed. covering structure removed)                           ,scarify_fruit sterilise_domestos
pre-sowing treatments: 1. sterilisation (immersed seeds in Calcium Hydroxide for 5 minutes); 2. mechanical manipulation (other covering structure (not seed coat) removed or partially removed. covering structure removed)                      ,scarify_fruit sterilise_calcium_hydroxide
pre-sowing treatments: sterilisation (immersed seeds in 10% domestos for 5 minutes)                                                                                                                                                              ,sterilise_domestos
pre-sowing: mechanical manipulation (other covering structure (not seed coat) removed or partially removed with scalpel. de-husked)                                                                                                              ,scarify_fruit
pre-sowing treatments: surgical (pierce seed coat. chipped over radicle)                                                                                                                                                                         ,scarify_pierce_seed_coat
pre-sowing treatments: surgical (seed coat partially removed. chipped over radicle)                                                                                                                                                              ,scarify_pierce_seed_coat
pre-sowing treatments: 1. sterilisation (seed sterilised by immersion in 10% domestos for 10 mins); 2. surgical (seed coat partially removed. chipped both radicle tip and cotyledon ends of seed)                                               ,sterilise_domestos scarify_nick_seed_coat
pre-sowing treatments: surgical (seed coat partially removed. chipped both radicle tip and cotyledon ends of seed)                                                                                                                               ,scarify_nick_seed_coat
pre-sowing treatments: surgical (seed coat removed completely. testa removed)                                                                                                                                                                    ,scarify_remove_seed_coat
pre-sowing treatments: surgical (seed coat removed completely with scalpel)                                                                                                                                                                      ,scarify_remove_seed_coat
pre-sowing treatments: scarification (seed coat partially removed with scalpel. seed coat chipped)                                                                                                                                               ,scarify_nick_seed_coat
pre-sowing treatments: scarification (seed coat partially removed with scalpel)                                                                                                                                                                  ,scarify_nick_seed_coat
pre-sowing: scarification (seed coat partially removed with scalpel. seed coat chipped)                                                                                                                                                          ,scarify_nick_seed_coat
