canonicalName,,,,Resprout,Soil seed bank,Wind,Bird/mammal,Canopy seed storage
Abrotanella forsteroides,,,,y,,,n,n
Abrotanella scapigera,,,,,,,,n
Acacia axillaris,,,,n,y,n,n,n
Acacia derwentiana,,,,,y,n,n,n
Acacia mucronata subsp. dependens,,,,,y,n,n,n
Acacia mucronata subsp. mucronata,,,,,y,n,n,n
Acacia pataczekii,,,,y,n,n,n,n
Acacia riceana,,,,,y,n,n,n
Acaena montana,,,,n,,n,y,n
Acaena pallida,,,,n,,n,y,n
Acradenia frankliniae,,,,,,,,n
Actinotus moorei,,,,,,,,n
Actinotus suffocatus,,,,,,,,n
Agastachys odorata,,,,y,,n,y,n
Agrostis diemenica,,,,y,n,y,,n
Allocasuarina crassa,,,,y,n,n,n,y
Allocasuarina duncanii,,,,y,n,n,n,y
Allocasuarina monilifera,,,,y,n,n,n,y
Allocasuarina zephyrea,,,,y,n,n,n,y
Androstoma verticillata,,,,n,y,n,y,n
Anemone crassifolia,,,,,,n,n,n
Anisotome procumbens,,,,,,,,n
Anodopetalum biglandulosum,,,,y,,n,n,n
Anopterus glandulosus,,,,y,,n,,n
Archeria comberi,,,,n,y,n,,n
Archeria eriocarpa,,,,n,y,n,,n
Archeria hirtella,,,,n,y,n,,n
Archeria minor,,,,n,y,n,,n
Archeria serpyllifolia,,,,n,y,n,,n
Argentipallium x spiceri,,,,,,,n,n
Aristotelia peduncularis,,,,,,,y,n
Arthrochilus huntianus subsp. nothofagicola,,,,,,,,
Asplenium bulbiferum subsp. gracillimum x Asplenium hookerianum,,,,,,,,
Asplenium bulbiferum subsp. gracillimum x Asplenium obtusatum subsp. northlandicum,,,,,,,,
Astelia alpina var. alpina,,,,y,,n,y,n
Asterotrichion discolor,,,,n,,,,n
Athrotaxis cupressoides,,,,n,n,n,n,n
Athrotaxis selaginoides,,,,n,n,n,n,n
Athrotaxis x laxifolia,,,,n,n,n,n,n
Austrostipa aphylla,,,,y,,n,y,n
Baeckea leptocaulis,,,,,,,,
Barbarea australis,,,,,,,,
Bedfordia linearis,,,,y,,y,n,n
Bedfordia linearis subsp. linearis,,,,y,,y,n,n
Bedfordia linearis subsp. oblongifolia,,,,y,,y,n,n
Bedfordia linearis var. curvifolia,,,,y,,y,n,n
Bedfordia linearis var. oblongifolia,,,,y,,y,n,n
Bedfordia salicina,,,,y,,y,n,n
Bellendena montana,,,,y,,n,n,n
Bertya tasmanica subsp. tasmanica,,,,,,,,
Billardiera longiflora,,,,,,,y,n
Billardiera nesophila,,,,,,,y,n
Billardiera ovalis,,,,,,,y,n
Billardiera viridiflora,,,,,,,y,n
Blandfordia punicea,,,,y,,n,n,n
Boronia citriodora,,,,y,,n,n,n
Boronia citriodora subsp. citriodora,,,,,,,,
Boronia citriodora subsp. orientalis,,,,,,,,
Boronia citriodora subsp. paulwilsonii,,,,,,,,
Boronia elisabethiae,,,,,,,,
Boronia gunnii,,,,,,,,
Boronia hemichiton,,,,,,,,
Boronia hippopala,,,,,,,,
Boronia pilosa subsp. tasmanensis,,,,,,,,
Boronia rozefeldsii,,,,,,,,
Bossiaea tasmanica,,,,,,,,
Brachyscome radicata,,,,,,,,
Brachyscome tasmanica,,,,,,,,
Brachyscome tenuiscapa var. tenuiscapa,,,,,,,,
Caladenia anthracina,,,,,,,,
Caladenia campbellii,,,,,,,,
Caladenia caudata,,,,,,,,
Caladenia dienema,,,,,,,,
Caladenia lindleyana,,,,,,,,
Caladenia pallida,,,,,,,,
Caladenia saggicola,,,,,,,,
Caladenia sylvicola,,,,,,,,
Caladenia tonellii,,,,,,,,
Callistemon viridiflorus,,,,y,,n,n,y
Callitris oblonga subsp. oblonga,,,,n,,n,n,y
Calorophus erostris,,,,y,,n,n,n
Campynema lineare,,,,y,,n,n,n
Carex barbata,,,,,,,,
Carex cataractae,,,,,,,,
Carex cheesemanniana,,,,,,,,
Carex flaviformis,,,,,,,,
Carex sp. Algonkian Rivulet (S.J.Jarman HO110282),,,,,,,,
Carex sp. Western Tasmania (A.Moscal 7489),,,,,,,,
Carex subtilis,,,,,,,,
Carpha curvata,,,,y,,y,n,n
Carpha rodwayi,,,,y,,y,n,n
Cassytha pedicellosa,,,,,,,y,
Celmisia asteliifolia,,,,y,,y,n,n
Celmisia saxifraga,,,,,,,,
Cenarrhenes nitida,,,,y,,,y,n
Centrolepis monogyna,,,,,,,,
Centrolepis muscoides,,,,,,,,
Centrolepis pedderensis,,,,,,,,
Centrolepis strigosa subsp. pulvinata,,,,,,,,
Centropappus brunonis,,,,,,y,n,n
Chordifex hookeri,,,,y,,,,
Clematis clitorioides,,,,,,y,n,
Clematis gentianoides,,,,y,,y,n,n
Colobanthus sp. Interlaken (J.G.West 4802),,,,,,,,
Conospermum hookeri,,,,n,,,,n
Correa alba var. rotundifolia,,,,,,,,
Correa reflexa var. nummulariifolia,,,,,,,,
Craspedia cynurica,,,,,,,,
Craspedia glabrata,,,,,,,,
Craspedia glauca,,,,,,,,
Craspedia macrocephala,,,,,,,,
Craspedia preminghana,,,,,,,,
Craspedia rosulata,,,,,,,,
Cryptandra alpina,,,,,,,,
Cryptandra exilis,,,,,,,,
Cyathodes glauca,,,,,,,,
Cyathodes platystoma,,,,,,,,
Cyathodes straminea,,,,n,y,n,y,n
Cyphanthera tasmanica,,,,,,,,
Deschampsia gracillima,,,,,,,,
Deyeuxia apsleyensis,,,,,,,,
Dichosciadium ranunculaceum var. tasmanicum,,,,,,,,
Diplarrena latifolia,,,,y,,n,,n
Diplaspis cordifolia,,,,,,,,
Diplaspis hydrocotyle,,,,,,,,
Diselma archeri,,,,n,n,n,n,n
Diuris lanceolata,,,,,,,,
Dodonaea filiformis,,,,n,y,y,n,n
Donatia novae-zelandiae,,,,y,,n,n,n
Dracophyllum milliganii,,,,n,y,n,n,n
Dracophyllum minimum,,,,n,,n,n,n
Drosera murfetii,,,,y,,n,n,n
"Dryopoa dives subsp. Snug Plains (W.D.Jackson s.n., Dec. 1952)",,,,,,,,
Epacris acuminata,,,,,,,,
Epacris apsleyensis,,,,,,,,
Epacris barbata,,,,,,,,
Epacris cerasicollina,,,,,,,,
Epacris corymbiflora,,,,n,y,n,n,n
Epacris curtisiae,,,,,,,,
Epacris exserta,,,,,,,,
Epacris franklinii,,,,,,,,
Epacris glabella,,,,,,,,
Epacris grandis,,,,,,,,
Epacris graniticola,,,,,,,,
Epacris heteronema,,,,n,y,n,n,n
Epacris heteronema var. gigantea,,,,,,,,
Epacris heteronema var. heteronema,,,,,,,,
Epacris limbata,,,,,,,,
Epacris marginata,,,,,,,,
Epacris moscaliana,,,,,,,,
Epacris mucronulata,,,,,,,,
Epacris myrtifolia,,,,,,,,
Epacris navicularis,,,,n,y,n,n,n
Epacris serpyllifolia,,,,n,y,n,n,n
Epacris stuartii,,,,,,,,
Epacris tasmanica,,,,,,,,
Epacris virgata,,,,,,,,
Epilobium fugitivum,,,,,,,,
Epilobium nummulariifolium,,,,,,,,
Epilobium obscurum,,,,,,,,
Epilobium perpusillum,,,,,,,,
Epilobium rotundifolium,,,,,,,,
Eucalyptus amygdalina,,,,y,n,n,n,y
Eucalyptus archeri,,,,y,n,n,n,y
Eucalyptus barberi,,,,y,n,n,n,y
Eucalyptus coccifera,,,,y,n,n,n,y
Eucalyptus cordata,,,,y,n,n,n,y
Eucalyptus cordata subsp. cordata,,,,y,n,n,n,y
Eucalyptus cordata subsp. quadrangulosa,,,,y,n,n,n,y
Eucalyptus delegatensis subsp. tasmaniensis,,,,y,n,n,n,y
Eucalyptus gunnii,,,,y,n,n,n,y
Eucalyptus gunnii subsp. divaricata,,,,y,n,n,n,y
Eucalyptus gunnii subsp. gunnii,,,,y,n,n,n,y
Eucalyptus johnstonii,,,,y,n,n,n,y
Eucalyptus morrisbyi,,,,y,n,n,n,y
Eucalyptus nebulosa,,,,,,,,
Eucalyptus nitida,,,,y,n,n,n,y
Eucalyptus pulchella,,,,y,n,n,n,y
Eucalyptus risdonii,,,,y,n,n,n,y
Eucalyptus rodwayi,,,,y,n,n,n,y
Eucalyptus subcrenulata,,,,y,n,n,n,y
Eucalyptus tenuiramis,,,,y,n,n,n,y
Eucalyptus urnigera,,,,y,n,n,n,y
Eucalyptus vernicosa,,,,y,n,n,n,y
Eucalyptus viminalis subsp. hentyensis,,,,,,,,
Euchiton lateralis,,,,,,,,
Euchiton litticola,,,,,,,,
Eucryphia lucida,,,,y,,,,n
Eucryphia milliganii,,,,y,,,,n
Eucryphia milliganii subsp. milliganii,,,,,,,,
Eucryphia milliganii subsp. pubescens,,,,,,,,
Euphrasia amphisysepala,,,,,,,,
Euphrasia collina subsp. deflexifolia,,,,,,,,
Euphrasia collina subsp. diemenica,,,,,,,,
Euphrasia collina subsp. Dukes Marshes (A.Moscal 861),,,,,,,,
Euphrasia collina subsp. gunnii,,,,,,,,
Euphrasia collina subsp. Northwest Tasmania (A.Visou 216),,,,,,,,
Euphrasia collina subsp. tasmanica,,,,,,,,
Euphrasia fragosa,,,,,,,,
Euphrasia gibbsiae subsp. comberi,,,,,,,,
Euphrasia gibbsiae subsp. discolor,,,,,,,,
Euphrasia gibbsiae subsp. gibbsiae,,,,,,,,
Euphrasia gibbsiae subsp. kingii,,,,,,,,
Euphrasia gibbsiae subsp. microdonta,,,,,,,,
Euphrasia gibbsiae subsp. Mt Anne (A.M.Buchanan 5109),,,,,,,,
Euphrasia gibbsiae subsp. Mt Field (W.R.Barker 1187),,,,,,,,
Euphrasia gibbsiae subsp. psilantherea,,,,,,,,
Euphrasia gibbsiae subsp. pulvinestris,,,,,,,,
Euphrasia gibbsiae subsp. wellingtonensis,,,,,,,,
Euphrasia hookeri,,,,n,,,,
Euphrasia phragmostoma,,,,,,,,
Euphrasia semipicta,,,,,,,,
Euphrasia sp. Bivouac Bay (W.R.Barker 7626 et al.),,,,,,,,
Euphrasia striata,,,,,,,,
Ewartia catipes,,,,,,,,
Ewartia meredithiae,,,,y,,,,
Ewartia planchonii,,,,,,,,
Exocarpos humifusus,,,,n,,,,
Festuca plebeia,,,,,,,,
Forstera bellidifolia,,,,,,,,
Gahnia rodwayi,,,,y,,,,
Gaimardia amblyphylla,,,,,,,,
Gaimardia fitzgeraldii,,,,,,,,
Gaimardia setacea,,,,,,,,
