name,species,lat_individual_tree,lon_individual_tree,ele_individual_tree,time_GPS_measurement
AC_a,Angophora costata,-33.37175698,151.321087,146.800995,2017-03-17T01:34:22Z
AC_b,Angophora costata,-33.371804,151.320982,151.654678,2017-03-17T02:41:20Z
AC_c,Angophora costata,-33.37174399,151.320916,149.814774,2017-03-17T02:38:51Z
AC_d,Angophora costata,-33.37170602,151.321023,151.857452,2017-05-17T03:02:34Z
BE_a,Banksia ericifolia,-33.37089197,151.318015,153.800415,2017-05-18T02:57:49Z
BE_b,Banksia ericifolia,-33.37086003,151.318069,155.314102,2017-05-18T03:53:39Z
BE_c,Banksia ericifolia,-33.370782,151.318057,156.61911,2017-05-18T03:55:34Z
BE_d,Banksia ericifolia,-33.37083497,151.318102,156.002151,2017-05-18T05:02:34Z
BE_e,Banksia ericifolia,-33.37070899,151.317859,157.240891,2017-05-29T01:31:30Z
BS_a,Banksia serrata,-33.372235,151.321169,149.791641,2017-04-06T02:33:19Z
BS_b,Banksia serrata,-33.37113596,151.320739,155.779907,2017-03-17T02:10:22Z
BS_c,Banksia serrata,-33.37059701,151.31813,157.125183,2017-05-12T01:16:49Z
BS_d,Banksia serrata,-33.37084997,151.317993,152.740417,2017-05-12T01:11:43Z
BS_e,Banksia serrata,-33.37058502,151.317994,164.380569,2017-05-18T01:20:13Z
CA_a,Callicoma serratifolia,-33.37093798,151.316327,111.010284,2017-03-17T03:45:17Z
CA_b,Callicoma serratifolia,-33.37101099,151.316342,108.208946,2017-03-17T03:53:31Z
CA_c,Callicoma serratifolia,-33.37101099,151.316342,108.208946,2017-03-17T03:53:31Z
CA_d,Callicoma serratifolia,-33.37107603,151.316276,112.334381,2017-05-22T03:43:02Z
CA_e,Callicoma serratifolia,-33.37471504,151.320675,65.729156,2017-03-17T04:53:56Z
CS_a,Ceratopetalum apetalum,-33.371717,151.318688,125.244858,2017-05-22T23:29:06Z
CS_b,Ceratopetalum apetalum,-33.37175799,151.318819,126.307648,2017-05-23T00:06:20Z
CS_c,Ceratopetalum apetalum,-33.37176302,151.318748,124.425034,2017-05-23T00:09:09Z
CS_d,Ceratopetalum apetalum,-33.37177601,151.318687,128.38205,2017-05-23T00:43:04Z
CS_e,Ceratopetalum apetalum,-33.37876098,151.323611,52.935707,2017-05-29T23:37:18Z
EH_a,Eucalyptus haemastoma,-33.37057396,151.318109,168.224716,2017-05-17T23:04:24Z
EH_b,Eucalyptus haemastoma,-33.37057396,151.318109,168.224716,2017-05-17T23:04:24Z
EH_c,Eucalyptus haemastoma,-33.37057396,151.318109,168.224716,2017-05-17T23:04:24Z
EH_d,Eucalyptus haemastoma,-33.37075802,151.31786,155.049988,2017-03-17T03:22:05Z
EH_e,Eucalyptus haemastoma,-33.37055703,151.318011,164.621902,2017-05-18T01:19:33Z
EP_a,Eucalyptus piperita,-33.37234698,151.321082,148.687256,2017-05-17T04:38:46Z
EP_b,Eucalyptus piperita,-33.37221597,151.321149,152.341354,2017-05-25T05:15:33Z
EP_c,Eucalyptus piperita,-33.371588,151.320783,167.320267,2017-05-18T05:18:34Z
EP_d,Eucalyptus piperita,-33.37149798,151.320847,164.803589,2017-05-18T05:55:54Z
EP_e,Eucalyptus piperita,-33.37128701,151.320906,160.500641,2017-05-25T03:40:59Z
ES_a,Endiandra sieberi,-33.37100596,151.316348,107.156029,2017-03-17T04:06:06Z
ES_b,Endiandra sieberi,-33.37095399,151.316315,88.708534,2017-05-22T04:41:44Z
ES_c,Endiandra sieberi,-33.37595204,151.322622,73.681747,2017-05-23T04:46:47Z
ES_d,Endiandra sieberi,-33.375946,151.322602,72.462471,2017-05-23T04:43:44Z
ES_e,Endiandra sieberi,-33.37878202,151.32368,48.787594,2017-05-30T00:44:27Z
LP_a,Leptospermum polygalifolium,-33.37247699,151.321234,136.603577,2017-03-17T00:46:30Z
LP_b,Leptospermum polygalifolium,-33.37174198,151.321011,158.355469,2017-05-17T02:16:51Z
LP_c,Leptospermum polygalifolium,-33.37236802,151.321017,149.092957,2017-05-17T04:39:59Z
LP_d,Leptospermum polygalifolium,-33.37077596,151.318057,156.61911,2017-05-18T03:55:34Z
LP_e,Leptospermum polygalifolium,-33.37089901,151.318104,163.71167,2017-05-29T00:42:35Z
PL_a,Persoonia linearis,-33.37406502,151.324407,121.587837,2017-05-15T23:34:00Z
PL_b,Persoonia linearis,-33.374105,151.324427,138.358459,2017-05-16T00:53:26Z
PL_c,Persoonia linearis,-33.37407399,151.324325,141.418625,2017-05-16T00:55:22Z
PL_d,Persoonia linearis,-33.37417399,151.323805,130.250183,2017-03-17T00:06:22Z
PL_e,Persoonia linearis,-33.37421003,151.323899,129.725418,2017-03-17T00:08:01Z
PU_a,Pittosporum undulatum,-33.37104804,151.316291,111.034775,2017-05-22T03:42:32Z
PU_b,Pittosporum undulatum,-33.37594097,151.322559,52.925301,2017-03-30T00:41:54Z
PU_c,Pittosporum undulatum,-33.37594097,151.322559,52.925301,2017-03-30T00:41:54Z
PU_d,Pittosporum undulatum,-33.37898796,151.324075,53.802097,2017-05-30T02:25:39Z
PU_e,Pittosporum undulatum,-33.37900297,151.324077,49.956932,2017-05-30T02:44:56Z
PU_f,Pittosporum undulatum,-33.37916097,151.324082,50.9175,2017-05-30T03:16:12Z
SA_a,Sloanea australis,-33.37484596,151.320762,68.038521,2017-05-23T02:37:27Z
SA_b,Sloanea australis,-33.37650399,151.322461,64.683975,2017-05-29T02:58:36Z
SA_c,Sloanea australis,-33.37647096,151.322454,60.74453,2017-05-29T03:43:50Z
SA_d,Sloanea australis,-33.37637801,151.322396,60.228394,2017-05-29T03:21:33Z
SA_e,Sloanea australis,-33.37634197,151.322492,57.131325,2017-05-29T04:03:20Z
SG_a,Syncarpia glomulifera,-33.37414498,151.324476,143.327332,2017-05-16T02:27:01Z
SG_b,Syncarpia glomulifera,-33.37409603,151.324438,144.659607,2017-05-16T02:29:18Z
SG_c,Syncarpia glomulifera,-33.374177,151.323731,154.012711,2017-05-16T04:00:25Z
SG_d,Syncarpia glomulifera,-33.37397098,151.323368,151.936234,2017-05-16T05:51:11Z
SG_e,Syncarpia glomulifera,-33.37238101,151.321042,148.920197,2017-05-17T04:39:19Z
SO_a,Syzygium oleosum,-33.37100697,151.31632,100.010422,2017-05-22T05:04:22Z
SO_b,Syzygium oleosum,-33.37889501,151.323785,57.20948,2017-05-30T00:08:10Z
SO_c,Syzygium oleosum,-33.37885897,151.323951,52.326408,2017-03-29T23:52:32Z
SO_d,Syzygium oleosum,-33.37911202,151.324083,47.761215,2017-05-30T02:53:53Z
SO_e,Syzygium oleosum,-33.37907597,151.32407,44.563953,2017-05-30T03:30:32Z
SYG_a,Synoum glandulosum,-33.37103304,151.316297,108.947968,2017-03-17T04:01:34Z
SYG_b,Synoum glandulosum,-33.37107997,151.316398,110.92646,2017-03-17T04:12:49Z
SYG_c,Synoum glandulosum,-33.37482199,151.320729,69.670578,2017-03-17T04:51:10Z
SYG_e,Synoum glandulosum,-33.379038,151.323925,45.920097,2017-04-27T05:50:57Z
SYG_f,Synoum glandulosum,-33.37899199,151.323808,45.63913,2017-05-30T04:05:48Z
TL_a,Trochocarpa laurina,-33.37098098,151.316302,107.44957,2017-03-17T03:55:08Z
TL_b,Trochocarpa laurina,-33.37904898,151.323807,44.42157,2017-05-30T04:33:45Z
