species,location,context,seed_N_content_ug_per_mg,seed_P_content_ug_per_mg,seed_K_content_ug_per_mg,seed_S_content_ug_per_mg,seed_Ca_content_ug_per_mg,seed_Mg_content_ug_per_mg,leaf_N_content_ug_per_mg,leaf_P_content_ug_per_mg,leaf_K_content_ug_per_mg,leaf_S_content_ug_per_mg,leaf_Ca_content_ug_per_mg,leaf_Mg_content_ug_per_mg,fruit_N_content_ug_per_mg,fruit_P_content_ug_per_mg,fruit_K_content_ug_per_mg,fruit_S_content_ug_per_mg,fruit_Ca_content_ug_per_mg,fruit_Mg_content_ug_per_mg,seed_mass,oil_content_%,seed_protein_method_1,seed_protein_method_2,seed_protein_method_3
Banksia coccinea,Heathland near South Stirling,cone,119,10.02,3.56,4.98,9.42,1.5,3.9,0.18,1.05,1,15.06,2.02,2.2,0.05,0.87,0.65,6.47,1.2,14,20,74.4,63.1,67.2
Banksia hookerana,Sandplain north of Eneabba,cone,107.1,12.03,6.39,5.77,15.58,1.98,5.9,0.2,1.96,1.45,17.85,2.09,1.8,0.08,1.5,0.7,3.01,0.78,38,19.5,66.9,59.3,55.8
Dryandra formosa,South-west of Chillitup,cone,112.3,9.86,7.02,5.1,13.1,1.83,5.6,0.22,2.06,2.2,12.81,1.62,1.7,0.08,1.66,1.05,5.2,0.99,10,20.1,70.2,63.7,61.3
Grevillea annulifera,70 km north of Murchison River,follicle,52,9.83,8.03,3.26,7.15,6.24,8.7,0.24,3.78,1.23,9.71,1.29,7.6,0.04,10.53,1.22,1.88,0.54,120,29.9,32.5,34.1,36
Grevillea leucopteris,Sandplain between Northampton and Ajana,follicle,30.4,9.72,5.68,2.79,24.5,5.21,8.5,0.29,4,1.5,53.26,1.61,6.1,0.05,10.77,1.18,4.55,0.59,46,31,19,15.5,14.4
Hakea platysperma,Sandplain south of Tammin,capsule,96.1,21.63,9.77,7.62,3.36,8.19,5.3,0.43,4.52,2.71,9.99,1.83,1.5,0.06,1.68,0.47,0.77,0.45,298,25.3,60.1,43.1,45.7
Hakea victoriae,Private property west of Hopetoun,capsule,111.8,13.69,5.54,5.54,23.59,5.67,2.8,0.05,1.46,0.58,9.2,1.15,1.9,0.03,1.66,0.64,1.51,0.79,28,16.1,69.9,63.6,66.5
Xylomelum angustifolium,Sandplain south of Eneabba,follicle,107.7,19.59,12.86,1.29,4.37,7.31,9.3,0.35,3.28,1.37,6.96,2.44,2.5,0.04,4.45,0.61,0.93,0.98,756,13.8,67.3,61.2,61.3
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,n,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,n,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
