taxon_name,entity_type,entity_context,location_name,trait,trait_value_raw,trait_value,trait_value_clean,value_type,unit,error_type,error_value,n,context,source_section,notes,collection_date,basis_of_record
Tetratheca paynterae subsp. paynterae,population,,Windarling Range,flower_lifespan,"pendulous and open for at least 3 days, and usually longer, and stay open overnight",,3,minimum,d,,,,,"Methods, Study species and area, p.250",,unknown,field
Tetratheca paynterae subsp. paynterae,population,,Windarling Range,flower_nectar_production,The flowers do not produce nectar,nectar_absent,nectar_absent,mode,,,,,,"Methods, Study species and area, p.250",,unknown,field
Tetratheca paynterae subsp. paynterae,population,,Windarling Range,flower_anther_dehiscence,pollen is held within tubular poricidal anthers that form a ring surrounding the flower style,poricidal,poricidal,mode,,,,,,"Methods, Study species and area, p.250","Methods states floral morphology and bee behaviour at flowers are similar for all four taxa (p.250), so this is likely to apply to T. aphylla, T. paynterae subsp. cremnobata and T. harperi as well, though only explicitly described for T. paynterae subsp. paynterae Poricidal anther dehiscence is the mechanism underlying the buzz-pollination trait proposed separately (see the 'buzz_pollination' candidate-trait rows).",unknown,field
Tetratheca paynterae subsp. paynterae,population,,Windarling Range,flower_pollinator_reward,pollen is held within tubular poricidal anthers ... Bees alight on the flowers and grasp the anthers with their thorax while they vibrate them,pollen,pollen,mode,,,,,,"Methods, Study species and area, p.250",Flowers do not produce nectar; pollen is the only reward,unknown,field
Tetratheca paynterae subsp. paynterae,population,,Windarling Range,flower_ovules_per_functional_carpel_count,2,,2,raw,{count},,,,,"Results, Pollination 2010-11, p.252",Stated as: pollen tube numbers 'completely sufficient to fertilise the two ovules in each flower',2010/2011,field
Tetratheca paynterae subsp. paynterae,population,,Windarling Range,pollination_vector_known,The Tetratheca species are buzz pollinated,bee,bee,mode,,,,,,"Abstract, p.248; Introduction, p.249; Table 2, p.251","AusTraits vocabulary has no dedicated 'buzz' pollination term; mapped to the generic 'bee' vector under pollination_vector_known (not pollination_syndrome) because the evidence is direct field observation, not floral-morphology inference: bees were seen visiting flowers and sonicating/vibrating the anthers, and captured bees (Table 2) carried predominantly Tetratheca pollen. Bees identified carrying predominantly Tetratheca pollen were species of Lasioglossum (subgenus Chilalictus), plus one Megachile hackeriapis (Table 2, T. paynterae subsp. paynterae only)",2010,field
Tetratheca paynterae subsp. cremnobata,population,,Diehardy Range,pollination_vector_known,The Tetratheca species are buzz pollinated,bee,bee,mode,,,,,,"Abstract, p.248; Introduction, p.249","AusTraits vocabulary has no dedicated 'buzz' pollination term; mapped to the generic 'bee' vector under pollination_vector_known (not pollination_syndrome). The direct observation/pollen-load evidence (Table 2, p.251) is specifically for T. paynterae subsp. paynterae only; for this taxon the 'buzz pollinated' claim rests on the Abstract/Introduction's general statement plus the Methods (p.250) generalisation that floral morphology and bee behaviour at flowers are similar for the four taxa, not on taxon-specific field data.",unknown,field
Tetratheca aphylla,population,,Helena and Aurora Ranges,pollination_vector_known,The Tetratheca species are buzz pollinated,bee,bee,mode,,,,,,"Abstract, p.248; Introduction, p.249","AusTraits vocabulary has no dedicated 'buzz' pollination term; mapped to the generic 'bee' vector under pollination_vector_known (not pollination_syndrome). The direct observation/pollen-load evidence (Table 2, p.251) is specifically for T. paynterae subsp. paynterae only; for this taxon the 'buzz pollinated' claim rests on the Abstract/Introduction's general statement plus the Methods (p.250) generalisation that floral morphology and bee behaviour at flowers are similar for the four taxa, not on taxon-specific field data.",unknown,field
Tetratheca harperi,population,,Jackson Range,pollination_vector_known,The Tetratheca species are buzz pollinated,bee,bee,mode,,,,,,"Abstract, p.248; Introduction, p.249","AusTraits vocabulary has no dedicated 'buzz' pollination term; mapped to the generic 'bee' vector under pollination_vector_known (not pollination_syndrome). The direct observation/pollen-load evidence (Table 2, p.251) is specifically for T. paynterae subsp. paynterae only; for this taxon the 'buzz pollinated' claim rests on the Abstract/Introduction's general statement plus the Methods (p.250) generalisation that floral morphology and bee behaviour at flowers are similar for the four taxa, not on taxon-specific field data.",unknown,field
Tetratheca paynterae subsp. paynterae,population,Lasioglossum castor,Windarling Range,pollination_vector_possible,Lasioglossum castor (5 individuals examined); only Tetratheca pollen carried,bee,bee,mode,,,,5,,"Table 2, p.251",,2010,field
