Plant sp,pollinator family,Pollinator sp,type of evidence,trait class,source,source_ID
Thysanotus manglesianus,Kateretidae,Notobrachypterus sp.,Pollen load,3,"Ladd PG, Eakin-Busher E 2023. Development of a facultative brood pollination mutualism in Thysanotus (Asparagaceae) Flora 299, 152227",Ladd_2023
Thysanotus manglesianus,Colletiae,Leioproctus sp.,observation,2,"Ladd PG, Eakin-Busher E 2023. Development of a facultative brood pollination mutualism in Thysanotus (Asparagaceae) Flora 299, 152228",Ladd_2023
Thysanotus manglesianus,Halictidae,Lasioglossum sp.,observation,2,"Ladd PG, Eakin-Busher E 2023. Development of a facultative brood pollination mutualism in Thysanotus (Asparagaceae) Flora 299, 152229",Ladd_2023
Thysanotus patersonii,Kateretidae ,Notobrachypterus sp.,observation,2,"Ladd PG, Eakin-Busher E 2023. Development of a facultative brood pollination mutualism in Thysanotus (Asparagaceae) Flora 299, 152228",Ladd_2023
Thysanotus patersonii,Colletiae,Leioproctus sp.,observation,2,,
Verticordia staminosa,apidae,apis mellifera,observation,2,"Yates CJ and Ladd PG (2004) Breeding system, pollination and demography in the rare granite endemic shrub Verticordia staminosa ssp. staminosa in south-west Western Australia Austral Ecology 29, 189-200.", Yates_2004
Verticordia staminosa,Meliphagidae,Lichenostomus virescens,observation,2,"Yates CJ and Ladd PG (2004) Breeding system, pollination and demography in the rare granite endemic shrub Verticordia staminosa ssp. staminosa in south-west Western Australia Austral Ecology 29, 189-200.", Yates_2004
Richea spengelioides,abiotic,wind,observation,2,"Ladd, P.G. (2006) Is there wind pollination in the southern heaths (Styphelioideae, Ericaceae)? Botanische Jahrbucher 127, 57-67.",Ladd_2006
R. procera,abiotic,wind,observation,2,"Ladd, P.G. (2006) Is there wind pollination in the southern heaths (Styphelioideae, Ericaceae)? Botanische Jahrbucher 127, 57-67.",Ladd_2006
R victoriana,abiotic,wind,observation,2,"Ladd, P.G. (2006) Is there wind pollination in the southern heaths (Styphelioideae, Ericaceae)? Botanische Jahrbucher 127, 57-67.",Ladd_2006
Conostephium pendulum,Colletiae,Leioproctus sp. F134,observation,2,"Houston, T. F. and Ladd, P.G. (2002) Buzz pollination in the Epacridaceae Australian Journal of Botany. 50, 83-91.",Houston_2002
Conostephium drummondii,Colletiae,Leioproctus sp. F467,observation,2,"Houston, T. F. and Ladd, P.G. (2002) Buzz pollination in the Epacridaceae Australian Journal of Botany. 50, 83-91.",Houston_2002
Conostephium minus,Colletiae,Leioproctus sp. F467,observation,2,"Houston, T. F. and Ladd, P.G. (2002) Buzz pollination in the Epacridaceae Australian Journal of Botany. 50, 83-91.",Houston_2002
Conostephium roei,"Colletiae, Halictidae","Leioproctus sp. F467, Lasioglossum (Parasphecodes)",observation,2,"Houston, T. F. and Ladd, P.G. (2002) Buzz pollination in the Epacridaceae Australian Journal of Botany. 50, 83-91.",Houston_2002
Thysanotus multiflorus,apidae,Amegilla chlorocynea,observation,2,"Eakin-Busher EL, Fontaine JB, Ladd PG. (2016) The bees don’t know and the flowers don’t care: the effect of heterospecific pollen on reproduction in co-occurring Thysanotus species (Asparagaceae) with similar flowers. Botanical Journal of the Linnean Society 181, 640-650.",Eakin-Busher_2016
Thysanotus triandrus,apidae,Amegilla chlorocynea,observation,2,"Eakin-Busher EL, Fontaine JB, Ladd PG. (2016) The bees don’t know and the flowers don’t care: the effect of heterospecific pollen on reproduction in co-occurring Thysanotus species (Asparagaceae) with similar flowers. Botanical Journal of the Linnean Society 181, 640-650.",Eakin-Busher_2016
Tetratheca paynterae ssp paynterae,Halictidae,Lasioglossum castor,bee pollen load,3,"Ladd PG, Yates CJ, Dillon R, Palmer R 2019. Pollination ecology of Tetratheca species from isolated, arid habitats (Banded Iron Formations) in Western Australia. Australian Journal of Botany 67, 248-255.",Ladd_2019
Tetratheca paynterae ssp paynterae,Halictidae,Lasioglossum chapmanii,bee pollen load,3,"Ladd PG, Yates CJ, Dillon R, Palmer R 2019. Pollination ecology of Tetratheca species from isolated, arid habitats (Banded Iron Formations) in Western Australia. Australian Journal of Botany 67, 248-255.",Ladd_2019
Tetratheca paynterae ssp paynterae,Halictidae,Lasioglossum ebeneum,bee pollen load,3,"Ladd PG, Yates CJ, Dillon R, Palmer R 2019. Pollination ecology of Tetratheca species from isolated, arid habitats (Banded Iron Formations) in Western Australia. Australian Journal of Botany 67, 248-255.",Ladd_2019
Tetratheca paynterae ssp paynterae,Halictidae,Lasioglossum erythrurum,bee pollen load,3,"Ladd PG, Yates CJ, Dillon R, Palmer R 2019. Pollination ecology of Tetratheca species from isolated, arid habitats (Banded Iron Formations) in Western Australia. Australian Journal of Botany 67, 248-255.",Ladd_2019
Patersonia occidentalis,apidae,apis mellifera,observation,2,"Eakin-Busher EL, Ladd PG, Fontaine JB, Standish RJ. 2020. Mating strategies dictate the importance of insect visits to native plants in urban fragments. Australian Journal of Botany 68, 26-36.",Eakin-Busher_2020
Hemiandra pungens,apidae,apis mellifera,observation,2,"Eakin-Busher EL, Ladd PG, Fontaine JB, Standish RJ. 2020. Mating strategies dictate the importance of insect visits to native plants in urban fragments. Australian Journal of Botany 68, 26-36.",Eakin-Busher_2020
Trichoryne elatior,apidae,apis mellifera,observation,2,"Eakin-Busher EL, Ladd PG, Fontaine JB, Standish RJ. 2020. Mating strategies dictate the importance of insect visits to native plants in urban fragments. Australian Journal of Botany 68, 26-36.",Eakin-Busher_2020
Dianella revoluta,apidae,Amegilla chlorocynea,observation,2,"Eakin-Busher EL, Ladd PG, Fontaine JB, Standish RJ. 2020. Mating strategies dictate the importance of insect visits to native plants in urban fragments. Australian Journal of Botany 68, 26-36.",Eakin-Busher_2020
