SPECIES,growth form,height (cm),plant longevity,leaf area (mm2),storage organ present,diaspore weight (mg),seed mass (mg),plant_height_duplicate,height (cm)_filtered
Atriplex pseudocampanulata,subshrub,30,annual,100,0,1.695,0.4912,NA,30
Actinobole uliginosum,forb,2,annual,15,0,0.0995,0.0995,NA,2
Alternanthera denticulata,forb,30,annual,160,0,0.415,0.415,Duplicate of WAH_1998_0133,NA
Capsella bursapastoris,forb,40,annual,2667,0,0.808,0.808,NA,40
Chenopodium cristatum,forb,40,annual,133,0,0.512,0.512,NA,40
Chenopodium melanocarpum,forb,10,annual,133,0,0.2856,0.2856,NA,10
Chthonocephalus pseudevax,forb,2,annual,10,0,0.0599,0.0599,NA,2
Crassula colorata,forb,10,annual,2,0,0.01,0.01,NA,10
Cuphonotus humistratus,forb,25,annual,133,0,0,0,Duplicate of WAH_1998_1482,NA
Dysphania littoralis,forb,5,annual,14,0,0.019,0.019,NA,5
Gnephosis foliata,forb,30,annual,17,0,0.029,0.029,NA,30
Harmsiodoxa blennodioides,forb,30,annual,800,0,0.4225,0.4225,NA,30
Isoetopsis graminifolia,forb,5,annual,40,0,0.9,0.9,Duplicate of WAH_1998_3440,NA
Lepidium oxytrichum,forb,30,annual,40,0,0.8193,0.8193,Duplicate of WAH_1998_3678,NA
Nicotiana simulans,forb,50,annual,0,0,0.107,0.107,NA,50
Nicotiana velutina,forb,100,annual,6667,0,0.1,0.1,NA,100
Phyllanthus rhytidospermus,forb,20,annual,13,0,1.868,1.868,NA,20
Plantago cunninghamii,forb,30,annual,480,0,0.77,0.77,NA,30
Plantago turrifera,forb,30,annual,480,0,0.38,0.38,NA,30
Portulaca intraterranea,forb,30,annual,87,0,0,0,NA,30
Portulaca oleracea,forb,10,annual,75,0,0.074,0.074,NA,10
Alyssum linifolium,forb,16,annual,40,0,0.1603,0.1603,NA,16
Argemone ochroleuca,forb,75,annual,4333,0,2.209,2.209,NA,75
