species,seed mass (mg)
Drosera peltata,0.0088
Wahlenbergia sp.,0.0177
Epacris microphylla,0.02
Baeckea imbricata,0.0269
Mitrasacme polymorpha,0.0293
Epacris obtusifolia,0.03
Baeckea diosmifolia,0.0355
Baeckea brevifolia,0.0552
Helichrysum diosmifolium,0.0567
Epacris pulchella,0.0595
Kunzea capitata,0.0664
Poranthera microphylla,0.0969
Leptospermum flavescens,0.1033
Xyris gracilis,0.105
Epacris longiflora,0.1155
Stylidium lineare,0.1201
Pratia purpurescens,0.1534
Leptospermum juniperinum,0.1569
Senecio minimus,0.1647
Cyperus tetraphyllus,0.18
Leptospermum attenuatum,0.185
Woollsia pungens,0.2085
Senecio bipinnatisectus,0.2133
Lepyrodia scariosa,0.2277
Baeckea ramosissima,0.2326
Poa compressa,0.2894
Hydrocotyle acutiloba,0.2911
Vernonia cinerea,0.293
Rubus parvifolius,0.3296
Oxalis exilis,0.3397
Oxalis chnoodes,0.3408
Logania pusilla,0.3466
Cryptandra ericoides,0.3502
Platysace stephensonii,0.3731
Galium propinquum,0.3907
Poranthera ericifolia,0.3991
Bauera rubioides,0.4137
Restio fastigiatus,0.4193
Eucalyptus saligna,0.4272
Lagenophera stipitata,0.4442
Galium binifolium,0.4668
Opercularia aspera,0.4753
Helichrysum elatum,0.5181
Syncarpia glomulifera,0.5181
Cryptandra amara,0.52
Schoenus melanostachys,0.5346
Platysace linearifolia,0.5744
Pomaderris sp.,0.5787
Goodenia bellidifolia,0.5824
Leucopogon appressus,0.5907
Schoenus ericetorum,0.5917
Leucopogon microphyllus,0.5943
Restio dimorphus,0.6158
Viola hederacea,0.6342
Carex breviculmis,0.6415
Goodenia ovata,0.6978
Echinopogon caespitosus,0.7209
Paspalidium sp.,0.7484
Arthropodium milleflorum,0.7566
Eucalyptus pellita,0.76
Actinotus minor,0.7989
Eucalyptus umbra,0.8037
Rubus hillii,0.814
Scutellaria mollis,0.8156
Boronia serrulata,0.8519
Oplismenus aemula,0.8785
Solanum pungetium,0.897
Thysanotus juncifolius,0.9753
Carex appressa,1.0009
Hemigenia purpurea,1.0212
Sigesbeckia orientalis,1.0599
Pomax umbellata,1.0695
Eucalyptus piperita,1.0751
Aneilema acuminatum,1.1109
Gonocarpus teucrioides,1.1229
Calytrix tetragona,1.1585
Hybanthus monopetalus,1.1775
Schoenus imberbis,1.1842
Lasiopetalum ferrugineum,1.241
Phebalium squamulosum,1.3202
Caesia vittata,1.3746
Zieria smithii,1.3766
Eucalyptus globoidea,1.4184
Xanthosia tridentata,1.419
Hibbertia riparia,1.445
Dichondra repens,1.451
Hibbertia serpyllifolia,1.4602
Bursaria spinosa,1.4778
Patersonia sericea,1.4805
Xanthosia pilosa,1.494
Phyllanthus thymoides,1.5009
Monotoca scoparia,1.5097
Leptocarpus tenax,1.5159
Comesperma volubile,1.6086
Entolasia stricta,1.6387
Boronia pinnata,1.6509
Geranium homeanum,1.6724
Tricostularia pauciflora,1.6758
Eucalyptus sieberi,1.758
Eucalyptus haemostoma,1.7942
Desmodium rhytidophyllum,1.8113
Darwinia fascicularis,1.8885
Tetratheca ericifolia,1.95
Comesperma sphaerocarpum,2.0248
Burchardia umbellata,2.0581
Conospermum ellipticum,2.0853
Thysanotus tuberosus,2.1046
Eucalyptus pilularis,2.1485
Pultenea elliptica,2.1567
Acronychia oblongifolia,2.167
Eucalyptus obtusiflora,2.24
Schoenus sp.A,2.254
Conospermum ericifolium,2.2711
Billardiera scandens,2.3247
Hibbertia aspera,2.4902
Caesia parviflora,2.5494
Stackhousia viminea,2.5605
Gompholobium glabratum,2.709
Pimelea linifolia,2.7879
Blandfordia nobilis,2.8215
Isopogon anethifolius,2.83
Lepidosperma laterale,2.8479
Brachyloma daphnoides,2.862
Mirbelia rubiifolia,2.9472
Phyllota phylicoides,2.9607
Clematis aristata,2.9636
Pseuderanthemum variabile,3.093
Casuarina torulosa,3.1136
Zieria laevigata,3.1154
Casuarina littoralis,3.1193
Dillwynia rudis,3.1304
Clematis glycinoides,3.1804
Leucopogon lanceolatus,3.218
Casuarina distyla,3.2934
Micrantheum ericoides,3.3066
Astrotricha floccosa,3.3441
Hibbertia nitida,3.372
Hybanthus vernonii,3.4701
Aotus ericoides,3.5793
Gompholobium grandiflorum,3.6615
Hibbertia bracteata,3.684
Polyscias sambucifolia,3.7014
Hibbertia empetrifolia,3.7541
Geitonoplesium cymosum,3.7758
Tetrarrhena juncea,3.8258
Lomandra obliqua,3.9246
Isopogon anemonifolius,4.08
Gahnia melanocarpa,4.1769
Glycine clandestina,4.2018
Darwinia grandiflora,4.3647
Conospermum longifolium,4.7289
Leucopogon amplexicaulis,4.9252
Lepidosperma flexulosum,4.9938
Pimelea latifolia,5.0278
Cyathochaeta diandra,5.0356
Schelhammera undulata,5.0685
Lomandra glauca,5.2076
Pandorea pandorana,5.2148
Platylobium formosum,5.3148
Morinda jasminoides,5.4448
Lomandra filiformis,5.4624
Dillwynia retorta,5.5006
Hibbertia linearis,5.5422
Dampiera stricta,5.7416
Pultenea flexilis,5.8764
Pittosporum undulatum,5.8931
Lepidosperma urophorum,5.9735
Tetratheca shiresii,6.1848
Patersonia glabrata,6.2531
Microlaena stipoides,6.3934
Leucopogon esquamatus,6.4236
Zieria pilosa,6.5734
Cordyline stricta,6.6408
Dianella cerulea,6.7503
Cassytha glabella,6.8121
Hibbertia dentata,6.885
Euodia micrococca,7.0056
Acacia floribunda,7.0278
Leucopogon juniperinus,7.2192
Eucalyptus gummifera,7.3206
Pultenea linophylla,7.332
Philotheca salsifolia,7.5127
Citriobatus pauciflorus,7.544
Doryphora sassafras,7.675
Hibbertia scandens,7.7635
Stipa rudis,7.82
Breynia oblongifolia,7.828
Lomandra multiflora,7.847
Petrophile pulchella,7.9794
Eupomatia laurina,8.1504
Xanthorrhoea media,8.8576
Boronia ledifolia,9.0924
Pultenea stipularis,9.2798
Lepidosperma sp.,9.3023
Haemodorum corymbosum,9.9031
Claoxylon australe,9.999
Caustis flexuosa,10.0147
Tylophora barbata,10.1643
