Species,site,GF,SLA (cm2/g),n_mass,p_mass,amass (nmol g-1 s-1),aarea (umolm-2s-1),gs (molm-2s-1),Rd (umol m-2 s-1),Replicate,plant type,Cond,Gmass
Grevillea laurifolia,BlueMtns,Climber,60.16819999,0.9418,NA,133.97,13.36,0.3286,0.8968,NA,NA,NA,NA
Dianella caerulea,BlueMtns,herb,72.08996876,1.3782,NA,74.47,6.198,0.0785,0.6008,NA,NA,NA,NA
Mirbelia platylaboides,BlueMtns,herb,57.41201578,1.532,NA,96.76,11.349,0.228858923,0.44329167,NA,NA,NA,NA
Symphonemia montana,BlueMtns,herb,92.5390885,1.0232,NA,138.64,8.616,0.153162105,0.917748092,NA,NA,NA,NA
Acacia rubida,BlueMtns,Shrub,95.77984158,3.1632,NA,156.77,13.913,0.248277933,1.12525418,NA,NA,NA,NA
Olearia asterotricha,BlueMtns,Shrub,80.16263001,1.5428,NA,140.71,11.165,0.159620692,1.003690893,NA,NA,NA,NA
Persoonia myrtilloides subsp. Myrtilloides,BlueMtns,Shrub,58.87114301,1.1084,NA,126.5,12.986,0.126290318,0.624971425,NA,NA,NA,NA
Pittosporum undulatum,BlueMtns,tree,200.7239599,1.8692,NA,248.76,7.436,0.05618,0.9274,NA,NA,NA,NA
Eucalyptus seberi,BlueMtns,tree,52.20394348,1.3506,NA,154.7,17.78,0.3434,0.867,NA,NA,NA,NA
Glycine microphylla,CPW,Climber,155.3882895,3.6098,NA,506.8351592,18.59879381,0.266661989,1.515807585,NA,NA,NA,NA
Hardenbergia violacea,CPW,Climber,127.3574368,3.1772,NA,429.6190868,20.24,0.423,1.1934,NA,NA,NA,NA
Microlaena stipoides,CPW,Grass,339.5110107,2.8896,NA,453.0641399,19.05547409,0.550787261,1.199286613,NA,NA,NA,NA
Brunoniella australis,CPW,herb,148.6658507,3.9876,NA,390.1679182,14.8921081,0.235835732,1.156539455,NA,NA,NA,NA
Dichondra repens,CPW,herb,227.7146125,3.259,NA,538.6125456,18.06941556,0.319490309,0.919346744,NA,NA,NA,NA
