Date,Site,Position,Spp,Branchno,IndividualLeafnumber,Area,DryweightGroup,Date dryweight
24-Apr,F13N,Top,BoFol,1,1,12.415,0.013,30-Apr
24-Apr,F13N,Top,BoFol,1,2,9.73,,30-Apr
24-Apr,F13N,Top,BoFol,1,3,9.842,,30-Apr
24-Apr,F13N,Top,BoFol,1,4,10.402,,30-Apr
24-Apr,F13N,Top,BoFol,1,5,11.073,,30-Apr
24-Apr,F13N,Top,BoFol,1,6,12.415,,30-Apr
24-Apr,F13N,Top,BoFol,1,7,12.527,,30-Apr
24-Apr,F13N,Top,BoFol,1,8,11.296,,30-Apr
24-Apr,F13N,Top,BoFol,1,9,6.934,,30-Apr
24-Apr,F13N,Top,BoFol,1,10,7.494,,30-Apr
24-Apr,F13N,Top,BoFol,1,11,11.073,,30-Apr
24-Apr,F13N,Top,BoFol,1,12,10.402,,30-Apr
24-Apr,F13N,Top,BoFol,2,1,12.03,0.013,30-Apr
24-Apr,F13N,Top,BoFol,2,2,8.388,,30-Apr
24-Apr,F13N,Top,BoFol,2,3,10.044,,30-Apr
24-Apr,F13N,Top,BoFol,2,4,11.258,,30-Apr
24-Apr,F13N,Top,BoFol,2,5,11.147,,30-Apr
24-Apr,F13N,Top,BoFol,2,6,11.037,,30-Apr
24-Apr,F13N,Top,BoFol,2,7,8.83,,30-Apr
24-Apr,F13N,Top,BoFol,2,8,8.498,,30-Apr
24-Apr,F13N,Top,BoFol,2,9,10.375,,30-Apr
24-Apr,F13N,Top,BoFol,2,10,10.927,,30-Apr
24-Apr,F13N,Top,BoFol,2,11,9.602,,30-Apr
24-Apr,F13N,Top,BoFol,2,12,11.368,,30-Apr
24-Apr,F13N,Top,BoFol,2,13,8.278,,30-Apr
24-Apr,F13N,Top,BoFol,3,1,5.96,0.011,30-Apr
24-Apr,F13N,Top,BoFol,3,2,6.181,,30-Apr
24-Apr,F13N,Top,BoFol,3,3,5.739,,30-Apr
24-Apr,F13N,Top,BoFol,3,4,4.746,,30-Apr
24-Apr,F13N,Top,BoFol,3,5,8.057,,30-Apr
24-Apr,F13N,Top,BoFol,3,6,7.395,,30-Apr
24-Apr,F13N,Top,BoFol,3,7,5.187,,30-Apr
24-Apr,F13N,Top,BoFol,3,8,4.525,,30-Apr
24-Apr,F13N,Top,BoFol,3,9,4.967,,30-Apr
24-Apr,F13N,Top,BoFol,3,10,8.057,,30-Apr
24-Apr,F13N,Top,BoFol,3,11,6.181,,30-Apr
24-Apr,F13N,Top,BoFol,3,12,6.181,,30-Apr
24-Apr,F13N,Top,BoFol,3,13,6.843,,30-Apr
24-Apr,F13N,Top,BoFol,3,14,7.505,,30-Apr
24-Apr,F13N,Top,BoFol,3,15,4.746,,30-Apr
24-Apr,F13N,Top,BoFol,3,16,5.408,,30-Apr
24-Apr,F13N,Top,OlFro,1,1,107.168,0.094,30-Apr
24-Apr,F13N,Top,OlFro,1,2,100.436,,30-Apr
24-Apr,F13N,Top,OlFro,1,3,109.486,,30-Apr
24-Apr,F13N,Top,OlFro,1,4,102.202,,30-Apr
24-Apr,F13N,Top,OlFro,1,5,101.76,,30-Apr
24-Apr,F13N,Top,OlFro,1,6,101.098,,30-Apr
24-Apr,F13N,Top,OlFro,2,1,105.292,0.069,30-Apr
24-Apr,F13N,Top,OlFro,2,2,125.49,,30-Apr
24-Apr,F13N,Top,OlFro,2,3,117.102,,30-Apr
24-Apr,F13N,Top,OlFro,2,4,110.148,,30-Apr
24-Apr,F13N,Top,OlFro,2,5,123.172,,30-Apr
24-Apr,F13N,Top,OlFro,3,1,79.466,0.069,30-Apr
24-Apr,F13N,Top,OlFro,3,2,80.68,,30-Apr
24-Apr,F13N,Top,OlFro,3,3,100.215,,30-Apr
24-Apr,F13N,Top,OlFro,3,4,108.272,,30-Apr
24-Apr,F13N,Top,OlFro,3,5,55.957,,30-Apr
24-Apr,F13N,Top,OlFro,3,6,74.61,,30-Apr
24-Apr,F13N,Mid,BoFol,1,1,9.161,0.011,30-Apr
24-Apr,F13N,Mid,BoFol,1,2,11.699,,30-Apr
24-Apr,F13N,Mid,BoFol,1,3,10.816,,30-Apr
24-Apr,F13N,Mid,BoFol,1,4,4.967,,30-Apr
24-Apr,F13N,Mid,BoFol,1,5,9.381,,30-Apr
24-Apr,F13N,Mid,BoFol,1,6,6.401,,30-Apr
24-Apr,F13N,Mid,BoFol,1,7,5.739,,30-Apr
24-Apr,F13N,Mid,BoFol,1,8,9.933,,30-Apr
24-Apr,F13N,Mid,BoFol,1,9,8.609,,30-Apr
24-Apr,F13N,Mid,BoFol,1,10,6.512,,30-Apr
24-Apr,F13N,Mid,BoFol,1,11,7.395,,30-Apr
24-Apr,F13N,Mid,BoFol,1,12,7.836,,30-Apr
24-Apr,F13N,Mid,BoFol,2,1,9.161,0.014,30-Apr
24-Apr,F13N,Mid,BoFol,2,2,9.712,,30-Apr
24-Apr,F13N,Mid,BoFol,2,3,15.452,,30-Apr
24-Apr,F13N,Mid,BoFol,2,4,9.271,,30-Apr
24-Apr,F13N,Mid,BoFol,2,5,10.706,,30-Apr
24-Apr,F13N,Mid,BoFol,2,6,13.686,,30-Apr
24-Apr,F13N,Mid,BoFol,2,7,12.03,,30-Apr
24-Apr,F13N,Mid,BoFol,2,8,10.264,,30-Apr
24-Apr,F13N,Mid,BoFol,2,9,12.472,,30-Apr
24-Apr,F13N,Mid,BoFol,2,10,12.03,,30-Apr
24-Apr,F13N,Mid,BoFol,2,11,12.582,,30-Apr
24-Apr,F13N,Mid,BoFol,2,12,12.141,,30-Apr
24-Apr,F13N,Mid,BoFol,3,1,10.927,0.02,30-Apr
24-Apr,F13N,Mid,BoFol,3,2,11.258,,30-Apr
24-Apr,F13N,Mid,BoFol,3,3,9.492,,30-Apr
24-Apr,F13N,Mid,BoFol,3,4,10.485,,30-Apr
24-Apr,F13N,Mid,BoFol,3,5,6.843,,30-Apr
24-Apr,F13N,Mid,BoFol,3,6,9.933,,30-Apr
24-Apr,F13N,Mid,BoFol,3,7,10.816,,30-Apr
24-Apr,F13N,Mid,BoFol,3,8,7.395,,30-Apr
24-Apr,F13N,Mid,BoFol,3,9,9.05,,30-Apr
24-Apr,F13N,Mid,BoFol,3,10,10.816,,30-Apr
24-Apr,F13N,Mid,BoFol,3,11,6.733,,30-Apr
24-Apr,F13N,Mid,BoFol,3,12,10.154,,30-Apr
24-Apr,F13N,Mid,BoFol,3,13,11.037,,30-Apr
24-Apr,F13N,Mid,BoFol,3,14,8.719,,30-Apr
24-Apr,F13N,Mid,BoFol,3,15,7.836,,30-Apr
24-Apr,F13N,Mid,BoFol,3,16,8.94,,30-Apr
24-Apr,F13N,Mid,BoFol,3,17,8.167,,30-Apr
24-Apr,F13N,Mid,BoFol,3,18,9.602,,30-Apr
24-Apr,F13N,Mid,BoFol,3,19,10.706,,30-Apr
24-Apr,F13N,Mid,OlFro,3,1,169.306,0.111,30-Apr
24-Apr,F13N,Mid,OlFro,3,2,139.948,,30-Apr
24-Apr,F13N,Mid,OlFro,3,3,172.617,,30-Apr
24-Apr,F13N,Mid,OlFro,3,4,147.343,,30-Apr
24-Apr,F13N,Mid,OlFro,3,5,123.062,,30-Apr
24-Apr,F13N,Mid,OlFro,3,6,177.032,,30-Apr
24-Apr,F13N,Mid,OlFro,1,1,138.072,0.08,30-Apr
24-Apr,F13N,Mid,OlFro,1,2,152.309,,30-Apr
24-Apr,F13N,Mid,OlFro,1,3,120.302,,30-Apr
24-Apr,F13N,Mid,OlFro,1,4,168.092,,30-Apr
24-Apr,F13N,Mid,OlFro,1,5,166.216,,30-Apr
24-Apr,F13N,Mid,OlFro,2,1,187.738,0.162,30-Apr
24-Apr,F13N,Mid,OlFro,2,2,201.424,,30-Apr
24-Apr,F13N,Mid,OlFro,2,3,222.725,,30-Apr
24-Apr,F13N,Mid,OlFro,2,4,222.504,,30-Apr
24-Apr,F13N,Mid,OlFro,2,5,189.283,,30-Apr
24-Apr,F13N,Mid,OlFro,2,6,213.675,,30-Apr
24-Apr,F13N,Bottom,KuMue,1,1,3.09,0.008,30-Apr
24-Apr,F13N,Bottom,KuMue,1,2,4.636,,30-Apr
24-Apr,F13N,Bottom,KuMue,1,3,3.973,,30-Apr
24-Apr,F13N,Bottom,KuMue,1,4,3.201,,30-Apr
24-Apr,F13N,Bottom,KuMue,1,5,3.753,,30-Apr
24-Apr,F13N,Bottom,KuMue,1,6,5.077,,30-Apr
24-Apr,F13N,Bottom,KuMue,1,7,3.863,,30-Apr
24-Apr,F13N,Bottom,KuMue,1,8,3.09,,30-Apr
24-Apr,F13N,Bottom,KuMue,1,9,3.311,,30-Apr
24-Apr,F13N,Bottom,KuMue,1,10,3.753,,30-Apr
24-Apr,F13N,Bottom,KuMue,1,11,2.428,,30-Apr
24-Apr,F13N,Bottom,KuMue,1,12,3.311,,30-Apr
24-Apr,F13N,Bottom,KuMue,1,13,2.318,,30-Apr
24-Apr,F13N,Bottom,KuMue,1,14,3.201,,30-Apr
24-Apr,F13N,Bottom,KuMue,1,15,4.415,,30-Apr
24-Apr,F13N,Bottom,KuMue,1,16,2.207,,30-Apr
24-Apr,F13N,Bottom,KuMue,1,17,4.415,,30-Apr
24-Apr,F13N,Bottom,KuMue,1,18,2.98,,30-Apr
24-Apr,F13N,Bottom,KuMue,1,19,2.87,,30-Apr
24-Apr,F13N,Bottom,KuMue,1,20,2.318,,30-Apr
24-Apr,F13N,Bottom,KuMue,1,21,1.545,,30-Apr
24-Apr,F13N,Bottom,KuMue,1,22,2.538,,30-Apr
24-Apr,F13N,Bottom,KuMue,1,23,3.863,,30-Apr
24-Apr,F13N,Bottom,KuMue,1,24,2.538,,30-Apr
24-Apr,F13N,Bottom,KuMue,1,25,2.097,,30-Apr
24-Apr,F13N,Bottom,KuMue,1,26,2.538,,30-Apr
24-Apr,F13N,Bottom,KuMue,1,27,2.538,,30-Apr
24-Apr,F13N,Bottom,KuMue,1,28,2.428,,30-Apr
24-Apr,F13N,Bottom,KuMue,1,29,2.097,,30-Apr
24-Apr,F13N,Bottom,KuMue,1,30,2.097,,30-Apr
24-Apr,F13N,Bottom,KuMue,1,31,3.642,,30-Apr
24-Apr,F13N,Bottom,KuMue,1,32,2.207,,30-Apr
24-Apr,F13N,Bottom,KuMue,1,33,2.87,,30-Apr
24-Apr,F13N,Bottom,KuMue,1,34,3.09,,30-Apr
24-Apr,F13N,Bottom,KuMue,1,35,3.201,,30-Apr
24-Apr,F13N,Bottom,KuMue,2,1,3.863,0.015,30-Apr
24-Apr,F13N,Bottom,KuMue,2,2,3.201,,30-Apr
24-Apr,F13N,Bottom,KuMue,2,3,2.318,,30-Apr
24-Apr,F13N,Bottom,KuMue,2,4,3.421,,30-Apr
24-Apr,F13N,Bottom,KuMue,2,5,2.428,,30-Apr
24-Apr,F13N,Bottom,KuMue,2,6,3.863,,30-Apr
24-Apr,F13N,Bottom,KuMue,2,7,5.408,,30-Apr
24-Apr,F13N,Bottom,KuMue,2,8,2.318,,30-Apr
24-Apr,F13N,Bottom,KuMue,2,9,2.759,,30-Apr
24-Apr,F13N,Bottom,KuMue,2,10,2.318,,30-Apr
24-Apr,F13N,Bottom,KuMue,2,11,2.428,,30-Apr
24-Apr,F13N,Bottom,KuMue,2,12,7.615,,30-Apr
24-Apr,F13N,Bottom,KuMue,2,13,3.421,,30-Apr
24-Apr,F13N,Bottom,KuMue,2,14,4.084,,30-Apr
24-Apr,F13N,Bottom,KuMue,2,15,3.09,,30-Apr
24-Apr,F13N,Bottom,KuMue,2,16,2.428,,30-Apr
24-Apr,F13N,Bottom,KuMue,2,17,1.987,,30-Apr
24-Apr,F13N,Bottom,KuMue,2,18,3.532,,30-Apr
24-Apr,F13N,Bottom,KuMue,2,19,3.09,,30-Apr
24-Apr,F13N,Bottom,KuMue,2,20,4.084,,30-Apr
24-Apr,F13N,Bottom,KuMue,2,21,4.525,,30-Apr
24-Apr,F13N,Bottom,KuMue,2,22,5.187,,30-Apr
24-Apr,F13N,Bottom,KuMue,2,23,4.304,,30-Apr
24-Apr,F13N,Bottom,KuMue,2,24,3.753,,30-Apr
24-Apr,F13N,Bottom,KuMue,2,25,3.973,,30-Apr
24-Apr,F13N,Bottom,KuMue,2,26,2.98,,30-Apr
24-Apr,F13N,Bottom,KuMue,2,27,3.532,,30-Apr
24-Apr,F13N,Bottom,KuMue,2,28,7.174,,30-Apr
24-Apr,F13N,Bottom,KuMue,2,29,3.421,,30-Apr
24-Apr,F13N,Bottom,KuMue,2,30,3.311,,30-Apr
24-Apr,F13N,Bottom,KuMue,2,31,2.649,,30-Apr
24-Apr,F13N,Bottom,KuMue,2,32,3.311,,30-Apr
24-Apr,F13N,Bottom,KuMue,2,33,4.194,,30-Apr
24-Apr,F13N,Bottom,KuMue,2,34,2.649,,30-Apr
24-Apr,F13N,Bottom,KuMue,2,35,2.87,,30-Apr
24-Apr,F13N,Bottom,KuMue,2,36,3.421,,30-Apr
24-Apr,F13N,Bottom,KuMue,2,37,2.538,,30-Apr
24-Apr,F13N,Bottom,KuMue,2,38,4.525,,30-Apr
