source,site,date,plotid,plotid2,habitat,vegfamily,veggenus,vegspecies,fp,gf,po,fppo,gfpo,vrep,bugcode,buggroup,order,suborder,superfamily,family,subfamily,tribe,genus,species,size,bugnat,pol,her,hexu.a,hfol.a,hgram.a,hnec.a,hpal.a,hgran.a,hxyl.a,hfun.a,hexu.is,hfol.is,hgram.is,hnec.is,hpal.is,hgran.is,hxyl.is,hfun.is,pre,pre.a,pre.is,par,det,det.a,det.is,ela,collby,idby
sn,Fitzroy-Treasury Gardens,17/1/15,fit.m3,Midstorey08,Midstorey,Caprifoliaceae,Abelia,Abelia grandiflora,Midstorey,Shrub,Nonnative,MidNon,ShuNon,1,col001,Beetles,Coleoptera,Polyphaga,Cucujoidea,Latriidae,,,Cortinicara,Cortinicara sp.1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,Luis Mata,Nick Porch
sn,Fitzroy-Treasury Gardens,15/2/15,fit.m3,Midstorey08,Midstorey,Caprifoliaceae,Abelia,Abelia grandiflora,Midstorey,Shrub,Nonnative,MidNon,ShuNon,2,col001,Beetles,Coleoptera,Polyphaga,Cucujoidea,Latriidae,,,Cortinicara,Cortinicara sp.1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,Luis Mata,Nick Porch
sn,Royal Park,16/1/15,roy.m4,Midstorey18,Midstorey,Fabaceae,Acacia,Acacia acinacea,Midstorey,Shrub,Indigenous,MidInd,ShuInd,1,col001,Beetles,Coleoptera,Polyphaga,Cucujoidea,Latriidae,,,Cortinicara,Cortinicara sp.1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,Luis Mata,Nick Porch
sn,Royal Park,16/1/15,roy.m4,Midstorey18,Midstorey,Fabaceae,Acacia,Acacia acinacea,Midstorey,Shrub,Indigenous,MidInd,ShuInd,1,col001,Beetles,Coleoptera,Polyphaga,Cucujoidea,Latriidae,,,Cortinicara,Cortinicara sp.1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,Luis Mata,Nick Porch
sn,Royal Park,4/2/15,roy.m4,Midstorey18,Midstorey,Fabaceae,Acacia,Acacia acinacea,Midstorey,Shrub,Indigenous,MidInd,ShuInd,2,col001,Beetles,Coleoptera,Polyphaga,Cucujoidea,Latriidae,,,Cortinicara,Cortinicara sp.1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,Luis Mata,Nick Porch
sn,Royal Park,16/2/15,roy.m4,Midstorey18,Midstorey,Fabaceae,Acacia,Acacia acinacea,Midstorey,Shrub,Indigenous,MidInd,ShuInd,2,col001,Beetles,Coleoptera,Polyphaga,Cucujoidea,Latriidae,,,Cortinicara,Cortinicara sp.1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,Luis Mata,Nick Porch
sn,Royal Park,16/1/15,roy.m5,Midstorey19,Midstorey,Fabaceae,Acacia,Acacia acinacea,Midstorey,Shrub,Indigenous,MidInd,ShuInd,4,col001,Beetles,Coleoptera,Polyphaga,Cucujoidea,Latriidae,,,Cortinicara,Cortinicara sp.1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,Luis Mata,Nick Porch
sn,Royal Park,4/3/15,roy.m5,Midstorey19,Midstorey,Fabaceae,Acacia,Acacia acinacea,Midstorey,Shrub,Indigenous,MidInd,ShuInd,6,col001,Beetles,Coleoptera,Polyphaga,Cucujoidea,Latriidae,,,Cortinicara,Cortinicara sp.1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,Luis Mata,Nick Porch
sn,Royal Park,25/1/15,roy.m7,Midstorey21,Midstorey,Fabaceae,Acacia,Acacia acinacea,Midstorey,Shrub,Indigenous,MidInd,ShuInd,7,col001,Beetles,Coleoptera,Polyphaga,Cucujoidea,Latriidae,,,Cortinicara,Cortinicara sp.1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,Luis Mata,Nick Porch
sn,Royal Park,11/2/15,roy.m7,Midstorey21,Midstorey,Fabaceae,Acacia,Acacia acinacea,Midstorey,Shrub,Indigenous,MidInd,ShuInd,8,col001,Beetles,Coleoptera,Polyphaga,Cucujoidea,Latriidae,,,Cortinicara,Cortinicara sp.1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,Luis Mata,Nick Porch
sn,Royal Park,20/1/15,roy.m9,Midstorey23,Midstorey,Fabaceae,Acacia,Acacia acinacea,Midstorey,Shrub,Indigenous,MidInd,ShuInd,10,col001,Beetles,Coleoptera,Polyphaga,Cucujoidea,Latriidae,,,Cortinicara,Cortinicara sp.1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,Luis Mata,Nick Porch
