narrow endemic,victoria,tasmania,forest,family,species name,ht (m),ll (mm),lw (mm),leaf form,habit,notes,notes2,Tasmania,Tassie_no_climbers,Victoria_forest,Victoria_no_climbers,in_Tasmania,in_Victoria,sites
0,1,0,NA,Loranthaceae,Amyema linophylla,NA,120,2.5,simple,mistletoe,NA,NA,NA,NA,NA,NA,,,state not specified
0,1,0,NA,Loranthaceae,Amyema miquelii,NA,350,30,simple,mistletoe,NA,NA,NA,NA,NA,NA,,,state not specified
0,1,0,NA,Loranthaceae,Amyema miraculosa,NA,100,10,simple,mistletoe,NA,NA,NA,NA,NA,NA,,,state not specified
0,1,0,NA,Loranthaceae,Amyema pendula,NA,400,15,simple,mistletoe,NA,NA,NA,NA,NA,NA,,,state not specified
0,1,0,NA,Loranthaceae,Amyema preissii,NA,80,2.5,simple,mistletoe,NA,NA,NA,NA,NA,NA,,,state not specified
0,1,0,NA,Loranthaceae,Amyema quandong,NA,120,20,simple,mistletoe,NA,NA,NA,NA,NA,NA,,,state not specified
0,1,0,NA,Loranthaceae,Dendrophthoe vitelliana,NA,140,45,simple,mistletoe,NA,NA,NA,NA,NA,NA,,,state not specified
0,1,0,NA,Loranthaceae,Lysiana exocarpei,NA,150,10,simple,mistletoe,NA,NA,NA,NA,NA,NA,,,state not specified
0,1,0,NA,Loranthaceae,Muelleriana celastroides,NA,70,25,simple,mistletoe,NA,NA,NA,NA,NA,NA,,,state not specified
0,1,0,NA,Loranthaceae,Muelleriana eucalyptoides,NA,200,20,simple,mistletoe,NA,NA,NA,NA,NA,NA,,,state not specified
0,0,1,1,Ericaceae,Prionotes cerinthoides,NA,20,5,simple,scandent,will climb to at least 10m,NA,NA,NA,NA,NA,,,state not specified
0,0,1,1,Pittosporaceae,Billardiera macrantha,NA,60,10,simple,scandent,NA,NA,NA,NA,NA,NA,,,state not specified
0,0,1,1,Pittosporaceae,Billardiera mutabilis,NA,50,12,simple,scandent,NA,NA,NA,NA,NA,NA,,,state not specified
0,0,1,1,Pittosporaceae,Billardiera nesophila,NA,60,10,simple,scandent,NA,NA,NA,NA,NA,NA,,,state not specified
0,0,1,1,Pittosporaceae,Billardiera viridiflora,NA,60,10,simple,scandent,NA,NA,NA,NA,NA,NA,,,state not specified
0,1,0,1,Apocynaceae,Parsonsia eucalyptophylla,NA,240,30,simple,scandent,tall climber,NA,NA,NA,NA,NA,,,state not specified
0,1,0,1,Menispermaceae,Sarcopetalum harveyanum,NA,150,150,simple,scandent,tall rainforest climber (~20m),NA,NA,NA,NA,NA,,,state not specified
0,1,0,NA,Asclepiadaceae,Marsdenia flavescens,NA,120,45,simple,scandent,to 5 m,NA,NA,NA,NA,NA,,,state not specified
0,1,0,NA,Asclepiadaceae,Marsdenia rostrata,NA,150,80,simple,scandent,to 10 m,NA,NA,NA,NA,NA,,,state not specified
0,1,0,NA,Celastraceae,Celastrus australis,NA,100,50,simple,scandent,NA,NA,NA,NA,NA,NA,,,state not specified
0,1,0,NA,Dilleniaceae,Hibbertia dentata,NA,56,28,simple,scandent,branches to 2.5m,NA,NA,NA,NA,NA,,,state not specified
0,1,0,NA,Pittosporaceae,Billardiera bignoniaceae,NA,50,25,simple,scandent,NA,NA,NA,NA,NA,NA,,,state not specified
0,1,0,NA,Pittosporaceae,Billardiera cymosa,NA,60,15,simple,scandent,NA,NA,NA,NA,NA,NA,,,state not specified
0,1,0,NA,Pittosporaceae,Billardiera scandens,NA,70,18,simple,scandent,NA,NA,NA,NA,NA,NA,,,state not specified
0,1,0,NA,Ranunculaceae,Clematis glycinoides,NA,80,50,simple,scandent,climber to 15 m,NA,NA,NA,NA,NA,,,state not specified
0,1,0,NA,Vitaceae,Cissus hypoglauca,NA,150,40,compound,scandent,robust climber,NA,NA,NA,NA,NA,,,state not specified
0,1,1,1,Apocynaceae,Parsonsia brownii,NA,200,40,simple,scandent,tall climber,NA,NA,NA,NA,NA,,,state not specified
0,1,1,1,Bignoniaceae,Pandorea pandorana,NA,80,30,compound,scandent,to 6m or more,NA,NA,NA,NA,NA,,,state not specified
0,1,1,1,Dilleniaceae,Hibbertia hirticalyx,0.7,14,6,simple,scandent,NA,NA,NA,NA,NA,NA,,,state not specified
0,1,1,1,Pittosporaceae,Billardiera longiflora,NA,50,10,simple,scandent,NA,NA,NA,NA,NA,NA,,,state not specified
0,1,1,1,Polygalaceae,Comesperma volubile,NA,45,9,simple,scandent,almost leafless,NA,NA,NA,NA,NA,,,state not specified
0,1,1,1,Polygonaceae,Muehlenbeckia gunnii,NA,60,20,simple,scandent,climbing to 3 m,NA,NA,NA,NA,NA,,,state not specified
0,1,1,1,Ranunculaceae,Clematis aristata,NA,80,50,compound,scandent,climber to 15 m,NA,NA,NA,NA,NA,,,state not specified
0,1,1,1,Ranunculaceae,Clematis clitoroides,NA,40,15,simple,scandent,climber to 15 m,NA,NA,NA,NA,NA,,,state not specified
0,1,1,1,Ranunculaceae,Clematis decipiens,NA,70,30,simple,scandent,climber to 10 m,NA,NA,NA,NA,NA,,,state not specified
0,1,1,1,Ranunculaceae,Clematis microphylla,NA,40,15,compound,scandent,climber to 10 m,NA,NA,NA,NA,NA,,,state not specified
1,0,1,0,Asteraceae,Odixia achlaena,2,25,1,simple,shrub,NA,NA,NA,Tassie_no_climbers,NA,NA,Tasmania,,Tasmania
0,0,1,0,Asteraceae,Olearia erubescens,1,55,15,simple,shrub,NA,NA,NA,Tassie_no_climbers,NA,NA,Tasmania,,Tasmania
0,0,1,0,Asteraceae,Olearia hookeri,1,5,1,simple,shrub,NA,NA,NA,Tassie_no_climbers,NA,NA,Tasmania,,Tasmania
0,0,1,0,Asteraceae,Olearia ledifolia,0.6,30,1.5,simple,shrub,NA,NA,NA,Tassie_no_climbers,NA,NA,Tasmania,,Tasmania
0,0,1,0,Asteraceae,Olearia obcordata,0.6,10,9,simple,shrub,NA,NA,NA,Tassie_no_climbers,NA,NA,Tasmania,,Tasmania
0,0,1,0,Asteraceae,Ozothamnus bracteolatus,2,40,2,simple,shrub,NA,NA,NA,Tassie_no_climbers,NA,NA,Tasmania,,Tasmania
0,0,1,0,Asteraceae,Ozothamnus ericifolius,3,7,2,simple,shrub,NA,NA,NA,Tassie_no_climbers,NA,NA,Tasmania,,Tasmania
0,0,1,0,Asteraceae,Ozothamnus expansifolius,2,2,1,scale,shrub,NA,NA,NA,Tassie_no_climbers,NA,NA,Tasmania,,Tasmania
0,0,1,0,Asteraceae,Ozothamnus hookeri,2,2,1,scale,shrub,NA,NA,NA,Tassie_no_climbers,NA,NA,Tasmania,,Tasmania
0,0,1,0,Asteraceae,Ozothamnus ledifolius,1,15,1.5,simple,shrub,NA,NA,NA,Tassie_no_climbers,NA,NA,Tasmania,,Tasmania
0,0,1,0,Asteraceae,Ozothamnus reflexifolius,1,3.5,0.8,simple,shrub,NA,NA,NA,Tassie_no_climbers,NA,NA,Tasmania,,Tasmania
0,0,1,0,Asteraceae,Ozothamnus reticulatus,3,60,5,simple,shrub,NA,NA,NA,Tassie_no_climbers,NA,NA,Tasmania,,Tasmania
0,0,1,0,Asteraceae,Ozothamnus rodwayi,1,12,1.2,simple,shrub,NA,NA,NA,Tassie_no_climbers,NA,NA,Tasmania,,Tasmania
0,0,1,0,Asteraceae,Ozothamnus rosmarinifolius,3,32,1,simple,shrub,NA,NA,NA,Tassie_no_climbers,NA,NA,Tasmania,,Tasmania
0,0,1,0,Asteraceae,Ozothamnus scutellifolius,1,1.5,1.5,scale,shrub,NA,NA,NA,Tassie_no_climbers,NA,NA,Tasmania,,Tasmania
0,0,1,0,Asteraceae,Ozothamnus turbinatus,2,25,2,simple,shrub,NA,NA,NA,Tassie_no_climbers,NA,NA,Tasmania,,Tasmania
0,0,1,0,Casuarinaceae,Allocasuarina monilifera,4,1,1,scale,shrub,NA,NA,NA,Tassie_no_climbers,NA,NA,Tasmania,,Tasmania
0,0,1,0,Dilleniaceae,Hibbertia hirsuta,0.8,12,5,simple,shrub,NA,NA,NA,Tassie_no_climbers,NA,NA,Tasmania,,Tasmania
0,0,1,0,Ericaceae,Archeria comberi,1,4,3,simple,shrub,NA,NA,NA,Tassie_no_climbers,NA,NA,Tasmania,,Tasmania
0,0,1,0,Ericaceae,Archeria minor,0.15,3,1.5,simple,shrub,NA,NA,NA,Tassie_no_climbers,NA,NA,Tasmania,,Tasmania
0,0,1,0,Ericaceae,Dracophyllum minimum,0.05,4,1.5,simple,shrub,NA,NA,NA,Tassie_no_climbers,NA,NA,Tasmania,,Tasmania
0,0,1,0,Ericaceae,Epacris corymbiflora,0.5,4,3,simple,shrub,NA,NA,NA,Tassie_no_climbers,NA,NA,Tasmania,,Tasmania
1,0,1,0,Ericaceae,Epacris curtisiae,1,10,3,simple,shrub,NA,NA,NA,Tassie_no_climbers,NA,NA,Tasmania,,Tasmania
0,0,1,0,Ericaceae,Epacris grandis,1.2,14,3,simple,shrub,NA,NA,NA,Tassie_no_climbers,NA,NA,Tasmania,,Tasmania
1,0,1,0,Ericaceae,Epacris limbata,1.1,11,3,simple,shrub,NA,NA,NA,Tassie_no_climbers,NA,NA,Tasmania,,Tasmania
0,0,1,0,Ericaceae,Epacris mucronulata,2,12,3,simple,shrub,NA,NA,NA,Tassie_no_climbers,NA,NA,Tasmania,,Tasmania
0,0,1,0,Ericaceae,Epacris myrtifolia,0.6,9,4,simple,shrub,NA,NA,NA,Tassie_no_climbers,NA,NA,Tasmania,,Tasmania
0,0,1,0,Ericaceae,Epacris navicularis,0.3,3,1,simple,shrub,NA,NA,NA,Tassie_no_climbers,NA,NA,Tasmania,,Tasmania
1,0,1,0,Ericaceae,Epacris stuartii,0.7,7,5,simple,shrub,NA,NA,NA,Tassie_no_climbers,NA,NA,Tasmania,,Tasmania
0,0,1,0,Ericaceae,Epacris tasmanica,1.2,10,2.5,simple,shrub,NA,NA,NA,Tassie_no_climbers,NA,NA,Tasmania,,Tasmania
