current full name without authority,Endemicity_level,Growth Form,Growth Form_1,Growth Form_2,Raunkier_life_form,Height_max (m),Clonality,Photosynthetic pathway,MIN length Leaf (mm),MAX length Leaf (mm),MIN width Leaf (mm),MAX width Leaf (mm),Leaf_type,Laminar Unit Area (mm2),1_Nutrient_uptake_strategy,1_Dispersal_mode,Fruit_type,Fruit_functional_type,Min_length_fruit(mm),Max_length_fruit(mm),Min_breadth_fruit(mm),Max_breadth_fruit(mm),Seed_mass (g),1_Pollination_syndrome,Sex habit,References,regen_strategy
Acrachne racemosa,Cosmopolitan,Tussock,NA,NA,Therophyte,1,not_vegetative,C4,130,750,3,12,simple,1980,No obvious special uptake strategy,Wind,caryopsis,Dry dehiscent or indehsicent without attractant or wing,0.8,1,NA,NA,NA,Wind,hermaphrodite,AusGrass/GrassBase/Watson & Dallwitz 1992,NA
Aira cupaniana,Cosmopolitan,Tussock,NA,NA,Therophyte,0.4,not_vegetative,C3,10,95,0.3,1,simple,20.475,No obvious special uptake strategy,Exozoochory,caryopsis,Dry dehiscent or indehsicent without attractant or wing,NA,1,NA,NA,4.3e-5,Wind,hermaphrodite,AusGrass/GrassBase/Watson & Dallwitz 1992/ePIC,NA
Alloteropsis cimicina,Cosmopolitan,Tussock,NA,NA,Therophyte,1.2,not_vegetative,C4,30,150,5,20,simple,675,No obvious special uptake strategy,Wind,caryopsis,Dry dehiscent or indehsicent without attractant or wing,NA,NA,NA,NA,NA,Wind,hermaphrodite,APNI/AusGrass/GrassBase/Watson & Dallwitz 1992,NA
Alloteropsis semialata,Cosmopolitan,Tussock,NA,NA,Geophyte,1.5,vegetative,C3,100,500,1,10,simple,990,No obvious special uptake strategy,Wind,caryopsis,Dry dehiscent or indehsicent without attractant or wing,1.3,1.5,NA,NA,0.001986,Wind,hermaphrodite,APNI/AusGrass/GrassBase/Watson & Dallwitz 1992/ePIC,Clonal below ground
Amphipogon caricinus var. caricinus,Australia,Tussock,NA,NA,Hemicryophyte,0.5,not_vegetative,C3,100,150,2,3,simple,187.5,No obvious special uptake strategy,Wind,caryopsis,Dry dehiscent or indehsicent without attractant or wing,NA,NA,NA,NA,0.001576,Wind,hermaphrodite,APNI/AusGrass/GrassBase/Watson & Dallwitz 1992/ePIC,NA
Amphipogon sericeus,Australia,Tussock,NA,NA,Hemicryophyte,0.6,vegetative,C3,80,150,2,2.5,simple,155.25,No obvious special uptake strategy,Wind,caryopsis,Dry dehiscent or indehsicent without attractant or wing,NA,NA,NA,NA,NA,Wind,hermaphrodite,APNI/GrassBase/Watson & Dallwitz 1992,Clonal below ground
Ancistrachne uncinulata,Gondwanan,Tussock,NA,NA,Hemicryophyte,2,not_vegetative,NA,10,60,1.4,5,simple,67.2,No obvious special uptake strategy,Wind,caryopsis,Dry dehiscent or indehsicent without attractant or wing,NA,NA,NA,NA,NA,Wind,NA,APNI/GrassBase/AusGrass,NA
Andropogon gayanus,Cosmopolitan,Tussock,NA,NA,Hemicryophyte,2.5,not_vegetative,C4,300,600,4,20,simple,3240,No obvious special uptake strategy,Wind,caryopsis,Dry dehiscent or indehsicent without attractant or wing,NA,NA,NA,NA,NA,Wind,andromonoecious,GrassBase/Watson & Dallwitz 1992,NA
Aristida acuta,Australia,Tussock,NA,NA,Hemicryophyte,1.25,not_vegetative,C4,70,130,1,1,simple,60,No obvious special uptake strategy,Exozoochory,caryopsis,Dry dehiscent or indehsicent without attractant or wing,4.5,6,NA,NA,NA,Wind,hermaphrodite,APNI/GrassBase/AusGrass/Watson & Dallwitz 1992,NA
Aristida anthoxanthoides,Australia,Tussock,NA,NA,Therophyte,0.3,not_vegetative,C4,40,90,1.5,1.5,simple,58.5,No obvious special uptake strategy,Exozoochory,caryopsis,Dry dehiscent or indehsicent without attractant or wing,5,6,NA,NA,NA,Wind,hermaphrodite,APNI/GrassBase/AusGrass/Watson & Dallwitz 1992,NA
