species_name,plant_height_GrassBase_2014,plant_height_Metcalfe_2020_2,plant_height_RBGSYD_2014,plant_height_SAH_2014,plant_height_Wheeler_2002,plant_height_to_keep,original_name
Acrachne racemosa,1,1,NA,NA,NA,omit,Acrachne racemosa
Agrostis avenacea,NA,0.8,0.7,0.7,0.8,omit,Lachnagrostis filiformis
Aira cupaniana,NA,0.4,0.5,0.3,NA,keep,Aira cupaniana
Alloteropsis cimicina,1.2,1.2,0.7,NA,NA,omit,Alloteropsis cimicina
Alloteropsis semialata,1.5,1.5,1,NA,NA,omit,Alloteropsis semialata
Amphipogon caricinus,NA,0.5,0.5,0.6,NA,omit,Amphipogon caricinus var. caricinus
Amphipogon sericeus,NA,0.6,NA,NA,NA,keep,Amphipogon sericeus
Ancistrachne uncinulata,2,2,2,NA,NA,omit,Ancistrachne uncinulata
Andropogon gayanus,NA,2.5,NA,NA,NA,keep,Andropogon gayanus
Aristida acuta,NA,1.25,1.25,NA,NA,omit,Aristida acuta
Aristida anthoxanthoides,NA,0.3,0.5,NA,NA,keep,Aristida anthoxanthoides
Aristida benthamii,NA,0.9,1,NA,NA,keep,Aristida benthamii var. benthamii
Aristida benthamii,NA,0.9,1,NA,NA,keep,Aristida benthamii var. spinulifera
Aristida biglandulosa,1.2,1.2,NA,NA,NA,omit,Aristida biglandulosa
Aristida blakei,NA,0.9,1,NA,NA,keep,Aristida blakei
Aristida burraensis,0.8,0.8,NA,NA,NA,omit,Aristida burraensis
Aristida calycina,NA,1.28,2,NA,NA,keep,Aristida calycina
Aristida calycina,NA,1.28,2,NA,NA,keep,Aristida calycina var. calycina
Aristida calycina,NA,1.28,2,NA,NA,keep,Aristida calycina var. praealta
Aristida caput-medusae,NA,0.85,1,NA,NA,keep,Aristida caput-medusae
Aristida contorta,NA,0.44,0.5,NA,NA,keep,Aristida contorta
Aristida dominii,0.5,0.5,NA,NA,NA,omit,Aristida dominii
Aristida exserta,0.75,0.75,NA,NA,NA,omit,Aristida exserta
Aristida gracilipes,NA,1.15,1.2,NA,NA,keep,Aristida gracilipes
Aristida granitica,0.75,0.75,NA,NA,NA,omit,Aristida granitica
Aristida helicophylla,NA,1.5,1.5,NA,NA,omit,Aristida helicophylla
Aristida holathera,NA,1.28,0.6,NA,NA,keep,Aristida holathera
Aristida holathera,NA,1.28,0.6,NA,NA,keep,Aristida holathera var. holathera
Aristida hygrometrica,0.85,0.84,NA,NA,NA,keep,Aristida hygrometrica
Aristida inaequiglumis,1.5,1.55,NA,NA,NA,keep,Aristida inaequiglumis
Aristida ingrata,1.5,1.55,NA,NA,NA,keep,Aristida ingrata
Aristida jerichoensis,NA,0.6,0.9,NA,NA,keep,Aristida jerichoensis
Aristida jerichoensis,NA,0.6,0.9,NA,NA,keep,Aristida jerichoensis var. jerichoensis
Aristida jerichoensis,NA,0.6,0.9,NA,NA,keep,Aristida jerichoensis var. subspinulifera
Aristida latifolia,NA,1.31,1,NA,NA,keep,Aristida latifolia
Aristida lazaridis,1.4,1.4,NA,NA,NA,omit,Aristida lazaridis
Aristida leptopoda,NA,0.65,0.7,NA,NA,keep,Aristida leptopoda
Aristida lignosa,NA,2,2,NA,NA,omit,Aristida lignosa
Aristida longicollis,NA,0.8,0.8,NA,NA,omit,Aristida longicollis
Aristida macroclada,1,1,NA,NA,NA,omit,Aristida macroclada subsp. macroclada
Aristida macroclada subsp. queenslandica,NA,1,NA,NA,NA,keep,Aristida macroclada subsp. queenslandica
Aristida muricata,NA,0.9,1,NA,NA,keep,Aristida muricata
Aristida nitidula,NA,0.82,0.7,NA,NA,keep,Aristida nitidula
Aristida perniciosa,1.4,1.37,NA,NA,NA,keep,Aristida perniciosa
Aristida personata,NA,1.2,NA,NA,NA,keep,Aristida personata
Aristida polyclados,0.4,0.4,NA,NA,NA,omit,Aristida polyclados
Aristida pruinosa,1.5,1.53,NA,NA,NA,keep,Aristida pruinosa
Aristida psammophila,1.2,1.2,1.2,NA,NA,omit,Aristida psammophila
Aristida queenslandica,1.1,1,0.367,NA,NA,keep,Aristida queenslandica
Aristida queenslandica,1.1,1,0.367,NA,NA,keep,Aristida queenslandica var. queenslandica
Aristida queenslandica var. dissimilis,1.1,1,NA,NA,NA,keep,Aristida queenslandica var. dissimilis
Aristida ramosa,NA,1.03,1.2,NA,NA,keep,Aristida ramosa
Aristida schultzii,0.65,0.65,NA,NA,NA,omit,Aristida schultzii
Aristida sciuroides,2,2,NA,NA,NA,omit,Aristida sciuroides
Aristida spuria,NA,0.91,0.6,NA,NA,keep,Aristida spuria
Aristida superpendens,1.2,1.2,NA,NA,NA,omit,Aristida superpendens
Aristida thompsonii,0.4,0.4,NA,NA,NA,omit,Aristida thompsonii
Aristida utilis,1.3,1.3,NA,NA,NA,omit,Aristida utilis var. utilis
Aristida warburgii,NA,0.9,1.2,NA,NA,keep,Aristida warburgii
Arthragrostis aristispicula,0.6,0.4,NA,NA,NA,keep,Arthragrostis aristispicula
Arthragrostis deschampsioides,0.6,0.5,NA,NA,NA,keep,Arthragrostis deschampsioides
Arthraxon hispidus,0.75,1,NA,NA,NA,keep,Arthraxon hispidus
Arundinella nepalensis,NA,1.8,3,NA,NA,keep,Arundinella nepalensis
Arundinella setosa,1.2,1,NA,NA,NA,keep,Arundinella setosa
Arundo donax,NA,6,6,6,NA,omit,Arundo donax var. donax
Astrebla elymoides,NA,1.2,1,NA,NA,keep,Astrebla elymoides
Astrebla lappacea,NA,0.8,0.9,0.9,NA,keep,Astrebla lappacea
Astrebla pectinata,NA,1.2,1.2,0.2,NA,omit,Astrebla pectinata
Astrebla squarrosa,NA,1.5,1.5,NA,NA,omit,Astrebla squarrosa
Avena sterilis subsp. ludoviciana,NA,1.8,NA,NA,NA,keep,Avena sterilis subsp. ludoviciana
Axonopus compressus,NA,0.6,0.6,NA,NA,omit,Axonopus compressus
Axonopus fissifolius,NA,0.6,0.5,NA,NA,keep,Axonopus fissifolius
Bambusa balcooa,NA,20,NA,NA,NA,keep,Bambusa balcooa
Bambusa moreheadiana,NA,7,NA,NA,NA,keep,Bambusa moreheadiana
Bambusa vulgaris,NA,20,NA,NA,NA,keep,Bambusa vulgaris
Bothriochloa bladhii,1.5,1.5,1,1.35,NA,omit,Bothriochloa bladhii
Bothriochloa bladhii,1.5,1.5,1,1.35,NA,omit,Bothriochloa bladhii subsp. bladhii
Bothriochloa bladhii,1.5,1.5,1,1.35,NA,omit,Bothriochloa bladhii subsp. glabra
Bothriochloa decipiens,2,2,1,NA,NA,omit,Bothriochloa decipiens
Bothriochloa decipiens,2,2,1,NA,NA,omit,Bothriochloa decipiens var. decipiens
Bothriochloa decipiens,2,2,1,NA,NA,omit,Bothriochloa decipiens var. cloncurrensis
Bothriochloa erianthoides,1.5,1.5,1,NA,NA,omit,Bothriochloa erianthoides
Bothriochloa ewartiana,0.6,0.6,0.7,0.8,NA,omit,Bothriochloa ewartiana
Bothriochloa macra,NA,1,1,0.8,NA,omit,Bothriochloa macra
Bothriochloa pertusa,NA,0.6,NA,NA,NA,keep,Bothriochloa pertusa
Brachiaria atrisola,0.6,0.6,NA,NA,NA,omit,Urochloa atrisola
Brachiaria brizantha,NA,2,NA,NA,NA,keep,Urochloa brizantha
Brachiaria decumbens,NA,1.5,NA,NA,NA,keep,Urochloa decumbens
Brachiaria distachya,0.2,0.2,NA,NA,NA,omit,Urochloa distachya
Brachiaria foliosa,0.9,0.9,NA,NA,NA,omit,Urochloa foliosa
Brachiaria gilesii,NA,0.4,1,NA,NA,keep,Urochloa gilesii
