species_name,seed_mass_Kew_2019_1,seed_mass_Metcalfe_2020_2,seed_mass_RBGK_2014,seed_mass_to_keep,original_name
Agrostis avenacea,NA,0.14,NA,keep,Lachnagrostis filiformis
Aira cupaniana,NA,0.043,NA,keep,Aira cupaniana
Alloteropsis semialata,2.6084,1.986,NA,keep,Alloteropsis semialata
Amphipogon caricinus,1.576,1.576,NA,omit,Amphipogon caricinus var. caricinus
Aristida biglandulosa,7.667,7.667,NA,omit,Aristida biglandulosa
Aristida contorta,4.887,2.926,NA,keep,Aristida contorta
Aristida inaequiglumis,3.6124,1.614,NA,keep,Aristida inaequiglumis
Aristida latifolia,1.3388,1,NA,keep,Aristida latifolia
Aristida nitidula,2.1672,1.942,NA,keep,Aristida nitidula
Aristida queenslandica,1.5684,0.752,NA,keep,Aristida queenslandica
Aristida ramosa,2.0884,0.857,NA,keep,Aristida ramosa
Astrebla elymoides,6.819,6.819,NA,omit,Astrebla elymoides
Astrebla lappacea,3.691,3.691,NA,omit,Astrebla lappacea
Astrebla pectinata,5.7,3.3,NA,keep,Astrebla pectinata
Axonopus compressus,NA,0.39,NA,keep,Axonopus compressus
Bothriochloa decipiens,1,1,NA,omit,Bothriochloa decipiens
Bothriochloa ewartiana,0.759,0.759,NA,omit,Bothriochloa ewartiana
Bothriochloa macra,1.07,1.07,NA,omit,Bothriochloa macra
Bothriochloa pertusa,NA,0.7,NA,keep,Bothriochloa pertusa
Brachiaria brizantha,NA,4.89,NA,keep,Urochloa brizantha
Brachiaria decumbens,NA,3.471,NA,keep,Urochloa decumbens
Brachiaria praetervisa,1.9488,1.4,NA,keep,Urochloa praetervisa
Brachiaria ramosa,NA,2.4,NA,keep,Urochloa ramosa
Brachiaria reptans,NA,0.61,NA,keep,Urochloa reptans
Brachiaria subquadripara,0.916,0.916,NA,omit,Urochloa subquadripara
Briza minor,NA,0.297,NA,keep,Briza minor
Cenchrus ciliaris,NA,1,NA,keep,Cenchrus ciliaris
Chloris gayana,NA,0.3,NA,keep,Chloris gayana
Chloris pectinata,0.322,0.322,NA,omit,Chloris pectinata
Chloris virgata,NA,0.2,NA,keep,Chloris virgata
Chrysopogon benthamianus,1.862,4.3,4.3,omit,Chrysopogon fallax
Chrysopogon setifolius,0.183,0.183,NA,omit,Chrysopogon setifolius
Cymbopogon obtectus,4.475,2.98,NA,keep,Cymbopogon obtectus
Cymbopogon refractus,0.822,0.731,NA,keep,Cymbopogon refractus
Cynodon dactylon,0.367,0.3,NA,keep,Cynodon dactylon var. dactylon
Dactyloctenium aegyptium,NA,0.327,NA,keep,Dactyloctenium aegyptium
Dactyloctenium radulans,0.835,0.2,NA,keep,Dactyloctenium radulans
Dichanthium annulatum,NA,0.418,NA,keep,Dichanthium annulatum
Dichanthium sericeum,2.246,1.384,NA,keep,Dichanthium sericeum
Dichelachne micrantha,0.4,0.118,NA,keep,Dichelachne micrantha
Digitaria brownii,0.771,0.771,NA,omit,Digitaria brownii
Digitaria coenicola,NA,1.085,0.967,keep,Digitaria coenicola
Digitaria didactyla,NA,0.195,NA,keep,Digitaria didactyla
Digitaria minima,0.158,0.158,NA,omit,Digitaria minima
Digitaria ramularis,0.173,0.173,NA,omit,Digitaria ramularis
Digitaria violascens,NA,0.41,NA,keep,Digitaria violascens
Echinochloa colona,NA,1,1.2,keep,Echinochloa colona
Ehrharta stipoides,NA,4.97,NA,keep,Microlaena stipoides
Eleusine indica,NA,0.32,NA,keep,Eleusine indica
Enneapogon avenaceus,1.268,1.1,NA,keep,Enneapogon avenaceus
