genus,species,form,height,stem diameter,fruits,dispersers,min fruit length,max fruit length,min fruit width,max fruti width,min seed length,max seed length,species_name,flowering_span,fruiting_span
Acanthus,ilicifolius,shrub,3,NA,capsule,NA,17,25,9,12,6,12,Acanthus ilicifolius,111000111111,111000000001
Asystasia,(Newcastle Bay),herb,1,NA,capsule,NA,15,28,3,5,3,5,Asystasia (Newcastle Bay),000111110000,000111110000
Asystasia,australiasica,herb,0.5,NA,capsule,NA,22,22,4,4,2,3,Asystasia australiasica,111111111111,000000100000
Barleria,cristata,shrub,2,NA,capsule,NA,9,9,4,4,NA,NA,Barleria cristata,111111110000,111111110000
Brillantaisia,lamium,shrub,2,NA,capsule,NA,25,40,2,3,1,2,Brillantaisia lamium,100011111111,000000011100
Dicliptera,spicata,herb/shrub,1,NA,capsule,NA,3,3,1,1,1,2,Dicliptera spicata,000011111110,000011111110
Dipteracanthus,australasicus,herb/shrub,1.5,NA,capsule,NA,7,17,5,5,NA,NA,Dipteracanthus australasicus,111111111111,001100000000
Graptophyllum,excelsum,shrub,3,NA,capsule,NA,17,27,NA,NA,3,5,Graptophyllum excelsum,110001111111,110001111111
Graptophyllum,ilicifolium,tree,10,NA,capsule,NA,10,26,NA,NA,NA,NA,Graptophyllum ilicifolium,000000100000,000000111111
Graptophyllum,spinigerum,shrub,3 (rarely to 8),NA,capsule,NA,15,20,NA,NA,NA,NA,Graptophyllum spinigerum,000000111100,000000000011
Harnieria,hygrophiloides,herb,2,NA,capsule,NA,8,10,NA,NA,2,2,Harnieria hygrophiloides,011111111111,000111111111
Hemigraphis,alternata,herb,prostrate,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hemigraphis alternata,000000001111,NA
Hemigraphis,royenii,herb,prostrate,NA,capsule,NA,8,9,NA,NA,1,2,Hemigraphis royenii,000001111111,000000000100
Hypoestes,floribunda,herb/shrub,1.2,NA,capsule,NA,9,13,NA,NA,1,2,Hypoestes floribunda,111111111110,100001111111
Hypoestes,phyllostachya,herb/shrub,1,NA,capsule,NA,10,12,NA,NA,2,3,Hypoestes phyllostachya,000000000010,111111000000
Justicia,betonica,shrub,2,NA,capsule,NA,8,10,NA,NA,NA,NA,Justicia betonica,000011110000,000000010000
Lepidagathis,royenii,herb,0.3,NA,capsule,NA,4,5,NA,NA,NA,NA,Lepidagathis royenii,000000000111,NA
Odontonema,tubaceforme,shrub,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,Odontonema tubaceforme,001110000000,NA
Peristrophe,brassii,herb/shrub,1,NA,capsule,NA,8,10,NA,NA,2,2,Peristrophe brassii,000001110000,000001110000
Pseuderanthemum,variabile,herb/shrub,1,NA,capsule,NA,10,15,NA,NA,3,3,Pseuderanthemum variabile,111110000011,111110000011
Rhaphidospora,cavernarum,herb/shrub,1,NA,capsule,NA,11,18,NA,NA,2,3,Rhaphidospora cavernarum,001111100000,000111100000
Rostelllaria,adscendes,herb,0.5,NA,capsule,NA,3,7,NA,NA,1,1,Rostelllaria adscendes,111111111111,000100000000
Sanchezia,parvibracteata,shrub,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sanchezia parvibracteata,011111111000,NA
Stephanophysum,longifolium,shrub,1.5,NA,capsule,NA,13,20,3,3,2,3,Stephanophysum longifolium,000011000000,000011000000
Thunbergia,alata,vine,NA,NA,capsule,NA,16,20,6,8,4,4,Thunbergia alata,000111100000,111111100001
Thunbergia,arnhemica,vine,NA,NA,capsule,NA,20,24,10,12,5,6,Thunbergia arnhemica,NA,001110000000
Thunbergia,grandiflora,vine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Thunbergia grandiflora,000001100000,NA
Thunbergia,laurifolia,vine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Thunbergia laurifolia,100000000111,NA
Thunbergia,mysorensis,vine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Thunbergia mysorensis,111111111111,NA
Sauraia,andreana,tree,6,NA,berry,NA,5,15,5,15,0.5,0.5,Sauraia andreana,110001111111,111000000000
Akania,lucens,tree,25,0.45,capsule,NA,10,12,NA,NA,NA,NA,Akania lucens,000000001110,011110000000
Alangium,(Claudie River),tree,25,NA,drupe,NA,13,17,8,12,12,13,Alangium (Claudie River),111111100000,000000000111
Alangium,villosum polysmoides,tree,20,0.9,drupe,"fruit-doves, Topnot Pigeon, Regent Bowerbird, & Spotted Catbird",10,20,9,10,10,17,Alangium villosum polysmoides,000000111100,111000000011
Alangium,villosum tomentosum,tree,9,NA,drupe,fruit-doves & Spotted Catbird,19,19,10,11,15,15,Alangium villosum tomentosum,001111111000,000000100000
Crispiloba,disperma,shrub,4,NA,berry,NA,15,28,10,15,8,11,Crispiloba disperma,111000000011,011100000000
Achyranthes,aspera,herb,1.5,NA,nut,NA,2,3,NA,NA,1,2,Achyranthes aspera,000111000000,000111000000
Amaranthus,hybridus,herb,2,NA,nut,NA,1,1,1,1,1,1,Amaranthus hybridus,001000000000,001111111000
Amaranthus,spinosus,herb,1,NA,follicle,NA,1,2,NA,NA,1,1,Amaranthus spinosus,111111110000,001111110000
Cyathula,prostrata,herb,0.6,NA,nut,NA,1,4,2,3,NA,NA,Cyathula prostrata,011111100000,001111100000
Deeringia,amaranthoides,vine/shrub,NA,NA,berry,NA,5,9,4,7,1,1,Deeringia amaranthoides,111111001111,111111110000
Deeringia,arborescens,vine,NA,NA,berry,NA,NA,NA,3,4,NA,NA,Deeringia arborescens,000000111111,100000000011
Crinum,pedunculatum,lily,2,NA,capsule,NA,30,50,25,50,22,40,Crinum pedunculatum,110000000111,110000000001
Proiphys,alba,lily,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,Proiphys alba,110000000011,NA
Proiphys,amboinensis,lily,1,NA,capsule,NA,25,30,15,30,10,12,Proiphys amboinensis,111100000001,111110000000
Proiphys,infundibularis,lily,0.5,NA,capsule,NA,20,35,10,20,10,12,Proiphys infundibularis,100000000111,110000000111
Belpharocarya,involucrigera,tree,40,NA,nutlet,Double-eyed Fig Parrot & King Parrot,7,10,4,5,NA,NA,Belpharocarya involucrigera,111100011111,111100011111
Buchanania,arborescens,tree,25,NA,drupe,"fruit-doves, Metallic Starlings & Fawn-breasted Bowerbirds",9,12,10,10,NA,NA,Buchanania arborescens,000000111100,100000000111
Buchanania,mangoides,tree,13,NA,drupe,NA,7,7,7,7,NA,NA,Buchanania mangoides,000000001000,000000001111
