Spp Name,Order,Family,Genus,Species_Code,Plant_height_(m),Leaf_Area_cm2,Seed_Mass_g,"Plant_height_interpolated_(1=Y,0=N)","Leaf_Area_interpolated_(1=Y,0=N)","Seed_Mass_interpolated_(1=Y,0=N)"
Abrotanella forsteroides,Asterales,Asteraceae,Abrotanella,0,0.08,11.8909,0.0003972,1,1,0
Abrotanella scapigera,Asterales,Asteraceae,Abrotanella,1,0.08,11.8909,0.0005008,0,1,0
Acacia dealbata,Fabales,Fabaceae,Acacia,3,30,0.0471239,0.0151856,0,0,0
Acacia genistifolia,Fabales,Fabaceae,Acacia,6,3,0.942478,0.0150168,0,0,0
Acacia gunnii,Fabales,Fabaceae,Acacia,7,1,0.392699,0.0097957,0,0,0
Acacia longifolia,Fabales,Fabaceae,Acacia,8,3,32.9867,0.0157312,0,0,1
Acacia mearnsii,Fabales,Fabaceae,Acacia,9,15,0.031415927,0.0157312,0,0,1
Acacia melanoxylon,Fabales,Fabaceae,Acacia,10,30,32.9867,0.0157312,0,0,1
Acacia mucronata,Fabales,Fabaceae,Acacia,11,3.5,15.708,0.008198,0,0,0
Acacia myrtifolia,Fabales,Fabaceae,Acacia,12,3,21.2058,0.0157312,0,0,1
Acacia riceana,Fabales,Fabaceae,Acacia,16,10,1.1781,0.0120056,0,0,0
Acacia sophorae,Fabales,Fabaceae,Acacia,18,5,28.2743,0.0157312,0,0,1
Acacia stricta,Fabales,Fabaceae,Acacia,19,6,16.4934,0.0157312,0,0,1
Acacia suaveolens,Fabales,Fabaceae,Acacia,20,3,11.78097245,0.0347812,0,0,0
Acacia terminalis,Fabales,Fabaceae,Acacia,21,6,0.746128255,0.02181,0,0,0
Acacia ulicifolia,Fabales,Fabaceae,Acacia,22,2,0.176715,0.0157312,0,0,1
Acacia verniciflua,Fabales,Fabaceae,Acacia,23,10,10.60287521,0.0157312,0,0,1
Acacia verticillata,Fabales,Fabaceae,Acacia,24,10,1.37445,0.0090568,0,0,0
Acaena agnipila,Rosales,Rosaceae,Acaena,25,0.5,1.06029,0.00120107,0,0,1
Acaena echinata,Rosales,Rosaceae,Acaena,26,0.4,1.09956,0.00120107,0,0,1
Acaena montana,Rosales,Rosaceae,Acaena,27,0.32,0.798488,0.0009024,1,1,0
Acaena novae-zelandiae,Rosales,Rosaceae,Acaena,28,0.1,0.235619,0.0010392,0,0,0
Acaena ovina,Rosales,Rosaceae,Acaena,29,0.5,0.798488,0.00120107,0,1,1
Acaena pallida,Rosales,Rosaceae,Acaena,30,0.1,0.798488,0.0016616,0,1,0
Acaena Xanserovina,Rosales,Rosaceae,Acaena,31,0.32,0.798488,0.00120107,1,1,1
Acetosella vulgaris,Polygonales,Polygonaceae,Acetosella,33,0.5,16.4934,0.00290512,0,0,1
Acianthus caudatus,Asparagales,Orchidacae,Acianthus,35,0.25,4.71239,1.24E-05,0,0,1
Acianthus exsertus,Asparagales,Orchidacae,Acianthus,36,0.24,7.85398,1.24E-05,0,0,1
Acianthus pusillus,Asparagales,Orchidacae,Acianthus,37,0.18,7.53982,1.24E-05,0,0,1
Acrothamnus hookeri,Ericales,Epacridaceae,Acrothamnus,44,0.5,0.180642,0.0020486,0,0,0
Acrotriche serrulata,Ericales,Ericaceae,Acrotriche,48,0.6,0.204204,0.00707748,0,0,1
Actinotus bellidioides,Apiales,Apiaceae,Actinotus,49,0.1,20.6717,0.0008076,0,1,0
Actinotus moorei,Apiales,Apiaceae,Actinotus,50,0.1,20.6717,0.0005816,0,1,1
Actinotus suffocatus,Apiales,Apiaceae,Actinotus,51,0.1,20.6717,0.0003556,0,1,0
Actites megalocarpus,Asterales,Asteraceae,Actites,52,0.4,60.083,0.000401868,0,0,1
Adiantum aethiopicum,Polpodiales,Pteridaceae,Adiantum,53,0.5,0.785398,0.0033,0,0,1
Agastachys odorata,Proteales,Proteaceae,Agastachys,54,8,9.42478,0.0012444,0,0,0
Agrostis aemula,Poales,Poaceae,Agrostis,56,0.6,10.9956,0.00120732,0,0,1
Agrostis aff parviflora,Poales,Poaceae,Agrostis,58,0.35,1.88496,0.00120732,0,0,1
Agrostis aff scabra,Poales,Poaceae,Agrostis,59,0.35,1.88496,0.00120732,0,0,1
Agrostis avenacea,Poales,Poaceae,Agrostis,61,0.65,4.90874,0.00120732,0,0,1
Agrostis billardierei,Poales,Poaceae,Agrostis,63,0.75,2.35619,0.00120732,0,0,1
Agrostis venusta,Poales,Poaceae,Agrostis,70,0.4,0.628319,0.00120732,0,0,1
Ajuga australis,Lamiales,Lamiaceae,Ajuga,71,0.5,32.9867,0.0036948,0,0,0
Allocasuarina littoralis,Fagales,Casuarinaceae,Allocasuarina,75,15,1.5708,0.0017822,0,0,1
Allocasuarina monilifera,Fagales,Casuarinaceae,Allocasuarina,76,4,1.5708,0.0020004,0,0,0
Allocasuarina verticillata,Fagales,Casuarinaceae,Allocasuarina,78,10,3.14159,0.0017822,0,0,1
Allocasuarina zephyrea,Fagales,Casuarinaceae,Allocasuarina,79,6,0.00785398,0.001564,0,0,0
Almaleea subumbellata,Fabales,Fabaceae,Almaleea,80,1.2,0.188496,0.0019824,0,0,0
Alternanthera denticulata,Caryophyllales,Amaranthaceae,Alternanthera,82,0.4,3.76991,0.0002104,0,0,0
Alyxia buxifolia,Gentianales,Apocynaceae,Alyxia,83,2,0.785398,0.0018368,0,0,1
Ammophila arenaria,Poales,Poaceae,Ammophila,85,1.2,8.18651,0.00120732,0,1,1
Amperea xiphoclada var xiphoclada,Malpighiales,Euphorbiaceae,Amperea,86,0.6,0.011781,0.0295763,0,0,1
Amphibromus archeri,Poales,Poaceae,Amphibromus,88,1.2,13.7445,0.0004624,0,0,1
Amphibromus neesii,Poales,Poaceae,Amphibromus,90,1.5,0.251327,0.0004624,0,0,1
Amphibromus recurvatus,Poales,Poaceae,Amphibromus,91,1,6.9979,0.0004624,0,1,0
Anemone crassifolia,Ranunculales,Ranunculaceae,Anemone,98,0.35,19.3753,0.00166745,0,1,1
Anodopetalum biglandulosum,Oxalidales,Cunoniaceae,Anodopetalum,102,15,7.85398,0.001068,0,0,1
Anopterus glandulosus,Escalloniales,Escalloniaceae,Anopterus,104,10,53.4071,0.00083,0,0,0
Aotus ericoides,Fabales,Fabaceae,Aotus,107,2,0.785398,0.003288,0,0,0
Apalochlamys spectabilis,Asterales,Asteraceae,Apalochlamys,108,2,19.635,0.000401868,0,0,1
Aphanes australiana,Rosales,Rosaceae,Aphanes,109,0.1,3.34776,0.0001464,0,1,0
Aphelia gracilis,Poales,Centrolepidaceae,Aphelia,110,0.04,0.19635,3.52E-05,0,0,0
Aphelia pumilio,Poales,Centrolepidaceae,Aphelia,111,0.03,0.15708,0.0001343,0,0,0
Apium insulare,Apiales,Apiaceae,Apium,113,1,20.6717,0.0010856,1,1,0
Apium prostratum,Apiales,Apiaceae,Apium,114,1,20.6717,0.0014628,0,1,0
Apodasmia brownii,Poales,Restionaceae,Apodasmia,115,1.5,6.02139,0.0008156,0,1,0
Apteropteris applanata,Hymenophyllales,Hymenophyllaceae,Apteropteris,117,0.1375,10.8123,0.0033,1,1,1
Arachnorchis dilatata,Asparagales,Orchidacae,Arachnorchis,118,0.35,31.4159,1.24E-05,0,0,1
Archeria comberi,Ericales,Epacridaceae,Archeria,119,1,0.0942478,3.12E-05,0,0,1
Archeria eriocarpa,Ericales,Epacridaceae,Archeria,120,4,0.282743,3.12E-05,0,0,1
Archeria hirtella,Ericales,Epacridaceae,Archeria,121,5,0.392699,3.12E-05,0,0,1
Archeria serpyllifolia,Ericales,Epacridaceae,Archeria,122,0.6,0.282743,3.12E-05,0,0,0
Argentipallium dealbatum,Asterales,Asteraceae,Argentipallium,124,0.9,0.353429,0.000289,0,0,0
Argyrotegium fordianum,Asterales,Asteraceae,Argyrotegium,127,0.2,2.35619,4.67E-05,0,0,1
Argyrotegium poliochlorum,Asterales,Asteraceae,Argyrotegium,130,0.12,1.09956,4.67E-05,0,0,0
Aristotelia peduncularis,Oxalidales,Elaeocarpaceae,Aristotelia,132,4,19.2423,0.0069592,0,0,0
Arrhenatherum elatius,Poales,Poaceae,Arrhenatherum,133,1.5,8.18651,0.00120732,0,1,1
Arthropodium milleflorum,Asparagales,Anthericaceae,Arthropodium,134,1,80.1106,0.0011108,0,0,0
Arthropodium minus,Asparagales,Anthericaceae,Arthropodium,135,55,13.3518,0.0008832,0,0,0
Arthropodium strictum,Liliales,Liliaceae,Arthropodium,137,1,47.1239,0.0015148,0,0,0
Asperula conferta,Gentianales,Rubiaceae,Asperula,138,0.2,0.15708,0.0022113,0,0,0
Asperula gunnii,Gentianales,Rubiaceae,Asperula,139,0.2,0.15708,0.00150165,0,0,1
Asperula pusilla,Gentianales,Rubiaceae,Asperula,141,0.1,0.0942478,0.000792,0,0,0
Asplenium appendiculatum,Polypodiales,Aspleniaceae,Asplenium,144,0.51,0.785398,0.0033,1,1,1
Asplenium bulbiferum,Polypodiales,Aspleniaceae,Asplenium,145,0.6,0.785398,0.0033,0,1,1
Asplenium flabellifolium,Polypodiales,Aspleniaceae,Asplenium,146,0.2,0.785398,0.0033,0,0,1
Asplenium flaccidum,Polypodiales,Aspleniaceae,Asplenium,147,0.9,0.785398,0.0033,0,1,1
Asplenium obtusatum,Polypodiales,Aspleniaceae,Asplenium,149,0.6,0.785398,0.0033,0,0,1
Asplenium terrestre,Polypodiales,Aspleniaceae,Asplenium,150,0.51,0.785398,0.0033,1,1,1
Asplenium trichomanes,Polypodiales,Aspleniaceae,Asplenium,151,0.25,0.785398,0.0033,0,0,1
Astelia alpina,Asparagales,Asteliaceae,Astelia,152,0.3,17.6715,0.001158,0,0,0
Asterotrichion discolor,Malvales,Malvaceae,Asterotrichion,153,4,19.635,0.0014344,0,0,1
Astroloma humifusum,Ericales,Ericaceae,Astroloma,154,0.5,0.424115,0.0141451,0,0,0
Astroloma pinifolium,Ericales,Ericaceae,Astroloma,155,1,0.15708,0.0141451,0,0,1
Atherosperma moschatum subsp moschatum,Laurales ,Atherospermataceae,Atherosperma,156,15,43.1969,0.0033,0,0,1
