error,dataset_id,species_name,site_name,context_name,observation_id,trait_name,value,unit,date,value_type,replicates,original_name
Kew_2019_1_00508,Mokany_2015,Diplaspis hydrocotylea,NA,NA,Mokany_2015_0380,seed_mass,0.874,mg,NA,expert_mean,NA,Diplaspis hydrocotyle
Kew_2019_1_00704,Mokany_2015,Arthropodium milleflorum,NA,NA,Mokany_2015_0079,seed_mass,1.1108,mg,NA,expert_mean,NA,Arthropodium milleflorum
Kew_2019_1_00728,Mokany_2015,Drymophila cyanocarpa,NA,NA,Mokany_2015_0403,seed_mass,4.1172,mg,NA,expert_mean,NA,Drymophila cyanocarpa
Kew_2019_1_00773,Mokany_2015,Thysanotus patersonii,NA,NA,Mokany_2015_1150,seed_mass,0.684,mg,NA,expert_mean,NA,Thysanotus patersonii
Kew_2019_1_00785,Mokany_2015,Milligania densiflora,NA,NA,Mokany_2015_0771,seed_mass,0.356,mg,NA,expert_mean,NA,Milligania densiflora
Kew_2019_1_00815,Mokany_2015,Blandfordia punicea,NA,NA,Mokany_2015_0152,seed_mass,1.4464,mg,NA,expert_mean,NA,Blandfordia punicea
Kew_2019_1_00912,Mokany_2015,Cheesemania radicata,NA,NA,Mokany_2015_0268,seed_mass,1.4896,mg,NA,expert_mean,NA,Cheesemania radicata
Kew_2019_1_00995,Mokany_2015,Isotoma fluviatilis,NA,NA,Mokany_2015_0632,seed_mass,0.0408,mg,NA,expert_mean,NA,Isotoma fluviatilis
Kew_2019_1_01232,Mokany_2015,Allocasuarina monilifera,NA,NA,Mokany_2015_0046,seed_mass,2.0004,mg,NA,expert_mean,NA,Allocasuarina monilifera
Kew_2019_1_01320,Mokany_2015,Aphelia gracilis,NA,NA,Mokany_2015_0063,seed_mass,0.0352,mg,NA,expert_mean,NA,Aphelia gracilis
Kew_2019_1_01331,Mokany_2015,Centrolepis monogyna,NA,NA,Mokany_2015_0263,seed_mass,0.0804,mg,NA,expert_mean,NA,Centrolepis monogyna
Kew_2019_1_01333,Mokany_2015,Centrolepis polygyna,NA,NA,Mokany_2015_0265,seed_mass,0.0875,mg,NA,expert_mean,NA,Centrolepis polygyna
Kew_2019_1_01334,Mokany_2015,Centrolepis strigosa,NA,NA,Mokany_2015_0266,seed_mass,0.034,mg,NA,expert_mean,NA,Centrolepis strigosa
Kew_2019_1_01493,Mokany_2015,Brachyscome aculeata,NA,NA,Mokany_2015_0173,seed_mass,0.396,mg,NA,expert_mean,NA,Brachyscome aculeata
Kew_2019_1_01623,Mokany_2015,Cassinia aculeata,NA,NA,Mokany_2015_0249,seed_mass,0.0804,mg,NA,expert_mean,NA,Cassinia aculeata
Kew_2019_1_01728,Mokany_2015,Cotula australis,NA,NA,Mokany_2015_0309,seed_mass,0.058,mg,NA,expert_mean,NA,Cotula australis
Kew_2019_1_01798,Mokany_2015,Euchiton traversii,NA,NA,Mokany_2015_0474,seed_mass,0.0352,mg,NA,expert_mean,NA,Euchiton traversii
Kew_2019_1_01799,Mokany_2015,Ewartia catipes,NA,NA,Mokany_2015_0484,seed_mass,0.11,mg,NA,expert_mean,NA,Ewartia catipes
Kew_2019_1_01801,Mokany_2015,Ewartia planchonii,NA,NA,Mokany_2015_0486,seed_mass,0.0704,mg,NA,expert_mean,NA,Ewartia planchonii
Kew_2019_1_01839,Mokany_2015,Hyalosperma demissum,NA,NA,Mokany_2015_0591,seed_mass,0.0644,mg,NA,expert_mean,NA,Hyalosperma demissum
Kew_2019_1_01920,Mokany_2015,Microseris lanceolata,NA,NA,Mokany_2015_0766,seed_mass,1.4208,mg,NA,expert_mean,NA,Microseris lanceolata
Kew_2019_1_01999,Mokany_2015,Olearia myrsinoides,NA,NA,Mokany_2015_0819,seed_mass,3.2316,mg,NA,expert_mean,NA,Olearia myrsinoides
Kew_2019_1_02003,Mokany_2015,Olearia obcordata,NA,NA,Mokany_2015_0820,seed_mass,0.992,mg,NA,expert_mean,NA,Olearia obcordata
Kew_2019_1_02048,Mokany_2015,Ozothamnus antennaria,NA,NA,Mokany_2015_0848,seed_mass,0.222,mg,NA,expert_mean,NA,Ozothamnus antennaria
Kew_2019_1_02066,Mokany_2015,Ozothamnus lycopodioides,NA,NA,Mokany_2015_0854,seed_mass,0.0796,mg,NA,expert_mean,NA,Ozothamnus lycopodioides
Kew_2019_1_02102,Mokany_2015,Picris angustifolia,NA,NA,Mokany_2015_0893,seed_mass,1.5972,mg,NA,expert_mean,NA,Picris angustifolia
