site_tree_code,Genus,species,date,leaf_N_per_dry_mass (%DM),leaf_area (mm2),leaf_perimeter_mm,leaf_dry_mass (g),leaf_N_per_area (mg N/mm2),leaf_thickness (um),specific_leaf_area (mm2/mg),leaf_density (ug/mm3),soil_TOC,soil_pH,soil_conductivity,soil_N,soil_P,soil_K,soil_Sand,soil_Silt,soil_Clay,site_elevation,site_Longitude,site_Latitude,site_name,taxon
1.1,Eucalyptus,crebra,2005-2006,1.050868,1002.449608,219.00896,0.1904,0.001995963,318.4,5.264966429,596.5286883,1.627474721,4.85,0.021094,0.80549475,0.005470517,0.404155733,61.06610201,28.80313882,10.13075917,710,146.07923,-19.12686,site_01,Eucalyptus crebra
1.2,Eucalyptus,crebra,2005-2006,1.1865575,1166.836376,215.10752,0.23074,0.002346398,330.3,5.056931507,598.6932406,1.627474721,4.85,0.021094,0.80549475,0.005470517,0.404155733,61.06610201,28.80313882,10.13075917,710,146.07923,-19.12686,site_01,Eucalyptus crebra
1.3,Eucalyptus,crebra,2005-2006,1.1833199,990.3206,197.60692,0.1894,0.002263113,327,5.228725449,584.8660454,1.627474721,4.85,0.021094,0.80549475,0.005470517,0.404155733,61.06610201,28.80313882,10.13075917,710,146.07923,-19.12686,site_01,Eucalyptus crebra
1.4,Eucalyptus,crebra,2005-2006,1.1067485,NA,NA,NA,NA,NA,NA,NA,1.627474721,4.85,0.021094,0.80549475,0.005470517,0.404155733,61.06610201,28.80313882,10.13075917,710,146.07923,-19.12686,site_01,Eucalyptus crebra
1.5,Eucalyptus,crebra,2005-2006,1.0713097,NA,NA,NA,NA,NA,NA,NA,1.627474721,4.85,0.021094,0.80549475,0.005470517,0.404155733,61.06610201,28.80313882,10.13075917,710,146.07923,-19.12686,site_01,Eucalyptus crebra
1.6,Eucalyptus,crebra,2005-2006,1.1364086,1126.062264,214.09152,0.20262,0.002044817,302.9,5.557507966,594.0467618,1.627474721,4.85,0.021094,0.80549475,0.005470517,0.404155733,61.06610201,28.80313882,10.13075917,710,146.07923,-19.12686,site_01,Eucalyptus crebra
1.7,Eucalyptus,crebra,2005-2006,1.1795439,1285.029688,247.61952,0.26294,0.002413557,334.6,4.887159382,611.5297092,1.627474721,4.85,0.021094,0.80549475,0.005470517,0.404155733,61.06610201,28.80313882,10.13075917,710,146.07923,-19.12686,site_01,Eucalyptus crebra
1.8,Eucalyptus,crebra,2005-2006,1.2266291,1089.546208,260.30936,0.23146,0.002605815,364.1,4.707276454,583.4580233,1.627474721,4.85,0.021094,0.80549475,0.005470517,0.404155733,61.06610201,28.80313882,10.13075917,710,146.07923,-19.12686,site_01,Eucalyptus crebra
1.9,Eucalyptus,crebra,2005-2006,1.2210361,NA,NA,NA,NA,NA,NA,NA,1.627474721,4.85,0.021094,0.80549475,0.005470517,0.404155733,61.06610201,28.80313882,10.13075917,710,146.07923,-19.12686,site_01,Eucalyptus crebra
1.1,Eucalyptus,crebra,2005-2006,1.0439026,NA,NA,NA,NA,NA,NA,NA,1.627474721,4.85,0.021094,0.80549475,0.005470517,0.404155733,61.06610201,28.80313882,10.13075917,710,146.07923,-19.12686,site_01,Eucalyptus crebra
1.11,Eucalyptus,crebra,2005-2006,1.0992111,NA,NA,NA,NA,NA,NA,NA,1.627474721,4.85,0.021094,0.80549475,0.005470517,0.404155733,61.06610201,28.80313882,10.13075917,710,146.07923,-19.12686,site_01,Eucalyptus crebra
1.12,Eucalyptus,crebra,2005-2006,1.1918837,NA,NA,NA,NA,NA,NA,NA,1.627474721,4.85,0.021094,0.80549475,0.005470517,0.404155733,61.06610201,28.80313882,10.13075917,710,146.07923,-19.12686,site_01,Eucalyptus crebra
1.13,Eucalyptus,crebra,2005-2006,1.1282685,NA,NA,NA,NA,NA,NA,NA,1.627474721,4.85,0.021094,0.80549475,0.005470517,0.404155733,61.06610201,28.80313882,10.13075917,710,146.07923,-19.12686,site_01,Eucalyptus crebra
1.14,Eucalyptus,crebra,2005-2006,1.5282729,NA,NA,NA,NA,NA,NA,NA,1.627474721,4.85,0.021094,0.80549475,0.005470517,0.404155733,61.06610201,28.80313882,10.13075917,710,146.07923,-19.12686,site_01,Eucalyptus crebra
1.15,Eucalyptus,crebra,2005-2006,1.2213544,NA,NA,NA,NA,NA,NA,NA,1.627474721,4.85,0.021094,0.80549475,0.005470517,0.404155733,61.06610201,28.80313882,10.13075917,710,146.07923,-19.12686,site_01,Eucalyptus crebra
2.1,Eucalyptus,granitica,2005-2006,1.1804172,1641.028976,229.616,0.41074,0.002954516,426.9,3.995298671,586.3063454,2.516055992,5.16,0.024486,0.830438968,0.008437758,0.384563733,57.31618345,32.6056932,10.07812335,710,146.07923,-19.12686,site_02,Eucalyptus granitica
2.2,Eucalyptus,granitica,2005-2006,1.0633669,1644.641872,253.4666,0.2838,0.00183495,420.1,5.795073545,410.7602094,2.516055992,5.16,0.024486,0.830438968,0.008437758,0.384563733,57.31618345,32.6056932,10.07812335,710,146.07923,-19.12686,site_02,Eucalyptus granitica
2.3,Eucalyptus,granitica,2005-2006,1.0337368,1639.480592,235.01604,0.37824,0.002384905,392.3,4.334498181,588.0887436,2.516055992,5.16,0.024486,0.830438968,0.008437758,0.384563733,57.31618345,32.6056932,10.07812335,710,146.07923,-19.12686,site_02,Eucalyptus granitica
2.4,Eucalyptus,granitica,2005-2006,1.347249,NA,NA,NA,NA,NA,NA,NA,2.516055992,5.16,0.024486,0.830438968,0.008437758,0.384563733,57.31618345,32.6056932,10.07812335,710,146.07923,-19.12686,site_02,Eucalyptus granitica
2.5,Eucalyptus,granitica,2005-2006,1.2479815,NA,NA,NA,NA,NA,NA,NA,2.516055992,5.16,0.024486,0.830438968,0.008437758,0.384563733,57.31618345,32.6056932,10.07812335,710,146.07923,-19.12686,site_02,Eucalyptus granitica
2.6,Eucalyptus,granitica,2005-2006,1.1293652,NA,NA,NA,NA,NA,NA,NA,2.516055992,5.16,0.024486,0.830438968,0.008437758,0.384563733,57.31618345,32.6056932,10.07812335,710,146.07923,-19.12686,site_02,Eucalyptus granitica
2.7,Eucalyptus,granitica,2005-2006,1.1018631,NA,NA,NA,NA,NA,NA,NA,2.516055992,5.16,0.024486,0.830438968,0.008437758,0.384563733,57.31618345,32.6056932,10.07812335,710,146.07923,-19.12686,site_02,Eucalyptus granitica
2.8,Eucalyptus,granitica,2005-2006,1.4246045,NA,NA,NA,NA,NA,NA,NA,2.516055992,5.16,0.024486,0.830438968,0.008437758,0.384563733,57.31618345,32.6056932,10.07812335,710,146.07923,-19.12686,site_02,Eucalyptus granitica
2.9,Eucalyptus,granitica,2005-2006,1.0543048,2157.931168,292.29304,0.44354,0.002167012,413.5,4.865245903,497.0724468,2.516055992,5.16,0.024486,0.830438968,0.008437758,0.384563733,57.31618345,32.6056932,10.07812335,710,146.07923,-19.12686,site_02,Eucalyptus granitica
2.1,Eucalyptus,granitica,2005-2006,1.0900924,NA,NA,NA,NA,NA,NA,NA,2.516055992,5.16,0.024486,0.830438968,0.008437758,0.384563733,57.31618345,32.6056932,10.07812335,710,146.07923,-19.12686,site_02,Eucalyptus granitica
