tree_id,site_location_name,collection_date,genus,species,longitude,latitude,mean_dry_area,mean_dry_mass,mean_SLA,mean_fresh_area,mean_fresh_SLA,mean_shrinkage
Ebax1,SATFLB0015,22/11/12,Eucalyptus,baxteri,138.7269537,-34.93342691,2325.4044,327.4,7.1253936988,NA,NA,NA
Ebax2,SATFLB0003,15/8/12,Eucalyptus,baxteri,139.006103,-34.576925,2042.2616,442.44,4.603834503,NA,NA,NA
Ebax3,SATKAN0001,21/8/12,Eucalyptus,baxteri,138.261275,-35.60826944,2186.0984,634.26,3.4441176016,NA,NA,NA
Ecam1,WAITECONRES,15/12/20,Eucalyptus,camaldulensis,138.64143,-34.9722,1934.5262,459.96,4.2141892998,2101.0738,4.5819938422,8.0182436172
Ecam2,WAITECONRES,15/12/20,Eucalyptus,camaldulensis,138.64143,-34.9722,1632.3452,306.46,5.3455253862,1795.0868,5.8829858114,9.11546603
Ecam3,WAITECONRES,15/12/20,Eucalyptus,camaldulensis,138.64143,-34.9722,1633.9512,272.62,6.0545368864,1804.8378,6.7030210014,9.5968684884
Ecam4,WAITECONRES,15/12/20,Eucalyptus,camaldulensis,138.64143,-34.9722,1684.9028,420.86,4.026132821,1844.446,4.4077590286,8.6349427834
Ecam5,WAITECONRES,15/12/20,Eucalyptus,camaldulensis,138.64143,-34.9722,1131.8716,279.36,4.1026030985999995,1252.7716,4.5546686874,9.650717461
Ecos1,SAAKAN0009,27/10/18,Eucalyptus,cosmophylla,137.324832,-35.943027,1338.5722,484.52,2.7587084986,NA,NA,NA
Ecos2,SATKAN0002,22/8/12,Eucalyptus,cosmophylla,138.690175,-35.27211111,1769.2074,542.72,3.2726686768,NA,NA,NA
Ecos3,SAAKAN0006,24/10/18,Eucalyptus,cosmophylla,136.8960835,-35.90062129,2852.7094,1024.6,2.7970255806,NA,NA,NA
Ecos4,SATFLB0027,2/11/18,Eucalyptus,cosmophylla,138.6790056,-35.08308056,1346.4622,448.84200000000004,3.2361061048,NA,NA,NA
Efas1,SATFLB0001,13/8/12,Eucalyptus,fasciculosa,138.8613444,-34.60900833,954.3838,242.8,3.9539076718,NA,NA,NA
Efas2,SATFLB0012,16/11/12,Eucalyptus,fasciculosa,138.7082603,-34.88076551,1084.0216,354.94,3.0724019174,NA,NA,NA
