species,location_name,experiment_date,basis_of_record,germination (%),treatment,range of months,storage conditions,seed preparation
Themeda australis,,,lab,41.7,control,,,
Chrysopogon fallax,,,lab,72.4,control,,,
Chrysopogon latifolius,,,lab,84.6,control,,,
Sorghum plumosum,,,lab,80.2,control,,,
Sorghum stipoideum,,,lab,94.7,control,,,
Themeda australis,,,lab,31,wetting and redrying,,,
Chrysopogon fallax,,,lab,74.6,wetting and redrying,,,
Chrysopogon latifolius,,,lab,80.7,wetting and redrying,,,
Sorghum plumosum,,,lab,84.6,wetting and redrying,,,
Sorghum stipoideum,,,lab,97.4,wetting and redrying,,,
Themeda australis,Katherine eucalypt woodland,1972-11/1973-12,field,0,,May,20-60ºC,
Themeda australis,Katherine eucalypt woodland,1972-11/1973-12,field,0,,May--June,20-60ºC,
Themeda australis,Katherine eucalypt woodland,1972-11/1973-12,field,14,,May--July,20-60ºC,
Themeda australis,Katherine eucalypt woodland,1972-11/1973-12,field,27,,May--August,20-60ºC,
Themeda australis,Katherine eucalypt woodland,1972-11/1973-12,field,50,,May--September,20-60ºC,
Themeda australis,Katherine eucalypt woodland,1972-11/1973-12,field,65,,May--October,20-60ºC,
Themeda australis,Katherine eucalypt woodland,1972-11/1973-12,field,78,,May--November,20-60ºC,
Themeda australis,Katherine eucalypt woodland,1972-11/1973-12,field,80,,May--December,20-60ºC,
Themeda australis,Katherine eucalypt woodland,1972-11/1973-12,field,0,,May,field conditions,
Themeda australis,Katherine eucalypt woodland,1972-11/1973-12,field,0,,May--June,field conditions,
Themeda australis,Katherine eucalypt woodland,1972-11/1973-12,field,0,,May--July,field conditions,
Themeda australis,Katherine eucalypt woodland,1972-11/1973-12,field,0,,May--August,field conditions,
Themeda australis,Katherine eucalypt woodland,1972-11/1973-12,field,12,,May--September,field conditions,
Themeda australis,Katherine eucalypt woodland,1972-11/1973-12,field,28,,May--October,field conditions,
Themeda australis,Katherine eucalypt woodland,1972-11/1973-12,field,64,,May--November,field conditions,
Themeda australis,Katherine eucalypt woodland,1972-11/1973-12,field,NA,,May--December,field conditions,
Themeda australis,Katherine eucalypt woodland,1972-11/1973-12,field,0,,May,25ºC,
Themeda australis,Katherine eucalypt woodland,1972-11/1973-12,field,0,,May--June,25ºC,
Themeda australis,Katherine eucalypt woodland,1972-11/1973-12,field,1,,May--July,25ºC,
Themeda australis,Katherine eucalypt woodland,1972-11/1973-12,field,3,,May--August,25ºC,
Themeda australis,Katherine eucalypt woodland,1972-11/1973-12,field,2,,May--September,25ºC,
Themeda australis,Katherine eucalypt woodland,1972-11/1973-12,field,6,,May--October,25ºC,
Themeda australis,Katherine eucalypt woodland,1972-11/1973-12,field,9,,May--November,25ºC,
Themeda australis,Katherine eucalypt woodland,1972-11/1973-12,field,15,,May--December,25ºC,
Chrysopogon fallax,Katherine eucalypt woodland,1972-11/1973-12,field,16,,May,20-60ºC,
Chrysopogon fallax,Katherine eucalypt woodland,1972-11/1973-12,field,20,,May--June,20-60ºC,
Chrysopogon fallax,Katherine eucalypt woodland,1972-11/1973-12,field,52,,May--July,20-60ºC,
Chrysopogon fallax,Katherine eucalypt woodland,1972-11/1973-12,field,61,,May--August,20-60ºC,
Chrysopogon fallax,Katherine eucalypt woodland,1972-11/1973-12,field,70,,May--September,20-60ºC,
Chrysopogon fallax,Katherine eucalypt woodland,1972-11/1973-12,field,82,,May--October,20-60ºC,
Chrysopogon fallax,Katherine eucalypt woodland,1972-11/1973-12,field,84,,May--November,20-60ºC,
Chrysopogon fallax,Katherine eucalypt woodland,1972-11/1973-12,field,93,,May--December,20-60ºC,
Chrysopogon fallax,Katherine eucalypt woodland,1972-11/1973-12,field,16,,May,field conditions,
Chrysopogon fallax,Katherine eucalypt woodland,1972-11/1973-12,field,10,,May--June,field conditions,
Chrysopogon fallax,Katherine eucalypt woodland,1972-11/1973-12,field,14,,May--July,field conditions,
Chrysopogon fallax,Katherine eucalypt woodland,1972-11/1973-12,field,29,,May--August,field conditions,
Chrysopogon fallax,Katherine eucalypt woodland,1972-11/1973-12,field,20,,May--September,field conditions,
Chrysopogon fallax,Katherine eucalypt woodland,1972-11/1973-12,field,44,,May--October,field conditions,
Chrysopogon fallax,Katherine eucalypt woodland,1972-11/1973-12,field,70,,May--November,field conditions,
Chrysopogon fallax,Katherine eucalypt woodland,1972-11/1973-12,field,NA,,May--December,field conditions,
Chrysopogon fallax,Katherine eucalypt woodland,1972-11/1973-12,field,16,,May,25ºC,
Chrysopogon fallax,Katherine eucalypt woodland,1972-11/1973-12,field,18,,May--June,25ºC,
Chrysopogon fallax,Katherine eucalypt woodland,1972-11/1973-12,field,25,,May--July,25ºC,
Chrysopogon fallax,Katherine eucalypt woodland,1972-11/1973-12,field,20,,May--August,25ºC,
Chrysopogon fallax,Katherine eucalypt woodland,1972-11/1973-12,field,24,,May--September,25ºC,
Chrysopogon fallax,Katherine eucalypt woodland,1972-11/1973-12,field,36,,May--October,25ºC,
Chrysopogon fallax,Katherine eucalypt woodland,1972-11/1973-12,field,47,,May--November,25ºC,
Chrysopogon fallax,Katherine eucalypt woodland,1972-11/1973-12,field,58,,May--December,25ºC,
Chrysopogon latifolius,Katherine eucalypt woodland,1972-11/1973-12,field,0,,May,20-60ºC,
Chrysopogon latifolius,Katherine eucalypt woodland,1972-11/1973-12,field,6,,May--June,20-60ºC,
Chrysopogon latifolius,Katherine eucalypt woodland,1972-11/1973-12,field,47,,May--July,20-60ºC,
Chrysopogon latifolius,Katherine eucalypt woodland,1972-11/1973-12,field,55,,May--August,20-60ºC,
Chrysopogon latifolius,Katherine eucalypt woodland,1972-11/1973-12,field,64,,May--September,20-60ºC,
Chrysopogon latifolius,Katherine eucalypt woodland,1972-11/1973-12,field,76,,May--October,20-60ºC,
Chrysopogon latifolius,Katherine eucalypt woodland,1972-11/1973-12,field,85,,May--November,20-60ºC,
Chrysopogon latifolius,Katherine eucalypt woodland,1972-11/1973-12,field,98,,May--December,20-60ºC,
Chrysopogon latifolius,Katherine eucalypt woodland,1972-11/1973-12,field,0,,May,field conditions,
Chrysopogon latifolius,Katherine eucalypt woodland,1972-11/1973-12,field,0,,May--June,field conditions,
Chrysopogon latifolius,Katherine eucalypt woodland,1972-11/1973-12,field,9,,May--July,field conditions,
Chrysopogon latifolius,Katherine eucalypt woodland,1972-11/1973-12,field,44,,May--August,field conditions,
Chrysopogon latifolius,Katherine eucalypt woodland,1972-11/1973-12,field,55,,May--September,field conditions,
Chrysopogon latifolius,Katherine eucalypt woodland,1972-11/1973-12,field,69,,May--October,field conditions,
Chrysopogon latifolius,Katherine eucalypt woodland,1972-11/1973-12,field,89,,May--November,field conditions,
Chrysopogon latifolius,Katherine eucalypt woodland,1972-11/1973-12,field,NA,,May--December,field conditions,
Chrysopogon latifolius,Katherine eucalypt woodland,1972-11/1973-12,field,0,,May,25ºC,
Chrysopogon latifolius,Katherine eucalypt woodland,1972-11/1973-12,field,0,,May--June,25ºC,
Chrysopogon latifolius,Katherine eucalypt woodland,1972-11/1973-12,field,6,,May--July,25ºC,
Chrysopogon latifolius,Katherine eucalypt woodland,1972-11/1973-12,field,8,,May--August,25ºC,
Chrysopogon latifolius,Katherine eucalypt woodland,1972-11/1973-12,field,15,,May--September,25ºC,
Chrysopogon latifolius,Katherine eucalypt woodland,1972-11/1973-12,field,38,,May--October,25ºC,
Chrysopogon latifolius,Katherine eucalypt woodland,1972-11/1973-12,field,53,,May--November,25ºC,
Chrysopogon latifolius,Katherine eucalypt woodland,1972-11/1973-12,field,78,,May--December,25ºC,
Sorghum plumosum,Katherine eucalypt woodland,1972-11/1973-12,field,0,,May,20-60ºC,
Sorghum plumosum,Katherine eucalypt woodland,1972-11/1973-12,field,0,,May--June,20-60ºC,
Sorghum plumosum,Katherine eucalypt woodland,1972-11/1973-12,field,2,,May--July,20-60ºC,
Sorghum plumosum,Katherine eucalypt woodland,1972-11/1973-12,field,14,,May--August,20-60ºC,
Sorghum plumosum,Katherine eucalypt woodland,1972-11/1973-12,field,69,,May--September,20-60ºC,
Sorghum plumosum,Katherine eucalypt woodland,1972-11/1973-12,field,81,,May--October,20-60ºC,
Sorghum plumosum,Katherine eucalypt woodland,1972-11/1973-12,field,89,,May--November,20-60ºC,
Sorghum plumosum,Katherine eucalypt woodland,1972-11/1973-12,field,88,,May--December,20-60ºC,
Sorghum plumosum,Katherine eucalypt woodland,1972-11/1973-12,field,0,,May,field conditions,
Sorghum plumosum,Katherine eucalypt woodland,1972-11/1973-12,field,0,,May--June,field conditions,
Sorghum plumosum,Katherine eucalypt woodland,1972-11/1973-12,field,15,,May--July,field conditions,
Sorghum plumosum,Katherine eucalypt woodland,1972-11/1973-12,field,54,,May--August,field conditions,
Sorghum plumosum,Katherine eucalypt woodland,1972-11/1973-12,field,83,,May--September,field conditions,
Sorghum plumosum,Katherine eucalypt woodland,1972-11/1973-12,field,90,,May--October,field conditions,
Sorghum plumosum,Katherine eucalypt woodland,1972-11/1973-12,field,95,,May--November,field conditions,
Sorghum plumosum,Katherine eucalypt woodland,1972-11/1973-12,field,NA,,May--December,field conditions,
Sorghum plumosum,Katherine eucalypt woodland,1972-11/1973-12,field,0,,May,25ºC,
Sorghum plumosum,Katherine eucalypt woodland,1972-11/1973-12,field,0,,May--June,25ºC,
Sorghum plumosum,Katherine eucalypt woodland,1972-11/1973-12,field,20,,May--July,25ºC,
Sorghum plumosum,Katherine eucalypt woodland,1972-11/1973-12,field,40,,May--August,25ºC,
Sorghum plumosum,Katherine eucalypt woodland,1972-11/1973-12,field,45,,May--September,25ºC,
Sorghum plumosum,Katherine eucalypt woodland,1972-11/1973-12,field,42,,May--October,25ºC,
Sorghum plumosum,Katherine eucalypt woodland,1972-11/1973-12,field,74,,May--November,25ºC,
Sorghum plumosum,Katherine eucalypt woodland,1972-11/1973-12,field,94,,May--December,25ºC,
Sorghum stipoideum,Katherine eucalypt woodland,1972-11/1973-12,field,0,,May,20-60ºC,
Sorghum stipoideum,Katherine eucalypt woodland,1972-11/1973-12,field,0,,May--June,20-60ºC,
Sorghum stipoideum,Katherine eucalypt woodland,1972-11/1973-12,field,2,,May--July,20-60ºC,
Sorghum stipoideum,Katherine eucalypt woodland,1972-11/1973-12,field,14,,May--August,20-60ºC,
Sorghum stipoideum,Katherine eucalypt woodland,1972-11/1973-12,field,69,,May--September,20-60ºC,
Sorghum stipoideum,Katherine eucalypt woodland,1972-11/1973-12,field,81,,May--October,20-60ºC,
Sorghum stipoideum,Katherine eucalypt woodland,1972-11/1973-12,field,89,,May--November,20-60ºC,
Sorghum stipoideum,Katherine eucalypt woodland,1972-11/1973-12,field,88,,May--December,20-60ºC,
Sorghum stipoideum,Katherine eucalypt woodland,1972-11/1973-12,field,0,,May,field conditions,
Sorghum stipoideum,Katherine eucalypt woodland,1972-11/1973-12,field,0,,May--June,field conditions,
Sorghum stipoideum,Katherine eucalypt woodland,1972-11/1973-12,field,15,,May--July,field conditions,
Sorghum stipoideum,Katherine eucalypt woodland,1972-11/1973-12,field,54,,May--August,field conditions,
Sorghum stipoideum,Katherine eucalypt woodland,1972-11/1973-12,field,83,,May--September,field conditions,
Sorghum stipoideum,Katherine eucalypt woodland,1972-11/1973-12,field,90,,May--October,field conditions,
Sorghum stipoideum,Katherine eucalypt woodland,1972-11/1973-12,field,95,,May--November,field conditions,
Sorghum stipoideum,Katherine eucalypt woodland,1972-11/1973-12,field,NA,,May--December,field conditions,
Sorghum stipoideum,Katherine eucalypt woodland,1972-11/1973-12,field,0,,May,25ºC,
Sorghum stipoideum,Katherine eucalypt woodland,1972-11/1973-12,field,0,,May--June,25ºC,
Sorghum stipoideum,Katherine eucalypt woodland,1972-11/1973-12,field,20,,May--July,25ºC,
Sorghum stipoideum,Katherine eucalypt woodland,1972-11/1973-12,field,40,,May--August,25ºC,
Sorghum stipoideum,Katherine eucalypt woodland,1972-11/1973-12,field,45,,May--September,25ºC,
Sorghum stipoideum,Katherine eucalypt woodland,1972-11/1973-12,field,42,,May--October,25ºC,
Sorghum stipoideum,Katherine eucalypt woodland,1972-11/1973-12,field,74,,May--November,25ºC,
Sorghum stipoideum,Katherine eucalypt woodland,1972-11/1973-12,field,94,,May--December,25ºC,
Themeda australis,Katherine lab,1974/1975,lab,7.4,water + light,,,intact
Themeda australis,Katherine lab,1974/1975,lab,32.5,water + light,,,dehulled
Chrysopogon fallax,Katherine lab,1974/1975,lab,19.8,water + light,,,intact
Chrysopogon fallax,Katherine lab,1974/1975,lab,66.1,water + light,,,dehulled
Chrysopogon latifolius,Katherine lab,1974/1975,lab,20.5,water + light,,,intact
Chrysopogon latifolius,Katherine lab,1974/1975,lab,42.7,water + light,,,dehulled
