ID,Sp,Ht,Yrs,SDMASS,SLA,N,SDMASS_Int,SLA_Int,N_Int,VegType,Site,species_name
1430,Acaoxy,45,6,38.7,5.12,1.6121,1.4825469,-1.36110054,0.010066573,3,Foothills,Acacia oxycedrus
1431,Acaoxy,80,6,38.7,5.12,1.6121,1.4825469,-1.36110054,0.010066573,3,Foothills,Acacia oxycedrus
1432,Acaoxy,45,6,38.7,5.12,1.6121,1.4825469,-1.36110054,0.010066573,3,Foothills,Acacia oxycedrus
1433,Acaoxy,40,6,38.7,5.12,1.6121,1.4825469,-1.36110054,0.010066573,3,Foothills,Acacia oxycedrus
1434,Acaoxy,40,6,38.7,5.12,1.6121,1.4825469,-1.36110054,0.010066573,3,Foothills,Acacia oxycedrus
1435,Acaoxy,240,10,38.7,5.12,1.6121,1.4825469,-1.36110054,0.010066573,3,Foothills,Acacia oxycedrus
1436,Acaoxy,180,10,38.7,5.12,1.6121,1.4825469,-1.36110054,0.010066573,3,Foothills,Acacia oxycedrus
1437,Acaoxy,140,10,38.7,5.12,1.6121,1.4825469,-1.36110054,0.010066573,3,Foothills,Acacia oxycedrus
1438,Acaoxy,80,10,38.7,5.12,1.6121,1.4825469,-1.36110054,0.010066573,3,Foothills,Acacia oxycedrus
1439,Acaoxy,150,10,38.7,5.12,1.6121,1.4825469,-1.36110054,0.010066573,3,Foothills,Acacia oxycedrus
1440,Acaoxy,400,17,38.7,5.12,1.6121,1.4825469,-1.36110054,0.010066573,3,Foothills,Acacia oxycedrus
1441,Acaoxy,350,17,38.7,5.12,1.6121,1.4825469,-1.36110054,0.010066573,3,Foothills,Acacia oxycedrus
1442,Acaoxy,250,17,38.7,5.12,1.6121,1.4825469,-1.36110054,0.010066573,3,Foothills,Acacia oxycedrus
1443,Acaoxy,550,17,38.7,5.12,1.6121,1.4825469,-1.36110054,0.010066573,3,Foothills,Acacia oxycedrus
1444,Acaoxy,300,17,38.7,5.12,1.6121,1.4825469,-1.36110054,0.010066573,3,Foothills,Acacia oxycedrus
1445,Acaoxy,600,17,38.7,5.12,1.6121,1.4825469,-1.36110054,0.010066573,3,Foothills,Acacia oxycedrus
1446,Acaoxy,550,17,38.7,5.12,1.6121,1.4825469,-1.36110054,0.010066573,3,Foothills,Acacia oxycedrus
1447,Acaoxy,350,17,38.7,5.12,1.6121,1.4825469,-1.36110054,0.010066573,3,Foothills,Acacia oxycedrus
1448,Acaoxy,450,17,38.7,5.12,1.6121,1.4825469,-1.36110054,0.010066573,3,Foothills,Acacia oxycedrus
1449,Acaoxy,300,17,38.7,5.12,1.6121,1.4825469,-1.36110054,0.010066573,3,Foothills,Acacia oxycedrus
1450,Acaoxy,750,25,38.7,5.12,1.6121,1.4825469,-1.36110054,0.010066573,3,Foothills,Acacia oxycedrus
1451,Acaoxy,800,25,38.7,5.12,1.6121,1.4825469,-1.36110054,0.010066573,3,Foothills,Acacia oxycedrus
1452,Acaoxy,450,25,38.7,5.12,1.6121,1.4825469,-1.36110054,0.010066573,3,Foothills,Acacia oxycedrus
1453,Acaoxy,550,25,38.7,5.12,1.6121,1.4825469,-1.36110054,0.010066573,3,Foothills,Acacia oxycedrus
1454,Acaoxy,500,25,38.7,5.12,1.6121,1.4825469,-1.36110054,0.010066573,3,Foothills,Acacia oxycedrus
1455,Acaoxy,900,25,38.7,5.12,1.6121,1.4825469,-1.36110054,0.010066573,3,Foothills,Acacia oxycedrus
1456,Acaoxy,800,25,38.7,5.12,1.6121,1.4825469,-1.36110054,0.010066573,3,Foothills,Acacia oxycedrus
1457,Acaoxy,600,25,38.7,5.12,1.6121,1.4825469,-1.36110054,0.010066573,3,Foothills,Acacia oxycedrus
1458,Acaoxy,550,25,38.7,5.12,1.6121,1.4825469,-1.36110054,0.010066573,3,Foothills,Acacia oxycedrus
1459,Acaoxy,800,25,38.7,5.12,1.6121,1.4825469,-1.36110054,0.010066573,3,Foothills,Acacia oxycedrus
1460,Acaoxy,500,43,38.7,5.12,1.6121,1.4825469,-1.36110054,0.010066573,3,Foothills,Acacia oxycedrus
1461,Acaoxy,500,43,38.7,5.12,1.6121,1.4825469,-1.36110054,0.010066573,3,Foothills,Acacia oxycedrus
1462,Acaoxy,550,43,38.7,5.12,1.6121,1.4825469,-1.36110054,0.010066573,3,Foothills,Acacia oxycedrus
1463,Acaoxy,450,43,38.7,5.12,1.6121,1.4825469,-1.36110054,0.010066573,3,Foothills,Acacia oxycedrus
1464,Acaoxy,500,43,38.7,5.12,1.6121,1.4825469,-1.36110054,0.010066573,3,Foothills,Acacia oxycedrus
1465,Acaoxy,750,43,38.7,5.12,1.6121,1.4825469,-1.36110054,0.010066573,3,Foothills,Acacia oxycedrus
1466,Acaoxy,650,43,38.7,5.12,1.6121,1.4825469,-1.36110054,0.010066573,3,Foothills,Acacia oxycedrus
1467,Acaoxy,400,43,38.7,5.12,1.6121,1.4825469,-1.36110054,0.010066573,3,Foothills,Acacia oxycedrus
1468,Acaoxy,550,43,38.7,5.12,1.6121,1.4825469,-1.36110054,0.010066573,3,Foothills,Acacia oxycedrus
1469,Acaoxy,700,43,38.7,5.12,1.6121,1.4825469,-1.36110054,0.010066573,3,Foothills,Acacia oxycedrus
1470,Acaver,90,5,11.49,9.4,2.61,0.5438387,-0.27488002,1.48850225,3,Foothills,Acacia verticillata subsp. Cephalantha
1471,Acaver,60,5,11.49,9.4,2.61,0.5438387,-0.27488002,1.48850225,3,Foothills,Acacia verticillata subsp. Cephalantha
1472,Acaver,35,5,11.49,9.4,2.61,0.5438387,-0.27488002,1.48850225,3,Foothills,Acacia verticillata subsp. Cephalantha
