speciesName,genus,speciesEpithet,family,speciesNameComments,photosyntheticPathway_confirmed,photosyntheticPathway_inferred,photosyntheticPathway_combined,source,justification,notes,d13C_perMil,d13CReplicate_perMil,ternVegetationBarcode,ternPrimaryGeneticBarcode,plantMaterialType,ternPlot,latitude,longitude,dateSurveyed,d13CAdditionalSample_perMil,ternPlotAdditionalSample,ternPrimaryGeneticBarcodeAdditionalSample,plantMaterialTypeAdditionalSample,latitudeAdditionalSample,longitudeOfAdditionalSample,dateSurveyedAdditionalSample,facilityYear,species_name,taxon_name,old_pathway,photosyntheticPathway_combined2
Abelmoschus_ficulneus,Abelmoschus,ficulneus,Malvaceae,NA,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Abelmoschus ficulneus,Abelmoschus ficulneus,NA,C3
Abelmoschus_moschatus,Abelmoschus,moschatus,Malvaceae,NA,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Abelmoschus moschatus,Abelmoschus moschatus,NA,C3
Abutilon_amplum,Abutilon,amplum,Malvaceae,NA,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Abutilon amplum,Abutilon amplum,NA,C3
Abutilon_cryptopetalum,Abutilon,cryptopetalum,Malvaceae,NA,C3,NA,C3,"Kattge et al., 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Abutilon cryptopetalum,Abutilon cryptopetalum,NA,C3
Abutilon_fraseri,Abutilon,fraseri,Malvaceae,NA,C3,NA,C3,"Kattge et al., 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Abutilon fraseri,Abutilon fraseri,c3,NA
Abutilon_halophilum,Abutilon,halophilum,Malvaceae,NA,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Abutilon halophilum,Abutilon halophilum,c3,NA
Abutilon_hannii,Abutilon,hannii,Malvaceae,NA,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Abutilon hannii,Abutilon hannii,c3,NA
Abutilon_indicum,Abutilon,indicum,Malvaceae,NA,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Abutilon indicum,Abutilon indicum,NA,C3
Abutilon_lepidum,Abutilon,lepidum,Malvaceae,NA,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Abutilon lepidum,Abutilon lepidum,NA,C3
Abutilon_leucopetalum,Abutilon,leucopetalum,Malvaceae,NA,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Abutilon leucopetalum,Abutilon leucopetalum,c3,NA
Abutilon_macrum,Abutilon,macrum,Malvaceae,NA,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Abutilon macrum,Abutilon macrum,NA,C3
Abutilon_otocarpum,Abutilon,otocarpum,Malvaceae,NA,C3,NA,C3,"Kattge et al., 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Abutilon otocarpum,Abutilon otocarpum,c3,NA
Abutilon_oxycarpum,Abutilon,oxycarpum,Malvaceae,NA,C3,NA,C3,"Kattge et al., 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Abutilon oxycarpum,Abutilon oxycarpum,c3,NA
Acacia_acinacea,Acacia,acinacea,Fabaceae,NA,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Acacia acinacea,Acacia acinacea,NA,C3
Acacia_acuaria,Acacia,acuaria,Fabaceae,NA,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Acacia acuaria,Acacia acuaria,NA,C3
Acacia_acuminata,Acacia,acuminata,Fabaceae,NA,C3,NA,C3,"Kattge et al., 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Acacia acuminata,Acacia acuminata,c3,NA
Acacia_adoxa,Acacia,adoxa,Fabaceae,NA,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Acacia adoxa,Acacia adoxa,c3,NA
Acacia_adsurgens,Acacia,adsurgens,Fabaceae,NA,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Acacia adsurgens,Acacia adsurgens,NA,C3
Acacia_alleniana,Acacia,alleniana,Fabaceae,NA,C3,NA,C3,"Kattge et al., 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Acacia alleniana,Acacia alleniana,c3,NA
Acacia_ampliceps,Acacia,ampliceps,Fabaceae,NA,C3,NA,C3,"Kattge et al., 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Acacia ampliceps,Acacia ampliceps,c3,NA
Acacia_anceps,Acacia,anceps,Fabaceae,NA,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Acacia anceps,Acacia anceps,c3,NA
Acacia_ancistrocarpa,Acacia,ancistrocarpa,Fabaceae,NA,C3,NA,C3,"Kattge et al., 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Acacia ancistrocarpa,Acacia ancistrocarpa,c3,NA
Acacia_aneura,Acacia,aneura,Fabaceae,NA,C3,NA,C3,"Kattge et al., 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Acacia aneura,Acacia aneura,c3,NA
Acacia_anfractuosa,Acacia,anfractuosa,Fabaceae,NA,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Acacia anfractuosa,Acacia anfractuosa,NA,C3
Acacia_anthochaera,Acacia,anthochaera,Fabaceae,NA,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Acacia anthochaera,Acacia anthochaera,NA,C3
Acacia_aptaneura,Acacia,aptaneura,Fabaceae,NA,C3,NA,C3,"TERN SIA;Sage, 2016; Watson & Dallwitz, 1992 onwards",NA,NA,-26.3,-26.19,NA,NTA010192,leaves,NTABRT0001-53616,-22.2836,133.2473278,19/03/2012,NA,NA,NA,NA,NA,NA,NA,CSIRO-2019,Acacia aptaneura,Acacia aptaneura,c3,NA
Acacia_araneosa,Acacia,araneosa,Fabaceae,NA,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Acacia araneosa,Acacia araneosa,c3,NA
Acacia_aspera,Acacia,aspera,Fabaceae,NA,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Acacia aspera,Acacia aspera,NA,C3
Acacia_asperulacea,Acacia,asperulacea,Fabaceae,NA,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Acacia asperulacea,Acacia asperulacea,c3,NA
Acacia_assimilis,Acacia,assimilis,Fabaceae,NA,C3,NA,C3,"Kattge et al., 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Acacia assimilis,Acacia assimilis,c3,NA
Acacia_atkinsiana,Acacia,atkinsiana,Fabaceae,NA,C3,NA,C3,"Kattge et al., 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Acacia atkinsiana,Acacia atkinsiana,c3,NA
Acacia_aulacocarpa,Acacia,aulacocarpa,Fabaceae,NA,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Acacia aulacocarpa,Acacia aulacocarpa,NA,C3
Acacia_aulacophylla,Acacia,aulacophylla,Fabaceae,NA,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Acacia aulacophylla,Acacia aulacophylla,NA,C3
Acacia_auratiflora,Acacia,auratiflora,Fabaceae,NA,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Acacia auratiflora,Acacia auratiflora,NA,C3
Acacia_auriculiformis,Acacia,auriculiformis,Fabaceae,NA,C3,NA,C3,"Kattge et al., 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Acacia auriculiformis,Acacia auriculiformis,NA,C3
Acacia_ayersiana,Acacia,ayersiana,Fabaceae,NA,C3,NA,C3,"TERN SIA;Sage, 2016; Watson & Dallwitz, 1992 onwards",NA,NA,-27.15,-27.15,NA,SAA  003915,leaves,SAAGVD0002-56926,-29.34649167,130.4504778,3/9/2014,NA,NA,NA,NA,NA,NA,NA,CSIRO-2019,Acacia ayersiana,Acacia ayersiana,c3,NA
Acacia_bancroftiorum,Acacia,bancroftiorum,Fabaceae,NA,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Acacia bancroftiorum,Acacia bancroftiorum,NA,C3
Acacia_beauverdiana,Acacia,beauverdiana,Fabaceae,NA,C3,NA,C3,"Kattge et al., 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Acacia beauverdiana,Acacia beauverdiana,c3,NA
