genus_root,taxon_name,text,life_history_a,life_history_f,parasitic_a,parasitic_f,plant_growth_form_a,plant_growth_form_f,plant_growth_substrate_a,plant_growth_substrate_f,sex_type_a,sex_type_f,stem_growth_habit_a,stem_growth_habit_f,woodiness_a,woodiness_f,Source
Abelia,Abelia,evergreen or deciduous shrubs.,perennial,inferred_from_growth_form,NA,NA,shrub,shrubs,NA,NA,NA,NA,NA,NA,woody,NA,Text by K.D. Hill. Distribution and Occurrence updated by Kerry Gibbons 24 May 2023.; Taxon concept: Distribution and Occurrence: Kew Plants of the World Online; Australian Plant Census [both accessed 24 May 2023].
Abelia,Abelia x grandiflora,"evergreen to semi-evergreen mounding shrubs to 2.5 m high, densely branched with arching or sprawling long, wiry twigs,",perennial,inferred_from_growth_form,NA,NA,shrub,shrubs,NA,NA,NA,NA,sprawling,sprawling,woody,NA,Text by K.D. Hill (2001); edited KL Wilson (June 2008)
Abelmoschus,Abelmoschus,shrubs or herbs.,NA,NA,NA,NA,herb shrub,herbs shrubs,NA,NA,NA,NA,NA,NA,woody herbaceous,NA,Text by A. S. Mitchell & E. H. Norris
Abelmoschus,Abelmoschus manihot,erect herb or subshrub 1-3 m high;,NA,NA,NA,NA,herb subshrub,herb subshrub,NA,NA,NA,NA,erect,erect,herbaceous,NA,Text by A. S. Mitchell & E. H. Norris
Abelmoschus,Abelmoschus manihot subsp. manihot,erect herb or subshrub 1-3 m high;,NA,NA,NA,NA,herb subshrub,herb subshrub,NA,NA,NA,NA,erect,erect,herbaceous,NA,NA
Abelmoschus,Abelmoschus moschatus,erect herb or subshrub 2-4 m high;,NA,NA,NA,NA,herb subshrub,herb subshrub,NA,NA,NA,NA,erect,erect,herbaceous,NA,Text by A. S. Mitchell & E. H. Norris
Abelmoschus,Abelmoschus moschatus subsp. moschatus,erect herb or subshrub 2-4 m high;,NA,NA,NA,NA,herb subshrub,herb subshrub,NA,NA,NA,NA,erect,erect,herbaceous,NA,Text by A. S. Mitchell & E. H. Norris; status to native updated by L. Murray July 2017; Taxon concept: Flora N.S.W. (1990)
Abildgaardia,Abildgaardia ovata,"glabrous, tufted perennial with very short rhizome.",perennial,perennial,NA,NA,herb graminoid,inferred_from_family,NA,NA,NA,NA,rhizomatous,rhizome,herbaceous,NA,Text by K. L. Wilson; Taxon concept: Flora of NSW 4 (1993)
Abildgaardia,Abildgaardia,"small tufted perennials, occasionally rhizomatous.",perennial,perennials,NA,NA,herb graminoid,inferred_from_family,NA,NA,NA,NA,rhizomatous,rhizomatous,herbaceous,NA,Text by K. L. Wilson
Abrodictyum,Abrodictyum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Text by Louisa Murray; Taxon concept: Ebihara, A., Dubuisson, J.Y., Iwarcuki, K, Hennequin, S. & Ho, M. (2006) A taxonomic revision of the Hymenophylllaceae. Blumea 51; 242"
Abrodictyum,Abrodictyum caudatum,epiphytic;,NA,NA,NA,NA,NA,NA,epiphyte,epiphytic,NA,NA,NA,NA,NA,NA,"Text by Peter G. Wilson; updated Louisa Murray Dec 2016; Taxon concept: Flora of NSW 1 (1990) and Ebihara, A., Dubuisson, J.Y., Iwarcuki, K, Hennequin, S. & Ho, M. (2006) A taxonomic revision of the Hymenophylllaceae. Blumea 51; 242"
Abrodictyum,Abrodictyum obscurum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Text by Peter G. Wilson; updated Louisa Murray Dec 2016; Taxon concept: Flora of NSW 1 (1990) and Ebihara, A., Dubuisson, J.Y., Iwarcuki, K, Hennequin, S. & Ho, M. (2006) A taxonomic revision of the Hymenophylllaceae. Blumea 51; 242"
Abrophyllum,Abrophyllum,shrubs or small trees.,perennial,inferred_from_growth_form,NA,NA,shrub tree,shrubs trees,NA,NA,NA,NA,NA,NA,woody,NA,Text by GJ Harden (1992); Taxon concept: Flora of NSW vol. 3 (1992)
Abrophyllum,Abrophyllum ornans,"shrub or small tree to 8 m high, branchlets herbaceous.",perennial,inferred_from_growth_form,NA,NA,shrub tree,shrub tree,NA,NA,NA,NA,NA,NA,woody,NA,NA
Abrotanella,Abrotanella,"small perennial herbs, usually densely tufted, rarely short-decumbent or ascending, ± glabrous.",perennial,perennial,NA,NA,herb,herbs,NA,NA,NA,NA,decumbent,decumbent ascending,herbaceous,NA,Text by E. A. Brown
Abrotanella,Abrotanella nivigena,"perennial herb, < 5-7 cm high, dense-tufted or with short stem, underground stock ± woody, glabrous.",perennial,perennial,NA,NA,herb,herb,NA,NA,NA,NA,dense,dense,woody_root herbaceous,NA,Text by E. A. Brown; Taxon concept: Flora of NSW 3 (1992)
Abrus,Abrus,"woody subshrubs or lianas pulvinate, paripinnate, minutely stipellate;",NA,NA,NA,NA,subshrub climber_woody,subshrubs lianas,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abrus,Abrus precatorius,woodytwiner with stems to 10 m long.,perennial,inferred_from_growth_form,NA,NA,climber_woody,woodytwiner,NA,NA,NA,NA,NA,NA,woody,inferred_from_growth_form,Text by Text updated Louisa Murray Feb 2014
