taxon_name,trait_name,entity_measured,trait_value,units,value_type
Acanthus mollis,fruit_length,capsule,2,cm,maximum
Aciphylla glacialis,fruit_length,fruit,5.5,mm,minimum
Aciphylla glacialis,fruit_length,fruit,10.5,mm,maximum
Aciphylla simplicifolia,fruit_length,fruit,8,mm,minimum
Aciphylla simplicifolia,fruit_length,fruit,10,mm,maximum
Acokanthera oblongifolia,fruit_length,berry,20,mm,minimum
Acokanthera oblongifolia,fruit_length,berry,25,mm,maximum
Actinidia chinensis,fruit_length,berry,4,cm,minimum
Actinidia chinensis,fruit_length,berry,8,cm,maximum
Actinidia chinensis var. deliciosa,fruit_length,berry,4,cm,minimum
Actinidia chinensis var. deliciosa,fruit_length,berry,8,cm,maximum
Actinotus forsythii,fruit_length,fruit,1.9,mm,minimum
Actinotus forsythii,fruit_length,fruit,2.5,mm,maximum
Actinotus gibbonsii,fruit_length,fruit,1,mm,minimum
Actinotus gibbonsii,fruit_length,fruit,1.8,mm,maximum
Actinotus helianthi,fruit_length,fruit,3.2,mm,minimum
Actinotus helianthi,fruit_length,fruit,5,mm,maximum
Actinotus minor,fruit_length,fruit,1.9,mm,minimum
Actinotus minor,fruit_length,fruit,2.9,mm,maximum
Actinotus paddisonii,fruit_length,fruit,1.9,mm,minimum
Actinotus paddisonii,fruit_length,fruit,2.7,mm,maximum
Aerva javanica,fruit_length,fruit,1,mm,minimum
Aerva javanica,fruit_length,fruit,1.5,mm,maximum
Agave americana,fruit_length,capsule,4,cm,minimum
Agave americana,fruit_length,capsule,6,cm,maximum
Aggreflorum benwellii,fruit_length,fruit,2.5,mm,minimum
Aggreflorum benwellii,fruit_length,fruit,3,mm,maximum
Akania bidwillii,fruit_length,capsule,20,mm,minimum
Akania bidwillii,fruit_length,capsule,30,mm,maximum
Albuca bracteata,fruit_length,capsule,10,mm,maximum
Alisma lanceolatum,fruit_length,nutlet,2,mm,minimum
Alisma lanceolatum,fruit_length,nutlet,2.5,mm,maximum
Alisma plantago-aquatica,fruit_length,nutlet,2,mm,minimum
Alisma plantago-aquatica,fruit_length,nutlet,2.5,mm,maximum
Allium ampeloprasum,fruit_length,capsule,4,mm,maximum
Allium neapolitanum,fruit_length,capsule,4,mm,minimum
Allium neapolitanum,fruit_length,capsule,5,mm,maximum
Allium triquetrum,fruit_length,capsule,6,mm,minimum
Allium triquetrum,fruit_length,capsule,7,mm,maximum
Allium vineale,fruit_length,capsule,3,mm,minimum
Allium vineale,fruit_length,capsule,4,mm,maximum
Alocasia brisbanensis,fruit_length,fruit,8,mm,minimum
Alocasia brisbanensis,fruit_length,fruit,15,mm,maximum
Aloe arborescens,fruit_length,capsule,10,mm,minimum
Aloe arborescens,fruit_length,capsule,14,mm,maximum
Aloe maculata,fruit_length,capsule,20,mm,minimum
Aloe maculata,fruit_length,capsule,35,mm,maximum
Alstonia constricta,fruit_length,follicle,6,cm,minimum
