Taxon,Vegetative persistence,Propagule persistence,Eco Source,Fire Response Adult,Resprout Type,Seed Bank,stem buds
Acacia abbreviata,R-,P+,NA,NA,NA,NA,NA
Acacia acradenia,R-,P+,NA,NA,NA,NA,NA
Acacia adsurgens,R-,P+,NA,NA,NA,NA,NA
Acacia ammobia,R-,P+,NA,NA,NA,NA,NA
Acacia ancistrocarpa,R+,P+,NA,NA,NA,NA,NA
Acacia aneura,R-,P-,NA,NA,NA,NA,NA
Acacia ayersiana,R-,P+,NA,NA,NA,NA,NA
Acacia bivenosa,R+,P+,NA,NA,NA,NA,NA
Acacia colei var. colei,R-,P+,NA,NA,NA,NA,NA
Acacia cowleana,R-,P+,NA,NA,NA,NA,NA
Acacia dictyophleba,R-,P+,NA,NA,NA,NA,NA
Acacia elachantha,R-,P+,NA,NA,NA,NA,NA
Acacia estrophiolata,R+,P-,NA,NA,NA,NA,NA
Acacia georginae,R-,P-,NA,NA,NA,NA,NA
Acacia hemignosta,R+,P-,NA,NA,NA,NA,NA
Acacia hilliana,R-,P+,NA,NA,NA,NA,NA
Acacia holosericea,R-,P-,NA,NA,NA,NA,NA
Acacia kempeana,R+,P+,NA,NA,NA,NA,NA
Acacia ligulata,R-,P+,NA,NA,NA,NA,NA
Acacia lycopodiifolia,R-,P+,NA,NA,NA,NA,NA
Acacia lysiphloia,R-,P+,NA,NA,NA,NA,NA
Acacia macdonnellensis subsp. macdonnellensis,R-,P+,NA,NA,NA,NA,NA
Acacia maitlandii,R+,P-,NA,NA,NA,NA,NA
Acacia melleodora,R-,P+,NA,NA,NA,NA,NA
Acacia minyura,R-,P+,NA,NA,NA,NA,NA
Acacia monticola,R-,P+,NA,NA,NA,NA,NA
Acacia murrayana,R+,P+,NA,NA,NA,NA,NA
Acacia neurocarpa,R-,P+,NA,NA,NA,NA,NA
Acacia paraneura,R-,P-,NA,NA,NA,NA,NA
Acacia pruinocarpa,R+,P-,NA,NA,NA,NA,VI
Acacia ramulosa var. ramulosa,R-,P+,NA,NA,NA,NA,NA
Acacia retivenea subsp. retivenea,R-,P+,NA,NA,NA,NA,NA
Acacia sericophylla,R+,P-,NA,NA,NA,NA,VI
Acacia sessiliceps,R+,P-,NA,NA,NA,NA,NA
Acacia sibirica,R-,P-,NA,NA,NA,NA,NA
Acacia spondylophylla,R-,P+,NA,NA,NA,NA,NA
Acacia stipuligera,R-,P+,NA,NA,NA,NA,NA
Acacia strongylophylla,R-,P+,NA,NA,NA,NA,NA
Acacia tenuissima,R-,P-,NA,NA,NA,NA,NA
Acacia tetragonophylla,R-,P-,NA,NA,NA,NA,NA
Acacia validinervia,R+,P+,NA,NA,NA,NA,NA
Acacia victoriae subsp. arida,R+,P+,NA,NA,NA,NA,NA
Adansonia gregorii,R+,P+,NA,NA,NA,NA,VI
Adriana tomentosa var. hookeri,R+,P-,NA,NA,NA,NA,NA
Alectryon oleifolius subsp. elongatus,R+,P-,NA,NA,NA,NA,NA
Allocasuarina decaisneana,R+,P-,NA,NA,NA,NA,VI
Aluta maisonneuvei subsp. maisonneuvei,R-,P-,NA,NA,NA,NA,NA
Alyogyne pinoniana,R+,P-,NA,NA,NA,NA,NA
Amyema bifurcata,R-,P-,NA,NA,NA,NA,NA
Amyema gibberula var. gibberula,R-,P-,NA,NA,NA,NA,NA
Amyema hilliana,R-,P-,NA,NA,NA,NA,NA
Amyema maidenii subsp. maidenii,R-,P-,NA,NA,NA,NA,NA
Amyema miquelii,R-,P-,NA,NA,NA,NA,NA
Amyema preissii,R-,P-,NA,NA,NA,NA,NA
Amyema quandang var. quandang,R-,P-,NA,NA,NA,NA,NA
Amyema sanguinea var. sanguinea,R-,P-,NA,NA,NA,NA,NA
Anthobolus leptomerioides,R+,P-,NA,NA,NA,NA,NA
Atalaya hemiglauca,R+,P-,NA,NA,NA,NA,NA
Baeckea polystemonea,R-,P-,NA,NA,NA,NA,NA
Callitris glaucophylla,R-,P-,NA,NA,NA,NA,NA
Calytrix carinata,R+,P-,NA,NA,NA,NA,NA
Capparis lasiantha,R+,P-,NA,NA,NA,NA,VI
Capparis mitchellii,R+,P-,NA,NA,NA,NA,VI
Capparis umbonata,R+,P-,NA,NA,NA,NA,VI
Carissa lanceolata,R+,P-,NA,NA,NA,NA,NA
Chenopodium auricomum,R+,P-,NA,NA,NA,NA,NA
Chenopodium nitrariaceum,R+,P-,NA,NA,NA,NA,NA
Clerodendrum floribundum var. ovatum,R+,P-,NA,NA,NA,NA,NA
Codonocarpus cotinifolius,R+,P+,NA,NA,NA,NA,VI
Comesperma viscidulum,R-,P+,NA,NA,NA,NA,NA
Corymbia aparrerinja,R+,P+,NA,NA,NA,NA,VI
Corymbia aspera,R+,P-,NA,NA,NA,NA,VI
Corymbia chippendalei,R+,P-,NA,NA,NA,NA,VI
Corymbia eremaea subsp. oligocarpa,R+,P-,NA,NA,NA,NA,VI
Corymbia flavescens,R+,P+,NA,NA,NA,NA,VI
Corymbia opaca,R+,P-,NA,NA,NA,NA,VI
Crotalaria cunninghamii subsp. cunninghamii,R+,P+,NA,NA,NA,NA,NA
Croton aridus,R+,P-,NA,NA,NA,NA,NA
Daviesia arthropoda,R+,P-,NA,NA,NA,NA,NA
Dipteracanthus australasicus subsp. australasicus,R-,P-,NA,NA,NA,NA,NA
Dodonaea coriacea,R+,P-,NA,NA,NA,NA,NA
Dodonaea lanceolata var. lanceolata,R-,P+,NA,NA,NA,NA,NA
Dodonaea viscosa subsp. angustissima,R+,P+,NA,NA,NA,NA,NA
Dodonaea viscosa subsp. mucronata,R+,P+,NA,NA,NA,NA,NA
Duboisia hopwoodii,R+,P-,NA,NA,NA,NA,NA
Einadia nutans subsp. eremaea,R-,P-,NA,NA,NA,NA,NA
Enchylaena tomentosa,R-,P-,NA,NA,NA,NA,NA
Eremophila christophori,R+,P+,NA,NA,NA,NA,NA
Eremophila duttonii,R+,P-,NA,NA,NA,NA,NA
Eremophila elderi,R+,P-,NA,NA,NA,NA,NA
Eremophila freelingii,R+,P-,NA,NA,NA,NA,NA
Eremophila gilesii subsp. gilesii,R-,P-,NA,NA,NA,NA,NA
Eremophila glabra subsp. glabra,R+,P-,NA,NA,NA,NA,NA
