climate,plantID,who,spp,site_spp,abs400_700,absLCF,PRI,Rred/Rgreen,R400-700
hiRhiP,AstFlo1,ian,AstFlo,hiRhiP_AstFlo,0.903,0.917,-0.024,0.674,0.056
hiRhiP,AstFlo2,ian,AstFlo,hiRhiP_AstFlo,0.905,0.918,0.006,0.612,0.061
hiRhiP,AstFlo3,ian,AstFlo,hiRhiP_AstFlo,0.904,0.917,-0.011,0.614,0.061
hiRhiP,BreObl1,ian,BreObl,hiRhiP_BreObl,0.861,0.876,-0.019,0.569,0.086
hiRhiP,BreObl2,ian,BreObl,hiRhiP_BreObl,0.867,0.884,-0.034,0.753,0.078
hiRhiP,EucUmb0,ian,EucUmb,hiRhiP_EucUmb,0.909,0.92,0.001,0.729,0.062
hiRhiP,EucUmb1,ian,EucUmb,hiRhiP_EucUmb,0.893,0.906,0.011,0.819,0.063
hiRhiP,MacCom1,ian,MacCom,hiRhiP_MacCom,0.939,0.946,0.01,0.776,0.054
hiRhiP,MacCom2,ian,MacCom,hiRhiP_MacCom,0.938,0.947,0.037,0.763,0.052
hiRhiP,MacCom3,ian,MacCom,hiRhiP_MacCom,0.94,0.948,0.031,0.771,0.054
hiRhiP,NotLon1,ian,NotLon,hiRhiP_NotLon,0.91,0.918,-0.01,0.722,0.063
hiRhiP,NotLon2,ian,NotLon,hiRhiP_NotLon,0.889,0.897,0.003,0.8,0.07
hiRhiP,PitUnd1,ian,PitUnd,hiRhiP_PitUnd,0.902,0.909,-0.014,0.825,0.054
hiRhiP,PitUnd2,ian,PitUnd,hiRhiP_PitUnd,0.906,0.914,0.011,0.679,0.059
hiRhiP,PolSam1,ian,PolSam,hiRhiP_PolSam,0.907,0.919,-0.009,0.675,0.065
hiRhiP,PolSam2,ian,PolSam,hiRhiP_PolSam,0.897,0.909,-0.021,0.675,0.067
hiRhiP,SynGla1,ian,SynGla,hiRhiP_SynGla,0.924,0.938,-0.063,0.766,0.064
hiRhiP,SynGla2,ian,SynGla,hiRhiP_SynGla,0.94,0.948,0.005,0.65,0.053
hiRhiP,SynGla3,ian,SynGla,hiRhiP_SynGla,0.919,0.937,0.009,0.778,0.062
hiRhiP,SynGlo1,ian,SynGlo,hiRhiP_SynGlo,0.913,0.923,0.017,0.762,0.058
hiRhiP,SynGlo2,ian,SynGlo,hiRhiP_SynGlo,0.909,0.917,0.011,0.708,0.06
hiRhiP,SynGlo3,ian,SynGlo,hiRhiP_SynGlo,0.896,0.905,-0.001,0.677,0.07
hiRhiP,XylPyr21RY,liz,XylPyr,hiRhiP_XylPyr,0.897,0.904,-0.002,0.703,0.064
hiRhiP,XylPyr3BW,liz,XylPyr,hiRhiP_XylPyr,0.901,0.913,-0.027,0.671,0.062
hiRhiP,XylPyr5RY,liz,XylPyr,hiRhiP_XylPyr,0.9,0.911,0,0.688,0.06
hiRhiP,XylPyr9BW,liz,XylPyr,hiRhiP_XylPyr,0.887,0.893,-0.012,0.764,0.057
hiRloP,AcaMyr12BW,liz,AcaMyr,hiRloP_AcaMyr,0.924,0.933,0.035,0.696,0.063
hiRloP,AcaMyr25BW,liz,AcaMyr,hiRloP_AcaMyr,0.896,0.909,0.017,0.748,0.07
hiRloP,AcaMyr4BW,liz,AcaMyr,hiRloP_AcaMyr,0.911,0.917,-0.014,0.684,0.08
hiRloP,Acasua1,ian,Acasua,hiRloP_Acasua,0.898,0.911,-0.028,0.698,0.082
hiRloP,Acasua1b,ian,Acasua,hiRloP_Acasua,0.893,0.904,0.004,0.762,0.089
hiRloP,AngHis12GR,liz,AngHis,hiRloP_AngHis,0.894,0.899,0.008,0.715,0.067
hiRloP,AngHis29GRRY,liz,AngHis,hiRloP_AngHis,0.891,0.899,0.014,0.703,0.065
hiRloP,AngHis2GR,liz,AngHis,hiRloP_AngHis,0.887,0.895,-0.017,0.841,0.073
hiRloP,BanMar3xx,liz,BanMar,hiRloP_BanMar,0.935,0.94,-0.057,0.71,0.054
