ID,Species,spp,site_name,LfSize(cm2),SLA(cm/2),N%,P%,Narea,Parea
83,Banksia aemula,BanAem,AgnesBanks,18.2,55,0.59,0.019,1.07,0.03
84,Banksia aemula,BanAem,AgnesBanks,15,57.4,0.42,0.022,0.72,0.04
66,Eucalyptus sclerophylla,EucScl,AgnesBanks,35.1,49.9,0.67,0.029,1.34,0.06
73,Eucalyptus sclerophylla,EucScl,AgnesBanks,46,51.4,0.7,0.031,1.36,0.06
78,Eucalyptus sclerophylla,EucScl,AgnesBanks,20.7,48.3,0.86,0.038,1.77,0.08
68,Persoonia laurina,PerLau,AgnesBanks,17.1,61.8,0.44,0.029,0.71,0.05
69,Acacia falcata,AcaFal,Castlereagh1,23.5,85.3,2.1,0.066,2.46,0.08
72,Acacia falcata,AcaFal,Castlereagh1,23.9,66.7,1.87,0.043,2.81,0.06
74,Acacia falcata,AcaFal,Castlereagh1,20,79.2,1.82,0.051,2.3,0.06
58,Eucalyptus fibrosa,EucFib,Castlereagh1,63.1,45.3,1,0.034,2.19,0.08
65,Eucalyptus fibrosa,EucFib,Castlereagh1,58.2,44.2,0.97,0.043,2.19,0.1
71,Eucalyptus fibrosa,EucFib,Castlereagh1,45.7,54.7,1,0.041,1.87,0.08
75,Macrozamia spiralis,MacSpi,Castlereagh1,5.4,41,1.37,0.062,3.34,0.15
76,Macrozamia spiralis,MacSpi,Castlereagh1,8.8,39,1.78,0.071,4.56,0.18
77,Banksia spinulosa,BanSpi,Castlereagh2,2.1,46.5,0.6,0.019,1.3,0.04
79,Banksia spinulosa,BanSpi,Castlereagh2,1.3,46,0.48,0.012,1.04,0.03
82,Banksia spinulosa,BanSpi,Castlereagh2,1.3,44.1,0.31,0.018,0.7,0.04
70,Eucalyptus haemostoma,EucHae,Castlereagh2,18.6,69.6,1.15,0.063,1.65,0.09
81,Eucalyptus haemostoma,EucHae,Castlereagh2,11.5,74.1,0.96,0.068,1.3,0.09
60,Persoonia laurina,PerLau,Castlereagh2,9.8,63.3,0.38,0.023,0.59,0.04
67,Persoonia laurina,PerLau,Castlereagh2,19.3,60.1,0.37,0.023,0.62,0.04
50,Acacia myrtifolia,AcaMyr,KCNP_east,4.2,69,1.66,0.015,2.41,0.02
62,Acacia suaveolens,AcaSua,KCNP_east,2.3,67.9,1.94,0.032,2.86,0.05
47,Banksia oblongifolia,BanObl,KCNP_east,9.9,37.9,0.73,0.022,1.92,0.06
48,Banksia oblongifolia,BanObl,KCNP_east,14.2,35.9,0.63,0.022,1.75,0.06
56,Eriostemon australasius,EriAus,KCNP_east,1.1,81.1,1.19,0.01,1.47,0.01
57,Eriostemon australasius,EriAus,KCNP_east,1.5,66,1.4,0.011,2.12,0.02
80,Eriostemon australasius,EriAus,KCNP_east,1.4,63.3,,0.012,,0.02
63,Grevillea speciosa,GreSpe,KCNP_east,1.3,75.8,0.33,0.019,0.44,0.02
64,Grevillea speciosa,GreSpe,KCNP_east,0.9,76.2,0.57,0.007,0.75,0.01
36,Hakea dactyloides,HakDac,KCNP_east,16,27,0.5,0.015,1.85,0.06
96,Acacia longifolia,AcaSua,MU_forest,19.5,84.9,2.38,0.041,2.8,0.05
86,Pittosporum undulatum,PitUnd,MU_forest,14.8,85.5,1.47,0.079,1.72,0.09
87,Pittosporum undulatum,PitUnd,MU_forest,29.4,84.3,1.69,0.095,2,0.11
89,Polyscias sambucifolia,PolSam,MU_forest,15.9,119.1,1.37,0.074,1.15,0.06
90,Polyscias sambucifolia,PolSam,MU_forest,18.4,90.3,1.06,0.06,1.17,0.07
95,Agathis moorei,AgaMoo,MUcampus,21.2,56.7,0.88,0.079,1.55,0.14
1,Agathis robusta,AgaRob,MUcampus,24.3,76.4,,0.038,,0.05
6,Agathis robusta,AgaRob,MUcampus,24,76.8,1.1,0.078,1.43,0.1
92,Araucaria bidwilii,AraBid,MUcampus,3.1,64.8,1.3,0.166,2,0.26
2,Banksia integrifolia,BanInt,MUcampus,8.8,45.7,0.86,0.043,1.88,0.09
35,Banksia integrifolia,BanInt,MUcampus,7.8,41.9,0.59,0.039,1.4,0.09
3,Banksia robur,BanRob,MUcampus,109.2,49.2,0.6,0.035,1.31,0.07
88,Banksia robur,BanRob,MUcampus,143.9,81,0.7,0.061,0.9,0.08
97,Banksia robur,BanRob,MUcampus,124.7,115,1.16,0.091,1.01,0.08
4,Banksia serrata,BanSer,MUcampus,19.6,58.7,0.62,0.043,1.06,0.07
46,Macadamia ternifolia,MacTer,MUcampus,36.6,52.2,0.89,0.04,1.7,0.08
85,Macadamia ternifolia,MacTer,MUcampus,34.4,71.9,1.07,0.09,1.49,0.12
17,Podocarpus elatus,PodEla,MUcampus,11.1,44.3,0.9,0.176,2.03,0.4
61,Podocarpus elatus,PodEla,MUcampus,11.9,54.3,0.99,0.193,1.82,0.36
25,Acacia suaveolens,AcaSua,KCNP_west,3,54.1,2.29,0.026,4.23,0.05
5,Angophora hispida,AngHis,KCNP_west,19.8,48.2,0.66,0.032,1.37,0.07
9,Angophora hispida,AngHis,KCNP_west,14.8,78.6,0.6,0.04,0.76,0.05
13,Angophora hispida,AngHis,KCNP_west,26.7,56,0.54,0.038,0.96,0.07
14,Angophora hispida,AngHis,KCNP_west,20.1,49.6,0.59,0.037,1.19,0.07
24,Banksia marginata,BanMar,KCNP_west,2.7,42.9,0.4,0.008,0.93,0.02
27,Banksia marginata,BanMar,KCNP_west,1.6,50.6,0.47,0.015,0.93,0.03
29,Banksia marginata,BanMar,KCNP_west,2.1,42.2,0.5,0.009,1.19,0.02
54,Banksia marginata,BanMar,KCNP_west,2.5,46.5,0.39,0.012,0.85,0.03
7,Banksia oblongifolia,BanObl,KCNP_west,8,43.4,0.89,0.021,2.05,0.05
16,Banksia serrata,BanSer,KCNP_west,26.8,41.3,0.53,0.023,1.28,0.06
18,Banksia serrata,BanSer,KCNP_west,27.3,41.7,0.45,0.032,1.08,0.08
19,Banksia serrata,BanSer,KCNP_west,34.1,37.7,0.66,0.02,1.75,0.05
23,Corymbia gummifera,CorGum,KCNP_west,37,44.7,0.6,0.024,1.34,0.05
20,Hakea dactyloides,HakDac,KCNP_west,18.7,37.9,0.36,0.023,0.95,0.06
21,Hakea dactyloides,HakDac,KCNP_west,12.2,32.7,0.44,0.015,1.35,0.05
22,Lambertia formosa,LamFor,KCNP_west,1.5,46.7,0.49,0.012,1.05,0.02
59,Lambertia formosa,LamFor,KCNP_west,1.4,44,0.5,0.013,1.14,0.03
11,Persoonia lanceolata,PerLan,KCNP_west,3.2,61.5,0.97,0.01,1.58,0.02
15,Persoonia lanceolata,PerLan,KCNP_west,4.3,55.1,0.9,0.066,1.63,0.12
26,Persoonia lanceolata,PerLan,KCNP_west,3.6,52.4,0.32,0.022,0.61,0.04
8,Persoonia levis,PerLev,KCNP_west,25.1,60.3,0.58,0.025,0.96,0.04
10,Persoonia levis,PerLev,KCNP_west,19.8,56.1,0.64,0.024,1.14,0.04
12,Persoonia levis,PerLev,KCNP_west,14.8,54,0.57,0.025,1.06,0.05
28,Astrotrichia floccosa,AstFlo,WestHead,66.1,165.5,2.1,0.07,1.26,0.04
30,Astrotrichia floccosa,AstFlo,WestHead,46.3,148.7,1.3,0.046,0.85,0.03
31,Astrotrichia floccosa,AstFlo,WestHead,61.5,143,1.6,0.055,1.12,0.04
55,Breynia oblongifolia,BreObl,WestHead,5.7,86.6,1.61,0.029,1.86,0.03
51,Eucalyptus umbra,EucUmb,WestHead,29.1,50.9,0.72,0.028,1.41,0.05
52,Eucalyptus umbra,EucUmb,WestHead,24.4,65,0.94,0.055,1.45,0.08
53,Lambertia formosa,LamFor,WestHead,1.8,47.8,0.31,0.018,0.65,0.04
44,Macrozamia communis,MacCom,WestHead,19.6,47.2,1.36,0.068,2.88,0.14
45,Macrozamia communis,MacCom,WestHead,24.3,40.9,1.5,0.061,3.67,0.15
37,Notelaea longifolia,NotLon,WestHead,44.1,55.8,0.63,0.027,1.13,0.05
38,Notelaea longifolia,NotLon,WestHead,22.8,58.4,0.75,0.031,1.28,0.05
41,Syncarpia glomulifera,SynGlo,WestHead,13.8,81,1.07,0.044,1.32,0.05
42,Syncarpia glomulifera,SynGlo,WestHead,25.1,70.2,0.77,0.03,1.1,0.04
43,Syncarpia glomulifera,SynGlo,WestHead,13.3,58.5,0.68,0.032,1.16,0.05
32,Synoum glandulosum,SynGla,WestHead,9,137.1,1.45,0.075,1.06,0.05
33,Synoum glandulosum,SynGla,WestHead,10.1,90.8,1.37,0.062,1.51,0.07
34,Synoum glandulosum,SynGla,WestHead,8.6,105.9,1.4,0.066,1.32,0.06
39,Xylomelum pyriforme,XylPyr,WestHead,33.2,69.4,0.87,0.028,1.25,0.04
40,Xylomelum pyriforme,XylPyr,WestHead,39.6,62.5,0.58,0.036,0.93,0.06
49,Xylomelum pyriforme,XylPyr,WestHead,38.9,68.1,1.3,0.037,1.91,0.05
