abbreviation,Species
A.cos,Angophora costata
A.flo,Angophora floribunda
C.gum,Corymbia gummifera
C.mac,Corymbia maculata
E.agg,Eucalyptus agglomerata
E.alb,Eucalyptus albens
E.ang,Eucalyptus angophoroides
E.bau,Eucalyptus baueriana
E.bax,Eucalyptus baxteri
E.bos,Eucalyptus bosistoana
E.bot,Eucalyptus botryoides
E.bri,Eucalyptus bridgesiana
E.cam,Eucalyptus camaldulensis
E.cro,Eucalyptus croajingolensis
E.csdn,Eucalyptus consideniana
E.cspc,Eucalyptus conspicua
E.cyp,Eucalyptus cypellocarpa
E.del,Eucalyptus delegatensis
E.div,Eucalyptus dives
E.ela,Eucalyptus elata
E.eug,Eucalyptus eugenioides
E.fas,Eucalyptus fastigata
E.fib,Eucalyptus fibrosa
E.ful,Eucalyptus fulgens
E.gla,Eucalyptus glaucescens
E.glbd,Eucalyptus globoidea
E.glblb,Eucalyptus globulus subsp. bicostata
E.gon,Eucalyptus goniocalyx
E.kit,Eucalyptus kitsoniana
E.kyb,Eucalyptus kybeanensis
E.long,Eucalyptus longifolia
E.mac,Eucalyptus macrorhyncha
E.man,Eucalyptus mannifera
E.mca,Eucalyptus microcarpa
E.mel,Eucalyptus melliodora
E.mue,Eucalyptus muelleriana
E.obl,Eucalyptus obliqua
E.ova,Eucalyptus ovata
E.pan,Eucalyptus paniculata
E.panv,Eucalyptus polyanthemos subsp. vestita
E.paua,Eucalyptus pauciflora subsp. acerina
E.paup,Eucalyptus pauciflora subsp. pauciflora
E.per,Eucalyptus perriniana
E.radra,Eucalyptus radiata subsp. radiata
E.radro,Eucalyptus radiata subsp. robertsonii
E.reg,Eucalyptus regnans
E.rub,Eucalyptus rubida
E.sie,Eucalyptus sieberi
E.ste,Eucalyptus stellulata
E.tri,Eucalyptus tricarpa
E.vimp,Eucalyptus viminalis subsp. pryoriana
E.vimv,Eucalyptus viminalis subsp. viminalis
