genus_species,individual,Species.code,number,Site,Rainfall,Soil.nutrient,Group,Diamter_of_sapwood_for_mechanical_test (mm),Diameter_of_whole_stem_for_mechanical_test (mm),Estimated_bark_thickness (mm),Drymatter content (sapwood),Drymatter content (whole stem),"Fresh_density (Sapwood, g/cm3)","Dry_density (Sapwood, g/cm3)","Fresh_density (Whole stem, g/cm3)","Dry_wood_density (whole stem, g/cm3)","Youngs_modulus (sapwood, Mpa)","Bending_strength (sapwood, Mpa)","Youngs_modulus (whole stem, Mpa)","Bending_strength (whole stem, Mpa)","Youngs_modulus (bark, Mpa)"
Acacia floribunda,AcaFlo_1_at_HR-HN,AcaFlo,1,"Westhead, Kuringai",high,high,HR-HN,4,5.62,0.8808032,0.600352734,0.568646271,1.030909091,0.618909091,1.111333333,0.631955556,11536.32,105.08814,5823.61,73.80372,4191.920981
Acacia floribunda,AcaFlo_2_at_HR-HN,AcaFlo,2,"Westhead, Kuringai",high,high,HR-HN,4.37,5.98,1.0449128,0.612557604,0.546381462,0.964444444,0.590777778,1.02,0.557309091,14063,124.36861,7085.4,81.48994,5563.167731
Acacia floribunda,AcaFlo_3_at_HR-HN,AcaFlo,3,"Westhead, Kuringai",high,high,HR-HN,4.95,5.78,0.9537408,0.628814843,0.558113701,0.978148148,0.615074074,1.043409091,0.582340909,9505.88,93.34438,6462.68,79.78067,5694.760964
Acacia floribunda,AcaFlo_4_at_HR-HN,AcaFlo,4,"Westhead, Kuringai",high,high,HR-HN,4.91,4.64,0.4340604,0.621948424,0.490861345,1.090625,0.6783125,1.057777778,0.519222222,11970.99,112.84999,5988.68,69.79281,1351.340024
Acacia floribunda,AcaFlo_5_at_HR-HN,AcaFlo,5,"Westhead, Kuringai",high,high,HR-HN,4.27,6.06,1.0813816,0.588574748,0.494578524,1.075833333,0.633208333,1.099615385,0.543846154,8303.71,81.51994,4214.05,54.05287,3370.134365
Astrotricha floccosa,AstFlo_1_at_HR-HN,AstFlo,1,"Westhead, Kuringai",high,high,HR-HN,5.32,6.45,0.519477,0.563039591,0.494365427,0.910465116,0.512627907,0.945517241,0.467431034,9579.27,78.83205,5307.46,59.79882,1114.874404
Astrotricha floccosa,AstFlo_2_at_HR-HN,AstFlo,2,"Westhead, Kuringai",high,high,HR-HN,6,6.68,0.5388568,0.550941817,0.429362445,0.9556,0.52648,0.970338983,0.416627119,10408.19,92.95441,3122.77,38.44504,-4010.262651
Astrotricha floccosa,AstFlo_3_at_HR-HN,AstFlo,3,"Westhead, Kuringai",high,high,HR-HN,5.09,6.04,0.4849304,0.562178828,0.45494655,0.949268293,0.533658537,0.989423077,0.450134615,11379.33,102.345,5565.93,53.21687,-166.9671788
Astrotricha floccosa,AstFlo_4_at_HR-HN,AstFlo,4,"Westhead, Kuringai",high,high,HR-HN,4.19,6.29,0.5059954,0.451389617,0.47628,0.794583333,0.358666667,0.961538462,0.457961538,8082.5,62.36931,5968.22,56.22932,3889.432362
Astrotricha floccosa,AstFlo_5_at_HR-HN,AstFlo,5,"Westhead, Kuringai",high,high,HR-HN,6.19,5.48,0.4377448,0.426860383,0.299401619,0.83,0.354294118,0.71025,0.21265,5620.79,49.03406,1848.46,19.353,-1900.386433
