genus_speceis,Species.code,number,individual,Site,Rainfall,Soil.nutrient,Group,context,Diamter_of_sapwood_for_mechanical_test (mm),Estimated_bark_thickness (mm),Drymatter content,Fresh_density (g/cm3),Dry_density (g/cm3),Youngs_modulus (Mpa),Bending_strength (Mpa),"Youngs_modulus (bark, Mpa)",species_name
Acacia floribunda,AcaFlo,1,AcaFlo_1_at_HR-HN,"Westhead, Kuringai",high,high,HR-HN,sapwood,4,0.8808032,0.600352734,1.030909091,0.618909091,11536.32,105.08814,4191.920981,Acacia floribunda
Acacia floribunda,AcaFlo,2,AcaFlo_2_at_HR-HN,"Westhead, Kuringai",high,high,HR-HN,sapwood,4.37,1.0449128,0.612557604,0.964444444,0.590777778,14063,124.36861,5563.167731,Acacia floribunda
Acacia floribunda,AcaFlo,3,AcaFlo_3_at_HR-HN,"Westhead, Kuringai",high,high,HR-HN,sapwood,4.95,0.9537408,0.628814843,0.978148148,0.615074074,9505.88,93.34438,5694.760964,Acacia floribunda
Acacia floribunda,AcaFlo,4,AcaFlo_4_at_HR-HN,"Westhead, Kuringai",high,high,HR-HN,sapwood,4.91,0.4340604,0.621948424,1.090625,0.6783125,11970.99,112.84999,1351.340024,Acacia floribunda
Acacia floribunda,AcaFlo,5,AcaFlo_5_at_HR-HN,"Westhead, Kuringai",high,high,HR-HN,sapwood,4.27,1.0813816,0.588574748,1.075833333,0.633208333,8303.71,81.51994,3370.134365,Acacia floribunda
Astrotricha floccosa,AstFlo,1,AstFlo_1_at_HR-HN,"Westhead, Kuringai",high,high,HR-HN,sapwood,5.32,0.519477,0.563039591,0.910465116,0.512627907,9579.27,78.83205,1114.874404,Astrotricha floccosa
Astrotricha floccosa,AstFlo,2,AstFlo_2_at_HR-HN,"Westhead, Kuringai",high,high,HR-HN,sapwood,6,0.5388568,0.550941817,0.9556,0.52648,10408.19,92.95441,-4010.262651,Astrotricha floccosa
Astrotricha floccosa,AstFlo,3,AstFlo_3_at_HR-HN,"Westhead, Kuringai",high,high,HR-HN,sapwood,5.09,0.4849304,0.562178828,0.949268293,0.533658537,11379.33,102.345,-166.9671788,Astrotricha floccosa
Astrotricha floccosa,AstFlo,4,AstFlo_4_at_HR-HN,"Westhead, Kuringai",high,high,HR-HN,sapwood,4.19,0.5059954,0.451389617,0.794583333,0.358666667,8082.5,62.36931,3889.432362,Astrotricha floccosa
Astrotricha floccosa,AstFlo,5,AstFlo_5_at_HR-HN,"Westhead, Kuringai",high,high,HR-HN,sapwood,6.19,0.4377448,0.426860383,0.83,0.354294118,5620.79,49.03406,-1900.386433,Astrotricha floccosa
Lasiopetalum ferrugineum,LasFer,1,LasFer_1_at_HR-HN,"Westhead, Kuringai",high,high,HR-HN,sapwood,4.45,0.62263,0.655189788,1.145,0.750192308,16864.77,157.95042,4119.734824,Lasiopetalum ferrugineum
Lasiopetalum ferrugineum,LasFer,2,LasFer_2_at_HR-HN,"Westhead, Kuringai",high,high,HR-HN,sapwood,4.18,0.5451913,0.643144176,1.188064516,0.764096774,19480.74,191.32942,11304.77512,Lasiopetalum ferrugineum
Lasiopetalum ferrugineum,LasFer,3,LasFer_3_at_HR-HN,"Westhead, Kuringai",high,high,HR-HN,sapwood,4.95,0.5519251,0.646343179,1.185,0.765916667,20605.15,182.36473,5292.581836,Lasiopetalum ferrugineum
Lasiopetalum ferrugineum,LasFer,4,LasFer_4_at_HR-HN,"Westhead, Kuringai",high,high,HR-HN,sapwood,4.7,0.454285,0.61941996,1.065757576,0.660151515,14245.59,144.90836,9967.403714,Lasiopetalum ferrugineum
Lasiopetalum ferrugineum,LasFer,5,LasFer_5_at_HR-HN,"Westhead, Kuringai",high,high,HR-HN,sapwood,4.28,0.4509181,0.681391831,1.101666667,0.750666667,16864.96,162.2238,16033.44757,Lasiopetalum ferrugineum
Lomatia silaifolia,LomSil,1,LomSil_1_at_HR-HN,"Westhead, Kuringai",high,high,HR-HN,sapwood,4.69,0.4188957,0.489140625,1.066666667,0.52175,11764.51,93.49499,5103.091437,Lomatia silaifolia
Lomatia silaifolia,LomSil,2,LomSil_2_at_HR-HN,"Westhead, Kuringai",high,high,HR-HN,sapwood,4.72,0.2164308,0.546173763,1.08625,0.59328125,11736.41,94.93271,-6615.440324,Lomatia silaifolia
Lomatia silaifolia,LomSil,3,LomSil_3_at_HR-HN,"Westhead, Kuringai",high,high,HR-HN,sapwood,4.65,0.5538723,0.533938041,1.155806452,0.617129032,13587.09,107.78411,7180.533244,Lomatia silaifolia
Lomatia silaifolia,LomSil,4,LomSil_4_at_HR-HN,"Westhead, Kuringai",high,high,HR-HN,sapwood,4.21,0.6581724,0.512167983,1.1144,0.57076,10583.59,92.81544,4308.743305,Lomatia silaifolia
Lomatia silaifolia,LomSil,5,LomSil_5_at_HR-HN,"Westhead, Kuringai",high,high,HR-HN,sapwood,5.13,0.7808784,0.423737113,1.141176471,0.483558824,9549.26,89.25446,4201.861272,Lomatia silaifolia
Persoonia linearis,PerLin,1,PerLin_1_at_HR-HN,"Westhead, Kuringai",high,high,HR-HN,sapwood,4.79,0.787974,0.490660653,1.108529412,0.543911765,7379.51,76.14867,4970.930142,Persoonia linearis
Persoonia linearis,PerLin,2,PerLin_2_at_HR-HN,"Westhead, Kuringai",high,high,HR-HN,sapwood,3.8,0.6903116,0.492757009,1.167272727,0.575181818,11269.49,107.56448,2040.250684,Persoonia linearis
Persoonia linearis,PerLin,3,PerLin_3_at_HR-HN,"Westhead, Kuringai",high,high,HR-HN,sapwood,3.67,0.5793316,0.505871122,1.102631579,0.557789474,10278.4,82.49511,1717.06811,Persoonia linearis
