Genus Authority,Photosynthetic types,Species sampled,References,Notes
Aciachne Benth.,C3,Aciachne pulvinata Benth,Watson & Dallwitz (1992 onwards),
Acidosasa Chu & Chao,C3, -,BEP clade,
Acostia Swallen,C4, -,This study,"A. gracilis: Kranz anatomy (Morrone, pers. comm.); C4 isotope value = -12.9"
Acrachne Chiov.,C4," Acrachne racemosa Ohwi, Acrachne verticillata Wight & Arn.",Watson & Dallwitz (1992 onwards),
Acritochaete Pilger,C3,Acritochaete volkensii Pilger,Watson & Dallwitz (1992 onwards),
Acroceras Stapf,C3,"Acroceras macrum Stapf, Acroceras munroanum (Balansa) Henrard, Acroceras tonkinense (Balansa) C.E.Hubb. ex Bor, Acroceras zizanioides (Humb., Bonpl. & Kunth) Dandy",Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Actinocladum Soderstrom,C3,Actinocladum verticillatum (Nees),Watson & Dallwitz (1992 onwards),
Aegilops L.,C3,"Aegilops crassa Boiss., Aegilops cylindrica Host, Aegilops triaristata Willd., Aegilops ventricosa Tausch",Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Aegopogon Willd.,C4,Aegopogon cenchroides Willd.,Watson & Dallwitz (1992 onwards),
Aeluropus Trin.,C4,Aeluropus littoralis (Gouan) Parl.,Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Afrotrichloris Chiov.,C4,Afrotrichloris martinii Chiov.,Watson & Dallwitz (1992 onwards),
Agenium Nees,C4,Agenium villosum Nees,Watson & Dallwitz (1992 onwards),
Agnesia Zuolaga & Jud.,C3, -,BEP clade,
Agropogon Fourn.,C3, -,BEP clade,
Agropyron Gaertn.,C3,"Agropyron cristatum (L.) J. Gaertner, Agropyron × laxum (Fr.) Tutin (Elymus), Agropyron caninum (L.) P.Beauv (Elymus), Agropyron elongatum (Host) P.Beauv. (Elymus), Agropyron intermedium (Host) P. Beauv. (Elymus), Agropyron scabrum (R.Br.) P.Beauv. (Elymus)",Watson & Dallwitz (1992 onwards),
Agropyropsis A.Camus,C3,Agropyropsis lolium (Batt. & Trab.) A. Camus,Watson & Dallwitz (1992 onwards),
Agrostis L.,C3,"Agrostis aemula R. Br., Agrostis australiensis Mez, Agrostis avenacea Gmelin, Agrostis billardieri R.Br., Agrostis stolonifera L. (=Agrostis stolonifera var. palustris (Huds.) Farw.), Agrostis tenuis Sibth. (= A. capillaris L.), Agrostis semiverticillata (Forssk.) C.Chr. (Polypogon)",Metcalfe (1960); Watson & Dallwitz (1992 onwards),
"Agrostopoa Davidse, Soreng & P. M. Peterson",C3,"Agrostopoa barclayae Davidse, Soreng & P. M. Peterson, Agrostopoa woodii Soreng, P. M. Peterson & Davidse",Davidse et al. (2009),
Aira L.,C3,"Aira cupiana Guss., Aira elegans Willd.",Watson & Dallwitz (1992 onwards),
Airopsis Desv.,C3,Airopsis tenella (Cav.) Ascherson & Graebner,Watson & Dallwitz (1992 onwards),
Alexfloydia Simon,C4,Alexfloydia repens B.K. Simon,Watson & Dallwitz (1992 onwards),
Alloeochaete C.E.Hubbard,C3,Alloeochaete geniculata (Rendle) C.E. Hubb.,Watson & Dallwitz (1992 onwards),
Allolepis Sod. & Deck.,C4,Allolepis texana (Vasey) Soderstrom & Decker,Watson & Dallwitz (1992 onwards),
Alloteropsis Presl,C4 & C3,"Alloteropsis cimicina (L.) Stapf, Alloteropsis semialata (R.Br.) Hitchc.",Metcalfe (1960); Ellis (1974); Hattersley et al. (1977); Watson & Dallwitz (1992 onwards),
Alopecurus L.,C3,"Alopecurus geniculatus L., Alopecurus myosuroides Huds, Alopecurus pratensis L.",Metcalfe (1960); Watson & Dallwitz (1992 onwards),
