taxon_name,authority,shoot_root_ratio,resprouting_capacity,stem_soluble_starch_per_mass,root_soluble_starch_per_mass,ray_percentage_root_transection,xylem_parenchyma_percentage_root_transection,cortex_percentage_root_transection,post_fire_recruitment,plant_age,total_dry_weight,total_dry_weight_SE
Acacia extensa,Lindley,4.5,fire_killed,1,91.6,NA,NA,NA,post_fire_recruitment,2.5,19,1.7
Acacia littorea,Maslin,3.2,fire_killed,8.5,5.2,5,10,46,post_fire_recruitment,3,6.1,0.8
Acacia pulchella,R. Br.,10.5,fire_killed,3.8,0,NA,NA,NA,post_fire_recruitment,2.5,25.1,1.8
Bossiaea aquifolium,Benth,9.3,fire_killed,8.7,0.2,NA,NA,NA,post_fire_recruitment,2.5,22.1,2.8
Gompholobium marginatum,R. Br.,4.9,fire_killed,6.7,9.5,NA,NA,NA,post_fire_recruitment,2.5,0.7,0.1
Gompholobium tomentosum,Labill.,3.9,fire_killed,2.4,4.7,NA,NA,NA,post_fire_recruitment,2.5,4.4,1.4
Hovea trisperma,Benth.,9.4,fire_killed,3.1,6.3,14,8,35,post_fire_recruitment,2.5,1.5,0.1
Acacia nervosa,DC.,0.8,resprouts,1.5,154.6,NA,NA,NA,post_fire_recruitment,2.5,5.5,0.2
Bossiaea linophylla,R. Br.,1.3,resprouts,1.7,32,14,24,27,post_fire_recruitment,3,2.6,0.7
Bossiaea ornata,(Lindley) Benth.,0.8,resprouts,21.4,99.4,NA,NA,NA,post_fire_recruitment,2.5,3.1,0.1
Hovea chorizemifolia,(Sweet) DC.,0.6,resprouts,10.1,126.6,NA,NA,NA,post_fire_recruitment,2.5,2.3,0.2
Isotropis cuneifolia,(Smith) Benth. ex B. D. Jackson,1.1,resprouts,13.9,130.3,3,5,83,post_fire_recruitment,3,1.3,0.3
Verticordia densiflora,Lindley,3.2,fire_killed,NA,NA,NA,NA,NA,post_fire_recruitment,2.5,2.9,0.3
Calytrix flavescens,Cunn.,2.5,resprouts,5.1,3.9,NA,NA,NA,post_fire_recruitment,2.5,10.5,1.4
Melaleuca scabra,R. Br.,1.5,resprouts,6.9,3,NA,NA,NA,post_fire_recruitment,2.5,1.1,0.2
Adenanthos cygnorum,Diels,4.1,fire_killed,0.9,0.9,NA,NA,NA,post_fire_recruitment,2,12.9,2.2
Banksia prionotes,Lindley,3.2,fire_killed,8,1.5,NA,NA,NA,post_fire_recruitment,2,23.3,4.8
Conospermum incurvum,Lindley,4.1,fire_killed,2.6,2,NA,NA,NA,post_fire_recruitment,2,28.8,6.9
Hakea trifurcata,(Smith) R. Br.,3.8,fire_killed,4.5,4.2,6,2,50,post_fire_recruitment,2.5,4,1.3
Stirlingia tenuifolia,(R. Br.) Steudel,5.6,fire_killed,4.6,4.2,NA,NA,NA,post_fire_recruitment,2,2.6,0.2
Banksia attenuata,R. Br.,0.6,resprouts,10,24.3,NA,NA,NA,post_fire_recruitment,2,7,1.4
Conospermum triplinervium,R. Br.,1,resprouts,60.7,62.6,NA,NA,NA,post_fire_recruitment,2,3.8,0.8
Stirlingia latifolia,(R. Br.) Steudel,1,resprouts,1.9,61.3,2.8,1,82,post_fire_recruitment,2,1.2,0.7
Lysinema ciliatum,R. Br.,6,fire_killed,13.9,2.7,NA,NA,NA,post_fire_recruitment,3,8.4,1.4
Olearia axillaris,(DC.) F. Muell. ex Benth.,3.8,fire_killed,1.6,1.6,NA,NA,NA,post_fire_recruitment,3,7.2,1.9
Pimelea ferruginea,Labill.,3.3,fire_killed,5.2,3.3,NA,NA,NA,post_fire_recruitment,3,2.6,0.5
Scaevola nitida,R. Br.,2.4,fire_killed,1.6,1.6,NA,NA,NA,post_fire_recruitment,3,7.5,2.4
Spyridium cordatum,(Turcz.) Benth.,4.7,fire_killed,2.9,5.1,NA,NA,NA,post_fire_recruitment,3,14.2,4
Hibbertia grossulariifolia,(Salisb.) Salisb.,1.5,resprouts,13,8.1,14,5,58,post_fire_recruitment,3,1.4,0.6
Leucopogon sp.,NA,1.6,resprouts,23.9,28.9,NA,NA,NA,post_fire_recruitment,3,10.4,2.1
Logania vaginalis,(Labill.) F. Muell.,1.5,resprouts,1.7,1.6,NA,NA,NA,post_fire_recruitment,3,2.4,0.3
Phyllanthus crassifolius,Muell. ARG.,1.5,resprouts,40.2,31.2,NA,NA,NA,post_fire_recruitment,3,1.3,0.1
Chorizema ilicifolium,Labill.,NA,fire_killed,1.5,8.8,NA,NA,NA,post_fire_recruitment,NA,NA,NA
Acacia blakelyi,Maiden,NA,resprouts,0.9,16.2,NA,NA,NA,post_fire_recruitment,NA,NA,NA
Acacia urophylla,Benth. Ex. Lindley,NA,resprouts,3.7,154.4,7,12,38,post_fire_recruitment,NA,NA,NA
Daviesia divaricata,Benth.,NA,resprouts,6.3,4.6,NA,NA,NA,post_fire_recruitment,NA,NA,NA
Daviesia quadrilatera,Benth.,NA,resprouts,0.8,2.8,NA,NA,NA,post_fire_recruitment,NA,NA,NA
Jacksonia furcellata,(Bonpl.) DC.,NA,resprouts,14,87.2,NA,NA,NA,post_fire_recruitment,NA,NA,NA
Kennedia prostrata,R. Br.,NA,resprouts,17.8,71,NA,NA,NA,post_fire_recruitment,NA,NA,NA
Beaufortia elegans,Schauer,NA,fire_killed,1.9,0.9,NA,NA,NA,post_fire_recruitment,NA,NA,NA
Phymatocarpus porphyrocephalus,F. Muell.,NA,fire_killed,19,6,7,3,40,post_fire_recruitment,NA,NA,NA
Verticordia nitens,(Lindley) Endl.,NA,fire_killed,1.5,2.7,NA,NA,NA,post_fire_recruitment,NA,NA,NA
Calothamnus sanguineus,Labill.,NA,resprouts,9.9,1.5,5,2,59,post_fire_recruitment,NA,NA,NA
Calytrix fraseri,Cunn.,NA,resprouts,1.5,2.1,NA,NA,NA,post_fire_recruitment,NA,NA,NA
Eremaea sp.,NA,NA,resprouts,0.9,3.4,NA,NA,NA,post_fire_recruitment,NA,NA,NA
Leptospermum ellipticum,Endl.,NA,resprouts,1.6,1.5,NA,NA,NA,post_fire_recruitment,NA,NA,NA
Banksia hookeriana,Meissner,NA,fire_killed,9.4,0.8,6,2,52,post_fire_recruitment,NA,NA,NA
Dryandra sessilis,(Knight) Domin,NA,fire_killed,6.6,4.6,NA,NA,NA,post_fire_recruitment,NA,NA,NA
Hakea obliqua,R. Br.,NA,fire_killed,0.8,1.9,NA,NA,NA,post_fire_recruitment,NA,NA,NA
Banksia grandis,Willd.,NA,resprouts,2.4,14,NA,NA,NA,post_fire_recruitment,NA,NA,NA
Banksia ilicifolia,R. Br.,NA,resprouts,9.9,4.2,41,2,46,post_fire_recruitment,NA,NA,NA
Banksia menziesii,R. Br.,NA,resprouts,0.8,0.9,NA,NA,NA,post_fire_recruitment,NA,NA,NA
Dryandra nivea,(Labill.) R. Br.,NA,resprouts,6.3,12.6,NA,NA,NA,post_fire_recruitment,NA,NA,NA
Dryandra shuttleworthiana,Meissner,NA,resprouts,10,18.6,NA,NA,NA,post_fire_recruitment,NA,NA,NA
Grevillea candelabroides,C. Gardner,NA,resprouts,4,7.8,NA,NA,NA,post_fire_recruitment,NA,NA,NA
Hakea prostrata,R. Br.,NA,resprouts,1.7,75.9,NA,NA,NA,post_fire_recruitment,NA,NA,NA
Hakea varia,R. Br.,NA,resprouts,17.9,34.1,23,7,43,post_fire_recruitment,NA,NA,NA
Persoonia comata,Meissner,NA,resprouts,1.5,1.6,NA,NA,NA,post_fire_recruitment,NA,NA,NA
Synaphea petiolaris,R. Br.,NA,resprouts,23,48.2,9,6,48,post_fire_recruitment,NA,NA,NA
Xylomelum angustifolium,Kipp. And Meissner,NA,resprouts,33.4,4,NA,NA,NA,post_fire_recruitment,NA,NA,NA
Anthocercis littorea,Labill.,NA,fire_killed,7.2,4.2,NA,NA,NA,post_fire_recruitment,NA,NA,NA
Gyrostemon ramulosus,Desf.,NA,fire_killed,0.8,0.9,NA,NA,NA,post_fire_recruitment,NA,NA,NA
Olax phyllanthi,(Labill.) R. Br.,NA,fire_killed,1.4,4.5,NA,NA,NA,post_fire_recruitment,NA,NA,NA
Scaevola phlebopetala,F. Muell.,NA,fire_killed,5.2,4.1,NA,NA,NA,post_fire_recruitment,NA,NA,NA
Allocasuarina humilis,(Otto and Dietr) L. Johnson,NA,resprouts,15.5,16.3,39,25,26,post_fire_recruitment,NA,NA,NA
Exocarpos odoratus,(Miq.) A. DC.,NA,resprouts,17.1,21,NA,NA,NA,post_fire_recruitment,NA,NA,NA
Gyrostemon sheathli,W. Fitzg.,NA,resprouts,1.6,160.9,NA,NA,NA,post_fire_recruitment,NA,NA,NA
