Community,IDENTIFICATION SOURCE,SCIENTIFIC_NAME,LIFE_FORM,FIRE_RESPONSE,SEED_STORAGE,MANAGEMENT_INTERVENTION_EXPERT_PANEL
Upland Basalt Eucalypt Forests of the Sydney Basin Bioregion,TEC species list,Acacia elata,S,OS,S,
Upland Basalt Eucalypt Forests of the Sydney Basin Bioregion,TEC species list,Ajuga australis,H,OS,UN,
Upland Basalt Eucalypt Forests of the Sydney Basin Bioregion,TEC species list,Austrocynoglossum latifolium,H,OS,S,
Upland Basalt Eucalypt Forests of the Sydney Basin Bioregion,TEC species list,Centella asiatica,H,OS,S,
Upland Basalt Eucalypt Forests of the Sydney Basin Bioregion,TEC species list,Clematis aristata,C,OS,S,
Upland Basalt Eucalypt Forests of the Sydney Basin Bioregion,TEC species list,Marsdenia flavescens,C,OS,UN,
Upland Basalt Eucalypt Forests of the Sydney Basin Bioregion,TEC species list,Plantago debilis,H,OS,S,
Upland Basalt Eucalypt Forests of the Sydney Basin Bioregion,TEC species list,Poranthera microphylla,H,OS,S,
Upland Basalt Eucalypt Forests of the Sydney Basin Bioregion,TEC species list,Pyrrosia rupestris,H,OS,UN,
Upland Basalt Eucalypt Forests of the Sydney Basin Bioregion,TEC species list,Senecio linearifolius,H,OS,S,
Upland Basalt Eucalypt Forests of the Sydney Basin Bioregion,TEC species list,Sigesbeckia orientalis subsp. orientalis,H,OS,S,
Upland Basalt Eucalypt Forests of the Sydney Basin Bioregion,TEC species list,Stellaria flaccida,H,OS,S,
Upland Basalt Eucalypt Forests of the Sydney Basin Bioregion,TEC species list,Urtica incisa,H,OS,S,
Upland Basalt Eucalypt Forests of the Sydney Basin Bioregion,TEC species list,Acacia melanoxylon,S/T,FS,S,
Upland Basalt Eucalypt Forests of the Sydney Basin Bioregion,TEC species list,Acaena novae-zelandiae,H,FS,UN,
Upland Basalt Eucalypt Forests of the Sydney Basin Bioregion,TEC species list,Carex breviculmis,H,FS,S,
Upland Basalt Eucalypt Forests of the Sydney Basin Bioregion,TEC species list,Coprosma quadrifida,S,FS,T,
Upland Basalt Eucalypt Forests of the Sydney Basin Bioregion,TEC species list,Cyathea leichhardtiana,S,FS,T,
Upland Basalt Eucalypt Forests of the Sydney Basin Bioregion,TEC species list,Daviesia ulicifolia,S,FS,S,
Upland Basalt Eucalypt Forests of the Sydney Basin Bioregion,TEC species list,Dichelachne inaequiglumis,H,FS,UN,
Upland Basalt Eucalypt Forests of the Sydney Basin Bioregion,TEC species list,Dichondra spp.,H,FS,UN,
Upland Basalt Eucalypt Forests of the Sydney Basin Bioregion,TEC species list,Echinopogon ovatus,H,FS,S,
Upland Basalt Eucalypt Forests of the Sydney Basin Bioregion,TEC species list,Eucalyptus elata,T,FS,T,
Upland Basalt Eucalypt Forests of the Sydney Basin Bioregion,TEC species list,Eucalyptus oreades,T,FS,C,
Upland Basalt Eucalypt Forests of the Sydney Basin Bioregion,TEC species list,Eustrephus latifolius,C,FS,UN,
Upland Basalt Eucalypt Forests of the Sydney Basin Bioregion,TEC species list,Hardenbergia violacea,C,FS,S,
Upland Basalt Eucalypt Forests of the Sydney Basin Bioregion,TEC species list,Hedycarya angustifolia,S,FS,UN,
Upland Basalt Eucalypt Forests of the Sydney Basin Bioregion,TEC species list,Hibbertia scandens,C,FS,S,
Upland Basalt Eucalypt Forests of the Sydney Basin Bioregion,TEC species list,Indigofera australis,S,FS,S,
Upland Basalt Eucalypt Forests of the Sydney Basin Bioregion,TEC species list,Leucopogon lanceolatus,S,FS,S,
Upland Basalt Eucalypt Forests of the Sydney Basin Bioregion,TEC species list,Lomandra longifolia,H,FS,S,
Upland Basalt Eucalypt Forests of the Sydney Basin Bioregion,TEC species list,Myrsine howittiana,S/T,FS,UN,
Upland Basalt Eucalypt Forests of the Sydney Basin Bioregion,TEC species list,Polyscias sambucifolia,S,FS,S,
Upland Basalt Eucalypt Forests of the Sydney Basin Bioregion,TEC species list,Polystichum proliferum,H,FS,UN,
Upland Basalt Eucalypt Forests of the Sydney Basin Bioregion,TEC species list,Prostanthera lasianthos,S,FS,S,
Upland Basalt Eucalypt Forests of the Sydney Basin Bioregion,TEC species list,Stellaria pungens,H,FS,S,
Upland Basalt Eucalypt Forests of the Sydney Basin Bioregion,Fire-affected species,Acacia clunies-rossiae,S,OS,UN,Yes
Upland Basalt Eucalypt Forests of the Sydney Basin Bioregion,Fire-affected species,Acacia hamiltoniana,S,OS,UN,Yes
Upland Basalt Eucalypt Forests of the Sydney Basin Bioregion,Fire-affected species,Banksia penicillata,S,OS,C,Yes
Upland Basalt Eucalypt Forests of the Sydney Basin Bioregion,Fire-affected species,Boronia subulifolia,S,OS,UN,Yes
Upland Basalt Eucalypt Forests of the Sydney Basin Bioregion,Fire-affected species,Cyphanthera scabrella,S,OS,UN,Yes
Upland Basalt Eucalypt Forests of the Sydney Basin Bioregion,Fire-affected species,Darwinia taxifolia subsp. macrolaena,S,OS,S,Yes
Upland Basalt Eucalypt Forests of the Sydney Basin Bioregion,Fire-affected species,Epacris gnidioides,S,OS,UN,Yes
Upland Basalt Eucalypt Forests of the Sydney Basin Bioregion,Fire-affected species,Eucalyptus fraxinoides,T,OS,C,Yes
Upland Basalt Eucalypt Forests of the Sydney Basin Bioregion,Fire-affected species,Grevillea aspleniifolia,S,OS,S,Yes
Upland Basalt Eucalypt Forests of the Sydney Basin Bioregion,Fire-affected species,Grevillea baueri subsp. asperula,S,OS,S,Yes
Upland Basalt Eucalypt Forests of the Sydney Basin Bioregion,Fire-affected species,Grevillea evansiana,S,OS,S,Yes
Upland Basalt Eucalypt Forests of the Sydney Basin Bioregion,Fire-affected species,Hakea constablei,S,OS,C,Yes
Upland Basalt Eucalypt Forests of the Sydney Basin Bioregion,Fire-affected species,Hakea dohertyi,S,OS,C,Yes
Upland Basalt Eucalypt Forests of the Sydney Basin Bioregion,Fire-affected species,Persoonia mollis subsp. budawangensis,S,OS,S,Yes
Upland Basalt Eucalypt Forests of the Sydney Basin Bioregion,Fire-affected species,Prostanthera saxicola var. montana,S,OS,S,Yes
Upland Basalt Eucalypt Forests of the Sydney Basin Bioregion,Fire-affected species,Zieria caducibracteata,S/T,OS,UN,Yes
Upland Basalt Eucalypt Forests of the Sydney Basin Bioregion,Fire-affected species,Zieria murphyi,S,OS,S,Yes
Upland Basalt Eucalypt Forests of the Sydney Basin Bioregion,Fire-affected species,Boronia deanei subsp. deanei,S,FS,UN,Yes
Upland Basalt Eucalypt Forests of the Sydney Basin Bioregion,Fire-affected species,Philotheca scabra subsp. latifolia,S,FS,S,Yes
Upland Basalt Eucalypt Forests of the Sydney Basin Bioregion,Fire-affected species,Tetratheca ericifolia,S,FS,S,
Upland Basalt Eucalypt Forests of the Sydney Basin Bioregion,Fire-affected species,Baloskion longipes,H,RS,UN,Yes
Upland Basalt Eucalypt Forests of the Sydney Basin Bioregion,Fire-affected species,Callistemon subulatus,S,RS,C,Yes
Upland Basalt Eucalypt Forests of the Sydney Basin Bioregion,Fire-affected species,Dillwynia stipulifera,S,RS,S,Yes
Upland Basalt Eucalypt Forests of the Sydney Basin Bioregion,Fire-affected species,Eucalyptus bensonii,T,RS,C,Yes
Upland Basalt Eucalypt Forests of the Sydney Basin Bioregion,Fire-affected species,Eucalyptus corticosa,T,RS,C,Yes
Upland Basalt Eucalypt Forests of the Sydney Basin Bioregion,Fire-affected species,Eucalyptus cunninghamii,T,RS,C,Yes
Upland Basalt Eucalypt Forests of the Sydney Basin Bioregion,Fire-affected species,Eucalyptus gregsoniana,T,RS,T,Yes
Upland Basalt Eucalypt Forests of the Sydney Basin Bioregion,Fire-affected species,Eucalyptus stellulata,T,RS,T,
Upland Basalt Eucalypt Forests of the Sydney Basin Bioregion,Fire-affected species,Grevillea imberbis,S,RS,UN,Yes
Upland Basalt Eucalypt Forests of the Sydney Basin Bioregion,Fire-affected species,Grevillea renwickiana,S,RS,T,Yes
Upland Basalt Eucalypt Forests of the Sydney Basin Bioregion,Fire-affected species,Leptospermum macrocarpum,S,RS,C,Yes
Upland Basalt Eucalypt Forests of the Sydney Basin Bioregion,Fire-affected species,Luzula flaccida subsp. Long Anther (K.L.Wilson 828 et al.),H,RS,S,Yes
Upland Basalt Eucalypt Forests of the Sydney Basin Bioregion,Fire-affected species,Pterostylis crebra,H,RS,UN,Yes
Upland Basalt Eucalypt Forests of the Sydney Basin Bioregion,Fire-affected species,Schoenus evansianus,H,RS,UN,Yes
Upland Basalt Eucalypt Forests of the Sydney Basin Bioregion,Fire-affected species,Telopea mongaensis,S,RS,UN,Yes
Upland Basalt Eucalypt Forests of the Sydney Basin Bioregion,Fire-affected species,Trachymene scapigera,H,RS,UN,Yes
Upland Basalt Eucalypt Forests of the Sydney Basin Bioregion,Fire-affected species,Veronica blakelyi,S,RS,T,
Upland Basalt Eucalypt Forests of the Sydney Basin Bioregion,Fire-affected species,Veronica brownii,H,RS,UN,Yes
Upland Basalt Eucalypt Forests of the Sydney Basin Bioregion,Fire-affected species,Epacris sprengelioides,S,UN,UN,Yes
Upland Basalt Eucalypt Forests of the Sydney Basin Bioregion,Fire-affected species,Kunzea aristulata,S,UN,UN,Yes
Upland Basalt Eucalypt Forests of the Sydney Basin Bioregion,Fire-affected species,Leptospermum petraeum,S,UN,UN,Yes
Upland Basalt Eucalypt Forests of the Sydney Basin Bioregion,Fire-affected species,Veronica lithophila,H,UN,UN,Yes
Eastern Stirling Range Montane Heath and Thicket,TEC species list,Acacia drummondii subsp. elegans,S,OS,S,
Eastern Stirling Range Montane Heath and Thicket,TEC species list,Actinotus rhomboideus,S,OS,S,
Eastern Stirling Range Montane Heath and Thicket,TEC species list,Adenanthos filifolius,S,OS,S,Y
Eastern Stirling Range Montane Heath and Thicket,TEC species list,Andersonia axilliflora,S,OS,S,Y
Eastern Stirling Range Montane Heath and Thicket,TEC species list,Andersonia echinocephala,S,OS,S,Y
Eastern Stirling Range Montane Heath and Thicket,TEC species list,Aotus genistoides,S,OS,S,
Eastern Stirling Range Montane Heath and Thicket,TEC species list,Banksia brownii,S,OS,C,Y
Eastern Stirling Range Montane Heath and Thicket,TEC species list,Banksia concinna,S,OS,C,Y
Eastern Stirling Range Montane Heath and Thicket,TEC species list,Banksia formosa,S,OS,C,Y
Eastern Stirling Range Montane Heath and Thicket,TEC species list,Banksia montana,S,OS,C,Y
Eastern Stirling Range Montane Heath and Thicket,TEC species list,Banksia solandri,S,OS,C,Y
Eastern Stirling Range Montane Heath and Thicket,TEC species list,Banksia oreophila,S,OS,C,Y
Eastern Stirling Range Montane Heath and Thicket,TEC species list,Beaufortia anisandra,S,OS,C,Y
Eastern Stirling Range Montane Heath and Thicket,TEC species list,Billardiera drummondii,H,OS,S,
Eastern Stirling Range Montane Heath and Thicket,TEC species list,Cassytha glabella,H,OS,UN,
Eastern Stirling Range Montane Heath and Thicket,TEC species list,Darwinia collina,S,OS,S,Y
Eastern Stirling Range Montane Heath and Thicket,TEC species list,Darwinia nubigena (sp. Stirling Range),S,OS,UN,Y
Eastern Stirling Range Montane Heath and Thicket,TEC species list,Darwinia squarrosa,S,OS,UN,Y
Eastern Stirling Range Montane Heath and Thicket,TEC species list,Deyeuxia drummondii,H,OS,S,
Eastern Stirling Range Montane Heath and Thicket,TEC species list,Gastrolobium leakeanum,S,OS,S,Y
Eastern Stirling Range Montane Heath and Thicket,TEC species list,Hibbertia argentea,S,OS,S,Y
Eastern Stirling Range Montane Heath and Thicket,TEC species list,Isopogon latifolius,S,OS,C,Y
Eastern Stirling Range Montane Heath and Thicket,TEC species list,Kunzea montana,S,OS,S,Y
Eastern Stirling Range Montane Heath and Thicket,TEC species list,Lambertia fairallii,S,OS,C,Y
