sample,tree,taxon,date_time,locality,locality_edited,longitude_gda94_edited,latitude_gda94_edited,collector,longitude_gda94,latitude_gda94,altitude_m,height_m,stem_density_g_per_ml,stem_mass_g,stem_volume_ml,bark_mass_g,sla_mm2_per_mg,leaf_area_cm2,leaf_mass_g,fruit_mass_mg,fruit_wall_width_mm,fruit_diameter_mm,fruit_height_mm,seed_mass_mg,seed_mass_total_mg,number_of_seeds,leaf_notes,seed_notes
VER_MGS1_1_height,VER_MGS1_1_height,Eucalyptus verrucata,2007-12-04T03:08:06Z,MGS1,MGS1,142.4574,-37.4269,L.J. Pollock,142.4574,-37.4269,484,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VER_MGS5_1_height,VER_MGS5_1_height,Eucalyptus verrucata,NA,MGS5,MGS5,142.4574,-37.4269,L.J. Pollock,142.4574,-37.4269,475,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BAX_MGS4_1_height,BAX_MGS4_1_height,Eucalyptus baxteri,2007-12-04T22:39:51Z,MGS4,MGS4,142.4577,-37.4263,L.J. Pollock,142.4577,-37.4263,470,9.941091012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BAX_MGS3_1_height,BAX_MGS3_1_height,Eucalyptus baxteri,NA,MGS3,MGS3,142.4574,-37.4621,L.J. Pollock,142.4574,-37.4621,450,7.215079924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OBL_MGS2_1_height,OBL_MGS2_1_height,Eucalyptus obliqua,2007-12-04T21:10:12Z,MGS2,MGS2,142.4584,-37.4259,L.J. Pollock,142.4584,-37.4259,443,5.136145276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VER_MGN1_1_height,VER_MGN1_1_height,Eucalyptus verrucata,2007-12-05T01:58:26Z,MGN1,MGN1,142.459,-37.4224,L.J. Pollock,142.459,-37.4224,549,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BAX_MGN2_1_height,BAX_MGN2_1_height,Eucalyptus baxteri,2007-12-05T02:21:54Z,MGN2,MGN2,142.4587,-37.4224,L.J. Pollock,142.4587,-37.4224,536,2.402808095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WIL_MGN3_1_height,WIL_MGN3_1_height,Eucalyptus falciformis,2007-12-05T03:04:01Z,MGN3,MGN3,142.4581,-37.4228,L.J. Pollock,142.4581,-37.4228,505,4.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OBL_MGN4_1_height,OBL_MGN4_1_height,Eucalyptus obliqua,2007-12-05T03:46:54Z,MGN4,MGN4,142.4578,-37.4236,L.J. Pollock,142.4578,-37.4236,486,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BAX_MGN5_1_height,BAX_MGN5_1_height,Eucalyptus baxteri,2007-12-05T04:25:09Z,MGN5,MGN5,142.4577,-37.4244,L.J. Pollock,142.4577,-37.4244,438,10.60660697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
