IDENT,longitude (deg),latitude (deg),elevation (m),notes,date_time,collector,PLOTID,elev,PerSlope,aspect,Soil Depth class,Rock cover %,Soil Type
TBGN2,142.4965,-37.3559,NA,,NA,L.J. Pollock,15,481,45,95.72071,15,70,sandy loam
BLK1,142.4895,-37.1851,NA,,NA,L.J. Pollock,373,702,24,319.159667,100,0,loamy sand
MGN2,142.4587,-37.4224,NA,,NA,L.J. Pollock,7,506,41,84.757019,10,80,sandy loam
CGS1,142.3645,-37.572,NA,,NA,L.J. Pollock,22,411,38,25.920322,10,90,sandy loam
MGS5,142.4574,-37.4269,NA,,NA,L.J. Pollock,2,427,30,72.355957,10,75,sandy loam
CGS7,142.3673,-37.5679,NA,,NA,L.J. Pollock,28,374,14,98.673606,20,10,sandy loam
MGS3,142.4574,-37.4621,NA,,NA,L.J. Pollock,4,423,24,107.280342,15,40,sandy loam
MGS4,142.4577,-37.4263,NA,,NA,L.J. Pollock,3,423,34,107.280342,10,70,sandy loam
MGN5,142.4577,-37.4244,NA,,NA,L.J. Pollock,10,520,29,180.90393,20,10,sandy loam
Site M,142.4448611,-37.26125,NA,generic Grampians lat/lon,NA,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA
GLSB1,142.4164,-37.2045,NA,,NA,L.J. Pollock,184,236,3,213.235137,100,0,loamy sand
VV1,142.4223,-37.2581,NA,,NA,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA
DC1,142.4113,-37.1779,NA,,NA,L.J. Pollock,352,244,1,358.024566,100,0,sandy clay loam
Q7,142.42393,-37.44278,NA,,NA,L.J. Pollock,433,344,21,302.321228,100,50,sandy loam
MGS2,142.4584,-37.4259,NA,,NA,L.J. Pollock,5,415,26,158.983398,15,15,sandy loam
MGN4,142.4578,-37.4236,NA,,NA,L.J. Pollock,9,542,38,325.207336,20,20,sandy loam
GHOR1,142.4607,-37.2531,NA,,NA,L.J. Pollock,102,239,2,204.996292,100,0,loamy sand
DC5,142.4593,-37.4361,NA,,NA,L.J. Pollock,358,238,2,346.457702,100,5,sandy loam
campground,142.522362,-37.130881,NA,,NA,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA
