sample,tree,taxon,locality,collector,sla_mm2_per_mg,leaf_area_cm2,leaf_mass_g,fruit_mass_mg,fruit_mass_total_mg,number_of_fruits,seed_mass_mg,seed_mass_total_mg,number_of_seeds,height_max_m
E. calycogona_?_1_1_fruit,E. calycogona_?_1_fruit,Eucalyptus calycogona subsp. trachybasis,?,L.J. Pollock,NA,NA,NA,74.2,371,5,0.8,8,10,NA
E. calycogona_Murrayville S Rd_1_1_leaf,E. calycogona_Murrayville S Rd_1_leaf,Eucalyptus calycogona subsp. trachybasis,Murrayville S Rd,L.J. Pollock,3.291139240506329,2.6,0.079,NA,NA,NA,NA,NA,NA,NA
E. cyanophylla_Shearer Quarters_1_1_fruit,E. cyanophylla_Shearer Quarters_1_fruit,Eucalyptus cyanophylla,Shearer Quarters,L.J. Pollock,NA,NA,NA,106,106,1,4.2,21,5,NA
E. dumosa_Boinka FFG_1_1_fruit,E. dumosa_Boinka FFG_1_fruit,Eucalyptus dumosa,Boinka FFG,L.J. Pollock,NA,NA,NA,259,518,2,1.4,7,5,NA
E. dumosa_Crest Top_1_1_leaf,E. dumosa_Crest Top_1_leaf,Eucalyptus dumosa,Crest Top,L.J. Pollock,2.403076923076923,7.81,0.325,NA,NA,NA,NA,NA,NA,NA
E. dumosa_GS_1_1_fruit,E. dumosa_GS_1_fruit,Eucalyptus dumosa,GS,L.J. Pollock,NA,NA,NA,95.6,478,5,0.4,4,10,NA
E. dumosa_M08502_1_1_fruit,E. dumosa_M08502_1_fruit,Eucalyptus dumosa,M08502,L.J. Pollock,NA,NA,NA,210,630,3,NA,NA,NA,NA
E. dumosa_M0901_1_1_fruit,E. dumosa_M0901_1_fruit,Eucalyptus dumosa,M0901,L.J. Pollock,NA,NA,NA,106,212,2,1,10,10,NA
E. gracilis_M08501_1_1_fruit,E. gracilis_M08501_1_fruit,Eucalyptus gracilis,M08501,L.J. Pollock,NA,NA,NA,34.8,174,5,0.625,5,8,NA
E. incrassata_Hattah_1_1_fruit,E. incrassata_Hattah_1_fruit,Eucalyptus costata subsp. murrayana,Hattah,L.J. Pollock,NA,NA,NA,226,226,1,1.7,17,10,NA
E. incrassata_Little Desert N_1_1_fruit,E. incrassata_Little Desert N_1_fruit,Eucalyptus costata subsp. murrayana,Little Desert N,L.J. Pollock,NA,NA,NA,422.5,1690,4,1.2,12,10,NA
E. largiflorens_Dodgeshuns Rd_1_1_fruit,E. largiflorens_Dodgeshuns Rd_1_fruit,Eucalyptus largiflorens,Dodgeshuns Rd,L.J. Pollock,NA,NA,NA,22.2,111,5,0.4,4,10,NA
E. leptophylla_Old Growth_1_1_leaf,E. leptophylla_Old Growth_1_leaf,Eucalyptus leptophylla,Old Growth,L.J. Pollock,2.833333333333333,2.55,0.09,NA,NA,NA,NA,NA,NA,NA
E. microcarpa_Mitre Rock_1_1_fruit,E. microcarpa_Mitre Rock_1_fruit,Eucalyptus microcarpa,Mitre Rock,L.J. Pollock,NA,NA,NA,21.4,107,5,NA,NA,NA,NA
E. odorata_Werners Rd_1_1_fruit,E. odorata_Werners Rd_1_fruit,Eucalyptus silvestris,Werners Rd,L.J. Pollock,NA,NA,NA,44.4,222,5,0.4,8,20,NA
E. oleosa_No label_1_1_leaf,E. oleosa_No label_1_leaf,Eucalyptus oleosa subsp. oleosa,No label,L.J. Pollock,2.5308310991957104,9.44,0.373,NA,NA,NA,NA,NA,NA,NA
E. porosa_Hopepatch_1_1_fruit,E. porosa_Hopepatch_1_fruit,Eucalyptus porosa,Hopepatch,L.J. Pollock,NA,NA,NA,98.4,492,5,0.4,4,10,NA
E. porosa_Unknown_2_1_fruit,E. porosa_Unknown_2_fruit,Eucalyptus porosa,Unknown,L.J. Pollock,NA,NA,NA,31.2,156,5,0.4,4,10,NA
NA,NA,Eucalyptus calycogona,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
