trait_name,find,replace
flower_colour,blue,blue_purple
flower_colour,orange,yellow_orange
flower_colour,orange+pink,yellow_orange pink
flower_colour,orange/pink,yellow_orange pink
flower_colour,peach,pink
flower_colour,pink+white,pink white_cream
flower_colour,pink/purple,pink blue_purple
flower_colour,purple,blue_purple
flower_colour,purple+white,blue_purple white_cream
flower_colour,purple/pink,blue_purple pink
flower_colour,red,red_brown
flower_colour,red+yellow,red_brown yellow_orange
flower_colour,red/orange,red_brown yellow_orange
flower_colour,white,white_cream
flower_colour,white/pink/orange/red,white_cream pink yellow_orange red_brown
flower_colour,white/pink/purple/red,white_cream pink blue_purple red_brown
flower_colour,white/pink/yellow,white_cream pink yellow_orange
flower_colour,white/red/pink,white_cream red_brown pink
flower_colour,white/red/pink/purple,white_cream red_brown pink blue_purple
flower_colour,yellow,yellow_orange
flower_colour,yellow+pink,yellow_orange pink
flower_colour,yellow+red,yellow_orange red_brown
flower_colour,yellow/orange,yellow_orange
flower_colour,yellow/pink,yellow_orange pink
flower_colour,yellow/white/pink/orange,yellow_orange white_cream pink
flower_visitor,honeybees,honeybee
flower_visitor,native bees,bee
flower_visitor,other flies,fly
flower_visitor,syrphid flies,hoverfly
flower_visitor,wasps,wasp
