Plant genus,Plant species,Plant scientific name,Plant family,Animal species binomial name,Animal genus,Animal subgenus,Animal species,Animal family,Animal subfamily,Animal common name,Animal class,Animal order,No. of visitors,Location - State,Nearest named place,Latitude (S),Longitude (E),Date,Month,Year,Reference,Dataset_ID,"Observation type (Observational (O), Survey (S), Experimental (E ), Pollen-grains only (P), DNA (D))","Taxanomic verfication (1, 0)","Physical speciman (1, 0)","Photo (1, 0)","Geographic location (1, 0)","Date of collection (1, 0)","No visitors recorded (0,1)",Comments,Column1
Eucalyptus,angulosa,Eucalyptus angulosa,Mytraceae,Bethylidae sp.1,NA,NA,NA,Bethylidae,NA,NA,Insecta,Hymenoptera,2,SA,Yeelanna,-34.15638889,135.7327778,17/8/2024,Aug,2024,"Prendergast, K.S. (2025). Insect visitors to canola fields and surrounding vegetation. GRDC Canola pollination project. Dataset. University of Southern Queensland, Toowoomba. [unpublished as of 5/8/25]",S100B,S,1,1,0,1,1,1,NA,NA
Eucalyptus,angulosa,Eucalyptus angulosa,Mytraceae,Bethylidae sp.2,NA,NA,NA,Bethylidae,NA,NA,Insecta,Hymenoptera,1,SA,Yeelanna,-34.15638889,135.7327778,17/8/2024,Aug,2024,"Prendergast, K.S. (2025). Insect visitors to canola fields and surrounding vegetation. GRDC Canola pollination project. Dataset. University of Southern Queensland, Toowoomba. [unpublished as of 5/8/25]",S100B,S,1,1,0,1,1,1,NA,NA
Eucalyptus,angulosa,Eucalyptus angulosa,Mytraceae,Hylaeus (Rhodohylaeus) cf. lateralis,NA,Rhodohylaeus,cf. lateralis,Colletidae,Hylaeinae,NA,Insecta,Hymenoptera,1,SA,Yeelanna,-34.15638889,135.7327778,17/8/2024,Aug,2024,"Prendergast, K.S. (2025). Insect visitors to canola fields and surrounding vegetation. GRDC Canola pollination project. Dataset. University of Southern Queensland, Toowoomba. [unpublished as of 5/8/25]",S100B,S,1,1,0,1,1,1,NA,NA
Eucalyptus,angulosa,Eucalyptus angulosa,Mytraceae,Ichneumonidae sp.1,NA,NA,NA,Ichneumonidae,NA,NA,Insecta,Hymenoptera,1,SA,Yeelanna,-34.15638889,135.7327778,17/8/2024,Aug,2024,"Prendergast, K.S. (2025). Insect visitors to canola fields and surrounding vegetation. GRDC Canola pollination project. Dataset. University of Southern Queensland, Toowoomba. [unpublished as of 5/8/25]",S100B,S,1,1,0,1,1,1,NA,NA
Daviesia,pectinata,Daviesia pectinata,Fabaceae,Lasioglossum (Chilalictus) repraesentans,Lasioglossum,Chilalictus,repraesentans,Halictidae,Halictinae,NA,Insecta,Hymenoptera,1,SA,Yeelanna,-34.15638889,135.7327778,17/8/2024,Aug,2024,"Prendergast, K.S. (2025). Insect visitors to canola fields and surrounding vegetation. GRDC Canola pollination project. Dataset. University of Southern Queensland, Toowoomba. [unpublished as of 5/8/25]",S100B,S,1,1,0,1,1,1,NA,NA
Daviesia,pectinata,Daviesia pectinata,Fabaceae,Lasioglossum (Homalictus) cf. punctatum,NA,Homalictus,cf. punctatum,Halictidae,Halictinae,NA,Insecta,Hymenoptera,1,SA,Yeelanna,-34.15638889,135.7327778,17/8/2024,Aug,2024,"Prendergast, K.S. (2025). Insect visitors to canola fields and surrounding vegetation. GRDC Canola pollination project. Dataset. University of Southern Queensland, Toowoomba. [unpublished as of 5/8/25]",S100B,S,1,1,0,1,1,1,NA,NA
Eucalyptus,angulosa,Eucalyptus angulosa,Mytraceae,Lasioglossum (Homalictus) cf. punctatum,NA,Homalictus,cf. punctatum,Halictidae,Halictinae,NA,Insecta,Hymenoptera,5,SA,Yeelanna,-34.15638889,135.7327778,17/8/2024,Aug,2024,"Prendergast, K.S. (2025). Insect visitors to canola fields and surrounding vegetation. GRDC Canola pollination project. Dataset. University of Southern Queensland, Toowoomba. [unpublished as of 5/8/25]",S100B,S,1,1,0,1,1,1,NA,NA
Acacia,nematohylla,Acacia nematophylla,Fabaceae,Apis mellifera,Apis,NA,mellifera,Apidae,Apinae,NA,Insecta,Hymenoptera,2,SA,Karkoo,-33.990923,135.724774,03/09/24,Sept,2024,"Prendergast, K.S. (2025). Insect visitors to canola fields and surrounding vegetation. GRDC Canola pollination project. Dataset. University of Southern Queensland, Toowoomba. [unpublished as of 5/8/25]",S100B,S,1,0,0,1,1,1,NA,NA
Brassica,napus,Brassica napus,Brassicaceae,Apis mellifera,Apis,NA,mellifera,Apidae,Apinae,NA,Insecta,Hymenoptera,13,SA,Karkoo,-33.990923,135.724774,3/9/2024,Sept,2024,"Prendergast, K.S. (2025). Insect visitors to canola fields and surrounding vegetation. GRDC Canola pollination project. Dataset. University of Southern Queensland, Toowoomba. [unpublished as of 5/8/25]",S100B,S,1,0,0,1,1,1,NA,NA
Brassica,napus,Brassica napus,Brassicaceae,Apoidea sp.,NA,NA,NA,NA,NA,NA,Insecta,Hymenoptera,1,SA,Karkoo,-33.990923,135.724774,3/9/2024,Sept,2024,"Prendergast, K.S. (2025). Insect visitors to canola fields and surrounding vegetation. GRDC Canola pollination project. Dataset. University of Southern Queensland, Toowoomba. [unpublished as of 5/8/25]",S100B,S,1,1,0,1,1,1,NA,NA
Brassica,napus,Brassica napus,Brassicaceae,Calliphora albifrontalis,Calliphora,NA,albifrontalis,Calliphoridae,Calliphorinae,NA,Insecta,Diptera,3,SA,Karkoo,-33.990923,135.724774,3/9/2024,Sept,2024,"Prendergast, K.S. (2025). Insect visitors to canola fields and surrounding vegetation. GRDC Canola pollination project. Dataset. University of Southern Queensland, Toowoomba. [unpublished as of 5/8/25]",S100B,S,1,1,0,1,1,1,NA,NA
