Animal species binomial name,Animal genus,Animal subgenus,Animal species,Animal family,Animal subfamily,Animal common name,Animal class,Animal order,Pollinator match column,Pollinator match value
Apis mellifera,Apis,NA,mellifera,Apidae,Apinae,NA,Insecta,Hymenoptera,Animal species binomial name,Apis mellifera
Australiphthiria? sp.1,Australiphthiria,NA,sp.1,Bombyliidae,Phthiriinae,NA,Insecta,Diptera,Animal family,Bombyliidae
Calliphora albifrontalis,Calliphora,NA,albifrontalis,Calliphoridae,Calliphorinae,NA,Insecta,Diptera,Animal family,Calliphoridae
Calliphorinae sp.1,NA,NA,NA,Calliphoridae,NA,NA,Insecta,Diptera,Animal family,Calliphoridae
Calliphoridae sp.1,NA,NA,NA,Calliphoridae,NA,NA,Insecta,Diptera,Animal family,Calliphoridae
Calliphora vicina,Calliphora,NA,vicina,Calliphoridae,Calliphorinae,NA,Insecta,Diptera,Animal family,Calliphoridae
Calliphora dubia,Calliphora,NA,dubia,Calliphoridae,Calliphorinae,NA,Insecta,Diptera,Animal family,Calliphoridae
Phormia regina,Phormia,NA,regina,Calliphoridae,Chrysomyinae,NA,Insecta,Diptera,Animal family,Calliphoridae
Aphyssura sp.1NSW,Aphyssura,NA,sp.1NSW,Calliphoridae,Aphyssurinae,NA,Insecta,Diptera,Animal family,Calliphoridae
Calliphora stygia,Calliphora,NA,stygia,Calliphoridae,Calliphorinae,NA,Insecta,Diptera,Animal family,Calliphoridae
Calliphora varifrons,Calliphora,NA,varifrons,Calliphoridae,Calliphorinae,NA,Insecta,Diptera,Animal family,Calliphoridae
Calliphorinae albifrontalis,NA,NA,NA,Calliphoridae,Calliphorinae,NA,Insecta,Diptera,Animal family,Calliphoridae
Calliphorinae sp.1,NA,NA,sp.1,Calliphoridae,Calliphorinae,NA,Insecta,Diptera,Animal family,Calliphoridae
Calliphorinae sp.1,NA,NA,NA,Calliphoridae,Calliphorinae,NA,Insecta,Diptera,Animal family,Calliphoridae
