Plant genus,Plant species,Plant scientific name,Plant family,Animal species binomial name,Animal genus,Animal subgenus,Animal species,Animal family,Animal subfamily,Animal common name,Animal class,Animal order,No. of visitors,Location - State,Nearest named place,Latitude (S),Longitude (E),Date,Month,Year,Reference,Dataset_ID,source_id,"Observation type (Observational (O), Survey (S), Experimental (E ), Pollen-grains only (P), DNA (D))","Taxanomic verfication (1, 0)","Physical speciman (1, 0)","Photo (1, 0)","Geographic location (1, 0)","Date of collection (1, 0)","No visitors recorded (0,1)",Comments,Column1
Solanum,cunninghamii,Solanum cunninghamii,Solanaceae,Amegilla (Zonamegilla) aeruginosa,Amegilla,Zonamegilla,aeruginosa,Apidae,Apinae,NA,Insecta,Hymenoptera,2,WA,southeast Broome (site 8),NA,NA,NA,NA,1979 - 1980,"Anderson, G. J., & Symon, D. (1988). Insect foracers on Solanum flowers in Australia. Annual Missouri Botanic Gardens, 75, 84-852.",S04,Anderson_1988,S,1,1,0,1,0,1,NA,NA
Solanum,dioicum,Solanum dioicum,Solanaceae,Amegilla (Zonamegilla) aeruginosa,Amegilla,Zonamegilla,aeruginosa,Apidae,Apinae,NA,Insecta,Hymenoptera,1,WA,between Derby and Kalumburu (site 18),NA,NA,NA,NA,1979 - 1980,"Anderson, G. J., & Symon, D. (1988). Insect foracers on Solanum flowers in Australia. Annual Missouri Botanic Gardens, 75, 84-852.",S04,Anderson_1988,S,1,1,0,1,0,1,NA,NA
Solanum,eburneum,Solanum eburneum,Solanaceae,Amegilla (Zonamegilla) aeruginosa,Amegilla,Zonamegilla,aeruginosa,Apidae,Apinae,NA,Insecta,Hymenoptera,2,NT,"Northwest NT (site 1,2)",NA,NA,NA,NA,1979 - 1980,"Anderson, G. J., & Symon, D. (1988). Insect foracers on Solanum flowers in Australia. Annual Missouri Botanic Gardens, 75, 84-852.",S04,Anderson_1988,S,1,1,0,1,0,1,NA,NA
Solanum,eburneum,Solanum eburneum,Solanaceae,Amegilla (Zonamegilla) aeruginosa,Amegilla,Zonamegilla,aeruginosa,Apidae,Apinae,NA,Insecta,Hymenoptera,6,NT,Northwest NT (site 30),NA,NA,NA,NA,1979 - 1980,"Anderson, G. J., & Symon, D. (1988). Insect foracers on Solanum flowers in Australia. Annual Missouri Botanic Gardens, 75, 84-852.",S04,Anderson_1988,S,1,1,0,1,0,1,NA,NA
Solanum,diversiflorum,Solanum diversiflorum,Solanaceae,Amegilla (Zonamegilla) pulchra,Amegilla,Zonamegilla,pulchra,Apidae,Apinae,NA,Insecta,Hymenoptera,2,NT,Northwest NT (site 2a),NA,NA,NA,NA,1979 - 1980,"Anderson, G. J., & Symon, D. (1988). Insect foracers on Solanum flowers in Australia. Annual Missouri Botanic Gardens, 75, 84-852.",S04,Anderson_1988,S,1,1,0,1,0,1,NA,NA
Solanum,diversiflorum,Solanum diversiflorum,Solanaceae,Amegilla (Zonamegilla) pulchra,Amegilla,Zonamegilla,pulchra,Apidae,Apinae,NA,Insecta,Hymenoptera,1,WA,northwest Halls Creek (site 3),NA,NA,NA,NA,1979 - 1980,"Anderson, G. J., & Symon, D. (1988). Insect foracers on Solanum flowers in Australia. Annual Missouri Botanic Gardens, 75, 84-852.",S04,Anderson_1988,S,1,1,0,1,0,1,NA,NA
Solanum,ellipticum,Solanum ellipticum,Solanaceae,Amegilla (Zonamegilla) pulchra,Amegilla,Zonamegilla,pulchra,Apidae,Apinae,NA,Insecta,Hymenoptera,2,SA,north Adelaide (site 37),NA,NA,NA,NA,1979 - 1980,"Anderson, G. J., & Symon, D. (1988). Insect foracers on Solanum flowers in Australia. Annual Missouri Botanic Gardens, 75, 84-852.",S04,Anderson_1988,S,1,1,0,1,0,1,NA,NA
Solanum,ellipticum,Solanum ellipticum,Solanaceae,Amegilla (Zonamegilla) pulchra,Amegilla,Zonamegilla,pulchra,Apidae,Apinae,NA,Insecta,Hymenoptera,1,SA,north Adelaide (site 40),NA,NA,NA,NA,1979 - 1980,"Anderson, G. J., & Symon, D. (1988). Insect foracers on Solanum flowers in Australia. Annual Missouri Botanic Gardens, 75, 84-852.",S04,Anderson_1988,S,1,1,0,1,0,1,NA,NA
Solanum,esuriale,Solanum esuriale,Solanaceae,Amegilla (Zonamegilla) pulchra,Amegilla,Zonamegilla,pulchra,Apidae,Apinae,NA,Insecta,Hymenoptera,1,SA,Adelaide (site 41),NA,NA,NA,NA,1979 - 1980,"Anderson, G. J., & Symon, D. (1988). Insect foracers on Solanum flowers in Australia. Annual Missouri Botanic Gardens, 75, 84-852.",S04,Anderson_1988,S,1,1,0,1,0,1,NA,NA
Solanum,hoplopetalum,Solanum hoplopetalum,Solanaceae,Amegilla (Zonamegilla) pulchra,Amegilla,Zonamegilla,pulchra,Apidae,Apinae,NA,Insecta,Hymenoptera,1,WA,east of Perth (site 42),NA,NA,NA,NA,1979 - 1980,"Anderson, G. J., & Symon, D. (1988). Insect foracers on Solanum flowers in Australia. Annual Missouri Botanic Gardens, 75, 84-852.",S04,Anderson_1988,S,1,1,0,1,0,1,NA,NA
Solanum,cultivated],Solanum sp. [cultivated],Solanaceae,Amegilla (Zonamegilla) pulchra,Amegilla,Zonamegilla,pulchra,Apidae,Apinae,NA,Insecta,Hymenoptera,1,SA,Adelaide (site 41),NA,NA,NA,NA,1979 - 1980,"Anderson, G. J., & Symon, D. (1988). Insect foracers on Solanum flowers in Australia. Annual Missouri Botanic Gardens, 75, 84-852.",S04,Anderson_1988,S,1,1,0,1,0,1,NA,NA
Solanum,sturtianum,Solanum sturtianum,Solanaceae,Amegilla (Zonamegilla) pulchra,Amegilla,Zonamegilla,pulchra,Apidae,Apinae,NA,Insecta,Hymenoptera,1,SA,north Adelaide (site 37),NA,NA,NA,NA,1979 - 1980,"Anderson, G. J., & Symon, D. (1988). Insect foracers on Solanum flowers in Australia. Annual Missouri Botanic Gardens, 75, 84-852.",S04,Anderson_1988,S,1,1,0,1,0,1,NA,NA
Solanum,dioicum,Solanum dioicum,Solanaceae,Amegilla sp.,Amegilla,NA,sp.,Apidae,Apinae,NA,Insecta,Hymenoptera,2,WA,NE Derby (site 16),NA,NA,NA,NA,1979 - 1980,"Anderson, G. J., & Symon, D. (1988). Insect foracers on Solanum flowers in Australia. Annual Missouri Botanic Gardens, 75, 84-852.",S04,Anderson_1988,S,1,1,0,1,0,1,NA,NA
Solanum,cunninghamii,Solanum cunninghamii,Solanaceae,Austroplebeia sp. A,Austroplebeia,NA,sp. A,Apidae,Apinae,NA,Insecta,Hymenoptera,4,WA,southeast Broome (site 8),NA,NA,NA,NA,1979 - 1980,"Anderson, G. J., & Symon, D. (1988). Insect foracers on Solanum flowers in Australia. Annual Missouri Botanic Gardens, 75, 84-852.",S04,Anderson_1988,S,1,1,0,1,0,1,NA,NA
Solanum,dioicum,Solanum dioicum,Solanaceae,Austroplebeia sp. A,Austroplebeia,NA,sp. A,Apidae,Apinae,NA,Insecta,Hymenoptera,2,WA,"between Derby, Halls Creek and Kalumburu (site 21)",NA,NA,NA,NA,1979 - 1980,"Anderson, G. J., & Symon, D. (1988). Insect foracers on Solanum flowers in Australia. Annual Missouri Botanic Gardens, 75, 84-852.",S04,Anderson_1988,S,1,1,0,1,0,1,NA,NA
Solanum,diversiflorum,Solanum diversiflorum,Solanaceae,Austroplebeia sp. A,Austroplebeia,NA,sp. A,Apidae,Apinae,NA,Insecta,Hymenoptera,2,NT,Northwest NT (site 2a),NA,NA,NA,NA,1979 - 1980,"Anderson, G. J., & Symon, D. (1988). Insect foracers on Solanum flowers in Australia. Annual Missouri Botanic Gardens, 75, 84-852.",S04,Anderson_1988,S,1,1,0,1,0,1,NA,NA
