abbrev,individual_id,max_lumen_width,min_lumen_width,wall_thickness,replicates_conduit,collector_conduit,fresh_vol,dry_mass,wood_density,replicates_wood,collector_wood,leaf_area_mm2,leaf_fresh_mass_g,leaf_dry_mass_g,leaf_mass_per_area_g_m2,leaf_dry_matter_content,replicates_leaf,collector_leaf,leaf_type,family,genus,current_taxon,don_abbrev,old_taxon,older_taxon,red_book_hmax_m,height_notes,leaflets,deciduous,diaspore_type,dispersal_mode,seed_dispersal_uncertain,showy_fruit_no_reward,diaspore_diam_mm_lower,diaspore_diam_mm_upper,mean_diaspore_diam_mm,diaspore_notes,diaspore_measurement_notes,fruit_type,fruit_diam_mm_lower,fruit_diam_mm_upper,fruit_notes,Butler_dispersal_mode,Butler_seed_diam_mm,seed_notes
acacfasc,1_conduit,0.02358,0.00936,0.001868667,15,Julian,,,,,,,,,,,,,,Fabaceae,Acacia,Acacia fasciculifera,,,,20,,1,0,seed,myrmecochory,,no,5.5,,5.5,white funicle,used Butler,pod,10,13,brown,un,5.5,
acacfasc,2_conduit,0.02203,0.00377,0.002451111,15,Julian,,,,,,,,,,,,,,Fabaceae,Acacia,Acacia fasciculifera,,,,20,,1,0,seed,myrmecochory,,no,5.5,,5.5,white funicle,used Butler,pod,10,13,brown,un,5.5,
acacfasc,3_conduit,0.02203,0.00377,0.002451111,15,Julian,,,,,,,,,,,,,,Fabaceae,Acacia,Acacia fasciculifera,,,,20,,1,0,seed,myrmecochory,,no,5.5,,5.5,white funicle,used Butler,pod,10,13,brown,un,5.5,
acacmela,1_conduit,0.017163,0.005386,0.002546867,15,Alison,,,,,,,,,,,,,,Fabaceae,Acacia,Acacia melanoxylon,acacmela,,,30,,1,0,seed_aril,endozoochory,,,2.5,,2.5,aril-like funicle,used Butler,pod,3.5,8,brown,ae,2.5,
acacmela,2_conduit,0.022783,0.00311,0.002397422,15,Alison,,,,,,,,,,,,,,Fabaceae,Acacia,Acacia melanoxylon,acacmela,,,30,,1,0,seed_aril,endozoochory,,,2.5,,2.5,aril-like funicle,used Butler,pod,3.5,8,brown,ae,2.5,
acacmela,3_conduit,0.014598,0.004015,0.002261578,15,Alison,,,,,,,,,,,,,,Fabaceae,Acacia,Acacia melanoxylon,acacmela,,,30,,1,0,seed_aril,endozoochory,,,2.5,,2.5,aril-like funicle,used Butler,pod,3.5,8,brown,ae,2.5,
acalcapi,1_conduit,0.01175,0.00594,0.001896,15,Ella,,,,,,,,,,,,,,Euphorbiaceae,Acalypha,Acalypha capillipes,acalcapi,,,4,,1,0,seed,myrmecochory,,no,1,,1,,used Butler,capsule,2,3,green,un,1,
acalcapi,2_conduit,0.01613,0.00569,0.002598667,15,Ella,,,,,,,,,,,,,,Euphorbiaceae,Acalypha,Acalypha capillipes,acalcapi,,,4,,1,0,seed,myrmecochory,,no,1,,1,,used Butler,capsule,2,3,green,un,1,
acalcapi,3_conduit,0.02221,0.0057,0.002882889,15,Ella,,,,,,,,,,,,,,Euphorbiaceae,Acalypha,Acalypha capillipes,acalcapi,,,4,,1,0,seed,myrmecochory,,no,1,,1,,used Butler,capsule,2,3,green,un,1,
ackapani,1_conduit,0.05114,0.01575,0.001538889,15,Julian,,,,,,,,,,,,,,Cunoniaceae,Ackama,Ackama paniculosa,,Caldcluvia paniculosa,,40,,5,0,seed,anemochory,,,1,,1,,used Butler,capsule,2,3,brown,wa,1,
ackapani,2_conduit,0.036,0.01158,0.001286889,15,Julian,,,,,,,,,,,,,,Cunoniaceae,Ackama,Ackama paniculosa,,Caldcluvia paniculosa,,40,,5,0,seed,anemochory,,,1,,1,,used Butler,capsule,2,3,brown,wa,1,
ackapani,3_conduit,0.0362,0.01407,0.001441778,15,Julian,,,,,,,,,,,,,,Cunoniaceae,Ackama,Ackama paniculosa,,Caldcluvia paniculosa,,40,,5,0,seed,anemochory,,,1,,1,,used Butler,capsule,2,3,brown,wa,1,
acmehemi,1_conduit,0.02607,0.0089,0.002285778,15,Julian,,,,,,,,,,,,,,Myrtaceae,Acmena,Acmena hemilampra,,,,35,,1,0,berry,endozoochory,,,10,20,15,white,,berry,10,20,white,ae,8,
acmehemi,2_conduit,0.048,0.01369,0.002283667,20,Julian,,,,,,,,,,,,,,Myrtaceae,Acmena,Acmena hemilampra,,,,35,,1,0,berry,endozoochory,,,10,20,15,white,,berry,10,20,white,ae,8,
