species in Read et al.,APC species,replicate,vegetation,soil,N-fixer,leaf,leaf area (mm2),SLA (mm2/mg),thickness (mm),N (mg/g),Narea (g/m2),P (%),Parea (g/m2),site_name
Acacia acuminata,Acacia acuminata,1,woodland,dolerite,legume,phyllode,628.6,4.28,0.413,24.4,5.71,0.068,0.159,Tutanning Nature Reserve on dolerite soils
Acacia acuminata,Acacia acuminata,2,woodland,dolerite,legume,phyllode,1033.7,8.01,0.379,24.9,3.11,0.082,0.102,Tutanning Nature Reserve on dolerite soils
Acacia acuminata,Acacia acuminata,3,woodland,dolerite,legume,phyllode,530.3,3.44,0.388,24.3,7.06,0.069,0.2,Tutanning Nature Reserve on dolerite soils
Acacia acuminata,Acacia acuminata,4,woodland,dolerite,legume,phyllode,606.8,4.07,0.424,25.3,6.21,0.064,0.158,Tutanning Nature Reserve on dolerite soils
Acacia acuminata,Acacia acuminata,5,woodland,dolerite,legume,phyllode,580.1,4,0.346,27.7,6.92,0.067,0.167,Tutanning Nature Reserve on dolerite soils
Acacia meisneri,Acacia meisneri,1,woodland,dolerite,legume,phyllode,76.4,5.33,0.299,20.5,3.85,0.05,0.093,Tutanning Nature Reserve on dolerite soils
Acacia meisneri,Acacia meisneri,2,woodland,dolerite,legume,phyllode,83.9,4.09,0.357,21.2,5.18,0.056,0.137,Tutanning Nature Reserve on dolerite soils
Acacia meisneri,Acacia meisneri,3,woodland,dolerite,legume,phyllode,108.9,4.81,0.375,19,3.95,0.048,0.101,Tutanning Nature Reserve on dolerite soils
Acacia meisneri,Acacia meisneri,4,woodland,dolerite,legume,phyllode,96.2,4.58,0.3,20.3,4.43,0.05,0.109,Tutanning Nature Reserve on dolerite soils
Eucalyptus astringens,Eucalyptus astringens subsp. astringens,1,woodland,dolerite,,simple leaf,2418.9,3.03,0.441,7.44,2.45,0.033,0.108,Tutanning Nature Reserve on dolerite soils
Eucalyptus astringens,Eucalyptus astringens subsp. astringens,2,woodland,dolerite,,simple leaf,1853.2,3.16,0.4,9.53,3.02,0.017,0.054,Tutanning Nature Reserve on dolerite soils
