Species,Replicate,Leaf N %,SLA (cm2g),site,delta15N,delta13C,Fe (mg/kg),Mn (mg/kg),B (mg/kg),Cu(mg/kg),Ni (mg/kg),Zn (mg/kg),Ca (mg/kg),Mg (mg/kg),Na (mg/kg),K (mg/kg),P (mg/ kg),S (mg/kg),Al (mg/kg),Nfixer,mycorrhizae,Photosynthetic rate (micromol CO2/m2/s)_ambient,Photosynthetic rate (micromol CO2/m2/s)_HalogenLight,Stomatal conductance_ambient,Stomatal conductance_HalogenLight
Archidendron whitei,1,2.9,240.5825243,daintree_flats_above_creek,-0.13,-34.3102,370,181.9924651,10.3255489,7.996606786,6.119810379,16.56267465,10000,3300,460,6200,870,2900,200,unknown,Endo,4.361,0.891,0.063,0.072
Archidendron whitei,2,2.7,198.8764045,daintree_flats_above_creek,1.18,-33.6922,250,170.4272146,15.47436024,8.045374016,4.338533465,18.52514764,5800,3300,750,7600,650,2300,42.59446358,unknown,Endo,1.649,4.757,0.040,0.070
Archidendron whitei,3,3,216.6462668,daintree_flats_above_creek,0.67,-33.1772,174.4707677,108.9163878,17.89222441,8.355659449,6.659645669,21.4038878,6100,3300,260,12000,990,3200,37.0953002,unknown,Endo,1.305,5.515,0.065,0.079
Archidendron whitei,4,NA,201.8072289,daintree_flats_above_creek,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unknown,Endo,NA,NA,NA,NA
Archidendron whitei,5,NA,261.6052061,daintree_flats_above_creek,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unknown,Endo,NA,NA,NA,NA
Archidendron whitei,6,NA,258.1651376,daintree_flats_above_creek,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unknown,Endo,NA,NA,NA,NA
Archidendron kanisii,1,2.2,191.3269179,daintree_creek_edge,1.02,-31.6602,148.7332347,127.0081361,23.85212032,6.187228797,< 1.5,13.82642998,4100,2900,960,7600,700,2300,13.21762821,yes,Endo,NA,2.137,NA,0.049
Archidendron kanisii,2,2.3,197.3273638,daintree_creek_edge,0.09,-34.2192,139.8374516,134.3148256,15.28212209,4.97994186,< 1.5,13.81128876,5300,4600,420,5900,620,2900,116.1026405,yes,Endo,1.099,2.109,0.047,0.041
Archidendron kanisii,3,2.2,153.99193,daintree_creek_edge,-0.4,-32.5032,95.19491363,132.5958733,10.52384837,5.48646833,< 1.5,14.74760077,5000,3300,640,6100,550,2300,23.43678023,yes,Endo,0.816,1.535,-0.004,0.000
Gardenia actinocarpa,1,1.2,185.211085,daintree_river_valley_flats,0.83,-33.5982,103.8121139,45.81998069,33.61694015,6.006032819,1.69469112,15.34169884,6700,2400,3200,19700,550,1920,50.59119208,no,Endo,3.553,4.436,0.073,0.025
Gardenia actinocarpa,2,1.5,247.2614915,daintree_river_valley_flats,1.95,-33.0762,119.3289683,45.68645833,31.88978175,6.859474206,2.632142857,14.02673611,6600,3100,4800,22000,520,2400,28.04432044,no,Endo,0.765,2.834,0.036,0.024
Gardenia actinocarpa,3,1.3,200.2087595,daintree_river_valley_flats,2.58,-33.6522,110.3039474,40.19269006,37.26218324,6.669639376,2.553460039,14.93913255,8000,1660,4000,25000,510,3100,32.19788012,no,Endo,0.887,2.44,0.062,0.024
Gardenia actinocarpa,4,2.1,258.7797552,daintree_river_valley_flats,2.79,-33.0042,197.1194553,69.18570039,43.77247082,8.054523346,2.883998054,17.65092412,5500,2600,5900,25000,740,2300,66.83163911,no,Endo,0.606,3.519,0.029,0.033
Gardenia ovularis,1,1.4,170.48634,daintree_creek_canopy_gap,1.61,-32.5072,73.65284872,33.95250491,46.38968566,8.56370334,< 1.5,12.65717092,7600,2100,2300,13900,550,1700,22.01456287,no,Endo,2.529,3.481,0.043,0.029
Gardenia ovularis,2,1.6,155.7642358,daintree_creek_canopy_gap,3.21,-31.9102,68.93087669,20.48145472,26.74802505,10.86363198,< 1.5,11.91180154,7000,2200,1290,15400,750,1870,31.56105491,no,Endo,3.621,11.632,0.074,0.106
Gardenia ovularis,3,1.5,187.2253865,daintree_creek_canopy_gap,2.8,-32.7522,99.91401734,20.21271676,36.76825626,11.61180154,1.619749518,14.56955684,6500,2200,780,18700,730,1860,53.03118979,no,Endo,0.867,6.929,0.054,0.091
Gardenia ovularis,4,1.4,166.4889957,daintree_creek_canopy_gap,3.36,-32.9782,77.73610367,31.13440193,41.41321433,11.98076053,1.734278528,12.59197169,7600,2200,1380,15800,600,1720,32.94164779,no,Endo,0.721,4.363,0.035,0.048
Xanthostemon chrysanthus,1,1.2,145.4395278,daintree_creek_edge,-2.28,-30.6992,131.783559,76.80725338,50.21141199,12.71102515,2.107882012,10.53757253,12700,3200,3400,11100,630,1990,1380,no,Ecto,1.007,1.833,0.016,0.022
Xanthostemon chrysanthus,2,1.1,123.0666132,daintree_creek_edge,0.85,-33.8102,104.7359524,74.38614286,50.31585714,10.57295238,< 1.5,9.204714286,23000,2800,1980,7700,740,2400,3300,no,Ecto,1.423,1.473,0.019,0.016
Xanthostemon chrysanthus,3,1.2,122.5575643,daintree_creek_edge,-0.03,-32.2942,107.778125,70.76098485,47.33731061,6.320407197,< 1.4,11.37552083,16000,2400,2400,5700,570,1560,2000,no,Ecto,2.089,0.438,0.008,0.024
Xanthostemon formosus,1,1.1,153.5707679,daintree_creek_edge2,-0.31,-33.3212,71.3289272,580,24.33735632,5.621551724,3.147126437,27.05761494,9100,1940,2100,6400,460,3800,9000,no,unknown,0.758,2.251,0.045,0.079
Xanthostemon formosus,2,1.1,155.3959099,daintree_creek_edge2,-0.07,-33.4142,81.59075,1580,24.7286,4.7156,5.88125,30.46205,13300,2800,1760,8200,450,3800,11400,no,unknown,-0.13,3.862,0.033,0.039
Xanthostemon formosus,3,1,168.9001402,daintree_creek_edge2,0.85,-31.9462,96.87861905,270,30.596,11.04714286,3.320333333,19.08319048,5800,2600,2300,13500,510,2900,2400,no,unknown,0.428,2.494,0.085,0.325
