site_name,trait_name,unit,value,notes
Adams1984_BigCkBasin,longitude,deg,145.75,
Adams1984_BigCkBasin,latitude,deg,37.867,
Ahton1976_DrySclerophyll,longitude,deg,145.8,
Ahton1976_DrySclerophyll,latitude,deg,-37.983,
Ahton1976_Rainforest,longitude,deg,145.8,
Ahton1976_Rainforest,latitude,deg,-37.983,
Ahton1976_WetSclerophyll,longitude,deg,145.8,
Ahton1976_WetSclerophyll,latitude,deg,-37.983,
Ashton1975_WallabyCk,longitude,deg,NA,
Ashton1975_WallabyCk,latitude,deg,NA,
Attiwill1980_MtDisappointment,longitude,deg,NA,
Attiwill1980_MtDisappointment,latitude,deg,NA,
Bell1985_Weipa,longitude,deg,NA,
Bell1985_Weipa,latitude,deg,NA,
Bennett1996_Yanakie,longitude,deg,NA,
Bennett1996_Yanakie,latitude,deg,NA,
BevegeandJohnston1978 _Millmerran,longitude,deg,NA,
BevegeandJohnston1978 _Millmerran,latitude,deg,NA,
BirkandTurner1992_WeddingBells,longitude,deg,153.117,
BirkandTurner1992_WeddingBells,latitude,deg,30.133,
Choatetal2006_ManyPeaks,longitude,deg,145.75,
Choatetal2006_ManyPeaks,latitude,deg,19.18333,
Cromeretal1975_Morwell,longitude,deg,146.25,
Cromeretal1975_Morwell,latitude,deg,38.333,
Falsterunpub_WallabyCk,longitude,deg,NA,
Falsterunpub_WallabyCk,latitude,deg,NA,
Feller1980_MaroondahEO,longitude,deg,145.583,
Feller1980_MaroondahEO,latitude,deg,37.633,
Feller1980_MaroondahER,longitude,deg,145.583,
Feller1980_MaroondahER,latitude,deg,37.633,
Hatch1955_Dwellingup,longitude,deg,116.033,
Hatch1955_Dwellingup,latitude,deg,32.7833,
Hopmansetal1993_Maramingo,longitude,deg,149.55,
Hopmansetal1993_Maramingo,latitude,deg,37.4167,
Lambert1979thesis_BagoSF,longitude,deg,141.1,
Lambert1979thesis_BagoSF,latitude,deg,35.6,
Lambert1979thesis_LidsdaleSF,longitude,deg,150.0667,
Lambert1979thesis_LidsdaleSF,latitude,deg,33.45,
Leigh&Nicotra2003_LakeTyrrell,longitude,deg,NA,
Leigh&Nicotra2003_LakeTyrrell,latitude,deg,NA,
Leigh2006_ACT,longitude,deg,NA,
Leigh2006_ACT,latitude,deg,NA,
Leishmanetal2007_BlueMtns,longitude,deg,NA,
Leishmanetal2007_BlueMtns,latitude,deg,NA,
Leishmanetal2007_CPW,longitude,deg,NA,
Leishmanetal2007_CPW,latitude,deg,NA,
Leishmanetal2007_Dorrigo,longitude,deg,NA,
Leishmanetal2007_Dorrigo,latitude,deg,NA,
Leishmanetal2007_Haselhurst,longitude,deg,NA,
Leishmanetal2007_Haselhurst,latitude,deg,NA,
Leishmanetal2007_HS,longitude,deg,NA,
Leishmanetal2007_HS,latitude,deg,NA,
Leishmanetal2007_Hunter Valley,longitude,deg,NA,
Leishmanetal2007_Hunter Valley,latitude,deg,NA,
Leuningetal1991_Toolara,longitude,deg,152.75,
Leuningetal1991_Toolara,latitude,deg,26.2,
Marsh&Adams1995_Moormung,longitude,deg,147.633,
Marsh&Adams1995_Moormung,latitude,deg,37.8167,
Meakinsunpub_Brindabella1,longitude,deg,NA,
Meakinsunpub_Brindabella1,latitude,deg,NA,
Meakinsunpub_Brindabella2,longitude,deg,NA,
Meakinsunpub_Brindabella2,latitude,deg,NA,
Meakinsunpub_Brindabella3,longitude,deg,NA,
Meakinsunpub_Brindabella3,latitude,deg,NA,
Mooreetal1967_Meandarra,longitude,deg,145.75,
Mooreetal1967_Meandarra,latitude,deg,27.283,
Pearcy1987_CurtinFig,longitude,deg,145.5667,
Pearcy1987_CurtinFig,latitude,deg,17,
Peetersetal2006_BunyipPk,longitude,deg,145.8,
Peetersetal2006_BunyipPk,latitude,deg,-37.983,
Read&Sanson2003_MelbBotGardens,longitude,deg,145,
Read&Sanson2003_MelbBotGardens,latitude,deg,37.1333,
RichardsAustralia_Hooppineplantation25,longitude,deg,151.922,
RichardsAustralia_Hooppineplantation25,latitude,deg,-26.942,
RichardsAustralia_Hooppineplantation34,longitude,deg,152.001,
RichardsAustralia_Hooppineplantation34,latitude,deg,-26.792,
RichardsAustralia_Hooppineplantation50,longitude,deg,151.878,
RichardsAustralia_Hooppineplantation50,latitude,deg,-27.022,
RichardsAustralia_Hooppineplantation63,longitude,deg,151.96,
RichardsAustralia_Hooppineplantation63,latitude,deg,-26.876,
RichardsAustralia_Maleny,longitude,deg,152.867,
RichardsAustralia_Maleny,latitude,deg,-26.75,
RichardsAustralia_NorthQueensland1,longitude,deg,145.433,
RichardsAustralia_NorthQueensland1,latitude,deg,-16.133,
RichardsAustralia_NorthQueensland2,longitude,deg,145.633,
RichardsAustralia_NorthQueensland2,latitude,deg,-17.283,
RichardsAustralia_NorthQueensland3,longitude,deg,145.433,
RichardsAustralia_NorthQueensland3,latitude,deg,-16.1,
SpechtandTurner2006_JohnstonsScrub,longitude,deg,NA,
SpechtandTurner2006_JohnstonsScrub,latitude,deg,NA,
SpechtandTurner2006_RockyCrk,longitude,deg,NA,
SpechtandTurner2006_RockyCrk,latitude,deg,NA,
TurnerandLambert1983_Conglomerate,longitude,deg,NA,
TurnerandLambert1983_Conglomerate,latitude,deg,NA,
Warrenetal2006_Glencoe,longitude,deg,147.05,
Warrenetal2006_Glencoe,latitude,deg,38.267,
Warrenetal2006_MtWorth,longitude,deg,145.983,
Warrenetal2006_MtWorth,latitude,deg,38.317,
Westman&Rogers1977_Stradbroke,longitude,deg,155.5,
Westman&Rogers1977_Stradbroke,latitude,deg,27.5,
