type,id,individual_id,day,month,year,location,site,species,lat,lon,mat,precip,evap,pep,leaf_area,leafthick,ldmc,sla,C,N,cn_ratio,C13,N15,chlor2,caro,density,swc,Narea,replicates
M,253,M253,17,8,2018,Marysville,SC1,Amyema pendula,-37.28209502,145.8756748,131,1018,1153.12255251799,0.8828203,21.76824,0.74,400.465872094853,32.88722422748122,,,,,,0.3270235182410958,-0.07572993810258012,0.004160681594592282,1.503431448041814,,5
M,254,M254,17,8,2018,Marysville,SC1,Amyema pendula,-37.2824997,145.8756164,131,1018,1153.12255251799,0.8828203,17.13226,0.5639999999999998,448.1978226001584,36.63245789952856,,,,,,0.2479320609155856,-0.12572678513325936,0.004843369936783274,1.233054175322526,,5
M,255,M255,17,8,2018,Marysville,SC1,Amyema pendula,-37.28250733,145.875552,131,1018,1153.12255251799,0.8828203,17.84946,0.812,367.007339149261,35.1695565549082,,,,,,0.18609371170603,-0.2134719519166952,0.003618808967177498,1.768341354697696,,5
M,256,M256,17,8,2018,Marysville,SC1,Amyema pendula,-37.28265041,145.8756195,131,1018,1153.12255251799,0.8828203,14.3759,0.8700000000000002,436.7426818521685,25.65961932358875,45.29,0.79,57.3291139240506,-32.11,-2.82,0.2561118247851795,-0.1534407487038472,0.004507610801558502,1.294910884638155,0.029018221953591,4
M,257,M257,17,8,2018,Marysville,SC1,Amyema pendula,-37.28281075,145.8755469,131,1018,1153.12255251799,0.8828203,15.46084,0.7393333333333334,474.519249039862,28.90256173048502,48.18,0.84,57.3571428571429,-32.48,-6.09,0.3418334052328132,-0.1140698482142527,0.004715482509333654,1.1225713522665377,0.029647553633911,5
M,258,M258,17,8,2018,Marysville,SC1,Amyema pendula,-37.2827447,145.8756831,131,1018,1153.12255251799,0.8828203,29.97814,0.9613333333333328,407.1312922561906,27.3997522314559,,,,,,0.309320653474063,-0.11514878660106574,0.00394591510836261,1.485290108240538,,5
M,259,M259,17,8,2018,Marysville,SC1,Amyema pendula,-37.2825496388136,145.875615381356,131,1018,1153.12255251799,0.8828203,14.392000000000001,0.7086666666666666,437.4747982074882,31.576812045741722,48.62,0.96,50.6458333333333,-32.47,-4.71,0.3275421008527952,-0.11100684212061844,0.004503854886107278,1.2978898388139861,0.0327565775416829,5
M,260,M260,17,8,2018,Marysville,SC2,Muellerina eucalyptoides,-37.32989324,145.9005262,110,1565,1101.55158273381,1.42072330023439,19.88554,0.8059999999999999,494.673819672775,26.90981393542594,48.44,1.17,41.4017094017094,-31.29,-4.16,0.4079562669546022,-0.10187995163434162,0.0046526063469005275,1.0278885995539855,0.0415352422792017,5
M,261,M261,17,8,2018,Marysville,SC2,Muellerina eucalyptoides,-37.32915136,145.9002642,110,1565,1101.55158273381,1.42072330023439,27.113175,0.9533333333333325,408.748250827619,29.746920732007702,46.45,0.99,46.9191919191919,-32.09,-5.28,0.39301651165658846,-0.0677391027323157,0.0035824746070976573,1.4690337764441526,0.0341595967732828,4
M,262,M262,17,8,2018,Marysville,SC2,Muellerina eucalyptoides,-37.33071081,145.9017279,110,1565,1101.55158273381,1.42072330023439,15.51002,0.7853333333333332,378.5612654279872,35.1109156964516,45.87,0.86,53.3372093023256,-32.81,-4.26,0.358608104842794,-0.10246684184281414,0.003702471353723592,1.66864340889358,0.0247178469313701,5
M,263,M263,18,8,2018,Marysville,SC3,Amyema pendula,-37.29692269,145.8838844,117,1377,1153.12255251799,1.19414887601769,16.60898,0.8260000000000002,374.0552140077938,34.6575118230478,42.13,0.69,61.0579710144928,-33.85,-4.3,0.3144648129493174,-0.11213513382643031,0.0035060219583575598,1.67484731713543,0.0198897650041214,5
M,264,M264,18,8,2018,Marysville,SC3,Muellerina eucalyptoides,-37.29703107,145.8839423,117,1377,1153.12255251799,1.19414887601769,14.0096,0.592,420.0903957675492,44.47154400675606,38.67,0.94,41.1382978723404,-34.1,-3.09,0.3803721446269296,-0.02262095206416796,0.003850510787128812,1.384037538136318,0.021120958100776,5
M,265,M265,18,8,2018,Marysville,SC3,Muellerina eucalyptoides,-37.29696644,145.8839361,117,1377,1153.12255251799,1.19414887601769,13.01216,1.0086666666666675,378.980290921882,28.472379842301,,,,,,0.3231909334743296,-0.04778382442064564,0.003502764112484274,1.651482549514168,,5
M,266,M266,18,8,2018,Marysville,SC3,Amyema pendula,-37.29715529,145.8839324,117,1377,1153.12255251799,1.19414887601769,15.79778,0.8019999999999998,360.8030265025072,35.18594153691934,41.3,1.03,40.0970873786408,-33.09,-5.87,0.3210948303621938,-0.08111720409960148,0.003546432133143678,1.773566083866942,0.029735586773617,5
M,267,M267,18,8,2018,Marysville,SC3,Amyema pendula,-37.29717189,145.8840746,117,1377,1153.12255251799,1.19414887601769,16.47456,0.6086666666666666,433.5955942135758,38.81445681038674,48.7,1.05,46.3809523809524,-33.43,-3.94,0.3723454749384356,-0.06289116539315696,0.004254731670318944,1.308134509121276,0.0269256756756757,5
M,268,M268,18,8,2018,Marysville,SC3,Amyema pendula,-37.29759383,145.8842759,117,1377,1153.12255251799,1.19414887601769,11.27212,0.684,395.4607920892886,38.88825245458502,46.84,1.19,39.3613445378151,-32.93,-4.03,0.3502369738049482,-0.07182948785264245,0.003836213250382654,1.55075010275683,0.0310382666799641,5
M,269,M269,18,8,2018,Marysville,SC3,Amyema pendula,-37.29765787,145.8845593,117,1377,1153.12255251799,1.19414887601769,15.86504,0.8046666666666666,398.2656978064038,33.956378683447824,45.4,1.1,41.2727272727273,-31.81,-3.81,0.4266221569202828,-0.071118617529714,0.003721240580069758,1.537143830986532,0.0295173387775412,5
M,270,M270,18,8,2018,Marysville,SC3,Muellerina eucalyptoides,-37.29767019,145.884641,117,1377,1153.12255251799,1.19414887601769,10.23164,0.8713333333333334,368.143229913213,35.68835196062976,43.16,0.78,55.3333333333333,-32.28,-5.19,0.3301148256649334,-0.03584328106497098,0.003275602295374394,1.72495176570297,0.0227852459016393,5
M,271,M271,18,8,2018,Marysville,SC3,Amyema pendula,-37.29791779,145.8847137,117,1377,1153.12255251799,1.19414887601769,15.59768,0.6493333333333332,469.0630741273972,34.29752583495254,49.33,1.31,37.6564885496183,-33.01,-3.36,0.36913276416830043,-0.08218902938649968,0.0045251324283310836,1.1349244015651059,0.0340236247253532,5
M,272,M272,18,8,2018,Marysville,SC3,Muellerina eucalyptoides,-37.29815634,145.8847325,117,1377,1153.12255251799,1.19414887601769,10.75692,0.6313333333333334,412.2208268128564,40.75491851272954,45.91,0.95,48.3263157894737,-31.66,-5.34,0.41633710145301,-0.01656184251158403,0.00391777171680349,1.429498272819992,0.0230423362611913,5
M,273,M273,20,8,2018,Avoca,AR1,Amyema miquelii,-36.72632497,143.6073867,140,558,1462.39259280576,0.381566484092632,13.1638,0.7553333333333332,433.7038825322712,30.30878431213432,48.785,0.78,62.5448717948718,-32.885,-4.685,0.2252350190664678,-0.20384939560060142,0.004440445282225372,1.311747819383112,0.0237131956233087,5
M,274,M274,20,8,2018,Avoca,AR1,Amyema miquelii,-36.72639621,143.6074938,140,558,1462.39259280576,0.381566484092632,9.095066666666668,0.7227777777777779,457.0670014878405,30.92034475542145,52.57,0.95,55.3368421052632,-30.7,-0.03,0.21593384977645907,-0.19184199711996416,0.0045562415915118264,1.20248725259464,0.0315949732226998,6
M,275,M275,20,8,2018,Avoca,AR1,Amyema miquelii,-36.72637886,143.6074438,140,558,1462.39259280576,0.381566484092632,10.72892,0.7186666666666666,409.6494491209826,35.218653836361604,50.25,0.85,59.1176470588235,-32.11,0.65,0.20612152402182018,-0.1783793401689768,0.004069467603724276,1.450646459390022,0.0219976681318228,5
M,276,M276,20,8,2018,Avoca,AR1,Amyema miquelii,-36.72596664,143.606703,140,558,1462.39259280576,0.381566484092632,10.36066,0.6846666666666668,416.6017146012956,36.23693414049688,51.53,0.88,58.5568181818182,-29.82,-2.61,0.203359400635776,-0.17958389544734998,0.004070686449517974,1.40079295160997,0.02095,5
M,277,M277,21,8,2018,Avoca,PY1,Amyema pendula,-37.05646181,143.2523598,126,739,1410.99962302158,0.523742166860024,11.266,0.5993333333333334,447.7320635637576,37.43715763499324,50.27,0.78,64.448717948718,-31,-2.19,0.1634856308076414,-0.1717649928209288,0.00447633482094605,1.2364206436885259,0.0224649532125178,5
M,278,M278,21,8,2018,Avoca,PY1,Amyema pendula,-37.05644136,143.252462,126,739,1410.99962302158,0.523742166860024,16.17732,0.9786666666666667,414.4439723751482,26.418868318242,49.41,0.91,54.2967032967033,-31.69,-3.53,0.3055170947759176,-0.1230458895290138,0.003881264579902282,1.413284401566716,0.0352329535989338,5
M,279,M279,21,8,2018,Avoca,PY1,Amyema pendula,-37.05697244,143.2531592,126,739,1410.99962302158,0.523742166860024,22.764725,1.0491666666666681,374.775215610667,27.05899799305375,48.29,0.92,52.4891304347826,-33.38,-5.15,0.27576284493922976,-0.2026046767473765,0.003583234666605555,1.6708784816863376,0.0328417713258842,4
M,280,M280,21,8,2018,Avoca,PY1,Amyema pendula,-37.05701083,143.2529875,126,739,1410.99962302158,0.523742166860024,13.16718,0.552,516.0112165574537,35.15205808390204,51.28,0.78,65.7435897435897,-30.33,0.2,0.1989478550329942,-0.153705216371561,0.0052934206904910975,0.9387938408662722,0.0225440764072343,5
M,281,M281,20,8,2018,Avoca,AR1,Amyema miquelii,-36.72447877,143.6076038,140,560,1462.39259280576,0.382934105899416,11.3216,0.6513333333333332,443.4487200911454,35.45192847210344,43.555,0.725,60.0758620689655,-30.435,-4.375,0.220490536668176,-0.1896705908588606,0.004362241198941002,1.2646555675576079,0.0193529180270522,5
M,282,M282,20,8,2018,Avoca,AR1,Amyema miquelii,-36.72600495,143.5996307,141,543,1462.39259280576,0.371309320541755,13.408240000000001,0.7260000000000008,417.5025913464408,35.70855613170522,49.42,0.95,52.021052631579,-31.2,-0.79,0.2534565915471414,-0.13337919011774602,0.004065353745247202,1.41183229408796,0.0235185581935869,5
M,283,M283,21,8,2018,Avoca,PY2,Amyema pendula,-37.04129091,143.2677375,132,662,1410.99962302158,0.4691709,11.57982,0.4759999999999998,505.4195526218642,39.2362777661113,51.1,1.05,48.6666666666667,-30.38,-1.77,0.2698312715866066,-0.1545576169490216,0.005373789929000784,0.9789895546436935,0.0256763887898453,5
M,284,M284,21,8,2018,Avoca,PY2,Amyema pendula,-37.04079604,143.2669807,132,662,1410.99962302158,0.4691709,15.66976,0.5706666666666667,482.7728294934946,35.81321440524318,51.66,0.93,55.5483870967742,-29.74,-1.7,0.3038687923744402,-0.1310660865210363,0.004916906663206308,1.0769957768988192,0.0267475700783073,5
M,285,M285,21,8,2018,Avoca,PY2,Amyema pendula,-37.041043475,143.2673591,132,662,1410.99962302158,0.4691709,15.29954,0.6886666666666668,436.34313841219637,33.71672600083422,49.79,0.79,63.0253164556962,-30.57,-2.53,0.2183918158160362,-0.15250974908677445,0.004457208028251606,1.307700241939884,0.0217313272058309,5
M,286,M286,21,8,2018,Avoca,PY1,Amyema miquelii,-37.05704302,143.2532622,126,739,1410.99962302158,0.523742166860024,15.98506,0.6893333333333334,408.311998693623,37.121951990624524,48.69,1.06,45.9339622641509,-29.425,-5,0.2689128370877352,-0.1368780078205524,0.003969208342639886,1.470690488606176,0.0250188073293592,5
M,287,M287,21,8,2018,Avoca,PY1,Amyema pendula,-37.05647891,143.2512067,126,739,1410.99962302158,0.523742166860024,18.80484,0.5546666666666666,498.2319635015768,37.21304816492354,52.05,0.81,64.2592592592593,-32.24,-3.06,0.1931467141220834,-0.1754792625964828,0.004890216149394398,1.0100041161638171,0.0205524218270999,5
M,288,M288,21,8,2018,Avoca,PY1,Amyema pendula,-37.05584415,143.2502686,126,739,1410.99962302158,0.523742166860024,12.25868,0.9146666666666666,312.350962037966,36.3794759467537,46.02,0.92,50.0217391304348,-33.52,-6.45,0.1810301019116518,-0.1587144402852504,0.003010000783888022,2.203290127911268,0.0241231142650058,5
M,289,M289,20,8,2018,Avoca,AR1,Amyema miquelii,-36.72512594,143.608024,140,558,1462.39259280576,0.381566484092632,12.95088,0.7786666666666668,384.8572730366158,35.68537690519926,49.36,0.98,50.3673469387755,-32.2,-3.28,0.2822148884141466,-0.16005635249625036,0.003651407003206918,1.608253305404658,0.0281331452872296,5
M,290,M290,20,8,2018,Avoca,AR1,Amyema miquelii,-36.72616278,143.6057276,140,558,1462.39259280576,0.381566484092632,13.12504,0.794,383.5647021614974,32.98770256880988,42.71,0.72,59.3194444444444,-32.97,-3.21,0.1723959352063484,-0.2037087212678792,0.003834197290626366,1.617602411715158,0.02141615120867,5
M,291,M291,20,8,2018,Avoca,AR1,Amyema miquelii,-36.72587494,143.6067537,140,558,1462.39259280576,0.381566484092632,11.50254,0.7133333333333332,410.0620289916186,34.1798760837813,50.55,0.81,62.4074074074074,-30.52,-4.5,0.2256840485172078,-0.1775315808383104,0.004108092736891736,1.441381969046314,0.0243479457987873,5
M,432,M432,25,8,2018,Hattah,HA2,Amyema miraculosum,-34.72876271,142.3143843,166,330,1966.77709640288,0.167787188799153,2.93382,0.7366666666666666,528.480288928307,25.91268210509024,46.93,0.67,70.044776119403,-28.67,-2.65,0.11888803465760764,-0.4175128753004204,0.005441152908060386,0.8933058487312538,0.0186041873945581,5
M,433,M433,25,8,2018,Hattah,HA2,Amyema miraculosum,-34.72020429,142.3075804,166,331,1966.77709640288,0.168295634825817,4.5441,0.6046666666666667,430.1573123533648,39.540074616823716,44.48,0.88,50.5454545454545,-31.56,-1.72,0.2047201778120448,-0.198071142948998,0.004374890291422474,1.337557574488844,0.0225620190827947,5
M,457,M457,23,8,2018,Little Desert,LD1,Amyema miquelii,-36.45772411,141.6491977,143,461,1603.6980057554,0.287460605641181,13.812240000000001,1.112666666666666,410.818734186489,21.53875833720414,46.43,0.9,51.5888888888889,-31.73,-2.42,0.42465600021046057,-0.05683377136973094,0.004181681354338586,1.434561817327194,0.0415049990965488,5
M,458,M458,23,8,2018,Little Desert,LD1,Amyema pendula,-36.45783442,141.6495716,143,461,1603.6980057554,0.287460605641181,9.7593,0.950666666666666,383.916658969308,29.2050840193081,45.81,0.95,48.2210526315789,-32.68,-3.21,0.3538456337717602,-0.08530347134422522,0.003626631517923226,1.609899919988832,0.0312284398439509,5
M,459,M459,23,8,2018,Little Desert,LD2,Amyema pendula,-36.45571363,141.6519791,143,462,1603.6980057554,0.288084164438667,10.40648,1.067333333333334,388.2769058349496,24.63902486875772,46.65,0.86,54.2441860465116,-30.83,-0.36,0.3909326200654302,-0.080632711133107,0.003817108253116884,1.580363017956354,0.0376534003749787,5
M,460,M460,24,8,2018,Hattah,HA1,Amyema miquelii,-34.74160161,142.20525,166,328,1966.77709640288,0.166770296745825,6.5696,0.5246666666666666,505.6028582266536,35.001214745783344,48.42,0.76,63.7105263157895,-30.43,-1.15,0.1675804632194428,-0.3207663605808458,0.005463657267344914,0.9783376102086387,0.0218892585808885,5
M,461,M461,25,8,2018,Hattah,HA1,Amyema miraculosum,-34.73982439,142.1747665,167,325,1966.77709640288,0.165244958665833,3.6741800000000002,0.7153333333333332,433.052303161316,30.37727666632168,42.63,1.16,36.75,-28.48,3.01,0.2522712952356288,-0.289494808049352,0.004636611371117762,1.312607735622284,0.0352129918800749,5
M,469,M469,25,8,2018,Hattah,HA2,Amyema miraculosum,-34.74516761,142.3239835,166,334,1966.77709640288,0.16982097290581,5.74754,0.6133333333333334,487.3409850266588,33.2925933190011,50.29,0.84,59.8690476190476,-29.37,-1.45,0.1614755809169683,-0.33701499854000777,0.00502899168647515,1.0594111217502207,0.0250713500247024,5
M,470,M470,25,8,2018,Hattah,HA1,Amyema miraculosum,-34.73944863,142.1740581,167,325,1966.77709640288,0.165244958665833,5.70664,0.7073333333333334,481.3714578949632,30.93470088379732,48.57,1.12,43.3660714285714,-28.75,1.97,0.2302312214058906,-0.3023708401900382,0.004857363806193822,1.0846503627618338,0.0320643431635389,5
M,471,M471,25,8,2018,Hattah,HA1,Amyema miraculosum,-34.73931259,142.1743439,167,325,1966.77709640288,0.165244958665833,4.3668,0.534,453.5275935224356,39.06197509835848,39.46,0.87,45.3563218390805,-29.98,1.42,0.2235591373950274,-0.2626591818278852,0.004855086713324864,1.212129632755996,0.0231065963206453,5
