location,site,latitude (deg),longitude (deg),mat,precip,evap,pep
Avoca,AR1,-36.72585712,143.6063075,140.1111111,556.5555556,1462.392593,0.380578757
Avoca,PY1,-37.0566075,143.2522437,126,739,1410.999623,0.523742167
Avoca,PY2,-37.04104348,143.2673591,132,662,1410.999623,0.4691709
Hattah,HA1,-34.73985208,142.1796549,166.8333333,325.8333333,1966.777096,0.165668664
Hattah,HA2,-34.73610801,142.3178245,166,331.5,1966.777096,0.168549858
Little Desert,LD1,-36.4577668,141.6494544,143,461,1603.698006,0.287460606
Little Desert,LD2,-36.45559869,141.6514063,143,462,1603.698006,0.288084164
Marysville,SC1,-37.28255108,145.8756154,131,1018,1153.122553,0.8828203
Marysville,SC2,-37.32991847,145.9008394,110,1565,1101.551583,1.4207233
Marysville,SC3,-37.29742434,145.8842692,117,1377,1153.122553,1.194148876
