Sheet:  Compile_Data in Hughes_constant_exp.xls
By:     MLR 18 September 2001
Details:Compile data so it can be dumped to an ASCII file
        for analysis/plotting etc. in IDL.

Notes:  Leaf 1b-5 deleted (gross error)

Format: List species ID and name (rows 14-28)
        List all the measurements by Michelle (rows 39-487)
        List extra measurements by Michael for plant 2. (rows 498-507)
        List FECOL data used to verify basic approach. (rows 516-543)

Hughes ISpecies Names & Authorities
       1Eucalyptus ficifolia F. Muell.
       2Hedera Helix L.
       3Betula jacquemontii Spach.
       4Melia azedarach L. var. australasica
       5Populus nigra L. 'Italica'
       6Alnus rhombifolia Nutt.
       7Ginkgo biloba L.
       8Eucalyptus pauciflora Sieber ex. Sprengel
       9Callistemon viminalis Sweet ex. G.Don
      10Convolvulus mauritanicus Boiss.
      11Salix babylonica L.
      12Cercis occidentalis Torr.
      13Hypericum calycinum L.
      14Acer platanoides L.
      15Vinca minor L.

Fields: ID      Species ID, 3 sets of ten leaves per species
        Leaf No.Leaf number - ranges from 1-10
        Mass    (g) - use 3 significant figures
        Dry Mass(g)
        Area    Projected area measured with a leaf area meter - 1 significant figure
        z       Leaf thickness - average of three estimates with a dial thickness gauge - 3 significant figures

   ID   Leaf No.  Mass  Dry Mass  Area     z
                  (g)     (g)    (cm2)    (um)
1a             1   0.146   0.071     4.7     343
1a             2   0.391   0.188    12.1     343
1a             3   1.940   1.020    59.1     337
1a             4   0.532   0.256    15.6     370
1a             5   0.814   0.435    27.7     337
1a             6   0.531   0.256    15.1     373
1a             7   0.427   0.215    15.0     317
1a             8   2.000   1.000    67.3     340
1a             9   1.265   0.613    38.4     393
1a            10   1.648   0.863    52.2     370
1b             1   1.391   0.427    52.0     270
1b             2   1.052   0.424    34.8     308
1b             3   1.093   0.553    32.3     350
1b             4   0.460   0.162    15.0     353
1b             6   0.459   0.173    16.5     272
1b             7   1.013   0.488    32.9     403
1b             8   0.615   0.302    20.1     297
1b             9   1.488   0.705    44.4     323
1b            10   0.725   0.339    21.5     350
1c             1   1.281   0.360    44.7     277
1c             2   0.880   0.269    31.2     290
1c             3   0.965   0.252    32.9     222
1c             4   0.778   0.263    24.0     280
1c             5   0.227   0.080     7.3     330
1c             6   0.798   0.298    27.3     303
1c             7   0.846   0.324    28.6     303
1c             8   1.436   0.473    54.3     275
1c             9   0.589   0.213    19.5     325
1c            10   0.806   0.249    28.6     277
2a             1   0.670   0.191    40.1     203
2a             2   0.876   0.238    46.9     233
2a             3   0.512   0.145    28.9     250
2a             4   1.184   0.318    61.9     213
2a             5   1.179   0.340    60.8     260
2a             6   1.085   0.288    59.7     237
2a             7   0.739   0.214    40.3     240
2a             8   0.377   0.111    20.2     267
2a             9   0.777   0.214    41.1     250
2a            10   0.236   0.065    11.4     307
2b             1   0.895   0.241    54.3     208
2b             2   0.970   0.271    58.4     200
2b             3   0.575   0.155    36.8     222
2b             4   0.447   0.121    29.0     192
2b             5   0.358   0.094    23.9     177
2b             6   0.259   0.069    17.1     167
2b             7   0.155   0.050     7.9     293
2b             8   0.186   0.062    10.6     213
2b             9   0.577   0.155    35.5     217
2b            10   0.176   0.040    10.1     182
2c             1   0.053   0.013     2.6     347
2c             2   0.174   0.040     9.5     193
2c             3   0.288   0.063    16.9     198
2c             4   0.492   0.110    27.0     215
2c             5   0.403   0.097    21.8     233
2c             6   0.619   0.156    32.7     207
2c             7   0.626   0.178    31.1     242
2c             8   0.264   0.053    15.7     182
2c             9   0.427   0.092    23.5     220
2c            10   0.474   0.117    26.4     223
3a             1   0.996   0.401    51.5     248
3a             2   1.208   0.507    55.4     333
3a             3   1.344   0.569    62.0     327
3a             4   1.009   0.395    47.1     320
3a             5   0.600   0.232    28.6     365
3a             6   0.921   0.396    41.6     302
3a             7   0.657   0.263    35.8     273
3a             8   0.946   0.364    43.9     233
3a             9   0.953   0.395    41.5     377
3a            10   0.213   0.092    11.0     275
3b             1   0.469   0.186    21.1     350
3b             2   1.100   0.420    53.3     233
3b             3   1.000   0.427    42.9     322
3b             4   1.016   0.424    49.3     288
3b             5   0.732   0.289    36.4     268
3b             6   0.513   0.211    28.1     230
3b             7   0.552   0.222    29.6     272
3b             8   0.658   0.269    36.7     277
3b             9   0.386   0.158    21.6     257
3b            10   0.599   0.261    27.9     272
3c             1   0.583   0.246    30.4     325
3c             2   1.249   0.535    53.6     240
3c             3   0.997   0.416    47.4     295
3c             4   0.536   0.213    23.8     342
3c             5   0.764   0.322    34.9     362
3c             6   1.122   0.470    47.9     327
3c             7   0.734   0.310    33.0     312
3c             8   0.956   0.382    46.7     303
3c             9   1.391   0.562    66.0     337
3c            10   0.797   0.335    40.2     267
4a             1   0.073   0.025     5.1     133
4a             2   0.090   0.030     6.0     127
4a             3   0.085   0.028     5.9     128
4a             4   0.135   0.043    10.1     125
4a             5   0.132   0.044     9.6     133
4a             6   0.135   0.044     9.7     140
4a             7   0.159   0.052    11.5     148
4a             8   0.119   0.038     8.2     140
4a             9   0.046   0.015     3.6     113
4a            10   0.119   0.040     8.4     140
4b             1   0.146   0.050     9.0     150
4b             2   0.084   0.029     5.6     138
4b             3   0.131   0.044     8.2     160
4b             4   0.105   0.035     6.5     143
4b             5   0.161   0.053     9.6     162
4b             6   0.200   0.067    11.1     162
4b             7   0.157   0.050     9.8     163
4b             8   0.168   0.053     9.9     155
4b             9   0.130   0.041     8.1     158
4b            10   0.195   0.061    11.7     160
4c             1   0.151   0.053     8.1     173
4c             2   0.098   0.034     5.5     163
4c             3   0.177   0.060    10.3     178
4c             4   0.261   0.089    15.2     195
4c             5   0.268   0.091    16.5     162
4c             6   0.131   0.046     7.3     168
