species,location_code,functional_type,delta13C_full,calculated_WUEi,leaf_delta13C,standard_error,location_name
Acacia aneura,AMU,NlT,19.71±0.21,78.67,19.71,0.21,Alice Mulga
Acacia melanoxylon,WR,BlT,22.46±0.46,49,22.46,0.46,Warra Tall Eucalypt
Acmena graveolens,CT,BIT,21.96±0.31,54.37,21.96,0.31,FNQ Rainforest near Cape Tribulation
Alphitonia whitei,RC,BlT,24.81±0.58,23.63,24.81,0.58,FNQ Rainforest around Robson Creek
Alstonia muelleriana,RC,BlT,23.42±0.4,38.58,23.42,0.4,FNQ Rainforest around Robson Creek
Alstonia scholaris,CT,BlT,22.76±0.36,45.75,22.76,0.36,FNQ Rainforest near Cape Tribulation
Anopterus glandulosus,WR,S,25.58±0.44,15.34,25.58,0.44,Warra Tall Eucalypt
Argyrodendron peralatum,CT,BIT,24.89±0.26,22.75,24.89,0.26,FNQ Rainforest near Cape Tribulation
Atherosperma moschatum,WR,BlT,22.57±0.85,47.8,22.57,0.85,Warra Tall Eucalypt
Cardwellia sublimis,CT,BlT,22.46±0.58,48.92,22.46,0.58,FNQ Rainforest near Cape Tribulation
Castanospermum australe,CT,BlT,22.04±0.4,53.48,22.04,0.4,FNQ Rainforest near Cape Tribulation
Ceratopetalum succirubrum,RC,BlT,26.52±0.13,5.21,26.52,0.13,FNQ Rainforest around Robson Creek
Corymbia terminalis,AMU,BlT,19.89±0.29,76.65,19.89,0.29,Alice Mulga
Cryptocarya mackinnoniana,CT,BlT,24.59±0.12,26.02,24.59,0.12,FNQ Rainforest near Cape Tribulation
Daphnandra repandula,RC,BlT,23.69±0.57,35.69,23.69,0.57,FNQ Rainforest around Robson Creek
Doryphora aromatica,RC,BlT,25.41±0.88,17.19,25.41,0.88,FNQ Rainforest around Robson Creek
Dysoxylum papuanum,CT,BlT,20.83±0.44,66.59,20.83,0.44,FNQ Rainforest near Cape Tribulation
Elaeocarpus grandis,CT,BlT,22.34±0.1,50.3,22.34,0.1,FNQ Rainforest near Cape Tribulation
Endiandra leptodendron,CT,BlT,26.86±0.6,1.51,26.86,0.6,FNQ Rainforest near Cape Tribulation
Eucalyptus amplifolia,CP,BlT,21.02±0.31,64.53,21.02,0.31,Cumberland Plain
Eucalyptus camaldulensis,AMU,BlT,20.28±0.35,72.43,20.28,0.35,Alice Mulga
Eucalyptus clelandii,GWW,BlT,17.68±0.17,100.56,17.68,0.17,Great Western Woodlands
Eucalyptus dumosa,CM,BlT,19.01±0.42,86.15,19.01,0.42,Calperum Mallee
Eucalyptus fibrosa,CP,BlT,23.24±0.32,40.57,23.24,0.32,Cumberland Plain
Eucalyptus miniata,LF,BlT,21.86±0.07,55.39,21.86,0.07,Litchfield Savanna
Eucalyptus moluccana,CP,BlT,21.48±0.24,59.5,21.48,0.24,Cumberland Plain
Eucalyptus obliqua,WR,BlT,22.01±0.73,53.79,22.01,0.73,Warra Tall Eucalypt
Eucalyptus salmonophloia,GWW,BlT,18.88±0.09,87.56,18.88,0.09,Great Western Woodlands
Eucalyptus salubris,GWW,BlT,18.02±0.19,96.82,18.02,0.19,Great Western Woodlands
Eucalyptus socialis,CM,BlT,19.94±0.18,76.17,19.94,0.18,Calperum Mallee
Eucalyptus tereticornis,CP,BlT,21.27±0.26,61.85,21.27,0.26,Cumberland Plain
Eucalyptus tetrodonta,LF,BlT,19.82±0.34,77.39,19.82,0.34,Litchfield Savanna
Eucalyptus transcontinentalis,GWW,BlT,19.75±0.31,78.24,19.75,0.31,Great Western Woodlands
Eucryphia lucida,WR,BlT,22.07±0.06,53.16,22.07,0.06,Warra Tall Eucalypt
Ficus leptoclada,RC,BlT,21.53±0.49,59.01,21.53,0.49,FNQ Rainforest around Robson Creek
Ficus variegata,CT,BlT,21.85±0.29,55.6,21.85,0.29,FNQ Rainforest near Cape Tribulation
Flindersia bourjotiana,RC,BlT,23.8±0.43,34.54,23.8,0.43,FNQ Rainforest around Robson Creek
Gillbeea adenopetala,RC,BlT,24.41±0.26,27.94,24.41,0.26,FNQ Rainforest around Robson Creek
Gillbeea whypallana,CT,BlT,23.22±0.42,40.79,23.22,0.42,FNQ Rainforest near Cape Tribulation
Leptospermum lanigerum,WR,BlT,21.61±0.39,58.15,21.61,0.39,Warra Tall Eucalypt
Litsea leefeana,RC,BlT,23.9±0.48,33.38,23.9,0.48,FNQ Rainforest around Robson Creek
Melaleuca squarrosa,WR,BlT,21.94±0.25,54.6,21.94,0.25,Warra Tall Eucalypt
Myristica globosa,CT,BlT,24.04±0.53,31.91,24.04,0.53,FNQ Rainforest near Cape Tribulation
Notelaea ligustrina,WR,BlT,21.2±0.51,62.52,21.2,0.51,Warra Tall Eucalypt
Nothofagus cunninghamii,WR,BlT,21.06±0.59,64.02,21.06,0.59,Warra Tall Eucalypt
Phyllocladus aspleniifolius,WR,S,18.48±0.68,91.93,18.48,0.68,Warra Tall Eucalypt
Pittosporum bicolor,WR,BlT,19.99±0.67,75.63,19.99,0.67,Warra Tall Eucalypt
Polyscias elegans,RC,BlT,22.96±0.6,43.6,22.96,0.6,FNQ Rainforest around Robson Creek
Pomaderris apetala,WR,S,23.55±0.44,37.21,23.55,0.44,Warra Tall Eucalypt
Prunus turneriana,RC,BlT,25.83±0.74,12.59,25.83,0.74,FNQ Rainforest around Robson Creek
Rockinghamia angustifolia,CT,BlT,22.69±0.35,46.49,22.69,0.35,FNQ Rainforest near Cape Tribulation
Synima cordierorum,CT,BIT,22.8±0.39,45.33,22.8,0.39,FNQ Rainforest near Cape Tribulation
Syzygium johnsonii,RC,BlT,25.7±0.07,13.99,25.7,0.07,FNQ Rainforest around Robson Creek
