Family,Taxon,Rainforest or Sclerophyll,TTFS,Fire response,Seed longevity
ACANTHACEAE,Graptophyllum spinigerum,RF,4,2,2
ACANTHACEAE,Harnieria kempeana subsp. kempeana,SCL,2,1,2
ACANTHACEAE,Hypoestes floribunda var. angustifolia,SCL,1,1,2
ACANTHACEAE,Hypoestes floribunda var. cinerea,SCL,1,1,2
ACANTHACEAE,Hypoestes floribunda var. indeterminate,RF,1,1,2
ACANTHACEAE,Hypoestes floribunda var. varia,SCL,1,1,2
AGAVACEAE,Cordyline cannifolia,RF,4,1,1
AIZOACEAE,Zaleya galericulata subsp. galericulata,SCL,1,2,2
AMARANTHACEAE,Ptilotus aristatus var. aristatus,SCL,1,2,2
AMARANTHACEAE,Ptilotus aristatus var. eichlerianus,SCL,1,2,2
AMARANTHACEAE,Ptilotus aristatus var. exilis,SCL,1,2,2
AMARANTHACEAE,Ptilotus aristatus var. indeterminate,SCL,1,2,2
AMARANTHACEAE,Ptilotus aristatus var. stenophyllus,SCL,1,2,2
AMARANTHACEAE,Ptilotus incanus var. elongatus,SCL,1,2,2
AMARANTHACEAE,Ptilotus incanus var. incanus,SCL,1,2,2
AMARANTHACEAE,Ptilotus incanus var. indeterminate,SCL,1,2,2
AMARANTHACEAE,Ptilotus latifolius var. indeterminate,SCL,1,2,2
AMARANTHACEAE,Ptilotus latifolius var. latifolius,SCL,1,2,2
AMARANTHACEAE,Ptilotus latifolius var. major,SCL,1,2,2
AMARANTHACEAE,Ptilotus macrocephalus,SCL,1,1,2
AMARANTHACEAE,Ptilotus nobilis var. nobilis,SCL,1,1,2
AMARANTHACEAE,Ptilotus obovatus var. griseus,SCL,1,2,2
AMARANTHACEAE,Ptilotus obovatus var. indeterminate,SCL,1,2,2
AMARANTHACEAE,Ptilotus obovatus var. lancifolius,SCL,1,2,2
AMARANTHACEAE,Ptilotus obovatus var. obovatus,SCL,1,2,2
AMARANTHACEAE,Ptilotus obovatus var. parviflorus,SCL,1,2,2
AMARANTHACEAE,Ptilotus parvifolius var. parvifolius,SCL,1,2,2
AMARANTHACEAE,Ptilotus sessilifolius var. elderi,SCL,1,2,2
AMARANTHACEAE,Ptilotus sessilifolius var. indeterminate,SCL,1,2,2
AMARANTHACEAE,Ptilotus sessilifolius var. sessilifolius,SCL,1,2,2
AMARANTHACEAE,Pupalia lappacea,SCL,1,1,2
ANACARDIACEAE,Blepharocarya depauperata,SCL,5,2,2
ANACARDIACEAE,Buchanania arborescens,RF,5,2,2
ANACARDIACEAE,Buchanania obovata,SCL,5,2,2
ANACARDIACEAE,Rhus taitensis,RF,4,2,2
ANACARDIACEAE,Semecarpus australiensis,RF,5,2,1
ANNONACEAE,Cyathostemma glabrum,RF,5,2,1
ANNONACEAE,Desmos wardianus,RF,5,1,1
ANNONACEAE,Meiogyne cylindrocarpa,RF,5,1,1
ANNONACEAE,Melodorum rupestre,RF,5,2,1
ANNONACEAE,Miliusa brahei,RF,5,2,1
ANNONACEAE,Miliusa traceyi,RF,5,2,1
ANNONACEAE,Polyalthia australis,RF,5,2,1
ANNONACEAE,Polyalthia nitidissima,RF,5,2,1
ANNONACEAE,Uvaria holtzei,RF,4,1,1
ANNONACEAE,Xylopia monosperma,RF,5,1,1
APOCYNACEAE,Alstonia actinophylla,SCL,4,2,1
APOCYNACEAE,Alstonia spectabilis subsp. ophioxyloides,RF,5,2,1
APOCYNACEAE,Alyxia evansii,SCL,4,1,2
APOCYNACEAE,Alyxia spicata,RF,4,2,2
APOCYNACEAE,Alyxia tropica,RF,4,1,2
APOCYNACEAE,Carissa lanceolata,SCL,4,2,2
APOCYNACEAE,Cerbera manghas,RF,3,2,2
APOCYNACEAE,Tabernaemontana orientalis,RF,3,2,2
APOCYNACEAE,Wrightia pubescens subsp. pubescens,RF,4,2,1
APOCYNACEAE,Wrightia saligna,SCL,4,2,1
AQUIFOLIACEAE,Ilex arnhemensis subsp. arnhemensis,RF,5,1,1
ARALIACEAE,Mackinlaya macrosciadea,RF,4,1,2
ARALIACEAE,Polyscias australiana,RF,4,1,2
ARALIACEAE,Schefflera actinophylla,RF,4,1,2
ARECACEAE,Arenga australasica,RF,5,1,1
ARECACEAE,Arenga microcarpa,RF,5,1,1
ARECACEAE,Carpentaria acuminata,RF,4,1,1
ARECACEAE,Hydriastele ramsayi,SCL,5,2,2
ARECACEAE,Hydriastele wendlandiana,RF,4,2,2
ARECACEAE,Livistona benthamii,RF,5,2,2
ARECACEAE,Livistona humilis,SCL,5,2,2
ARECACEAE,Livistona inermis,SCL,5,2,2
ARECACEAE,Livistona lorophylla,SCL,5,2,2
ARECACEAE,Livistona mariae,RF,5,2,2
ARECACEAE,Livistona nasmophila,SCL,5,2,2
ARECACEAE,Livistona rigida,RF,5,2,2
ARECACEAE,Livistona victoriae,SCL,5,2,2
ARECACEAE,Ptychosperma macarthurii,RF,5,1,2
ASCLEPIADACEAE,Cynanchum floribundum,SCL,2,2,2
ASCLEPIADACEAE,Gymnanthera cunninghamii,SCL,2,2,2
ASCLEPIADACEAE,Marsdenia angustata,SCL,3,2,2
ASCLEPIADACEAE,Marsdenia trinervis,SCL,1,2,2
ASCLEPIADACEAE,Sarcostemma brevipedicellatum,SCL,3,1,2
ASCLEPIADACEAE,Sarcostemma viminale subsp. australe,RF,3,1,2
ASCLEPIADACEAE,Sarcostemma viminale subsp. brunonianum,RF,3,1,2
ASCLEPIADACEAE,Sarcostemma viminale subsp. indeterminate,SCL,3,1,2
ASCLEPIADACEAE,Tylophora erecta,SCL,2,2,2
ASTERACEAE,Anemocarpa saxatilis,SCL,1,2,2
ASTERACEAE,Blumea pungens,SCL,1,2,2
ASTERACEAE,Camptacra gracilis,SCL,2,2,2
ASTERACEAE,Cassinia laevis,SCL,3,2,2
ASTERACEAE,Chrysocephalum apiculatum,SCL,1,2,2
ASTERACEAE,Chrysocephalum eremaeum,SCL,1,2,2
ASTERACEAE,Chrysocephalum pterochaetum,SCL,1,2,2
ASTERACEAE,Cratystylis centralis,SCL,5,1,2
ASTERACEAE,Cremnothamnus thomsonii,SCL,1,2,2
ASTERACEAE,Ixiochlamys cuneifolia,SCL,1,1,2
ASTERACEAE,Leiocarpa semicalva subsp. semicalva,SCL,2,2,2
ASTERACEAE,Leiocarpa tomentosa,SCL,1,2,2
ASTERACEAE,Minuria cunninghamii,SCL,2,2,2
ASTERACEAE,Minuria denticulata,SCL,2,2,2
ASTERACEAE,Minuria tridens,SCL,2,2,2
ASTERACEAE,Olearia ferresii,SCL,2,2,2
ASTERACEAE,Olearia macdonnellensis,SCL,3,1,2
ASTERACEAE,Olearia stuartii,SCL,1,2,2
ASTERACEAE,Olearia subspicata,SCL,2,2,2
ASTERACEAE,Olearia xerophila,SCL,2,2,2
ASTERACEAE,Ozothamnus kempei,SCL,3,2,2
ASTERACEAE,Pleurocarpaea fasciculata,SCL,2,2,2
ASTERACEAE,Pluchea dunlopii,SCL,1,2,2
ASTERACEAE,Pluchea ferdinandi-muelleri,SCL,1,2,2
ASTERACEAE,Pluchea indica,SCL,1,1,2
ASTERACEAE,Pluchea rubelliflora,SCL,1,2,2
ASTERACEAE,Pluchea sp. Ormiston (H.D.V.Prendegast 66),SCL,1,2,2
ASTERACEAE,Pterocaulon serrulatum var. indeterminate,SCL,1,2,2
ASTERACEAE,Pterocaulon serrulatum var. serrulatum,SCL,1,2,2
ASTERACEAE,Pterocaulon serrulatum var. velutinum,SCL,1,2,2
