find,replace,reason,taxonomic_resolution
Brachychiton sp. Wangi (S.E.Pickering 20),Brachychiton Wangi (S.E.Pickering 20),match_06. Automatic alignment with synonymous term among accepted canonical names in APC (2023-05-22),Species
Eremophila gilesii var. gilesii,Eremophila gilesii subsp. gilesii,match_06. Automatic alignment with synonymous term among accepted canonical names in APC (2023-05-22),Subspecies
Psydrax attenuata var. myrmecophila,Psydrax attenuata f. myrmecophila,match_06. Automatic alignment with synonymous term among accepted canonical names in APC (2023-05-22),Forma
Ptilotus aristatus var. aristatus,Ptilotus aristatus subsp. aristatus,match_06. Automatic alignment with synonymous term among accepted canonical names in APC (2023-05-22),Subspecies
Acacia aneura var. Bloods Range (D.J.Nelson 631),Acacia aneura var. Bloods Range (D.J.Nelson 631),match_06. Automatic alignment with synonymous term among known canonical names APC (2023-05-22),Varietas
Acacia galioides var. leioclada,Acacia galioides var. leioclada,match_06. Automatic alignment with synonymous term among known canonical names APC (2023-05-22),Varietas
Corymbia pachycarpa subsp. glabrescens,Corymbia pachycarpa subsp. glabrescens,match_06. Automatic alignment with synonymous term among known canonical names APC (2023-05-22),Subspecies
Corymbia papillosa subsp. papillosa,Corymbia papillosa subsp. papillosa,match_06. Automatic alignment with synonymous term among known canonical names APC (2023-05-22),Subspecies
Dicrastylis costelloi var. eriantha,Dicrastylis costelloi var. eriantha,match_06. Automatic alignment with synonymous term among known canonical names APC (2023-05-22),Varietas
Dicrastylis exsuccosa subsp. exsuccosa,Dicrastylis exsuccosa subsp. exsuccosa,match_06. Automatic alignment with synonymous term among known canonical names APC (2023-05-22),Subspecies
Dicrastylis gilesii var. bagotensis,Dicrastylis gilesii f. bagotensis,match_06. Automatic alignment with synonymous term among known canonical names APC (2023-05-22),Forma
Dicrastylis gilesii var. laxa,Dicrastylis gilesii var. laxa,match_06. Automatic alignment with synonymous term among known canonical names APC (2023-05-22),Varietas
Eremophila platythamnos subsp. Mereeni (G.J.Leach 1184),Eremophila platythamnos subsp. Mereeni (G.J.Leach 1184),match_06. Automatic alignment with synonymous term among known canonical names APC (2023-05-22),Subspecies
