genus,spp,binomial,longevity,growth form,min height (m),max height (m),leaf length min (mm),leaf length max (mm),leaf width min (mm),leaf width max (mm),seed min length (mm),seed max length (mm),seed min width (mm),seed max width (mm),flowering month begin,flowering month end
Micromyrtus,acuta,Micromyrtus acuta,p,s,0.8,2,1.5,1.8,0.6,0.8,,,,,7,10
Micromyrtus,chrysodema,Micromyrtus chrysodema,p,s,,,1.6,1.6,0.6,0.6,,,,,,
Micromyrtus,clavata,Micromyrtus clavata,p,s,0.3,1.8,1.3,2,0.7,1,1.4,2,0.7,0.8,6,9
Micromyrtus,elobata,Micromyrtus elobata,p,s,0.1,1.5,1,6,0.8,1.5,1.4,1.5,0.6,0.6,all year,all year
Micromyrtus,navicularis,Micromyrtus navicularis,p,s,0.5,1.6,3,4.5,0.5,0.7,1.4,1.7,0.6,0.7,7,5
Micromyrtus,placoides,Micromyrtus placoides,p,s,0.5,2.3,1.3,2.2,0.8,1.3,,,,,7,9
Micromyrtus,redita,Micromyrtus redita,p,s,,,1.2,2.4,0.6,0.6,,,,,,
Micromyrtus,serrulata,Micromyrtus serrulata,p,s,0.4,1.5,1.8,3.3,0.7,1.5,,,,,6,11
Micromyrtus,stenocalyx,Micromyrtus stenocalyx,p,s,0.3,1.5,1.3,3,0.8,1.3,2,2,,,4,12
Micromyrtus,sulphurea,Micromyrtus sulphurea,p,s,0.2,0.4,2,4,0.5,0.7,1.3,1.5,0.6,0.6,8,10
Micromyrtus,triptycha,Micromyrtus triptycha,p,s,0.1,0.5,2,6,1.2,2.3,1.3,2,0.7,0.8,4,1
