taxon_name,trait_name,value_type,value,unit,observation_id,original_name,authors
Abutilon malvifolium,leaf_length,minimum,10,mm,0006,Abutilon malvaefolium,NA
Abutilon malvifolium,leaf_length,maximum,40,mm,0006,Abutilon malvaefolium,NA
Abutilon oxycarpum var. incanum,plant_height,maximum,1,m,0009,Abutilon oxycarpum var. incanum,NA
Abutilon oxycarpum var. oxycarpum,leaf_length,maximum,90,mm,0010,Abutilon oxycarpum var. oxycarpum,NA
Acaena x ovina,plant_height,maximum,0.5,m,0011,Acaena agnipila,NA
Acrotriche cordata,leaf_length,minimum,4,mm,0021,Acrotriche cordata,"Citation: R. Br., Prod. Fl. Nov. Holl. 548 (1810)."
Aeonium arboreum,leaf_length,minimum,50,mm,0034,Aeonium arboreum,"Citation: Webb & Berth., Phyt. Canar. 1:185 (1840)."
Aeonium arboreum,leaf_length,maximum,90,mm,0034,Aeonium arboreum,"Citation: Webb & Berth., Phyt. Canar. 1:185 (1840)."
Aeonium arboreum,leaf_width,minimum,15,mm,0034,Aeonium arboreum,"Citation: Webb & Berth., Phyt. Canar. 1:185 (1840)."
Aeonium arboreum,leaf_width,maximum,30,mm,0034,Aeonium arboreum,"Citation: Webb & Berth., Phyt. Canar. 1:185 (1840)."
Ailanthus altissima,plant_height,maximum,10,m,0048,Ailanthus altissima,"Citation:  Swingle, J. Wash. Acad. Sci. 6:495 (1916)."
Allium ampeloprasum,plant_height,maximum,2,m,0056,Allium ampeloprasum,"Citation: L., Sp. Pl. 295 (1753)."
Allium neapolitanum,plant_height,maximum,0.6,m,0057,Allium neapolitanum,"Citation: Cyr., Pl. Rar. Neap. 1:13 (1788)."
Allium paniculatum,plant_height,maximum,0.8,m,0058,Allium paniculatum,"Citation: L., Syst. Nat. edn 10:978 (1759)."
Allium scorodoprasum,plant_height,maximum,0.8,m,0060,Allium scorodoprasum,"Citation: L., Sp. Pl. 297 (1753)."
Allium triquetrum,plant_height,maximum,0.4,m,0061,Allium triquetrum,"Citation: L., Sp. Pl. 300 (1753)."
Allium vineale,leaf_width,maximum,1.5,mm,0062,Allium vineale,"Citation: L., Sp. Pl. 299 (1753)."
Allium vineale,plant_height,maximum,0.8,m,0062,Allium vineale,"Citation: L., Sp. Pl. 299 (1753)."
Amaranthus caudatus,leaf_length,maximum,120,mm,0088,Amaranthus caudatus,"Citation: L., Sp. Pl. 990 (1753)."
Amaranthus graecizans,plant_height,maximum,0.7,m,0091,Amaranthus graecizans,"Citation: L., Sp. Pl. 990 (1753) subsp. sylvestris (Villars)Brenan, Watsonia 4:273 (1961)."
Amaranthus interruptus,plant_height,maximum,0.5,m,0094,Amaranthus interruptus,"Citation: R. Br., Prod. Fl. Nov. Holl. 414 (1810)."
Amaranthus mitchellii,plant_height,maximum,0.5,m,0096,Amaranthus mitchellii,"Citation: Benth., Fl. Aust. 5:214 (1870)."
Amperea xiphoclada,plant_height,maximum,0.6,m,0108,Amperea xiphoclada,"Citation:  Druce, Rep. Botl Soc. Exch. Club Br. Isl. 1916:604 (1917)."
Amphibolis antarctica,leaf_length,minimum,18,mm,0109,Amphibolis antarctica,Author: H.B.S. Womersley
Amphibolis antarctica,leaf_length,maximum,50,mm,0109,Amphibolis antarctica,Author: H.B.S. Womersley
Amphibolis antarctica,leaf_width,minimum,2,mm,0109,Amphibolis antarctica,Author: H.B.S. Womersley
Amphibolis antarctica,leaf_width,maximum,10,mm,0109,Amphibolis antarctica,Author: H.B.S. Womersley
