source,taxon_name,trait_name,category,trait_value,flora_value,units,value_type
SA_flora,Ammobium alatum,fruit_colour,,black,black,,mode
SA_flora,Bidens pilosa,fruit_colour,,black,black,,mode
SA_flora,Brachycome campylocarpa,fruit_colour,,black,black,,mode
SA_flora,Brachycome goniocarpa,fruit_colour,,black,black,,mode
SA_flora,Brachycome melanocarpa,fruit_colour,,black,black,,mode
SA_flora,Brachycome muelleri,fruit_colour,,black,black,,mode
SA_flora,Brachycome tatei,fruit_colour,,black,black,,mode
SA_flora,Canthium attenuatum,fruit_colour,,black,green black,,mode
SA_flora,Canthium latifolium,fruit_colour,,black,green black,,mode
SA_flora,Centaurea solstitialis,fruit_colour,,black,black,,mode
SA_flora,Ceratophyllum demersum,fruit_colour,,black,black,,mode
SA_flora,Cestrum parqui,fruit_colour,,black,black,,mode
SA_flora,Carissa lanceolata,fruit_colour,,black,red blackish,,mode
SA_flora,Cyperus congestus,fruit_colour,,black,black,,mode
SA_flora,Eclipta platyglossa,fruit_colour,,black,blackish,,mode
SA_flora,Eleocharis geniculata,fruit_colour,,black,black,,mode
SA_flora,Exocarpos aphyllus,fruit_colour,,black,black,,mode
SA_flora,Flaveria australasica,fruit_colour,,black,black,,mode
SA_flora,Fuchsia magellanica,fruit_colour,,black,black,,mode
SA_flora,Gahnia trifida,fruit_colour,,black,blackish,,mode
SA_flora,Galinsoga parviflora,fruit_colour,,black,white black,,mode
SA_flora,Brachychiton gregorii,fruit_colour,,black,blackish,,mode
SA_flora,Hedypnois rhagadioloides,fruit_colour,,black,blackish,,mode
SA_flora,Helipterum laeve,fruit_colour,,black,black,,mode
SA_flora,Hakea eyreana,fruit_colour,,brown,brown,,mode
SA_flora,Hakea divaricata,fruit_colour,,yellow brown,yellow brown,,mode
SA_flora,Lonicera japonica,fruit_colour,,black,black,,mode
SA_flora,Muehlenbeckia coccoloboides,fruit_colour,,black,black,,mode
SA_flora,Muehlenbeckia diclina,fruit_colour,,black,black,,mode
SA_flora,Allium,fruit_colour,,black,black,,mode
SA_flora,Polygonum convolvulus,fruit_colour,,black,black,,mode
SA_flora,Polygonum glabrum,fruit_colour,,black,black,,mode
SA_flora,Polygonum salicifolium,fruit_colour,,black,black,,mode
SA_flora,Rubus,fruit_colour,,black,black,,mode
SA_flora,Rubus koehleri,fruit_colour,,black,inferred_from_genus,,mode
SA_flora,Rubus laciniatus,fruit_colour,,black,black,,mode
SA_flora,Rubus moluccanus,fruit_colour,,black,inferred_from_genus,,mode
SA_flora,Rubus ulmifolius,fruit_colour,,black,black,,mode
SA_flora,Sambucus nigra,fruit_colour,,black,black,,mode
SA_flora,Schoenoplectus litoralis,fruit_colour,,black,blackish,,mode
SA_flora,Schoenus discifer,fruit_colour,,black,black,,mode
SA_flora,Scyphocoronis incurva,fruit_colour,,black,black,,mode
SA_flora,Scyphocoronis major,fruit_colour,,black,black,,mode
SA_flora,Senecio squarrosus,fruit_colour,,black,white blackish,,mode
SA_flora,Sigesbeckia microcephala,fruit_colour,,black,blackish,,mode
SA_flora,Sigesbeckia orientalis,fruit_colour,,black,black,,mode
SA_flora,Solanum hystrix,fruit_colour,,black,black,,mode
SA_flora,Solanum retroflexum,fruit_colour,,black,black,,mode
SA_flora,Tagetes minuta,fruit_colour,,black,black,,mode
SA_flora,Tolpis barbata,fruit_colour,,black,black,,mode
SA_flora,Toxanthes muelleri,fruit_colour,,black,black,,mode
SA_flora,Toxanthes perpusillus,fruit_colour,,black,black,,mode
SA_flora,Scilla hyacinthoides,fruit_colour,,black,inferred_from_genus,,mode
SA_flora,Scilla peruviana,fruit_colour,,black,inferred_from_genus,,mode
SA_flora,Spyridium halmaturinum,fruit_colour,,black,black,,mode
SA_flora,Cyperus bifax,fruit_colour,,black grey,white black grey,,mode
SA_flora,Helianthus annuus,fruit_colour,,black grey,black grey,,mode
SA_flora,Ligustrum vulgare,fruit_colour,,blue black,blue black,,mode
SA_flora,Viburnum tinus,fruit_colour,,blue black,blue blackish,,mode
SA_flora,Minuria rigida,fruit_colour,,blue brown,blue brown,,mode
SA_flora,Santalum lanceolatum,fruit_colour,,blue purple,blue purple,,mode
SA_flora,Lantana camara,fruit_colour,,blue purple black,bluish purple violet black,,mode
SA_flora,Myoporum insulare,fruit_colour,,blue purple,bluish purple brown blackish,,mode
SA_flora,Cheiranthera,fruit_colour,,blue brown,blue brown,,mode
SA_flora,Lechenaultia divaricata,fruit_colour,,brown,brown,,mode
SA_flora,Amsinckia calycina,fruit_colour,,brown,brown,,mode
SA_flora,Anchusa arvensis,fruit_colour,,brown,brown,,mode
SA_flora,Anchusa capensis,fruit_colour,,brown,brown,,mode
SA_flora,Angianthus,fruit_colour,,brown,brown,,mode
SA_flora,Angianthus brachypappus,fruit_colour,,brown,inferred_from_genus,,mode
SA_flora,Angianthus conocephalus,fruit_colour,,brown,inferred_from_genus,,mode
SA_flora,Angianthus glabratus,fruit_colour,,brown,inferred_from_genus,,mode
SA_flora,Angianthus preissianus,fruit_colour,,brown,inferred_from_genus,,mode
SA_flora,Angianthus tomentosus,fruit_colour,,brown,inferred_from_genus,,mode
SA_flora,Apalochlamys spectabilis,fruit_colour,,brown,brown,,mode
SA_flora,Basedowia tenerrima,fruit_colour,,brown,brown,,mode
SA_flora,Baumea arthrophylla,fruit_colour,,brown,brown,,mode
SA_flora,Baumea laxa,fruit_colour,,brown,brown,,mode
SA_flora,Borago officinalis,fruit_colour,,brown,brown,,mode
SA_flora,Brachycome basaltica,fruit_colour,,brown,brown,,mode
SA_flora,Brachycome blackii,fruit_colour,,brown,brown,,mode
SA_flora,Brachycome breviscapis,fruit_colour,,brown,brown,,mode
SA_flora,Brachycome cardiocarpa,fruit_colour,,brown,brown,,mode
SA_flora,Brachycome ciliaris,fruit_colour,,brown,brown,,mode
SA_flora,Brachycome cuneifolia,fruit_colour,,brown,brown,,mode
SA_flora,Brachycome debilis,fruit_colour,,brown,brown,,mode
SA_flora,Brachycome decipiens,fruit_colour,,brown,brown,,mode
SA_flora,Brachycome dichromosomatica,fruit_colour,,brown,brown,,mode
SA_flora,Brachycome eriogona,fruit_colour,,brown,brown,,mode
SA_flora,Brachycome exilis,fruit_colour,,brown,brown,,mode
SA_flora,Brachycome graminea,fruit_colour,,brown,brown,,mode
SA_flora,Brachycome heterodonta,fruit_colour,,brown,brown,,mode
SA_flora,Brachycome lineariloba,fruit_colour,,brown,brown,,mode
SA_flora,Brachycome parvula,fruit_colour,,brown,brown,,mode
