species,sla.mean,sla.mean.site,sla.mean.multisite,sla.sd,individual.n,leaf.n,SLA_collection_Location Name,SLA_collection_Location Name_to_match,SLA_collection_Location.n,SLA_collection_QuadratName,SLA_collection_Latitude,SLA_collection_Longitude,SLA_collection_Additional Notes
Acacia maidenii,6.018246633,6.018246633,,0.532316996,3,9,BunyaMtNP,BunyaMtNP,3,B,-26.886047,151.605447,
Alectryon connatus,9.815183371,9.815183371,,0.060911452,2,4,BunyaMtNP,BunyaMtNP,3,B,-26.886047,151.605447,
Alectryon subdentatus,12.76047609,12.76047609,,NA,1,2,BunyaMtNP,BunyaMtNP,3,B,-26.886047,151.605447,
Alyxia ruscifolia,6.852294363,6.852294363,,1.784495916,3,9,BunyaMtNP,BunyaMtNP,3,B,-26.886047,151.605447,
Araucaria bidwilli,6.954309346,6.954309346,,1.857892309,5,15,BunyaMtNP,BunyaMtNP,3,B,-26.886047,151.605447,
Baloghia inophylla,7.319783929,7.319783929,,0.616638802,4,12,BunyaMtNP,BunyaMtNP,3,B,-26.886047,151.605447,
Brachychiton discolor,13.09738172,13.09738172,,7.482702652,2,5,BunyaMtNP,BunyaMtNP,3,B,-26.886047,151.605447,
Bridiella leichhardtii,6.136991576,6.136991576,,NA,1,3,BunyaMtNP,BunyaMtNP,3,B,-26.886047,151.605447,
Capparis arborea,7.926260451,7.926260451,,1.620957713,7,21,BunyaMtNP,BunyaMtNP,3,B,-26.886047,151.605447,
Cryptocarya triplonervis.var.pubens,11.39271358,11.39271358,,1.29503776,4,11,BunyaMtNP,BunyaMtNP,3,B,-26.886047,151.605447,
Dendrocnide excelsa,13.06425001,13.06425001,,2.590939772,2,3,BunyaMtNP,BunyaMtNP,3,B,-26.886047,151.605447,
Diospyros australis,5.300853682,5.300853682,,2.266675833,4,12,BunyaMtNP,BunyaMtNP,3,B,-26.886047,151.605447,
Diploglottis australis,7.790233991,7.790233991,,1.528299024,5,5,BunyaMtNP,BunyaMtNP,3,B,-26.886047,151.605447,
Elaeocarpus kirtonii,9.423923255,9.423923255,,NA,1,3,BunyaMtNP,BunyaMtNP,3,B,-26.886047,151.605447,
Elaeodendron australe,9.228352391,9.228352391,,0.320696919,3,9,BunyaMtNP,BunyaMtNP,3,B,-26.886047,151.605447,
Elattostachys xylocarpa,10.9805381,10.9805381,,0.445291301,2,6,BunyaMtNP,BunyaMtNP,3,B,-26.886047,151.605447,
Geijera salicifolia,12.67832542,12.67832542,,5.629083604,2,6,BunyaMtNP,BunyaMtNP,3,B,-26.886047,151.605447,
Hodgkinsonia ovatiflora,11.90558694,11.90558694,,NA,1,3,BunyaMtNP,BunyaMtNP,3,B,-26.886047,151.605447,
Melicope micrococca,10.00923694,10.00923694,,3.082660835,4,12,BunyaMtNP,BunyaMtNP,3,B,-26.886047,151.605447,
Neolitsia australiensis,10.38519373,10.38519373,,0.737090855,7,21,BunyaMtNP,BunyaMtNP,3,B,-26.886047,151.605447,
Psydrax odorata,24.12015944,24.12015944,,NA,1,2,BunyaMtNP,BunyaMtNP,3,B,-26.886047,151.605447,
Solanum corifolum,12.79226752,12.79226752,,NA,1,1,BunyaMtNP,BunyaMtNP,3,B,-26.886047,151.605447,
Streblus brunonianus,15.2170433,15.2170433,,1.622856077,7,21,BunyaMtNP,BunyaMtNP,3,B,-26.886047,151.605447,
Symplocos thwaitesii,7.359823549,7.359823549,,NA,1,3,BunyaMtNP,BunyaMtNP,3,B,-26.886047,151.605447,
Guioa semiglauca,10.05781159,,10.05781159,1.928917254,31,79,BunyaMtNP & MairyCairncross,BunyaMtNP,"3,4",B & M,-26.886047,151.605447,Most leaf samples from location 3
Arytera divaricata,10.68406497,10.68406497,,3.590685941,3,7,Curtain FigNP,Curtain FigNP,5,CF,-17.283918,145.57121,
Attractocarpus merikin,9.909365845,9.909365845,,NA,1,3,Curtain FigNP,Curtain FigNP,5,CF,-17.283918,145.57121,
Celtis paniculata,14.74438082,14.74438082,,NA,1,3,Curtain FigNP,Curtain FigNP,5,CF,-17.283918,145.57121,
Croton triacros,13.55626998,13.55626998,,NA,1,3,Curtain FigNP,Curtain FigNP,5,CF,-17.283918,145.57121,
Cryptocarya putida,7.671685194,7.671685194,,NA,1,3,Curtain FigNP,Curtain FigNP,5,CF,-17.283918,145.57121,
Diospyros cupulosa,7.578984399,7.578984399,,NA,1,3,Curtain FigNP,Curtain FigNP,5,CF,-17.283918,145.57121,
Diploglottis diphyllostegia,7.545068634,7.545068634,,0.563154405,2,2,Curtain FigNP,Curtain FigNP,5,CF,-17.283918,145.57121,
Dysoxylum parasiticum,11.90766806,11.90766806,,NA,1,1,Curtain FigNP,Curtain FigNP,5,CF,-17.283918,145.57121,
Dysoxylum pettigrewianum,14.98044774,14.98044774,,5.783098383,3,4,Curtain FigNP,Curtain FigNP,5,CF,-17.283918,145.57121,
Endiandra cowleyana,24.23039849,24.23039849,,NA,1,3,Curtain FigNP,Curtain FigNP,5,CF,-17.283918,145.57121,
Endiandra insignis,14.35150305,14.35150305,,NA,1,1,Curtain FigNP,Curtain FigNP,5,CF,-17.283918,145.57121,
Ficus leptoclada,48.95843748,48.95843748,,NA,1,3,Curtain FigNP,Curtain FigNP,5,CF,-17.283918,145.57121,
Haplosticanthus submontanus,12.71753415,12.71753415,,2.18639595,3,9,Curtain FigNP,Curtain FigNP,5,CF,-17.283918,145.57121,
Mallotsus polyadenos,13.44645706,13.44645706,,NA,1,3,Curtain FigNP,Curtain FigNP,5,CF,-17.283918,145.57121,
Polyalthia nitidissima,12.95510903,12.95510903,,0.434799682,3,9,Curtain FigNP,Curtain FigNP,5,CF,-17.283918,145.57121,
Tarrenia dallachania,24.00320029,24.00320029,,3.846571332,3,9,Curtain FigNP,Curtain FigNP,5,CF,-17.283918,145.57121,
Castanospermum australe,13.09597317,13.09597317,,2.17241982,58,64,Curtain FigNP & Quinkin,Curtain FigNP,5,CF & Q,-17.283918,145.57121,
Wilkea longipes,14.86939338,14.86939338,,3.378964137,59,174,Curtain FigNP & Quinkin,Curtain FigNP,5,CF & Q,-17.283918,145.57121,
Argyrodendron sp.Boonji,5.428362179,,5.428362179,0.136208259,3,7,Curtain FigNP & Quinkin & WooroonoranNP,Curtain FigNP,"5,6",CF & Q & W,-17.283918,145.57121,
Castanospora alphandii,8.238192025,,8.238192025,0.940302843,16,16,Curtain FigNP & Quinkin & WooroonoranNP,Curtain FigNP,"5,6",CF & Q & W,-17.283918,145.57121,
Daphnandra rapandula,20.21471258,,20.21471258,2.927180771,7,21,Curtain FigNP & Quinkin & WooroonoranNP,Curtain FigNP,"5,6",CF & Q & W,-17.283918,145.57121,
Endiandra monothyra,12.73838168,,12.73838168,2.814143276,8,22,Curtain FigNP & WooroonoranNP,Curtain FigNP,"5,6",CF & W,-17.283918,145.57121,
Gossia dallachania,15.47501013,,15.47501013,2.872295485,3,9,Curtain FigNP & WooroonoranNP,Curtain FigNP,"5,6",CF & W,-17.283918,145.57121,
Macaranga inoemena,15.04528826,,15.04528826,1.024139945,3,9,Curtain FigNP & WooroonoranNP,Curtain FigNP,"5,6",CF & W,-17.283918,145.57121,
Melicope vitaflora,15.79955147,,15.79955147,3.424389579,4,9,Curtain FigNP & WooroonoranNP,Curtain FigNP,"5,6",CF & W,-17.283918,145.57121,
Pilidiostigma tropicum,16.3658592,,16.3658592,3.3173174,5,15,Curtain FigNP & WooroonoranNP,Curtain FigNP,"5,6",CF & W,-17.283918,145.57121,
Cloaxylon australe,18.05188448,,18.05188448,6.062449884,21,62,DoigoNP & BunyaMtNP,BunyaMtNP,"1,3",D & B,-26.886047,151.605447,
Myrsine variabilis,11.06930643,,11.06930643,1.150736574,2,6,DoigoNP & BunyaMtNP,BunyaMtNP,"1,3",D & B,-26.886047,151.605447,
Syzygium smithii,10.80971406,,10.80971406,1.244329376,7,19,DoigoNP & BunyaMtNP,BunyaMtNP,"1,3",D & B,-26.886047,151.605447,
Cryptocarya obovata,9.370726494,,9.370726494,2.334863871,6,18,DoigoNP & BunyaMtNP & MairyCairncross,BunyaMtNP,"1,3,4",D & B & M,-26.886047,151.605447,
Litsea reticulata,9.819987697,,9.819987697,3.335289073,2,6,DoigoNP & BunyaMtNP & MairyCairncross,BunyaMtNP,"1,3,4",D & B & M,-26.886047,151.605447,
Neolitsea dealbata,12.1210047,,12.1210047,1.880060271,21,63,DoigoNP & MairyCairncross & Quinkin & WooroonoranNP,MairyCairncross,"1,4,5,6",D & B & M & Q & W,-26.778623,152.882047,
Sloenea australis,10.64399393,,10.64399393,1.376811451,4,10,DoigoNP & WooroonoranNP,DorrigoNP,"1,6",D  & W,-30.359054,152.735787,Most leaf samples from location 1
Pouteria australis,10.14816725,,10.14816725,2.519619566,6,17,DoigoNP& MairyCairncross,MairyCairncross,"1,4",D & M,-26.778623,152.882047,
