dataset_id.x,species_name,site_name.x,observation_id.x,trait_name.x,value.x,unit.x,value_type,replicates.x,original_name.x,dataset_id.y,site_name.y,observation_id.y,trait_name.y,value.y,unit.y,replicates.y,original_name.y
Kooyman_2011,Dicliptera spicata,NA,Kooyman_2011_0001,plant_height,1,m,expert_max,NA,Dicliptera spicata,NA,NA,NA,NA,NA,NA,NA,NA
Kooyman_2011,Dipteracanthus australasicus,NA,Kooyman_2011_0002,plant_height,1.5,m,expert_max,NA,Dipteracanthus australasicus,NA,NA,NA,NA,NA,NA,NA,NA
Kooyman_2011,Graptophyllum excelsum,NA,Kooyman_2011_0003,plant_height,3,m,expert_max,NA,Graptophyllum excelsum,NA,NA,NA,NA,NA,NA,NA,NA
Kooyman_2011,Graptophyllum ilicifolium,NA,Kooyman_2011_0004,plant_height,10,m,expert_max,NA,Graptophyllum ilicifolium,NA,NA,NA,NA,NA,NA,NA,NA
Kooyman_2011,Graptophyllum reticulatum,NA,Kooyman_2011_0005,plant_height,3,m,expert_max,NA,Graptophyllum reticulatum,NA,NA,NA,NA,NA,NA,NA,NA
Kooyman_2011,Graptophyllum spinigerum,NA,Kooyman_2011_0006,plant_height,8,m,expert_max,NA,Graptophyllum spinigerum,NA,NA,NA,NA,NA,NA,NA,NA
Kooyman_2011,Justicia hygrophiloides,NA,Kooyman_2011_0007,plant_height,2,m,expert_max,NA,Harnieria hygrophiloides,NA,NA,NA,NA,NA,NA,NA,NA
Kooyman_2011,Hemigraphis ciliata,NA,Kooyman_2011_0008,plant_height,0.5,m,expert_max,NA,Hemigraphis royenii,NA,NA,NA,NA,NA,NA,NA,NA
Kooyman_2011,Hypoestes floribunda,NA,Kooyman_2011_0009,plant_height,1.2,m,expert_max,NA,Hypoestes floribunda,NA,NA,NA,NA,NA,NA,NA,NA
Kooyman_2011,Rhaphidospora cavernarum,NA,Kooyman_2011_0010,plant_height,1,m,expert_max,NA,Rhaphidospora cavernarum,NA,NA,NA,NA,NA,NA,NA,NA
Kooyman_2011,Rostellularia adscendens,NA,Kooyman_2011_0011,plant_height,0.5,m,expert_max,NA,Rostellularia adscendens,NA,NA,NA,NA,NA,NA,NA,NA
Kooyman_2011,Saurauia andreana,NA,Kooyman_2011_0012,plant_height,6,m,expert_max,NA,Saurauia andreana,NA,NA,NA,NA,NA,NA,NA,NA
Kooyman_2011,Crispiloba disperma,NA,Kooyman_2011_0013,plant_height,4,m,expert_max,NA,Crispiloba disperma,NA,NA,NA,NA,NA,NA,NA,NA
Kooyman_2011,Wittsteinia vacciniacea,NA,Kooyman_2011_0014,plant_height,0.5,m,expert_max,NA,Wittsteinia vacciniacea,NA,NA,NA,NA,NA,NA,NA,NA
Kooyman_2011,Achyranthes aspera,NA,Kooyman_2011_0015,plant_height,1.5,m,expert_max,NA,Achyranthes aspera,NA,NA,NA,NA,NA,NA,NA,NA
Kooyman_2011,Buchanania arborescens,NA,Kooyman_2011_0016,plant_height,25,m,expert_max,NA,Buchanania arborescens,NA,NA,NA,NA,NA,NA,NA,NA
Kooyman_2011,Buchanania mangoides,NA,Kooyman_2011_0017,plant_height,13,m,expert_max,NA,Buchanania mangoides,NA,NA,NA,NA,NA,NA,NA,NA
Kooyman_2011,Buchanania obovata,NA,Kooyman_2011_0018,plant_height,13,m,expert_max,NA,Buchanania obovata,NA,NA,NA,NA,NA,NA,NA,NA
Kooyman_2011,Semecarpus australiensis,NA,Kooyman_2011_0019,plant_height,40,m,expert_max,NA,Semecarpus australiensis,NA,NA,NA,NA,NA,NA,NA,NA
Kooyman_2011,Cananga odorata,NA,Kooyman_2011_0020,plant_height,30,m,expert_max,NA,Cananga odorata,NA,NA,NA,NA,NA,NA,NA,NA
Kooyman_2011,Fitzalania Gregory_River,NA,Kooyman_2011_0021,plant_height,10,m,expert_max,NA,Fitzalania Gregory_River,NA,NA,NA,NA,NA,NA,NA,NA
Kooyman_2011,Fitzalania heteropetala,NA,Kooyman_2011_0022,plant_height,5,m,expert_max,NA,Fitzalania heteropetala,NA,NA,NA,NA,NA,NA,NA,NA
Kooyman_2011,Haplostichanthus ramiflorus,NA,Kooyman_2011_0023,plant_height,3,m,expert_max,NA,Haplostichanthus ramiflorus,NA,NA,NA,NA,NA,NA,NA,NA
Kooyman_2011,Haplostichanthus johnsonii,NA,Kooyman_2011_0024,plant_height,4,m,expert_max,NA,Haplostichanthus johnsonii,Sams_2017,NA,Sams_2017_203,plant_height,5,m,unknown,Haplostichanthus johnsonii
Kooyman_2011,Ancana stenopetala,NA,Kooyman_2011_0025,plant_height,5,m,expert_max,NA,Meiogyne stenopetala,NA,NA,NA,NA,NA,NA,NA,NA
Kooyman_2011,Meiogyne cylindrocarpa subsp. trichocarpa,NA,Kooyman_2011_0026,plant_height,7,m,expert_max,NA,Meiogyne cylindrocarpa_trichocarpa,NA,NA,NA,NA,NA,NA,NA,NA
Kooyman_2011,Miliusa brahei,NA,Kooyman_2011_0027,plant_height,30,m,expert_max,NA,Miliusa brahei,NA,NA,NA,NA,NA,NA,NA,NA
Kooyman_2011,Pseuduvaria mulgraveana var. glabrescens,NA,Kooyman_2011_0028,plant_height,7,m,expert_max,NA,Pseuduvaria mulgraveana-glabrescens,NA,NA,NA,NA,NA,NA,NA,NA
Kooyman_2011,Pseuduvaria mulgraveana,NA,Kooyman_2011_0029,plant_height,7,m,expert_max,NA,Pseuduvaria mulgraveana-mulgraveana,NA,NA,NA,NA,NA,NA,NA,NA
Kooyman_2011,Pseuduvaria villosa,NA,Kooyman_2011_0030,plant_height,6,m,expert_max,NA,Pseuduvaria villosa,NA,NA,NA,NA,NA,NA,NA,NA
Kooyman_2011,Xylopia monosperma,NA,Kooyman_2011_0031,plant_height,18,m,expert_max,NA,Xylopia monosperma,NA,NA,NA,NA,NA,NA,NA,NA
Kooyman_2011,Alstonia constricta,NA,Kooyman_2011_0032,plant_height,18,m,expert_max,NA,Alstonia constricta,NA,NA,NA,NA,NA,NA,NA,NA
