dataset_id.x,species_name,site_name.x,observation_id.x,trait_name.x,value,unit.x,value_type,replicates.x,original_name.x,dataset_id.y,site_name.y,observation_id.y,trait_name.y,unit.y,replicates.y,original_name.y
Kooyman_2011,Buchanania arborescens,NA,Kooyman_2011_0016,wood_density,0.39,mg/mm3,expert_mean,NA,Buchanania arborescens,NA,NA,NA,NA,NA,NA,NA
Kooyman_2011,Cananga odorata,NA,Kooyman_2011_0020,wood_density,0.39,mg/mm3,expert_mean,NA,Cananga odorata,NA,NA,NA,NA,NA,NA,NA
Kooyman_2011,Alstonia muelleriana,NA,Kooyman_2011_0033,wood_density,0.668,mg/mm3,expert_mean,NA,Alstonia muelleriana,NA,NA,NA,NA,NA,NA,NA
Kooyman_2011,Cerbera floribunda,NA,Kooyman_2011_0046,wood_density,0.5,mg/mm3,expert_mean,NA,Cerbera floribunda,NA,NA,NA,NA,NA,NA,NA
Kooyman_2011,Cerbera inflata,NA,Kooyman_2011_0047,wood_density,0.43,mg/mm3,expert_mean,NA,Cerbera inflata,NA,NA,NA,NA,NA,NA,NA
Kooyman_2011,Agathis atropurpurea,NA,Kooyman_2011_0065,wood_density,0.4,mg/mm3,expert_mean,NA,Agathis atropurpurea,NA,NA,NA,NA,NA,NA,NA
Kooyman_2011,Agathis microstachya,NA,Kooyman_2011_0066,wood_density,0.4,mg/mm3,expert_mean,NA,Agathis microstachya,NA,NA,NA,NA,NA,NA,NA
Kooyman_2011,Agathis robusta,NA,Kooyman_2011_0067,wood_density,0.4,mg/mm3,expert_mean,NA,Agathis robusta,NA,NA,NA,NA,NA,NA,NA
Kooyman_2011,Araucaria bidwillii,NA,Kooyman_2011_0068,wood_density,0.392,mg/mm3,expert_mean,NA,Araucaria bidwillii,NA,NA,NA,NA,NA,NA,NA
Kooyman_2011,Araucaria cunninghamii,NA,Kooyman_2011_0069,wood_density,0.437,mg/mm3,expert_mean,NA,Araucaria cunninghamii,NA,NA,NA,NA,NA,NA,NA
Kooyman_2011,Daphnandra apatela,NA,Kooyman_2011_0088,wood_density,0.559,mg/mm3,expert_mean,NA,Daphnandra apatela,NA,NA,NA,NA,NA,NA,NA
Kooyman_2011,Daphnandra repandula,NA,Kooyman_2011_0092,wood_density,0.541,mg/mm3,expert_mean,NA,Daphnandra repandula,NA,NA,NA,NA,NA,NA,NA
