Collection Site,Location,Intertidal zone ,CollectionDate,Species,Specimen label,Diameter (mm),Support spam (mm),Maximum load (N),Maximum stress (MPa),Flex modulus (MPa),Flexure strain at Maximum Flexure Load (%),Flexure Stress at Present Point (% Maximum Flexure Load 100%),Extension at maximum flexure load (mm),Wood density (g/cm3),Fibre wall thickness (u),Vessel diameter (u)
Tinchi Tamba,Tinchi Tamba Wetlands Reserve low intertidal zone,Low,,Aegiceras corniculatum,508,8,120,58.9,35.1,"1,103",8,35.145,24.125,,,
Tinchi Tamba,Tinchi Tamba Wetlands Reserve low intertidal zone,Low,,Aegiceras corniculatum,506,8.38,120,63.1,32.8,823,8.2,32.822,23.417,,,
Tinchi Tamba,Tinchi Tamba Wetlands Reserve low intertidal zone,Low,,Aegiceras corniculatum,503,8.5,120,94.8,47.2,"1,610",5,47.155,14.167,,,
Tinchi Tamba,Tinchi Tamba Wetlands Reserve low intertidal zone,Low,,Aegiceras corniculatum,520,8.5,120,88.6,44.1,"1,288",8.1,44.079,22.75,,,
Tinchi Tamba,Tinchi Tamba Wetlands Reserve low intertidal zone,Low,,Aegiceras corniculatum,501,9.12,120,83.4,33.5,"1,085",6.3,33.534,16.542,,,
Tinchi Tamba,Tinchi Tamba Wetlands Reserve low intertidal zone,Low,,Aegiceras corniculatum,518,9.25,120,130,50.2,"2,329",5.4,50.174,14.041,,,
Tinchi Tamba,Tinchi Tamba Wetlands Reserve low intertidal zone,Low,,Aegiceras corniculatum,516,9.25,120,78.3,30.2,574,8.1,30.213,21.084,,,
Tinchi Tamba,Tinchi Tamba Wetlands Reserve low intertidal zone,Low,,Aegiceras corniculatum,514,9.38,120,92.6,34.4,"1,297",6.3,34.359,16,,,
Tinchi Tamba,Tinchi Tamba Wetlands Reserve low intertidal zone,Low,,Aegiceras corniculatum,502,9.88,120,117,37.1,"1,210",5.2,37.117,12.542,,,
Tinchi Tamba,Tinchi Tamba Wetlands Reserve low intertidal zone,Low,,Aegiceras corniculatum,507,10,120,127,38.8,"1,459",6,38.819,14.292,,,
Tinchi Tamba,Tinchi Tamba Wetlands Reserve high intertidal zone,High,,Ceriops australis,614,8.12,120,92.9,52.9,"1,336",7,52.935,20.792,,,
Tinchi Tamba,Tinchi Tamba Wetlands Reserve high intertidal zone,High,,Ceriops australis,620,8.25,120,80.7,43.9,"2,196",3.8,43.908,11.039,,,
Tinchi Tamba,Tinchi Tamba Wetlands Reserve high intertidal zone,High,,Ceriops australis,602,8.25,120,74.8,40.7,929,8.3,40.717,24.167,,,
Tinchi Tamba,Tinchi Tamba Wetlands Reserve high intertidal zone,High,,Ceriops australis,617,8.38,120,46,23.9,549,6.1,23.904,17.5,,,
Tinchi Tamba,Tinchi Tamba Wetlands Reserve high intertidal zone,High,,Ceriops australis,601,8.62,120,68.3,32.5,599,8.6,32.532,23.875,,,
Tinchi Tamba,Tinchi Tamba Wetlands Reserve high intertidal zone,High,,Ceriops australis,608,8.62,120,63.2,30.1,741,7.5,30.089,20.917,,,
Tinchi Tamba,Tinchi Tamba Wetlands Reserve high intertidal zone,High,,Ceriops australis,604,8.62,120,99.3,47.3,"1,539",5.7,47.298,15.958,,,
Tinchi Tamba,Tinchi Tamba Wetlands Reserve high intertidal zone,High,,Ceriops australis,600,9,120,154.1,64.6,"1,930",7,64.605,18.667,,,
Tinchi Tamba,Tinchi Tamba Wetlands Reserve high intertidal zone,High,,Ceriops australis,605,10,120,189.9,58,"1,926",8.8,58.015,21.209,,,
Point Halloran,Point Halloran Reserve high intertidal zone,High,,Ceriops australis,25,8.12,120,152.4,86.8,"2,088",8.5,86.82,25.125,,,
Point Halloran,Point Halloran Reserve high intertidal zone,High,,Ceriops australis,37,8.25,120,76.9,41.8,"1,580",5.8,41.847,16.875,,,
Point Halloran,Point Halloran Reserve high intertidal zone,High,,Ceriops australis,31,8.25,120,52.3,28.4,912,8.2,28.441,23.792,,,
Point Halloran,Point Halloran Reserve high intertidal zone,High,,Ceriops australis,35,8.38,120,84.2,43.8,"1,482",7.3,43.8,20.833,,,
Point Halloran,Point Halloran Reserve high intertidal zone,High,,Ceriops australis,30,8.38,120,81.7,42.5,"1,569",5.8,42.477,16.662,,,
Point Halloran,Point Halloran Reserve high intertidal zone,High,,Ceriops australis,39,8.38,120,83.1,43.2,"1,167",6.6,43.243,18.874,,,
Point Halloran,Point Halloran Reserve high intertidal zone,High,,Ceriops australis,32,8.75,120,106.9,48.8,"1,223",7.3,48.765,20,,,
Point Halloran,Point Halloran Reserve high intertidal zone,High,,Ceriops australis,36,8.88,120,78.6,34.3,683,8.4,34.34,22.728,,,
Point Halloran,Point Halloran Reserve high intertidal zone,High,,Ceriops australis,34,9.5,120,116,41.4,937,7.8,41.359,19.667,,,
Point Halloran,Point Halloran Reserve low intertidal zone,Low,,Bruguiera gymnorrhiza,80,8.12,120,46.7,26.6,944,7.9,26.584,23.458,,,
Point Halloran,Point Halloran Reserve low intertidal zone,Low,,Bruguiera gymnorrhiza,89,9,120,33.6,14.1,504,9.4,14.068,25.016,,,
Point Halloran,Point Halloran Reserve low intertidal zone,Low,,Bruguiera gymnorrhiza,84,9.88,120,28.7,9.1,202,8.5,9.105,20.75,,,
Point Halloran,Point Halloran Reserve low intertidal zone,Low,,Bruguiera gymnorrhiza,83,10,120,39.8,12.2,256,7.7,12.167,18.5,,,
Point Halloran,Point Halloran Reserve low intertidal zone,Low,,Bruguiera gymnorrhiza,77,10,120,61.6,18.8,570,6.6,18.823,15.75,,,
Point Halloran,Point Halloran Reserve low intertidal zone,Low,,Bruguiera gymnorrhiza,69,10,120,90,27.5,821,13.9,27.516,33.458,,,
Tinchi Tamba,Tinchi Tamba Wetlands Reserve low intertidal zone,Low,,Rhizophora stylosa,214,8.38,120,26.5,13.8,426,9.9,13.803,28.292,,,
Tinchi Tamba,Tinchi Tamba Wetlands Reserve low intertidal zone,Low,,Rhizophora stylosa,209,8.5,120,32.3,16,531,9.5,16.049,26.75,,,
Tinchi Tamba,Tinchi Tamba Wetlands Reserve low intertidal zone,Low,,Rhizophora stylosa,203,9,120,26.7,11.2,273,6,11.183,15.916,,,
Tinchi Tamba,Tinchi Tamba Wetlands Reserve low intertidal zone,Low,,Rhizophora stylosa,213,9,120,43.6,18.3,769,5.2,18.288,13.875,,,
Tinchi Tamba,Tinchi Tamba Wetlands Reserve low intertidal zone,Low,,Rhizophora stylosa,218,9.38,120,34.4,12.8,387,7.3,12.765,18.708,,,
Tinchi Tamba,Tinchi Tamba Wetlands Reserve low intertidal zone,Low,,Rhizophora stylosa,200,9.38,120,71.9,26.7,984,9.6,26.658,24.542,,,
Tinchi Tamba,Tinchi Tamba Wetlands Reserve low intertidal zone,Low,,Rhizophora stylosa,215,9.38,120,49.3,18.3,704,3.7,18.294,9.458,,,
Tinchi Tamba,Tinchi Tamba Wetlands Reserve low intertidal zone,Low,,Rhizophora stylosa,207,9.88,120,65.3,20.7,814,6.3,20.712,15.208,,,
Tinchi Tamba,Tinchi Tamba Wetlands Reserve low intertidal zone,Low,,Rhizophora stylosa,201,10,120,82.4,25.2,684,9.6,25.167,23,,,
Point Halloran,Point Halloran Reserve low intertidal zone,Low,,Rhizophora stylosa,47,8,120,25.2,15,380,7.2,15.028,21.667,,,
Point Halloran,Point Halloran Reserve low intertidal zone,Low,,Rhizophora stylosa,68,8.75,120,29.7,13.6,485,7.8,13.552,21.292,,,
Point Halloran,Point Halloran Reserve low intertidal zone,Low,,Rhizophora stylosa,51,8.75,120,34.8,15.9,405,8.5,15.857,23.375,,,
Point Halloran,Point Halloran Reserve low intertidal zone,Low,,Rhizophora stylosa,58,9.25,120,23.1,8.9,195,6.8,8.926,17.708,,,
Point Halloran,Point Halloran Reserve low intertidal zone,Low,,Rhizophora stylosa,63,9.38,120,30.7,11.4,277,8.1,11.403,20.708,,,
Point Halloran,Point Halloran Reserve low intertidal zone,Low,,Rhizophora stylosa,53,9.62,120,45.2,15.5,523,6.7,15.497,16.625,,,
Point Halloran,Point Halloran Reserve low intertidal zone,Low,,Rhizophora stylosa,44,9.75,120,28.6,9.4,262,6.1,9.432,15.042,,,
Point Halloran,Point Halloran Reserve low intertidal zone,Low,,Rhizophora stylosa,57,9.95,120,53.9,16.7,839,3.1,16.717,7.542,,,
Point Halloran,Point Halloran Reserve low intertidal zone,Low,,Rhizophora stylosa,49,10,120,93.4,28.5,"1,140",4.8,28.541,11.583,,,
Point Halloran,Point Halloran Reserve low intertidal zone,Low,,Rhizophora stylosa,59,10,120,43,13.1,536,5.3,13.143,12.708,,,
Tinchi Tamba,Tinchi Tamba Wetlands Reserve low intertidal zone,Low,,Avicennia marina,411,8.25,120,76.8,41.8,929,8.1,41.787,23.708,,,
Tinchi Tamba,Tinchi Tamba Wetlands Reserve low intertidal zone,Low,,Avicennia marina,408,8.5,120,131.8,65.6,"2,575",6.5,65.604,18.459,,,
Tinchi Tamba,Tinchi Tamba Wetlands Reserve low intertidal zone,Low,,Avicennia marina,418,8.75,120,104,47.4,"2,002",5,47.438,13.583,,,
Tinchi Tamba,Tinchi Tamba Wetlands Reserve low intertidal zone,Low,,Avicennia marina,412,8.75,120,147.3,67.2,"2,373",7.6,67.199,20.908,,,
Tinchi Tamba,Tinchi Tamba Wetlands Reserve low intertidal zone,Low,,Avicennia marina,402,9,120,87.1,36.5,"1,353",5.6,36.499,15,,,
Tinchi Tamba,Tinchi Tamba Wetlands Reserve low intertidal zone,Low,,Avicennia marina,420,9.38,120,96.9,35.9,894,7.8,35.933,19.917,,,
Tinchi Tamba,Tinchi Tamba Wetlands Reserve low intertidal zone,Low,,Avicennia marina,421,9.62,120,181.6,62.2,"1,047",9.6,62.249,23.875,,,
Tinchi Tamba,Tinchi Tamba Wetlands Reserve low intertidal zone,Low,,Avicennia marina,414,9.62,120,117,40.1,"1,606",6.4,40.099,15.875,,,
Tinchi Tamba,Tinchi Tamba Wetlands Reserve low intertidal zone,Low,,Avicennia marina,409,9.62,120,151.3,51.9,"1,107",11,51.854,27.333,,,
Tinchi Tamba,Tinchi Tamba Wetlands Reserve low intertidal zone,Low,,Avicennia marina,400,9.88,120,140.2,44.5,"1,642",6.3,44.477,15.375,,,
Tinchi Tamba,Tinchi Tamba Wetlands Reserve low intertidal zone,Low,,Avicennia marina,401,10,120,161.2,49.3,"2,151",6.2,49.265,14.917,,,
Tinchi Tamba,Tinchi Tamba Wetlands Reserve low intertidal zone,Low,,Avicennia marina,416,10,120,163.7,50,"1,625",7.3,50.029,17.583,,,
Point Halloran,Point Halloran Reserve low intertidal zone,Low,,Avicennia marina,12,8,120,187.8,112.1,"4,449",5.6,112.085,16.875,,,
Point Halloran,Point Halloran Reserve low intertidal zone,Low,,Avicennia marina,2,8.12,120,98.9,56.4,"2,550",6,56.36,17.833,,,
Point Halloran,Point Halloran Reserve low intertidal zone,Low,,Avicennia marina,14,8.12,120,106.4,60.6,"1,540",8.7,60.614,25.625,,,
Point Halloran,Point Halloran Reserve low intertidal zone,Low,,Avicennia marina,8,8.12,120,94.5,53.8,"1,949",4.9,53.84,14.459,,,
Point Halloran,Point Halloran Reserve low intertidal zone,Low,,Avicennia marina,10,8.5,120,100.9,50.2,"1,543",10.8,50.19,30.625,,,
Point Halloran,Point Halloran Reserve low intertidal zone,Low,,Avicennia marina,13,8.75,120,109.7,50.1,"1,949",4.9,50.059,13.458,,,
Point Halloran,Point Halloran Reserve low intertidal zone,Low,,Avicennia marina,21,8.88,120,79.3,34.6,680,12.6,34.643,34,,,
Point Halloran,Point Halloran Reserve low intertidal zone,Low,,Avicennia marina,1,9,120,122.1,51.2,"1,736",4.7,51.197,12.458,,,
Point Halloran,Point Halloran Reserve low intertidal zone,Low,,Avicennia marina,18,9.25,120,149.1,57.6,"2,439",5.4,57.571,13.959,,,
Point Halloran,Point Halloran Reserve low intertidal zone,Low,,Avicennia marina,3,9.62,120,112.7,38.6,"1,845",6.6,38.634,16.333,,,
Tinchi Tamba,Tinchi Tamba Wetlands Reserve high intertidal zone,High,,Avicennia marina,314,8,120,81.2,48.5,"1,575",7.3,48.478,21.75,,,
Tinchi Tamba,Tinchi Tamba Wetlands Reserve high intertidal zone,High,,Avicennia marina,319,8,120,99.6,59.4,"3,018",5.5,59.443,16.375,,,
Tinchi Tamba,Tinchi Tamba Wetlands Reserve high intertidal zone,High,,Avicennia marina,317,8.12,120,91.3,52,"2,450",5.5,51.999,16.292,,,
Tinchi Tamba,Tinchi Tamba Wetlands Reserve high intertidal zone,High,,Avicennia marina,315,8.12,120,97.2,55.4,"1,508",8.6,55.368,25.458,,,
Tinchi Tamba,Tinchi Tamba Wetlands Reserve high intertidal zone,High,,Avicennia marina,302,8.38,120,82.1,42.7,882,7.5,42.724,21.625,,,
Tinchi Tamba,Tinchi Tamba Wetlands Reserve high intertidal zone,High,,Avicennia marina,308,8.5,120,86.2,42.9,"1,826",5.1,42.877,14.417,,,
Tinchi Tamba,Tinchi Tamba Wetlands Reserve high intertidal zone,High,,Avicennia marina,306,8.5,120,94.4,47,"2,286",6.7,46.969,18.958,,,
Tinchi Tamba,Tinchi Tamba Wetlands Reserve high intertidal zone,High,,Avicennia marina,309,8.5,120,73.6,36.6,"1,636",6.5,36.616,18.417,,,
Tinchi Tamba,Tinchi Tamba Wetlands Reserve high intertidal zone,High,,Avicennia marina,311,8.62,120,99.7,47.5,"1,357",9.1,47.488,25.208,,,
Tinchi Tamba,Tinchi Tamba Wetlands Reserve high intertidal zone,High,,Avicennia marina,310,8.75,120,69.8,31.8,958,8.5,31.848,23.208,,,
Tinchi Tamba,Tinchi Tamba Wetlands Reserve high intertidal zone,High,,Avicennia marina,307,8.75,120,101.6,46.3,"1,195",6.8,46.33,18.75,,,
Tinchi Tamba,Tinchi Tamba Wetlands Reserve high intertidal zone,High,,Avicennia marina,316,9,120,131.8,55.2,"2,638",6,55.25,16.042,,,
Tinchi Tamba,Tinchi Tamba Wetlands Reserve high intertidal zone,High,,Avicennia marina,320,9,120,145.1,60.8,"2,381",4,60.839,10.75,,,
Tinchi Tamba,Tinchi Tamba Wetlands Reserve high intertidal zone,High,,Avicennia marina,303,9.38,120,98.2,36.4,"1,595",6,36.434,15.291,,,
Tinchi Tamba,Tinchi Tamba Wetlands Reserve high intertidal zone,High,,Avicennia marina,300,9.5,120,96.4,34.4,"1,300",5.1,34.371,12.875,,,
Tinchi Tamba,Tinchi Tamba Wetlands Reserve high intertidal zone,High,,Avicennia marina,318,9.5,120,92.1,32.8,809,6.2,32.828,15.667,,,
Point Halloran,Point Halloran Reserve high intertidal zone,High,,Avicennia marina,720,8,120,61.8,36.9,714,9.9,36.895,29.625,,,
Point Halloran,Point Halloran Reserve high intertidal zone,High,,Avicennia marina,705,8.25,120,74.4,40.5,801,10.2,40.495,29.542,,,
Point Halloran,Point Halloran Reserve high intertidal zone,High,,Avicennia marina,708,8.88,120,65.2,28.5,716,6.4,28.48,17.375,,,
Point Halloran,Point Halloran Reserve high intertidal zone,High,,Avicennia marina,712,9.12,120,74,29.8,664,10.6,29.761,27.875,,,
Point Halloran,Point Halloran Reserve high intertidal zone,High,,Avicennia marina,704,9.38,120,74.2,27.5,819,8.2,27.523,20.958,,,
Point Halloran,Point Halloran Reserve high intertidal zone,High,,Avicennia marina,709,9.5,120,73.6,26.2,692,9.7,26.228,24.417,,,
Point Halloran,Point Halloran Reserve low intertidal zone,Low,19-Oct-2010,Bruguiera gymnorrhiza,B20,,120,48.7,14.9,560,5.3,14.87,12.833,0.587431694,3.374083,19.25309
Point Halloran,Point Halloran Reserve low intertidal zone,Low,19-Oct-2010,Bruguiera gymnorrhiza,B21,,120,28.3,8.4,326,5.5,8.395,13.124,0.324324324,4.171728,21.42619
Point Halloran,Point Halloran Reserve low intertidal zone,Low,19-Oct-2010,Bruguiera gymnorrhiza,B22,,120,32.6,12.4,388,8.1,12.386,20.833,0.449771689,4.314136,20.27578
