gen spp,rep,site_text,fire_response,regeneration,C3C4,Nfixer,woodiness,growth form,mycorrhizal,deciduous/evergreen,leaf Nmass,leaf Pmass,delta 13C,15-N,15-N_sample_size
Baeckea stenophylla,,Beerwah,resprouter,lignotuber,C3,N,woody,S,VA ecto,E,0.72,,,-4.9,1
Banksia aemula,,Beerwah,,,C3,N,,S,,E,0.94,,,,
Banksia oblongifolia,,Beerwah,resprouter,lignotuber,C3,N,woody,S,cluster,E,0.69,,,0.5,10
Banksia robur,,Beerwah,resprouter,lignotuber,C3,N,woody,S,cluster,E,0.78,,,0.8,6
Callistemon pachyphyllus,,Beerwah,resprouter,lignotuber,C3,N,woody,S,VA ecto,E,1.11,,,-4.9,2
Caustis recurvata,,Beerwah,resprouter,,C3,N,herbaceous,G,non,E,0.9,,,3.4,3
Dampiera stricta,,Beerwah,,,C3,N,,S,,E,1.2,,,,
Empodesma minus,,Beerwah,resprouter,,C3,N,herbaceous,G,non,E,1,,,0.6,4
Epacris pulchella,,Beerwah,seeder,,C3,N,woody,S,ericoid,E,1.02,,,-2.3,3
Eriostemon myoporoides,,Beerwah,resprouter,lignotuber,C3,N,woody,S,VA,E,0.81,,,-2.9,7
Gompholobium pinnatum,,Beerwah,seeder,,C3,Y,woody,S,VA ecto,E,1.6,,,-0.6,7
Hakea gibbosa,,Beerwah,seeder,,,,woody,S,cluster,E,0.82,,,2.4,10
Hibbertia salicifolia,,Beerwah,resprouter,,C3,N,woody,S,VA,E,1.07,,,-5.1,4
Leptospermum liversidgei,,Beerwah,resprouter,lignotuber,C3,N,woody,S,VA ecto,E,1.1,,,-2.5,4
Leptospermum speciosum,,Beerwah,resprouter,lignotuber,C3,N,woody,S,VA ecto,E,1,,,-3.2,5
Melaleuca nodosa,,Beerwah,resprouter,lignotuber,C3,N,woody,S,VA ecto,E,0.82,,,-1.8,7
Melaleuca sieberi,,Beerwah,resprouter,lignotuber,C3,N,woody,S,VA ecto,E,0.93,,,-2,8
Mirbelia reticulata,,Beerwah,seeder,,C3,Y,woody,S,VA ecto,E,1.7,,,-1.9,4
Persoonia virgata,,Beerwah,resprouter,,C3,N,woody,S,non,E,0.98,,,4.3,3
Petrophila shirleyae,,Beerwah,resprouter,lignotuber,C3,N,woody,S,cluster,E,0.72,,,1.4,4
Pultanaea paleacea,,Beerwah,seeder,,C3,Y,woody,S,VA ecto,E,1.43,,,-1.9,5
Sprengelia sprengelioides,,Beerwah,seeder,,C3,N,woody,S,ericoid,E,0.73,,,-2.1,2
Strangea linearis,,Beerwah,resprouter,lignotuber,C3,N,woody,S,cluster,E,0.87,,,0.3,10
Xanthorrhoea johnsonii,,Beerwah,,,C3,N,,S,,E,0.88,,,-3.6,
Baurera capitata,,Beerwah,resprouter,lignotuber,,,woody,S,VA,,,,,-5,5
Allocasuarina littoralis,,Beerwah,resprouter,,,,woody,S,VA ecto,,,,,-2.4,4
