gen spp,site_text,C3C4,Nfixer,growth form,deciduous/evergreen,leaf Nmass,leaf Pmass,delta 13C,15-N
Baeckea stenophylla,Beerwah,C3,N,S,E,0.72,,-29.57,-4.9
Banksia aemula,Beerwah,C3,N,S,E,0.94,,-29.55,
Banksia oblongifolia,Beerwah,C3,N,S,E,0.69,,-29.88,0.5
Banksia robur,Beerwah,C3,N,S,E,0.78,,-28.62,0.8
Callistemon pachyphyllus,Beerwah,C3,N,S,E,1.11,,-28.56,-4.9
Caustis recurvata,Beerwah,C3,N,G,E,0.90,,-28.29,3.4
Dampiera stricta,Beerwah,C3,N,S,E,1.2,,-30.49,
Empodesma minus,Beerwah,C3,N,G,E,1,,-27.99,0.6
Epacris pulchella,Beerwah,C3,N,S,E,1.02,,-30.25,-2.3
Eriostemon myoporoides,Beerwah,C3,N,S,E,0.81,,-28.73,-2.9
Gompholobium pinnatum,Beerwah,C3,Y,S,E,1.6,,-31.08,-0.6
Hakea gibbosa,Beerwah,C3,N,S,E,0.82,,-29.25,2.4
Hibbertia salicifolia,Beerwah,C3,N,S,E,1.07,,-28.90,-5.1
Leptospermum liversidgei,Beerwah,C3,N,S,E,1.1,,-28.64,-2.5
Leptospermum speciosum,Beerwah,C3,N,S,E,1,,-28.47,-3.2
Melaleuca nodosa,Beerwah,C3,N,S,E,0.82,,-30.89,-1.8
Melaleuca sieberi,Beerwah,C3,N,S,E,0.93,,-29.02,-2
Mirbelia reticulata,Beerwah,C3,Y,S,E,1.7,,-27.43,-1.9
Persoonia virgata,Beerwah,C3,N,S,E,0.98,,-29.52,4.3
Petrophila shirleyae,Beerwah,C3,N,S,E,0.72,,-30.30,1.4
Pultanaea paleacea,Beerwah,C3,Y,S,E,1.43,,-28.60,-1.9
Sprengelia sprengelioides,Beerwah,C3,N,S,E,0.73,,-29.70,-2.1
Strangea linearis,Beerwah,C3,N,S,E,0.87,,-29.94,0.3
Xanthorrhoea johnsonii,Beerwah,C3,N,S,E,0.88,,-26.99,-3.6
Acacia auriculiformis,Kakadu1,C3,Y,T,E,1.77,,-27.57,-0.66
Acacia difficilis,Kakadu1,C3,Y,S or T,E,1.38,,-28.24,49.56
Acacia dimidiata,Kakadu1,C3,Y,S or T,E,1.46,,-29.66,2.60
Acacia gonocarpa,Kakadu1,C3,Y,S,E,1.76,,-26.59,-0.94
Acacia holosericea,Kakadu1,C3,Y,S or T,E,2.23,,-27.58,50.96
Acacia mimula,Kakadu1,C3,Y,S,E,2.37,,-29.02,0.21
Acacia mountfordiae,Kakadu1,C3,Y,S,E,1.42,,-27.65,50.16
Acacia oncinocarpa,Kakadu1,C3,Y,S,E,3.10,,-28.14,0.14
Acacia plectocarpa,Kakadu1,C3,Y,S or T,E,2.10,,-26.59,0.60
Acacia torulosa,Kakadu1,C3,Y,S or T,E,1.76,,-27.94,49.00
Alstonia actinophylla,Kakadu1,C3,N,T,facultative-D,2.02,,-28.74,6.01
Buchanania obovata,Kakadu1,C3,N,T,facultative-D,1.30,,-28.74,1.67
Calytrix brownii,Kakadu1,C3,N,S,E,1.03,,-27.85,-0.59
Calytrix exstipulata,Kakadu1,C3,N,S,E,0.98,,-27.37,51.04
Cochlospermum fraseri,Kakadu1,C3,N,T,D,1.52,,-28.33,2.09
Corymbia foelscheana,Kakadu1,C3,N,T,E,1.10,,-28.22,48.98
Corymbia polycarpa,Kakadu1,C3,N,T,E,1.04,,-26.25,-0.03
Corymbia porrecta,Kakadu1,C3,N,T,E,0.79,,-28.35,0.59
Corymbia ptychocarpa,Kakadu1,C3,N,T,E,0.91,,-26.93,1.06
Desmodium brownii,Kakadu1,C3,Y,H,E,1.97,,-27.19,-2.83
Desmodium,Kakadu1,C3,Y,H,E,2.47,,-29.64,-2.28
Erythrophleum chlorostachys,Kakadu1,C3,N,T,facultative-D,2.47,,-29.52,-0.65
Eucalyptus camadulensis,Kakadu1,C3,N,T,E,1.29,,-28.59,3.00
Eucalyptus miniata,Kakadu1,C3,N,T,E,1.18,,-27.69,0.23
Eucalyptus tetrodonta,Kakadu1,C3,N,T,E,1.15,,-28.91,-1.24
Euphorbia sp.,Kakadu1,C3,N,H,E,1.76,,-27.68,2.98
Grevillea pteridifolia,Kakadu1,C3,N,T,E,0.91,,-27.54,47.97
Jacksonia dilatata,Kakadu1,C3,Y,S,E,1.14,,-28.74,-0.47
Lophostemon lactifluus,Kakadu1,C3,N,T,facultative-D,1.13,,-27.83,1.32
Melaleuca nervosa,Kakadu1,C3,N,T,E,0.85,,-28.42,2.30
Melaleuca viridiflora,Kakadu1,C3,N,T,E,1.40,,-30.02,2.35
Pandanus spiralis,Kakadu1,C3,N,T,E,1.18,,-28.42,0.17
Passiflora foetida,Kakadu1,C3,N,V,E,2.33,,-26.74,44.71
Senna sp.,Kakadu1,C3,N,S,E,1.78,,-27.82,-2.03
Verticordia cunninghamii,Kakadu1,C3,N,S,E,1.08,,-26.66,-0.13
Vigna lanceolata,Kakadu1,C3,Y,V,E,3.00,,-28.52,-1.86
Acacia alleniana,Kakadu2,C3,Y,S or T,E,1.21,,-29.16,-1.31
Acacia difficilis,Kakadu2,C3,Y,T or S,E,1.72,,-29.39,-0.93
Acacia gonocarpa,Kakadu2,C3,Y,S,E,1.86,,-27.45,-0.52
Acacia lamprocarpa,Kakadu2,C3,Y,T,E,1.76,,-27.30,-0.91
Acacia latescens,Kakadu2,C3,Y,S or T,E,2.52,,-26.98,-1.28
Acacia mimula,Kakadu2,C3,Y,S,E,2.37,,-28.81,-0.57
Acacia multisiliqua,Kakadu2,C3,Y,S,E,1.64,,-28.29,-0.87
Acacia oncinocarpa,Kakadu2,C3,Y,S,E,2.95,,-27.70,-0.69
Allosyncarpia ternata,Kakadu2,C3,N,T,E,1.19,,-28.13,-1.31
Alyxia ruscifolia,Kakadu2,C3,N,S,E,1.13,,-28.50,-1.26
Ampelocissus acetosa,Kakadu2,C3,N,V,E,1.23,,-28.27,-2.41
Arthrostylis aphylla,Kakadu2,C3,N,G,E,0.93,,-28.12,1.09
Bossiaea bossiaeoides,Kakadu2,C3,Y,S,E,1.57,,-26.79,-0.93
Brachychiton megaphyllus,Kakadu2,C3,N,T or S,D,2.23,,-28.91,-0.29
Buchanania obovata,Kakadu2,C3,N,T,facultative-D,1.15,,-28.12,1.07
Cajanus acutifolius,Kakadu2,C3,Y,S,E,1.68,,-28.73,-1.64
Calycopeplus collinus,Kakadu2,C3,N,S,E,0.85,,-27.93,0.30
Calytrix achaeta,Kakadu2,C3,N,S,E,0.99,,-28.84,0.95
Calytrix exstipulata,Kakadu2,C3,N,S,E,0.86,,-29.06,0.96
Cartonema spicatum,Kakadu2,C3,N,G?,E,1.25,,-29.62,-0.85
