No #,Sample,name_matched,Category,Site,Property,Cleared/Remnant,Xylem,Date,Al mg/kg,B mg/kg,Ca mg/kg,Cu mg/kg,Fe mg/kg,K mg/kg,Mg mg/kg,Mn mg/kg,Na mg/kg,P mg/kg,S mg/kg,Zn mg/kg,%N,%C,15N,13C,native_status,C3C4,Nfixer,growth form,leaf_type,deciduous/evergreen
74,Aristida holathera,Aristida holathera,Grass,30R,Monklands,Remnant,NA,Feb,160,11,1433.656036,5,296,6107,888.1,34,48,632.118451,791.1921033,4,0.5421,41.4161,1.27,-13.14,NA,NA,NA,NA,NA,NA
75,Aristida holathera,Aristida holathera,Grass,30C,Monklands,Cleared,NA,Feb,74,9,1075.211051,6,1099,5747.1,745.8,15,52,498.3691481,615.4067536,3,0.4399,41.8858,0.33,-13.59,NA,NA,NA,NA,NA,NA
78,Aristida holathera,Aristida holathera,Grass,2R,Monklands,Remnant,NA,Feb,63,14,1466.780409,16,425,8648,836.2,51,65,572.9626656,1057.707748,35,1.0320,42.1592,2.71,-14.18,NA,NA,NA,NA,NA,NA
79,Aristida holathera,Aristida holathera,Grass,2C,Monklands,Cleared,NA,Feb,23,-1,1263.542902,4,422,6821.6,408.8,17,22,553.4796362,696.2238039,-1,0.4444,42.3448,2.07,-13.66,NA,NA,NA,NA,NA,NA
109,Bothriochloa ewartiana,Bothriochloa ewartiana,Grass,30R,Monklands,Remnant,NA,Feb,100,21,3288.627451,13,1525,19377.1,2290,43,104,1404.411765,2109.901961,16,1.3148,40.2962,-0.12,-12.6,NA,NA,NA,NA,NA,NA
110,Bothriochloa ewartiana,Bothriochloa ewartiana,Grass,30C,Monklands,Cleared,NA,Feb,74,18,2342.084328,8,433,14041.1,2259.2,41,105,1088.902148,1384.944312,8,0.9686,41.2964,1.1,-13.15,NA,NA,NA,NA,NA,NA
3,Buffel,Cenchrus ciliaris,Grass,30R,Monklands,Remnant,NA,Nov,137,21,3606.808428,20,331,20929.1,3276.2,259,86,3335.739368,3463.714397,87,2.5669,38.411,2.55,-12.56,non-native,NA,NA,NA,NA,NA
4,Buffel,Cenchrus ciliaris,Grass,30C,Monklands,Cleared,NA,Nov,461,14,3354.842615,11,679,20938.1,3427.3,171,180,3711.985472,2764.64891,41,2.4714,37.063,3.83,-12.55,non-native,NA,NA,NA,NA,NA
7,Buffel,Cenchrus ciliaris,Grass,2C,Monklands,Cleared,NA,Nov,229,9,3447.627932,16,667,30529.1,2049.8,143,143,2871.535181,2238.80597,82,2.6887,37.9939,3.92,-12.92,non-native,NA,NA,NA,NA,NA
8,Buffel,Cenchrus ciliaris,Grass,2R,Monklands,Remnant,NA,Nov,278,20,3585.059761,13,643,42226.1,3484.5,201,228,2830.776892,2228.585657,52,3.0238,37.7664,4.36,-12.68,non-native,NA,NA,NA,NA,NA
82,Cenchus ciliaris,Cenchrus ciliaris,Grass,30R,Monklands,Remnant,NA,Feb,244,11,2612.638449,6,360,23251.1,1948.3,31,115,996.1431962,985.2650316,7,0.8456,37.9191,1.39,-12.41,non-native,NA,NA,NA,NA,NA
83,Cenchus ciliaris,Cenchrus ciliaris,Grass,30C,Monklands,Cleared,NA,Feb,210,11,1604.322937,8,727,26548.1,1223.3,20,86,1114.488749,938.1168575,NA,0.8120,33.3956,7.64,-12.32,non-native,NA,NA,NA,NA,NA
86,Cenchus ciliaris,Cenchrus ciliaris,Grass,2C,Monklands,Cleared,NA,Feb,128,14,3675.656847,6,266,29343.1,1991.4,48,26,1032.842357,1146.098726,6,1.0978,37.0771,3.02,-12.58,non-native,NA,NA,NA,NA,NA
87,Cenchus ciliaris,Cenchrus ciliaris,Grass,2R,Monklands,Remnant,NA,Feb,455,17,3839.707649,9,1374,25984.1,2476.7,76,40,623.4481378,1164.797757,10,1.0404,36.243,3.82,-13.43,non-native,NA,NA,NA,NA,NA
99,Chrysopogon fallax,Chrysopogon fallax,Grass,2R,Monklands,Remnant,NA,Feb,257,18,2804.606831,15,1243,13712.1,1578.6,85,39,803.1175536,848.4908658,33,0.9343,38.4634,2.81,-13.5,NA,NA,NA,NA,NA,NA
89,Cymbopogon refractus,Cymbopogon refractus,Grass,30R,Monklands,Remnant,NA,Feb,54,17,2892.528965,5,203,9617.8,2020,27,22,667.8985218,571.2145425,NA,0.7500,39.8808,2.52,-12.91,NA,NA,NA,NA,NA,NA
90,Cymbopogon refractus,Cymbopogon refractus,Grass,30C,Monklands,Cleared,NA,Feb,41,12,3114.374034,5,121,9305.8,2982.3,52,29,970.5370943,658.8098918,6,0.8494,42.1524,1.77,-12.93,NA,NA,NA,NA,NA,NA
93,Cymbopogon refractus,Cymbopogon refractus,Grass,2C,Monklands,Cleared,NA,Feb,34,17,3729.328416,7,202,14492.1,1134.4,180,35,1062.985248,934.9767081,8,1.0081,38.1463,2.43,-12.26,NA,NA,NA,NA,NA,NA
94,Cymbopogon refractus,Cymbopogon refractus,Grass,2R,Monklands,Remnant,NA,Feb,120,15,2636.137629,7,349,13834.1,1370.3,165,42,873.309467,848.4486874,11,1.0342,39.7716,2.77,-13.08,NA,NA,NA,NA,NA,NA
27,Desert Oak,Allocasuarina luehmannii,Tree,2R,Monklands,Remnant,NA,Nov,44,26,22032.72727,7,99,10127.1,3731.8,31,174,330.5454545,1247.181818,40,1.1568,45.7389,1.31,-30.01,NA,NA,NA,NA,NA,NA
28,Desert Oak,Allocasuarina luehmannii,Tree,2R,Monklands,Remnant,NA,Nov,18,27,16906.93771,4,46,9169.9,2225.7,18,133,345.766505,762.7750839,11,1.1266,46.4279,1.49,-28.76,NA,NA,NA,NA,NA,NA
29,Desert Oak,Allocasuarina luehmannii,Tree,2R,Monklands,Remnant,NA,Nov,17,29,12697.62846,4,92,9058.9,1982.4,29,60,338.8339921,924.70355730000006,8,1.2321,47.1934,-0.33,-28.53,NA,NA,NA,NA,NA,NA
30,Desert Oak,Allocasuarina luehmannii,Tree,2R,Monklands,Remnant,NA,Nov,10,56,12653.44019,5,92,8922.4,2697.7,32,96,421.0320563,2685.203284,9,1.4262,47.0697,-0.05,-28.23,NA,NA,NA,NA,NA,NA
31,Desert Oak,Allocasuarina luehmannii,Tree,30C,Monklands,Cleared,NA,Nov,3,39,13207.21769,4,53,8166.2,2393.3,19,187,404.9282111,867.3845557,12,1.2687,47.017,1.16,-28.34,NA,NA,NA,NA,NA,NA
125,Desert Oak,Allocasuarina luehmannii,Tree,30C,Monklands,Cleared,y,Feb,31,28,13250.777,5,122,12036.1,1610.2,11,71,567.8904429,1575.563326,5,1.4543,46.3493,-0.02,-28.82,NA,NA,NA,NA,NA,NA
32,Desert Oak #1,Allocasuarina luehmannii,Tree,2R,Monklands,Remnant,y,Nov,5,120,9888.547271,4,57,10616.1,1992,591,91,313.4127594,701.3835511,6,0.7145,46.6337,2.55,-28.33,NA,NA,NA,NA,NA,NA
33,Desert Oak #1,Allocasuarina luehmannii,Tree,30R,Monklands,Remnant,y,Nov,20,57,17631.42857,6,100,9690.5,3165.2,36,316,408.7619048,2700.095238,13,1.2618,46.9183,0.17,-27.05,NA,NA,NA,NA,NA,NA
127,Desert Oak #1,Allocasuarina luehmannii,Tree,30R,Monklands,Remnant,y,Feb,32,42,11539,7,39,14563.1,2448.1,34,99,645.4,1685.7,16,1.6393,47.0154,1.34,-27.55,NA,NA,NA,NA,NA,NA
128,Desert Oak #1,Allocasuarina luehmannii,Tree,2R,Monklands,Remnant,y,Feb,49,70,10950.28067,7,128,13559.1,3474.1,40,62,552.8267843,2302.726544,18,1.6538,47.1602,1.72,-28.81,NA,NA,NA,NA,NA,NA
34,Desert Oak #2,Allocasuarina luehmannii,Tree,30R,Monklands,Remnant,y,Nov,14,44,20602.80921,5,62,6198.2,2224.6,22,114,416.9918065,856.6133437,19,1.1150,47.312,-0.61,-26.98,NA,NA,NA,NA,NA,NA
130,Desert Oak #2,Allocasuarina luehmannii,Tree,30R,Monklands,Remnant,y,Feb,1,34,6177.5,7,40,13951.1,2263.5,14,100,630.9,1489.2,8,1.4501,47.0122,-0.81,-27.13,NA,NA,NA,NA,NA,NA
35,Desert Oak #3,Allocasuarina luehmannii,Tree,30R,Monklands,Remnant,y,Nov,11,44,19784.32108,12,60,11273.1,3188.2,14,78,594.9924981,852.6819205,51,1.3540,46.1551,-0.43,-28.3,NA,NA,NA,NA,NA,NA
132,Desert Oak #3,Allocasuarina luehmannii,Tree,30R,Monklands,Remnant,y,Feb,16,39,13398.09675,7,103,9854.1,2537.3,22,57,760.408406,1387.39096,11,1.7867,46.9221,-0.07,-27.9,NA,NA,NA,NA,NA,NA
134,Desert Oak #4,Allocasuarina luehmannii,Tree,30R,Monklands,Remnant,y,Feb,19,46,14284.90137,7,69,14853.1,3201.7,21,74,803.3004552,1570.656297,13,1.8496,46.9381,0.53,-28.62,NA,NA,NA,NA,NA,NA
67,Digitaria ammophila,Digitaria ammophila,Grass,30C,Monklands,Cleared,NA,Feb,72,28,3034.330986,12,877,17269.1,1423.1,9,75,609.0571205,680.5555556,33,0.7843,41.3614,-0.31,-12.34,NA,NA,NA,NA,NA,NA
70,Digitaria ammophila,Digitaria ammophila,Grass,2R,Monklands,Remnant,NA,Feb,62,44,3025.069088,138,471,21010.1,1369.3,164,32,832.4121595,1076.687722,883,1.3980,42.2902,3.71,-13.31,NA,NA,NA,NA,NA,NA
71,Digitaria ammophila,Digitaria ammophila,Grass,2C,Monklands,Cleared,NA,Feb,31,45,3145.383693,13,416,19534.1,1338.2,35,56,950.8393285,964.3285372,16,1.1682,41.5826,3.35,-12.73,NA,NA,NA,NA,NA,NA
42,Ironbark,Eucalyptus melanophloia,Tree,2C,Monklands,Cleared,NA,Nov,15,129,9181.280976,4,124,8402.3,3094.5,855,27,430.8997331,931.280976,13,0.9410,46.2609,1.62,-27.91,NA,NA,NA,NA,NA,NA
43,Ironbark,Eucalyptus melanophloia,Tree,30R,Monklands,Remnant,NA,Nov,4,99,9526.629571,4,59,7752.8,2444,251,27,524.9403816,793.7201908,15,0.8979,46.2015,2.23,-27.73,NA,NA,NA,NA,NA,NA
44,Ironbark,Eucalyptus melanophloia,Tree,30R,Monklands,Remnant,NA,Nov,NA,47,10177,2,31,4826,1865.8,194,6,299.1,393,1,0.8875,44.4982,2.87,-29.1,NA,NA,NA,NA,NA,NA
45,Ironbark,Eucalyptus melanophloia,Tree,30C,Monklands,Cleared,NA,Nov,28,53,5030.715706,9,89,8585.4,2994.5,170,32,750.2982107,1034.493042,8,1.2465,46.8021,3.52,-26.51,NA,NA,NA,NA,NA,NA
46,Ironbark,Eucalyptus melanophloia,Tree,30C,Monklands,Cleared,NA,Nov,28,198,18533.38633,5,73,6965.7,3811.4,361,49,718.6009539,901.7289348,19,1.0979,45.9138,5.48,-29.13,NA,NA,NA,NA,NA,NA
49,Ironbark #1,Eucalyptus melanophloia,Tree,2R,Monklands,Remnant,y,Nov,10,101,8054.934079,5,65,9484.7,2939.6,430,43,315.0219736,758.1901718,16,0.7927,46.5958,3.22,-28.48,NA,NA,NA,NA,NA,NA
52,Ironbark #2,Eucalyptus melanophloia,Tree,30R,Monklands,Remnant,y,Nov,7,139,12524.0096,9,37,5761.5,4736.7,715,26,613.4453782,1089.535814,34,1.2306,45.9518,4.82,-27.29,NA,NA,NA,NA,NA,NA
60,Ironwood (A excelsa),Acacia excelsa,Tree,2R,Monklands,Remnant,NA,Nov,11,52,10563.78357,8,68,7271.3,2322.4,359,34,454.8775671,1013.230648,21,2.1029,49.7456,2.03,-28.51,NA,NA,NA,NA,NA,NA
102,Panicum effusum,Panicum effusum,Grass,30R,Monklands,Remnant,NA,Feb,263,32,2889.958911,11,1196,13128.1,1581.5,23,89,761.5562404,785.6959425,21,0.9783,39.5448,0.79,-13.36,NA,NA,NA,NA,NA,NA
103,Panicum effusum,Panicum effusum,Grass,30C,Monklands,Cleared,NA,Feb,496,14,2036.814054,8,1246,16268.1,1905.7,41,83,833.7939203,868.3379392,12,0.9114,41.2848,1.83,-13.43,NA,NA,NA,NA,NA,NA
106,Panicum effusum,Panicum effusum,Grass,2R,Monklands,Remnant,NA,Feb,339,34,2761.358672,12,2742,16113.1,1416.7,86,43,654.2158148,874.836173,21,1.0290,41.2864,3.56,-14.17,NA,NA,NA,NA,NA,NA
107,Panicum effusum,Panicum effusum,Grass,2C,Monklands,Cleared,NA,Feb,171,31,3983.932136,10,1248,15934.1,2025.9,54,54,842.6147705,879.1417166,18,0.9358,39.9419,2.4,-13.82,NA,NA,NA,NA,NA,NA
64,Proteaceae (Hakea),Hakea sp.,Tree,2R,Monklands,Remnant,NA,Nov,4,10,2564.470493,3,61,4209.6,1324.8,303,15,331.7502021,1587.712207,-3,0.6646,47.0359,3.71,-27.2,NA,NA,NA,NA,NA,NA
20,repeat Whitespear? 19 (10R),Aristida calycina,Grass,2R,Monklands,Remnant,NA,Nov,73,6,554.4564349,8,446,7187.8,515.9,81,65,740.7074341,966.6266986,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,Spinifex,Triodia sp.,Grass,2C,Monklands,Cleared,NA,Nov,154,3,1157.806065,6,690,8766.9,902.5,209,97,815.4249345,1082.927742,13,0.5410,41.354,2.2,-14.19,NA,NA,NA,NA,NA,NA
111,Spinifex,Triodia sp.,Grass,30C,Monklands,Cleared,NA,Feb,39,20,1670.083599,5,72,9664.6,589.3,73,132,646.5963376,1186.20621,1,0.6528,41.7442,1.06,-13.72,NA,NA,NA,NA,NA,NA
114,Spinifex,Triodia sp.,Grass,2C,Monklands,Cleared,NA,Feb,52,58,1598.977136,104,183,11209.1,698,259,174,983.4536703,1369.93582,203,0.7003,41.9451,1.8,-13.92,NA,NA,NA,NA,NA,NA
115,Spinifex,Triodia sp.,Grass,2R,Monklands,Remnant,NA,Feb,87,11,2060.279441,21,398,9814.1,734.5,137,90,507.6846307,1389.820359,35,0.7879,41.3597,3.31,-14.28,NA,NA,NA,NA,NA,NA
16,Tall species (Aristrida),Aristida calycina,Grass,30R,Monklands,Remnant,NA,Nov,152,3,949.6772892,11,212,12973.1,1003.8,265,130,1820.794675,1493.545785,47,1.4932,40.5894,4.01,-13.79,NA,NA,NA,NA,NA,NA
118,Themeda triandra,Themeda triandra,Grass,30R,Monklands,Remnant,NA,Feb,32,22,2758.391204,6,103,12468.1,2793.2,81,40,734.5679012,703.5108025,5,0.8737,39.564,0.34,-13.21,NA,NA,NA,NA,NA,NA
119,Themeda triandra,Themeda triandra,Grass,30C,Monklands,Cleared,NA,Feb,32,12,2211.355868,6,107,9721.5,1598.2,18,54,624.2878845,524.6866692,5,0.6168,40.3875,2.11,-12.66,NA,NA,NA,NA,NA,NA
122,Themeda triandra,Themeda triandra,Grass,2C,Monklands,Cleared,NA,Feb,105,13,2793.767648,7,316,14590.1,1592.5,146,40,946.3493344,833.2997176,7,0.9422,40.886,2.66,-12.95,NA,NA,NA,NA,NA,NA
17,Whitespear ?,Aristida calycina,Grass,30C,Monklands,Cleared,NA,Nov,171,2,776.0809203,4,138,5735,602.7,140,42,1479.571599,775.2875843,7,0.5761,40.3674,5.61,-13.89,NA,NA,NA,NA,NA,NA
18,Whitespear ?,Aristida calycina,Grass,2C,Monklands,Cleared,NA,Nov,112,21,1699.259408,6,256,8647.2,799,139,62,1157.325861,1110.288231,17,0.9236,40.7018,2.69,-14.1,NA,NA,NA,NA,NA,NA
19,Whitespear ?,Aristida calycina,Grass,2R,Monklands,Remnant,NA,Nov,129,5,538.3572259,5,420,7564.3,595.9,81,88,699.7287873,964.7423479,14,0.8152,42.5865,0.14,-14.2,NA,NA,NA,NA,NA,NA
21,Acacia #1,Acacia coriacea,Tree,10R,Summerdell,Remnant,y,Nov,163,54,7546.982429,6,90,10462.1,3113.2,36,326,402.1199389,1096.543163,13,1.2329,48.1486,-1.08,-27.05,NA,NA,NA,NA,NA,NA
22,Acacia #1,Acacia coriacea,Tree,1.5R,Summerdell,Remnant,y,Nov,59,25,10042.74354,5,76,14096.1,3806,28,370,357.2564612,795.8250497,16,1.0762,45.493,-1.58,-27.8,NA,NA,NA,NA,NA,NA
23,Acacia #2,Acacia coriacea,Tree,10R,Summerdell,Remnant,y,Nov,104,49,7678.088995,10,124,5090.9,3914.1,89,244,348.3313468,868.0969408,27,1.1584,47.8071,-2.17,-27.03,NA,NA,NA,NA,NA,NA
24,Acacia #2,Acacia coriacea,Tree,1.5R,Summerdell,Remnant,y,Nov,97,26,7344.761905,4,84,12113.1,3404.8,21,208,461.9047619,1026.952381,4,1.3637,46.9416,-0.89,-27.58,NA,NA,NA,NA,NA,NA
26,Acacia #3,Acacia coriacea,Tree,10R,Summerdell,Remnant,y,Nov,79,41,7419.42402,8,123,10430.1,4635.5,48,146,364.5833333,1235.089869,19,1.2052,44.6115,-0.91,-28.07,NA,NA,NA,NA,NA,NA
76,Aristida holathera,Aristida holathera,Grass,10R,Summerdell,Remnant,NA,Feb,129,22,889.5093738,7,485,7221,885.1,32,42,423.5141604,943.4583167,3,0.6403,40.802,0.13,-13.33,NA,NA,NA,NA,NA,NA
77,Aristida holathera,Aristida holathera,Grass,10C,Summerdell,Cleared,NA,Feb,156,6,1906.324582,8,627,8100.2,1534.6,198,163,877.486078,1182.677009,13,0.9470,41.2504,2.69,-13.55,NA,NA,NA,NA,NA,NA
80,Aristida holathera,Aristida holathera,Grass,1.5R,Summerdell,Remnant,NA,Feb,100,10,1803.677932,5,297,6046.5,1014.7,31,157,371.471173,946.8190855,4,0.6315,40.1439,0.57,-13.22,NA,NA,NA,NA,NA,NA
81,Aristida holathera,Aristida holathera,Grass,1.5C,Summerdell,Cleared,NA,Feb,47,4,1010.673235,8,268,6356.9,616.9,29,40,392.6518883,985.2216749,7,0.8087,41.5045,7.96,-13.08,NA,NA,NA,NA,NA,NA
1,Blackspear,Heteropogon contortus,Grass,1.5C,Summerdell,Cleared,NA,Nov,181,8,2867.078517,54,207,14702.1,2079.8,152,59,1215.922678,1134.416102,196,1.1567,40.1251,1.54,-13.21,NA,NA,NA,NA,NA,NA
2,Blackspear,Heteropogon contortus,Grass,1.5C,Summerdell,Cleared,NA,Nov,293,3,2826.193214,6,209,8067,1811.1,413,120,1248.706153,1340.425532,26,1.2370,38.7337,1.73,-13.12,NA,NA,NA,NA,NA,NA
5,Buffel,Cenchrus ciliaris,Grass,10C,Summerdell,Cleared,NA,Nov,304,14,3329.214827,33,268,23158.1,3493,160,148,2088.780391,1884.914308,176,2.1208,38.107,3.13,-13.15,non-native,NA,NA,NA,NA,NA
6,Buffel,Cenchrus ciliaris,Grass,10R,Summerdell,Remnant,NA,Nov,387,28,2540.276648,10,302,20663.1,2155.7,125,283,2509.764036,1446.501221,27,2.7763,38.0188,1.44,-13.27,non-native,NA,NA,NA,NA,NA
9,Buffel,Cenchrus ciliaris,Grass,1.5R,Summerdell,Remnant,NA,Nov,357,19,4403.519669,8,547,32328.1,4030.2,66,157,2016.770186,1807.453416,27,2.3268,38.4996,2.72,-13.37,non-native,NA,NA,NA,NA,NA
84,Cenchus ciliaris,Cenchus ciliaris,Grass,10C,Summerdell,Cleared,NA,Feb,210,14,3131.95835,7,371,23318.1,2727.8,63,37,1896.275531,1440.228274,6,1.1181,36.4149,2.42,-12.13,non-native,NA,NA,NA,NA,NA
85,Cenchus ciliaris,Cenchus ciliaris,Grass,10R,Summerdell,Remnant,NA,Feb,165,14,2657.48503,6,456,26479.1,2168.2,78,76,1049.301397,1082.834331,15,1.0750,38.3129,1.5,-12.59,non-native,NA,NA,NA,NA,NA
88,Cenchus ciliaris,Cenchus ciliaris,Grass,1.5C,Summerdell,Cleared,NA,Feb,623,11,1985.895339,12,1163,22550.1,1309.1,48,286,1645.237122,1435.813573,21,1.8856,38.6064,8.13,-12.33,non-native,NA,NA,NA,NA,NA
97,Chrysopogon fallax,Chrysopogon fallax,Grass,10R,Summerdell,Remnant,NA,Feb,483,15,3166.012397,9,1144,10679.1,2923,83,30,674.2768595,1303.719008,11,0.9148,35.2442,0.66,-12.25,NA,NA,NA,NA,NA,NA
98,Chrysopogon fallax,Chrysopogon fallax,Grass,10C,Summerdell,Cleared,NA,Feb,77,17,2659.18124,7,245,11530.1,3368.1,74,27,750.6955485,1048.191574,7,0.9544,35.9032,0.36,-12.14,NA,NA,NA,NA,NA,NA
100,Chrysopogon fallax,Chrysopogon fallax,Grass,1.5R,Summerdell,Remnant,NA,Feb,667,44,2875.245773,12,1740,11851.1,2482.9,34,97,652.2807707,1466.574912,7,0.6116,35.758,2.2,-12.31,NA,NA,NA,NA,NA,NA
101,Chrysopogon fallax,Chrysopogon fallax,Grass,1.5C,Summerdell,Cleared,NA,Feb,323,12,1075.048544,8,468,14728.1,1462.4,23,73,932.6213592,1086.213592,8,0.8455,38.5985,4.36,-12.11,NA,NA,NA,NA,NA,NA
91,Cymbopogon refractus,Cymbopogon refractus,Grass,10C,Summerdell,Cleared,NA,Feb,110,16,4652.56981,12,352,11501.1,4075.5,100,111,1059.995953,1069.607446,13,1.2243,39.6481,1.12,-12.24,NA,NA,NA,NA,NA,NA
92,Cymbopogon refractus,Cymbopogon refractus,Grass,10R,Summerdell,Remnant,NA,Feb,45,14,2479.464286,6,155,12341.1,2295.7,227,35,770.9325397,743.452381,3,0.8971,40.8694,0.72,-12.82,NA,NA,NA,NA,NA,NA
