Name,DN,d 13 C,N[%],Specific Leaf Area (m2 kg1)
Corymbia  variegata,1246,-27.37,1.20,5.671763979
Eucalyptus callophylla ,1160,-26.52,1.30,5.465086806
Corymbia catenaria,700,-25.83,1.62,5.323202147
Corymbia eremaea,1208,-28.32,0.91,3.858261287
Corymbia eximia,632,-25.83,0.80,3.770345679
Corymbia ficifolia,1138,-26.53,1.06,4.766472816
Corymbia haematoxylon,1147,-24.97,0.86,4.652103772
Corymbia maculata,1752,-28.42,1.51,5.370028544
Corymbia trachyphloia,684,-26.19,1.28,6.351205192
Corymbia variegata,1246,-27.46,1.20,5.671763979
Eucalyptus  angustissima,150,-26.68,1.20,1.508239038
Eucalyptus abdita,251,-29.32,1.10,3.26116453
Eucalyptus absita,1154,-27.28,1.97,4.322462788
Eucalyptus accedens,1164,-27.81,1.31,3.136081178
Eucalyptus acies,225,-26.54,0.88,3.179674112
Eucalyptus aggregata,1224,-27.76,1.43,5.453293099
Eucalyptus albopurpurea,942,-25.72,1.31,3.322701206
Eucalyptus alligatrix,776,-28.00,1.93,6.527857609
Eucalyptus ammophila,1284,-30.11,1.33,4.808952759
Eucalyptus amplifolia,668,-27.73,1.55,5.222853445
Eucalyptus ancophila,646,-28.35,1.05,6.289730007
Eucalyptus angulosa,939,-27.76,0.83,2.293933088
Eucalyptus annulata,206,-27.61,1.02,3.377576911
Eucalyptus aquilina,176,-27.67,1.10,3.785351653
Eucalyptus arachnaea,296,-28.58,1.15,2.945492892
Eucalyptus arborella,1127,-28.11,1.05,3.735334243
Eucalyptus arenacea,1588,-26.84,0.82,3.175806172
Eucalyptus argophloia,686,-29.47,1.17,5.580843132
Eucalyptus argutifolia,249,-28.02,0.98,2.788101187
Eucalyptus argyphea,1113,-27.63,0.82,2.776937773
Eucalyptus aromaphloia,426,-29.10,1.40,5.709795918
Eucalyptus articulata,520,-26.73,1.23,2.808669951
Eucalyptus aspratilis,328,-27.97,0.94,2.765044248
Eucalyptus assimilans,1826,-27.67,1.02,2.147548034
Eucalyptus astringens,194,-27.47,0.65,2.311072381
Eucalyptus atrata,1308,-29.45,0.96,4.362814201
Eucalyptus baeverlenii,1227,-27.28,1.37,4.670512066
Eucalyptus bakeri,1269,-29.07,1.15,3.391729323
Eucalyptus balanopelex,169,-26.63,0.92,2.693345786
Eucalyptus balladoniensis,118,-26.47,0.75,2.054066002
Eucalyptus bancroftii,1241,-27.62,1.57,4.694747209
Eucalyptus barberi,1989,-27.24,1.57,3.879107505
Eucalyptus baudiniana,286,-28.30,0.83,2.741719457
Eucalyptus beaniana,1267,-28.78,0.94,3.805196006
Eucalyptus behriana,783,-29.13,1.00,3.166817224
Eucalyptus biturbinata,1253,-29.32,1.34,6.560369702
Eucalyptus blakelyi,722,-26.76,1.79,6.172372426
Eucalyptus blaxellii,272,-27.46,1.19,3.860421286
Eucalyptus brachycalyx,1072,-26.87,0.86,2.912068525
Eucalyptus brassiana,1316,-29.32,1.25,5.448206721
Eucalyptus brevipes,299,-25.92,1.06,2.499608559
Eucalyptus bridgesiana,570,-28.87,1.78,4.998247361
Eucalyptus brockwayi,136,-26.42,0.93,3.223747631
Eucalyptus brownii,1293,-28.45,1.46,4.876549456
Eucalyptus buprestium,223,-25.66,1.09,4.189979232
Eucalyptus burracoppinensis,306,-25.80,1.35,2.830740981
Eucalyptus caesia,304,-27.03,1.22,2.987114608
Eucalyptus calcareana,103,-27.47,1.00,2.278733186
Eucalyptus calcicola,1674,-27.97,1.21,5.173633181
Eucalyptus caleyi,746,-29.51,1.08,4.898839645
Eucalyptus calycogona,732,-27.81,1.22,3.140395022
Eucalyptus camaldulensis,1314,-28.00,1.52,5.101804529
Eucalyptus camaldulensis,823,-28.75,1.29,5.111848456
