Species_name,Family,Synonyms,Resprouter,Location,Citation code,Notes,life.history,bud.position,dim.1,dim.2
Agrostis avenacea,Poaceae,,Yes,Australia,Crowley 2007,,Annual,C,,
Agrostis venusta,Poaceae,,Yes,Australia,Morgan 1999,,Annual,C,,
Aira cupaniana,Poaceae,,No,Australia,Lunt 1990,,Annual,,,
Alloteropsis semialata,Poaceae,,Yes,Australia,Crowley 2007,,Perennial,R,1.309037505,-0.981411934
Alopecurus myosuroides,Poaceae,,No,Australia,Brown 2009,,Annual,C,,
Amphibromus nervosus,Poaceae,,Yes,Oceania,Moore 2018,,,,,
Amphipogon amphipogonoides,Poaceae,,Yes,Oceania,Pekin 2010,,Perennial,R,,
Amphipogon caricinus,Poaceae,,Yes,Australia,Crowley 2007,,Perennial,C,,
Amphipogon strictus,Poaceae,,Yes,Australia,Benson 2005,,Perennial,R,,
Andropogon gayanus,Poaceae,,Yes,Australia,Setterfield 2005,,Perennial,C,-1.064435987,0.896405872
Anthosachne scabra,Poaceae,,Yes,Oceania,Moore 2018,,,,,
Anthoxanthum odoratum,Poaceae,,Yes,Australia,Brown 2009,,Perennial,C,2.915620409,0.583378172
Aristida arida,Poaceae,,Yes,Australia,Crowley 2007,,Perennial,C,,
Aristida biglandulosa,Poaceae,,Yes,Australia,Crowley 2007,,Perennial,C,,
Aristida calycina,Poaceae,,Yes,Australia,Crowley 2007,,Perennial,C,,
Aristida capillifolia,Poaceae,,Yes,Australia,Crowley 2007,,Perennial,C,,
Aristida contorta,Poaceae,,Yes,Australia,Crowley 2007,,Both,C,-1.146937183,-0.981337831
Aristida dominii,Poaceae,,Yes,Australia,Crowley 2007,,Annual,C,,
Aristida exserta,Poaceae,,Yes,Australia,Crowley 2007,,Perennial,C,,
Aristida holathera,Poaceae,,Yes,Australia,Crowley 2007,,Both,C,,
Aristida hygrometrica,Poaceae,,No,Australia,Crowley 2007,,Annual,C,,
Aristida inaequiglumis,Poaceae,,Yes,Australia,Crowley 2007,,Perennial,C,,
Aristida jerichoensis,Poaceae,,Yes,Australia,Crowley 2007,,Perennial,C,,
Aristida latifolia,Poaceae,,Yes,Australia,Crowley 2007,,Perennial,C,,
Aristida latzii,Poaceae,,Yes,Australia,Crowley 2007,,Perennial,C,,
Aristida nitidula,Poaceae,,Yes,Australia,Crowley 2007,,Perennial,C,,
Aristida obscura,Poaceae,,Yes,Australia,Crowley 2007,,Perennial,C,,
Aristida pruinosa,Poaceae,,Yes,Australia,Crowley 2007,,Perennial,C,,
Aristida queenslandica,Poaceae,,Yes,Australia,Crowley 2007,,Perennial,C,,
Aristida ramosa,Poaceae,,Yes,Australia,OEH 2004,,Perennial,C,,
Aristida strigosa,Poaceae,,Yes,Australia,Crowley 2007,,Perennial,C,,
Aristida superpendens,Poaceae,,Yes,Australia,Crowley 2007,,Perennial,C,,
Aristida vagans,Poaceae,,Yes,Australia,OEH 2004,,Perennial,C,,
Aristida warburgii,Poaceae,,Yes,Australia,Crowley 2007,,Perennial,C,,
Arthraxon hispidus,Poaceae,,No,Australia,Clayton 2006,,Annual,,,
Arundinella nepalensis,Poaceae,,No,Australia,Crowley 2007,,Perennial,R,,
Arundo donax,Poaceae,,Yes,"Australia, North America",Crowley 2007,,Perennial,R,2.069291938,-1.206372965
Astrebla elymoides,Poaceae,,Yes,Australia,Crowley 2007,,Perennial,C,,
Astrebla lappacea,Poaceae,,Yes,Australia,Crowley 2007,,Perennial,R,0.602322707,-0.511268852
Astrebla pectinata,Poaceae,,Yes,Australia,Crowley 2007,,Perennial,R,,
Astrebla squarrosa,Poaceae,,Yes,Australia,Crowley 2007,,Perennial,R,,
Avena fatua,Poaceae,,No,Australia,Crowley 2007,,Annual,,,
